Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,SPA,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
16:34,"GOOD JUMPER by SCINTA,BLAKE",2,,5 (+3),,CEN 2-5 (-3),,"GOOD JUMPER by SCINTA,BLAKE",1
16:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:27,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
16:27,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
16:27,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
16:27,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
16:27,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
16:27,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
16:27,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
16:27,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
16:27,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
16:27,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
16:04,,2,,7 (+5),"GOOD JUMPER by TRISKO,NICK",SPA 2-7 (-5),,"GOOD JUMPER by TRISKO,NICK",1
15:31,"MISS LAYUP by REPISHTI,BRYAN",,,,,,,"MISS LAYUP by REPISHTI,BRYAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:31,"SUB IN by KIDWELL,BRENT",,,,,,,"SUB IN by KIDWELL,BRENT",1
15:31,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
15:04,,,,,"MISS LAYUP by ROWE,RYLAN",,,"MISS LAYUP by ROWE,RYLAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
14:57,"TURNOVER  by KIDWELL,BRENT",,,,,,,"TURNOVER  by KIDWELL,BRENT",1
14:55,,,,,"STEAL  by ROWE,RYLAN",,,"STEAL  by ROWE,RYLAN",1
