Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",1
19:31,,0,,2 (+2),"GOOD JUMPER by BEINEKE,JOHN",FC 0-2 (-2),,"GOOD JUMPER by BEINEKE,JOHN",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
19:02,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
18:56,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2,,2,,CENTRE 2-2 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
18:42,,,,,"MISS JUMPER by BEINEKE,JOHN",,,"MISS JUMPER by BEINEKE,JOHN",1
--,"REBOUND DEF by REPISHTI,BRYAN",,,,,,,"REBOUND DEF by REPISHTI,BRYAN",1
18:32,,,,,"FOUL  by MCCORY,BRETT",,,"FOUL  by MCCORY,BRETT",1
18:25,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
18:25,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
18:04,,,,,"MISS JUMPER by BEINEKE,JOHN",,,"MISS JUMPER by BEINEKE,JOHN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
17:49,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
17:47,,,,,"STEAL  by BEINEKE,JOHN",,,"STEAL  by BEINEKE,JOHN",1
17:44,,,,,"TURNOVER  by MANN,AARON",,,"TURNOVER  by MANN,AARON",1
17:42,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
17:39,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",1
17:39,"GOOD FT by REPISHTI,BRYAN",3 (+1),,2,,CENTRE 3-2 (+1),,"GOOD FT by REPISHTI,BRYAN",1
17:39,"GOOD FT by REPISHTI,BRYAN",4 (+2),,2,,CENTRE 4-2 (+2),,"GOOD FT by REPISHTI,BRYAN",1
17:39,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
