Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TRANSYM,Game Score,Team Indicator,Play,Period
14:14,"MISS TIPIN by SCHMUCKER,ZACH",,,,,,,"MISS TIPIN by SCHMUCKER,ZACH",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
14:10,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
14:10,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
13:54,,10 (+7),,3,"GOOD JUMPER by STANSBERRY,PARKER(in the paint)",TRANSYM 10-3 (+7),,"GOOD JUMPER by STANSBERRY,PARKER(in the paint)",1
13:38,,,,,"FOUL  by BURGESS,TRISTAN",,,"FOUL  by BURGESS,TRISTAN",1
13:38,"GOOD FT by GRUBER,SAM",11 (+8),,3,,CENTRE 11-3 (+8),,"GOOD FT by GRUBER,SAM",1
13:38,"GOOD FT by GRUBER,SAM",12 (+9),,3,,CENTRE 12-3 (+9),,"GOOD FT by GRUBER,SAM",1
13:38,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
13:38,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
13:19,"FOUL  by GRUBER,SAM",,,,,,,"FOUL  by GRUBER,SAM",1
13:19,,,,,"SUB IN by STAFFORD,MICHAEL",,,"SUB IN by STAFFORD,MICHAEL",1
13:19,,,,,"SUB OUT by SCHUH,BO",,,"SUB OUT by SCHUH,BO",1
13:17,,12 (+6),,6,"GOOD 3PTR by STANSBERRY,PARKER",TRANSYM 12-6 (+6),,"GOOD 3PTR by STANSBERRY,PARKER",1
--,,,,,"ASSIST  by SERGEANT,SAM",,,"ASSIST  by SERGEANT,SAM",1
13:01,"GOOD 3PTR by GRUBER,SAM",15 (+9),,6,,CENTRE 15-6 (+9),,"GOOD 3PTR by GRUBER,SAM",1
12:36,,,,,"MISS JUMPER by STAFFORD,MICHAEL",,,"MISS JUMPER by STAFFORD,MICHAEL",1
--,,,,,"REBOUND OFF by THEOBALD,COOPER",,,"REBOUND OFF by THEOBALD,COOPER",1
12:33,,,,,"MISS 3PTR by BURGESS,TRISTAN",,,"MISS 3PTR by BURGESS,TRISTAN",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
12:29,,,,,"FOUL  by STAFFORD,MICHAEL",,,"FOUL  by STAFFORD,MICHAEL",1
12:29,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
12:29,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
12:29,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
12:29,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
12:29,,,,,"SUB IN by JONES,ALEX",,,"SUB IN by JONES,ALEX",1
12:29,,,,,"SUB IN by CHRISTON,SIMON",,,"SUB IN by CHRISTON,SIMON",1
12:29,,,,,"SUB OUT by BURGESS,TRISTAN",,,"SUB OUT by BURGESS,TRISTAN",1
12:29,,,,,"SUB OUT by STANSBERRY,PARKER",,,"SUB OUT by STANSBERRY,PARKER",1
12:09,"MISS 3PTR by ARNETT,MICHAEL",,,,,,,"MISS 3PTR by ARNETT,MICHAEL",1
--,,,,,"REBOUND DEF by THEOBALD,COOPER",,,"REBOUND DEF by THEOBALD,COOPER",1
11:47,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
11:47,,,,,"MISS FT by SERGEANT,SAM",,,"MISS FT by SERGEANT,SAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:47,,15 (+8),,7,"GOOD FT by SERGEANT,SAM",TRANSYM 15-7 (+8),,"GOOD FT by SERGEANT,SAM",1
11:47,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:47,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
11:47,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
11:47,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
11:47,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",1
11:47,,,,,"SUB OUT by THEOBALD,COOPER",,,"SUB OUT by THEOBALD,COOPER",1
11:19,"GOOD 3PTR by GUMP,MATT",18 (+11),,7,,CENTRE 18-7 (+11),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",1
10:54,,,,,"MISS 3PTR by SERGEANT,SAM",,,"MISS 3PTR by SERGEANT,SAM",1
--,,,,,"REBOUND OFF by DENCE,ROBERT",,,"REBOUND OFF by DENCE,ROBERT",1
10:51,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
10:51,,,,,"MISS FT by DENCE,ROBERT",,,"MISS FT by DENCE,ROBERT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:51,,18 (+10),,8,"GOOD FT by DENCE,ROBERT",TRANSYM 18-8 (+10),,"GOOD FT by DENCE,ROBERT",1
10:51,,,,,"SUB IN by THEOBALD,COOPER",,,"SUB IN by THEOBALD,COOPER",1
10:51,,,,,"SUB OUT by SERGEANT,SAM",,,"SUB OUT by SERGEANT,SAM",1
10:30,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by JONES,ALEX",,,"REBOUND DEF by JONES,ALEX",1
10:19,,,,,"MISS JUMPER by STAFFORD,MICHAEL",,,"MISS JUMPER by STAFFORD,MICHAEL",1
--,,,,,"REBOUND OFF by DENCE,ROBERT",,,"REBOUND OFF by DENCE,ROBERT",1
10:05,,18 (+8),,10,"GOOD JUMPER by THEOBALD,COOPER(in the paint)",TRANSYM 18-10 (+8),,"GOOD JUMPER by THEOBALD,COOPER(in the paint)",1
--,,,,,"ASSIST  by JONES,ALEX",,,"ASSIST  by JONES,ALEX",1
09:41,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by THEOBALD,COOPER",,,"REBOUND DEF by THEOBALD,COOPER",1
09:33,,,,,"MISS JUMPER by JONES,ALEX",,,"MISS JUMPER by JONES,ALEX",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
09:13,"GOOD LAYUP by GUMP,MATT(in the paint)",20 (+10),,10,,CENTRE 20-10 (+10),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
08:56,,20 (+8),,12,"GOOD LAYUP by STAFFORD,MICHAEL(in the paint)",TRANSYM 20-12 (+8),,"GOOD LAYUP by STAFFORD,MICHAEL(in the paint)",1
08:42,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
08:42,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
08:42,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
08:42,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
08:42,,,,,"SUB IN by SCHUH,BO",,,"SUB IN by SCHUH,BO",1
