Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,NCC,Game Score,Team Indicator,Play,Period
13:37,,,,,"SUB IN by HONN,KEVIN",,,"SUB IN by HONN,KEVIN",1
13:37,,,,,"SUB IN by RARIDON,CONNOR",,,"SUB IN by RARIDON,CONNOR",1
13:37,,,,,"SUB IN by MOTEN,JAYME",,,"SUB IN by MOTEN,JAYME",1
13:37,,,,,"SUB IN by ANDERSON,JAGGER",,,"SUB IN by ANDERSON,JAGGER",1
13:37,,,,,"SUB OUT by WALSH,THOMAS",,,"SUB OUT by WALSH,THOMAS",1
13:37,,,,,"SUB OUT by EPSTEIN,ALEC",,,"SUB OUT by EPSTEIN,ALEC",1
13:37,,,,,"SUB OUT by PHIPPS,JAQUAN",,,"SUB OUT by PHIPPS,JAQUAN",1
13:37,,,,,"SUB OUT by JENKINS,CHRIS",,,"SUB OUT by JENKINS,CHRIS",1
13:37,,,,,"SUB OUT by GODWIN,GEOFFREY",,,"SUB OUT by GODWIN,GEOFFREY",1
13:29,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by IRELAND,JEREMY",,,"REBOUND DEF by IRELAND,JEREMY",1
13:21,,9,,13 (+4),"GOOD JUMPER by RARIDON,CONNOR(in the paint)",NCC 9-13 (-4),,"GOOD JUMPER by RARIDON,CONNOR(in the paint)",1
13:21,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
13:21,,9,,14 (+5),"GOOD FT by RARIDON,CONNOR",NCC 9-14 (-5),,"GOOD FT by RARIDON,CONNOR",1
13:21,,,,,"SUB IN by CHANG,AIDEN",,,"SUB IN by CHANG,AIDEN",1
13:21,,,,,"SUB OUT by ANDERSON,JAGGER",,,"SUB OUT by ANDERSON,JAGGER",1
13:00,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by RARIDON,CONNOR",,,"REBOUND DEF by RARIDON,CONNOR",1
12:50,,,,,"MISS 3PTR by CHANG,AIDEN",,,"MISS 3PTR by CHANG,AIDEN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
12:33,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by RARIDON,CONNOR",,,"REBOUND DEF by RARIDON,CONNOR",1
12:26,,,,,"TURNOVER  by RARIDON,CONNOR",,,"TURNOVER  by RARIDON,CONNOR",1
12:25,"STEAL  by GUMP,MATT",,,,,,,"STEAL  by GUMP,MATT",1
12:16,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by MOTEN,JAYME",,,"REBOUND DEF by MOTEN,JAYME",1
12:02,,9,,17 (+8),"GOOD 3PTR by CHANG,AIDEN",NCC 9-17 (-8),,"GOOD 3PTR by CHANG,AIDEN",1
--,,,,,"ASSIST  by HONN,KEVIN",,,"ASSIST  by HONN,KEVIN",1
11:58,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:58,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
11:58,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
11:58,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:58,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:58,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:58,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
11:58,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
11:58,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:58,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
11:58,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
11:58,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
11:58,"SUB OUT by SPRICK,PAUL",,,,,,,"SUB OUT by SPRICK,PAUL",1
11:58,"SUB OUT by KIDWELL,BRENT",,,,,,,"SUB OUT by KIDWELL,BRENT",1
11:58,,,,,"SUB IN by IRELAND,JEREMY",,,"SUB IN by IRELAND,JEREMY",1
11:58,,,,,"SUB OUT by EPSTEIN,ALEC",,,"SUB OUT by EPSTEIN,ALEC",1
11:41,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by MOTEN,JAYME",,,"REBOUND DEF by MOTEN,JAYME",1
11:38,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
11:31,,9,,20 (+11),"GOOD 3PTR by HONN,KEVIN",NCC 9-20 (-11),,"GOOD 3PTR by HONN,KEVIN",1
--,,,,,"ASSIST  by MOTEN,JAYME",,,"ASSIST  by MOTEN,JAYME",1
11:10,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
11:05,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by IRELAND,JEREMY",,,"REBOUND DEF by IRELAND,JEREMY",1
10:57,,,,,"TURNOVER  by MOTEN,JAYME",,,"TURNOVER  by MOTEN,JAYME",1
10:57,,,,,"FOUL  by MOTEN,JAYME",,,"FOUL  by MOTEN,JAYME",1
10:57,,,,,"SUB IN by ANDERSON,JAGGER",,,"SUB IN by ANDERSON,JAGGER",1
10:57,,,,,"SUB OUT by MOTEN,JAYME",,,"SUB OUT by MOTEN,JAYME",1
10:36,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by IRELAND,JEREMY",,,"REBOUND DEF by IRELAND,JEREMY",1
10:25,,,,,"MISS LAYUP by ANDERSON,JAGGER",,,"MISS LAYUP by ANDERSON,JAGGER",1
--,,,,,"REBOUND OFF by RARIDON,CONNOR",,,"REBOUND OFF by RARIDON,CONNOR",1
10:23,,,,,"MISS LAYUP by RARIDON,CONNOR",,,"MISS LAYUP by RARIDON,CONNOR",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
10:16,,,,,"FOUL  by ANDERSON,JAGGER",,,"FOUL  by ANDERSON,JAGGER",1
10:16,"MISS FT by REPISHTI,BRYAN",,,,,,,"MISS FT by REPISHTI,BRYAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:16,"MISS FT by REPISHTI,BRYAN",,,,,,,"MISS FT by REPISHTI,BRYAN",1
--,,,,,"REBOUND DEF by RARIDON,CONNOR",,,"REBOUND DEF by RARIDON,CONNOR",1
10:16,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
10:16,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
10:08,,,,,"MISS 3PTR by ANDERSON,JAGGER",,,"MISS 3PTR by ANDERSON,JAGGER",1
--,,,,,"REBOUND OFF by ANDERSON,JAGGER",,,"REBOUND OFF by ANDERSON,JAGGER",1
10:00,,,,,"MISS JUMPER by ANDERSON,JAGGER",,,"MISS JUMPER by ANDERSON,JAGGER",1
10:00,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
09:56,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",1
09:56,,,,,"STEAL  by MOTEN,JAYME",,,"STEAL  by MOTEN,JAYME",1
09:56,,,,,"MISS 3PTR by ANDERSON,JAGGER",,,"MISS 3PTR by ANDERSON,JAGGER",1
--,,,,,"REBOUND OFF by HONN,KEVIN",,,"REBOUND OFF by HONN,KEVIN",1
09:53,,,,,"MISS LAYUP by HONN,KEVIN",,,"MISS LAYUP by HONN,KEVIN",1
09:53,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:47,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:47,"SUB IN by MAGUIRE,WILL",,,,,,,"SUB IN by MAGUIRE,WILL",1
09:47,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
09:47,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:47,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
09:47,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
09:47,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:47,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
09:47,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
09:47,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
09:47,"SUB OUT by SPRICK,PAUL",,,,,,,"SUB OUT by SPRICK,PAUL",1
09:47,"SUB OUT by KIDWELL,BRENT",,,,,,,"SUB OUT by KIDWELL,BRENT",1
09:39,,9,,22 (+13),"GOOD LAYUP by HONN,KEVIN(in the paint)",NCC 9-22 (-13),,"GOOD LAYUP by HONN,KEVIN(in the paint)",1
--,,,,,"ASSIST  by RARIDON,CONNOR",,,"ASSIST  by RARIDON,CONNOR",1
09:29,"TURNOVER  by EBERT,CARSON",,,,,,,"TURNOVER  by EBERT,CARSON",1
09:26,,,,,"STEAL  by ANDERSON,JAGGER",,,"STEAL  by ANDERSON,JAGGER",1
09:17,,9,,25 (+16),"GOOD 3PTR by CHANG,AIDEN",NCC 9-25 (-16),,"GOOD 3PTR by CHANG,AIDEN",1
--,,,,,"ASSIST  by ANDERSON,JAGGER",,,"ASSIST  by ANDERSON,JAGGER",1
08:57,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
08:57,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
08:57,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
08:57,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
08:57,,,,,"SUB IN by HENRY,ERWIN",,,"SUB IN by HENRY,ERWIN",1
08:57,,,,,"SUB OUT by RARIDON,CONNOR",,,"SUB OUT by RARIDON,CONNOR",1
08:27,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",1
08:27,,9,,26 (+17),"GOOD FT by IRELAND,JEREMY",NCC 9-26 (-17),,"GOOD FT by IRELAND,JEREMY",1
08:27,,9,,27 (+18),"GOOD FT by IRELAND,JEREMY",NCC 9-27 (-18),,"GOOD FT by IRELAND,JEREMY",1
08:12,"GOOD 3PTR by EBERT,CARSON",12,,27 (+15),,CEN 12-27 (-15),,"GOOD 3PTR by EBERT,CARSON",1
07:54,,,,,"MISS 3PTR by CHANG,AIDEN",,,"MISS 3PTR by CHANG,AIDEN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
07:39,"GOOD LAYUP by WESLEY,TYLER(in the paint)",14,,27 (+13),,CEN 14-27 (-13),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
07:12,,,,,"MISS 3PTR by HENRY,ERWIN",,,"MISS 3PTR by HENRY,ERWIN",1
--,"REBOUND DEF by MAGUIRE,WILL",,,,,,,"REBOUND DEF by MAGUIRE,WILL",1
07:02,"MISS 3PTR by MAGUIRE,WILL",,,,,,,"MISS 3PTR by MAGUIRE,WILL",1
--,,,,,"REBOUND DEF by IRELAND,JEREMY",,,"REBOUND DEF by IRELAND,JEREMY",1
06:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:55,,,,,"SUB IN by PHIPPS,JAQUAN",,,"SUB IN by PHIPPS,JAQUAN",1
06:55,,,,,"SUB OUT by HENRY,ERWIN",,,"SUB OUT by HENRY,ERWIN",1
06:44,,,,,"TURNOVER  by PHIPPS,JAQUAN",,,"TURNOVER  by PHIPPS,JAQUAN",1
06:28,,,,,"FOUL  by HONN,KEVIN",,,"FOUL  by HONN,KEVIN",1
06:28,"GOOD FT by GRIFFIN,JAROD",15,,27 (+12),,CEN 15-27 (-12),,"GOOD FT by GRIFFIN,JAROD",1
06:28,"GOOD FT by GRIFFIN,JAROD",16,,27 (+11),,CEN 16-27 (-11),,"GOOD FT by GRIFFIN,JAROD",1
06:04,,16,,29 (+13),"GOOD LAYUP by HONN,KEVIN(in the paint)",NCC 16-29 (-13),,"GOOD LAYUP by HONN,KEVIN(in the paint)",1
05:40,"MISS 3PTR by MAGUIRE,WILL",,,,,,,"MISS 3PTR by MAGUIRE,WILL",1
--,,,,,"REBOUND DEF by HONN,KEVIN",,,"REBOUND DEF by HONN,KEVIN",1
05:34,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
05:34,,16,,30 (+14),"GOOD FT by PHIPPS,JAQUAN",NCC 16-30 (-14),,"GOOD FT by PHIPPS,JAQUAN",1
05:34,,16,,31 (+15),"GOOD FT by PHIPPS,JAQUAN",NCC 16-31 (-15),,"GOOD FT by PHIPPS,JAQUAN",1
05:34,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
05:34,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
05:34,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
05:34,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
05:34,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
05:34,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
05:34,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
05:34,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
05:34,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
05:34,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
05:34,"SUB OUT by SPRICK,PAUL",,,,,,,"SUB OUT by SPRICK,PAUL",1
05:34,"SUB OUT by KIDWELL,BRENT",,,,,,,"SUB OUT by KIDWELL,BRENT",1
05:34,,,,,"SUB IN by RARIDON,CONNOR",,,"SUB IN by RARIDON,CONNOR",1
05:34,,,,,"SUB OUT by PHIPPS,JAQUAN",,,"SUB OUT by PHIPPS,JAQUAN",1
05:18,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
05:16,,,,,"STEAL  by IRELAND,JEREMY",,,"STEAL  by IRELAND,JEREMY",1
04:53,,,,,"TURNOVER  by RARIDON,CONNOR",,,"TURNOVER  by RARIDON,CONNOR",1
04:52,"STEAL  by SCHMUCKER,ZACH",,,,,,,"STEAL  by SCHMUCKER,ZACH",1
04:49,,,,,"FOUL  by CHANG,AIDEN",,,"FOUL  by CHANG,AIDEN",1
04:49,"GOOD FT by SINE,TUCKER",17,,31 (+14),,CEN 17-31 (-14),,"GOOD FT by SINE,TUCKER",1
04:49,"GOOD FT by SINE,TUCKER",18,,31 (+13),,CEN 18-31 (-13),,"GOOD FT by SINE,TUCKER",1
04:49,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
04:49,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
04:27,,,,,"MISS JUMPER by CHANG,AIDEN",,,"MISS JUMPER by CHANG,AIDEN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
04:16,"GOOD JUMPER by GUMP,MATT",20,,31 (+11),,CEN 20-31 (-11),,"GOOD JUMPER by GUMP,MATT",1
03:53,,20,,33 (+13),"GOOD JUMPER by RARIDON,CONNOR",NCC 20-33 (-13),,"GOOD JUMPER by RARIDON,CONNOR",1
03:35,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by IRELAND,JEREMY",,,"REBOUND DEF by IRELAND,JEREMY",1
03:19,,20,,35 (+15),"GOOD JUMPER by ANDERSON,JAGGER",NCC 20-35 (-15),,"GOOD JUMPER by ANDERSON,JAGGER",1
--,,,,,"ASSIST  by RARIDON,CONNOR",,,"ASSIST  by RARIDON,CONNOR",1
02:57,,,,,"FOUL  by IRELAND,JEREMY",,,"FOUL  by IRELAND,JEREMY",1
02:57,"GOOD FT by WESLEY,TYLER",21,,35 (+14),,CEN 21-35 (-14),,"GOOD FT by WESLEY,TYLER",1
02:57,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by HONN,KEVIN",,,"REBOUND DEF by HONN,KEVIN",1
02:57,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
02:57,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
02:57,,,,,"SUB IN by EPSTEIN,ALEC",,,"SUB IN by EPSTEIN,ALEC",1
02:57,,,,,"SUB OUT by IRELAND,JEREMY",,,"SUB OUT by IRELAND,JEREMY",1
02:56,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",1
02:14,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
02:14,,21,,36 (+15),"GOOD FT by RARIDON,CONNOR",NCC 21-36 (-15),,"GOOD FT by RARIDON,CONNOR",1
02:14,,21,,37 (+16),"GOOD FT by RARIDON,CONNOR",NCC 21-37 (-16),,"GOOD FT by RARIDON,CONNOR",1
01:56,"GOOD 3PTR by SINE,TUCKER",24,,37 (+13),,CEN 24-37 (-13),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
01:28,,,,,"MISS JUMPER by EPSTEIN,ALEC",,,"MISS JUMPER by EPSTEIN,ALEC",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
01:18,,,,,"FOUL  by EPSTEIN,ALEC",,,"FOUL  by EPSTEIN,ALEC",1
01:18,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:18,"GOOD FT by WESLEY,TYLER",25,,37 (+12),,CEN 25-37 (-12),,"GOOD FT by WESLEY,TYLER",1
01:18,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
01:18,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
01:18,,,,,"SUB IN by HENRY,ERWIN",,,"SUB IN by HENRY,ERWIN",1
01:18,,,,,"SUB OUT by HONN,KEVIN",,,"SUB OUT by HONN,KEVIN",1
01:01,,,,,"TURNOVER  by HENRY,ERWIN",,,"TURNOVER  by HENRY,ERWIN",1
01:01,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
01:01,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
01:01,,,,,"SUB IN by IRELAND,JEREMY",,,"SUB IN by IRELAND,JEREMY",1
01:01,,,,,"SUB IN by HONN,KEVIN",,,"SUB IN by HONN,KEVIN",1
01:01,,,,,"SUB IN by RARIDON,CONNOR",,,"SUB IN by RARIDON,CONNOR",1
01:01,,,,,"SUB IN by CHANG,AIDEN",,,"SUB IN by CHANG,AIDEN",1
01:01,,,,,"SUB IN by ANDERSON,JAGGER",,,"SUB IN by ANDERSON,JAGGER",1
01:01,,,,,"SUB OUT by WALSH,THOMAS",,,"SUB OUT by WALSH,THOMAS",1
