Time Remaining,STE,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
13:37,"GOOD FT by HILL,RYAN",13 (+3),,10,,STE 13-10 (-3),,"GOOD FT by HILL,RYAN",1
13:37,"SUB IN by DAVIS,JULIAN",,,,,,,"SUB IN by DAVIS,JULIAN",1
13:37,"SUB OUT by FISHER,ERIK",,,,,,,"SUB OUT by FISHER,ERIK",1
13:37,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
13:37,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
13:37,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
13:37,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
13:37,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
13:37,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",1
13:37,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",1
13:37,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",1
13:37,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
13:37,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
13:35,"MISS FT by HILL,RYAN",,,,,,,"MISS FT by HILL,RYAN",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
13:20,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by DAVIS,JULIAN",,,,,,,"REBOUND DEF by DAVIS,JULIAN",1
13:09,"MISS LAYUP by MAYBERRY,SEAN",,,,,,,"MISS LAYUP by MAYBERRY,SEAN",1
13:09,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:09,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
13:09,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
13:06,"TURNOVER  by DAVIS,JULIAN",,,,,,,"TURNOVER  by DAVIS,JULIAN",1
12:50,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
12:46,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by ROBERTS,CHRISTIAN",,,,,,,"REBOUND DEF by ROBERTS,CHRISTIAN",1
12:28,"MISS LAYUP by ROBERTS,CHRISTIAN",,,,,,,"MISS LAYUP by ROBERTS,CHRISTIAN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
12:07,,13,,13,"GOOD 3PTR by EBERT,CARSON",CEN 13-13 (0),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
11:42,"MISS JUMPER by KIELY,JOE",,,,,,,"MISS JUMPER by KIELY,JOE",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
11:28,,13,,16 (+3),"GOOD 3PTR by EBERT,CARSON",CEN 13-16 (+3),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
11:04,"GOOD LAYUP by KIELY,JOE(in the paint)",15,,16 (+1),,STE 15-16 (+1),,"GOOD LAYUP by KIELY,JOE(in the paint)",1
--,"ASSIST  by HILL,RYAN",,,,,,,"ASSIST  by HILL,RYAN",1
10:40,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by HILL,RYAN",,,,,,,"REBOUND DEF by HILL,RYAN",1
10:34,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
10:34,"GOOD FT by KIELY,JOE",16,,16,,STE 16-16 (0),,"GOOD FT by KIELY,JOE",1
10:34,"MISS FT by KIELY,JOE",,,,,,,"MISS FT by KIELY,JOE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
10:34,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
10:34,,16,,18 (+2),"GOOD JUMPER by SCINTA,BLAKE(in the paint)",CEN 16-18 (+2),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
10:34,"MISS LAYUP by FISHER,ERIK",,,,,,,"MISS LAYUP by FISHER,ERIK",1
10:34,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
10:34,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by DAY,CHRIS",,,,,,,"REBOUND DEF by DAY,CHRIS",1
10:34,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
10:34,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
10:34,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
10:34,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
10:34,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
10:34,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",1
10:34,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",1
10:34,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",1
10:34,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
10:34,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
10:31,"MISS 3PTR by MAYBERRY,SEAN",,,,,,,"MISS 3PTR by MAYBERRY,SEAN",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
10:18,,16,,20 (+4),"GOOD JUMPER by SCINTA,BLAKE(in the paint)",CEN 16-20 (+4),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
10:03,"SUB IN by MAYBERRY,SEAN",,,,,,,"SUB IN by MAYBERRY,SEAN",1
10:03,"SUB IN by FISHER,ERIK",,,,,,,"SUB IN by FISHER,ERIK",1
10:03,"SUB IN by DAY,CHRIS",,,,,,,"SUB IN by DAY,CHRIS",1
10:03,"SUB IN by KIELY,JOE",,,,,,,"SUB IN by KIELY,JOE",1
10:03,"SUB IN by DAVIS,JULIAN",,,,,,,"SUB IN by DAVIS,JULIAN",1
10:03,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",1
10:03,"SUB OUT by VAN VUUREN,KELVIN",,,,,,,"SUB OUT by VAN VUUREN,KELVIN",1
10:03,"SUB OUT by BYRD,MICHAEL",,,,,,,"SUB OUT by BYRD,MICHAEL",1
10:03,"SUB OUT by JOHNSON,DEMETRE",,,,,,,"SUB OUT by JOHNSON,DEMETRE",1
10:03,"SUB OUT by DAY,CHRIS",,,,,,,"SUB OUT by DAY,CHRIS",1
09:59,"GOOD LAYUP by FISHER,ERIK(in the paint)",18,,20 (+2),,STE 18-20 (+2),,"GOOD LAYUP by FISHER,ERIK(in the paint)",1
09:40,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
09:40,"STEAL  by DAY,CHRIS",,,,,,,"STEAL  by DAY,CHRIS",1
09:40,"SUB IN by ROBERTS,CHRISTIAN",,,,,,,"SUB IN by ROBERTS,CHRISTIAN",1
09:40,"SUB OUT by KIELY,JOE",,,,,,,"SUB OUT by KIELY,JOE",1
09:40,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
09:40,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
08:04,"GOOD LAYUP by ROBERTS,CHRISTIAN(in the paint)",20,,20,,STE 20-20 (0),,"GOOD LAYUP by ROBERTS,CHRISTIAN(in the paint)",1
07:40,"FOUL  by DAVIS,JULIAN",,,,,,,"FOUL  by DAVIS,JULIAN",1
07:40,"SUB IN by ENGLISH,WALTER",,,,,,,"SUB IN by ENGLISH,WALTER",1
07:40,"SUB OUT by MAYBERRY,SEAN",,,,,,,"SUB OUT by MAYBERRY,SEAN",1
07:20,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:58,"MISS JUMPER by DAVIS,JULIAN",,,,,,,"MISS JUMPER by DAVIS,JULIAN",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
06:45,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
06:25,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
06:16,"FOUL  by DAY,CHRIS",,,,,,,"FOUL  by DAY,CHRIS",1
06:16,,20,,21 (+1),"GOOD FT by SCINTA,BLAKE",CEN 20-21 (+1),,"GOOD FT by SCINTA,BLAKE",1
06:16,,20,,22 (+2),"GOOD FT by SCINTA,BLAKE",CEN 20-22 (+2),,"GOOD FT by SCINTA,BLAKE",1
06:16,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
06:16,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
06:16,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
06:16,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
06:16,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
06:16,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",1
06:16,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",1
06:16,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",1
06:16,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
06:16,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
05:55,"GOOD LAYUP by FISHER,ERIK(in the paint)",22,,22,,STE 22-22 (0),,"GOOD LAYUP by FISHER,ERIK(in the paint)",1
05:37,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by DAVIS,JULIAN",,,,,,,"REBOUND DEF by DAVIS,JULIAN",1
05:13,"MISS 3PTR by ROBERTS,CHRISTIAN",,,,,,,"MISS 3PTR by ROBERTS,CHRISTIAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
04:51,,22,,25 (+3),"GOOD 3PTR by EBERT,CARSON",CEN 22-25 (+3),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
04:24,"MISS 3PTR by FISHER,ERIK",,,,,,,"MISS 3PTR by FISHER,ERIK",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
04:14,"FOUL  by ENGLISH,WALTER",,,,,,,"FOUL  by ENGLISH,WALTER",1
04:14,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:14,,22,,26 (+4),"GOOD FT by SCINTA,BLAKE",CEN 22-26 (+4),,"GOOD FT by SCINTA,BLAKE",1
04:14,"SUB IN by HILL,RYAN",,,,,,,"SUB IN by HILL,RYAN",1
04:14,"SUB IN by MAYBERRY,SEAN",,,,,,,"SUB IN by MAYBERRY,SEAN",1
04:14,"SUB IN by FISHER,ERIK",,,,,,,"SUB IN by FISHER,ERIK",1
04:14,"SUB IN by KIELY,JOE",,,,,,,"SUB IN by KIELY,JOE",1
04:14,"SUB IN by ROBERTS,CHRISTIAN",,,,,,,"SUB IN by ROBERTS,CHRISTIAN",1
04:14,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",1
04:14,"SUB OUT by VAN VUUREN,KELVIN",,,,,,,"SUB OUT by VAN VUUREN,KELVIN",1
04:14,"SUB OUT by BYRD,MICHAEL",,,,,,,"SUB OUT by BYRD,MICHAEL",1
04:14,"SUB OUT by JOHNSON,DEMETRE",,,,,,,"SUB OUT by JOHNSON,DEMETRE",1
04:14,"SUB OUT by DAY,CHRIS",,,,,,,"SUB OUT by DAY,CHRIS",1
04:14,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
04:14,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
04:14,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
04:14,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
04:14,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
04:14,,,,,"SUB OUT by PERGANDE,QUINN",,,"SUB OUT by PERGANDE,QUINN",1
04:14,,,,,"SUB OUT by MAYFIELD,DEE",,,"SUB OUT by MAYFIELD,DEE",1
04:14,,,,,"SUB OUT by SPRICK,PAUL",,,"SUB OUT by SPRICK,PAUL",1
04:14,,,,,"SUB OUT by JONES,BRETT",,,"SUB OUT by JONES,BRETT",1
04:14,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
03:55,"MISS LAYUP by FISHER,ERIK",,,,,,,"MISS LAYUP by FISHER,ERIK",1
--,"REBOUND OFF by FISHER,ERIK",,,,,,,"REBOUND OFF by FISHER,ERIK",1
03:52,"MISS LAYUP by FISHER,ERIK",,,,,,,"MISS LAYUP by FISHER,ERIK",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
03:48,"FOUL  by FISHER,ERIK",,,,,,,"FOUL  by FISHER,ERIK",1
03:31,"FOUL  by HILL,RYAN",,,,,,,"FOUL  by HILL,RYAN",1
03:31,,22,,27 (+5),"GOOD FT by SINE,TUCKER",CEN 22-27 (+5),,"GOOD FT by SINE,TUCKER",1
03:31,,22,,28 (+6),"GOOD FT by SINE,TUCKER",CEN 22-28 (+6),,"GOOD FT by SINE,TUCKER",1
03:20,"MISS JUMPER by MAYBERRY,SEAN",,,,,,,"MISS JUMPER by MAYBERRY,SEAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:20,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
03:01,"MISS LAYUP by KIELY,JOE",,,,,,,"MISS LAYUP by KIELY,JOE",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
02:50,,22,,30 (+8),"GOOD LAYUP by SINE,TUCKER(in the paint)",CEN 22-30 (+8),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
02:37,"MISS JUMPER by FISHER,ERIK",,,,,,,"MISS JUMPER by FISHER,ERIK",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
02:22,,22,,33 (+11),"GOOD 3PTR by SCINTA,BLAKE",CEN 22-33 (+11),,"GOOD 3PTR by SCINTA,BLAKE",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
02:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:03,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
02:03,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
01:53,"GOOD LAYUP by FISHER,ERIK(in the paint)",24,,33 (+9),,STE 24-33 (+9),,"GOOD LAYUP by FISHER,ERIK(in the paint)",1
01:31,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by KIELY,JOE",,,,,,,"REBOUND DEF by KIELY,JOE",1
01:14,"TURNOVER  by MAYBERRY,SEAN",,,,,,,"TURNOVER  by MAYBERRY,SEAN",1
01:13,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",1
01:02,"FOUL  by MAYBERRY,SEAN",,,,,,,"FOUL  by MAYBERRY,SEAN",1
01:02,,24,,34 (+10),"GOOD FT by BURNS,DREW",CEN 24-34 (+10),,"GOOD FT by BURNS,DREW",1
01:02,,,,,"MISS FT by BURNS,DREW",,,"MISS FT by BURNS,DREW",1
--,,,,,"REBOUND OFF by BURNS,DREW",,,"REBOUND OFF by BURNS,DREW",1
01:02,"SUB IN by DAVIS,JULIAN",,,,,,,"SUB IN by DAVIS,JULIAN",1
01:02,"SUB OUT by MAYBERRY,SEAN",,,,,,,"SUB OUT by MAYBERRY,SEAN",1
01:02,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
01:02,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
01:00,"FOUL  by ROBERTS,CHRISTIAN",,,,,,,"FOUL  by ROBERTS,CHRISTIAN",1
01:00,,,,,"MISS FT by SINE,TUCKER",,,"MISS FT by SINE,TUCKER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:00,,24,,35 (+11),"GOOD FT by SINE,TUCKER",CEN 24-35 (+11),,"GOOD FT by SINE,TUCKER",1
00:34,"TURNOVER  by HILL,RYAN",,,,,,,"TURNOVER  by HILL,RYAN",1
00:32,,,,,"STEAL  by EBERT,CARSON",,,"STEAL  by EBERT,CARSON",1
00:01,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,"SUB IN by DAVIS,JULIAN",,,,,,,"SUB IN by DAVIS,JULIAN",2
20:00,"SUB OUT by HILL,RYAN",,,,,,,"SUB OUT by HILL,RYAN",2
20:00,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
20:00,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
19:43,"MISS LAYUP by MAYBERRY,SEAN",,,,,,,"MISS LAYUP by MAYBERRY,SEAN",2
19:43,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
19:36,,24,,38 (+14),"GOOD 3PTR by GRIFFIN,JAROD",CEN 24-38 (+14),,"GOOD 3PTR by GRIFFIN,JAROD",2
19:20,"MISS JUMPER by FISHER,ERIK",,,,,,,"MISS JUMPER by FISHER,ERIK",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
19:20,,24,,41 (+17),"GOOD 3PTR by EBERT,CARSON",CEN 24-41 (+17),,"GOOD 3PTR by EBERT,CARSON",2
19:20,"MISS JUMPER by MAYBERRY,SEAN",,,,,,,"MISS JUMPER by MAYBERRY,SEAN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
17:59,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
17:49,"SUB IN by JOHNSON,DEMETRE",,,,,,,"SUB IN by JOHNSON,DEMETRE",2
17:49,"SUB OUT by MAYBERRY,SEAN",,,,,,,"SUB OUT by MAYBERRY,SEAN",2
17:42,"FOUL  by ROBERTS,CHRISTIAN",,,,,,,"FOUL  by ROBERTS,CHRISTIAN",2
17:42,,24,,42 (+18),"GOOD FT by SCINTA,BLAKE",CEN 24-42 (+18),,"GOOD FT by SCINTA,BLAKE",2
17:42,,24,,43 (+19),"GOOD FT by SCINTA,BLAKE",CEN 24-43 (+19),,"GOOD FT by SCINTA,BLAKE",2
17:23,"MISS LAYUP by ROBERTS,CHRISTIAN",,,,,,,"MISS LAYUP by ROBERTS,CHRISTIAN",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
17:21,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
17:19,"STEAL  by ROBERTS,CHRISTIAN",,,,,,,"STEAL  by ROBERTS,CHRISTIAN",2
17:18,"TURNOVER  by ROBERTS,CHRISTIAN",,,,,,,"TURNOVER  by ROBERTS,CHRISTIAN",2
17:17,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",2
16:58,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
16:52,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by DAVIS,JULIAN",,,,,,,"REBOUND DEF by DAVIS,JULIAN",2
16:46,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",2
