Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
11:57,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
11:57,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
11:45,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
11:43,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
11:43,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:43,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
11:43,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
11:43,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
11:43,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
11:43,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
11:43,,,,,"SUB OUT by JOHNSON,CALEB",,,"SUB OUT by JOHNSON,CALEB",1
11:43,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
11:43,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
11:43,,,,,"SUB OUT by MARDER,NICK",,,"SUB OUT by MARDER,NICK",1
11:43,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
11:42,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
11:42,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:42,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:42,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
11:42,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
11:42,,,,,"SUB IN by JOHNSON,CALEB",,,"SUB IN by JOHNSON,CALEB",1
11:42,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
11:42,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
11:42,,,,,"SUB IN by SCHERRMAN,BLAKE",,,"SUB IN by SCHERRMAN,BLAKE",1
11:42,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
11:33,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
11:18,,,,,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",1
11:15,"STEAL  by EBERT,CARSON",,,,,,,"STEAL  by EBERT,CARSON",1
11:13,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",15,,17 (+2),,CENTRE 15-17 (-2),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
--,"ASSIST  by EBERT,CARSON",,,,,,,"ASSIST  by EBERT,CARSON",1
11:05,,,,,"MISS LAYUP by KORN,LUKAS",,,"MISS LAYUP by KORN,LUKAS",1
--,,,,,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1
11:05,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
11:05,,15,,18 (+3),"GOOD FT by KORN,LUKAS",BCM 15-18 (-3),,"GOOD FT by KORN,LUKAS",1
11:05,,15,,19 (+4),"GOOD FT by KORN,LUKAS",BCM 15-19 (-4),,"GOOD FT by KORN,LUKAS",1
11:05,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
11:05,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
10:35,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
10:14,,,,,"MISS JUMPER by ELLINGSWORTH,COLEMAN",,,"MISS JUMPER by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND OFF by SCHERRMAN,BLAKE",,,"REBOUND OFF by SCHERRMAN,BLAKE",1
10:10,,15,,21 (+6),"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",BCM 15-21 (-6),,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",1
--,,,,,"ASSIST  by SCHERRMAN,BLAKE",,,"ASSIST  by SCHERRMAN,BLAKE",1
09:44,"MISS 3PTR by EBERT,CARSON",,,,,,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND DEF by KORN,LUKAS",,,"REBOUND DEF by KORN,LUKAS",1
09:23,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:19,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
09:19,"SUB IN by MAGUIRE,WILL",,,,,,,"SUB IN by MAGUIRE,WILL",1
09:19,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
09:19,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
09:19,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
09:19,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:19,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
09:19,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
09:19,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
09:19,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
09:19,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
09:19,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
09:14,,,,,"MISS JUMPER by KORN,LUKAS",,,"MISS JUMPER by KORN,LUKAS",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
09:04,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
09:03,,,,,"STEAL  by SCHERRMAN,BLAKE",,,"STEAL  by SCHERRMAN,BLAKE",1
08:41,,15,,23 (+8),"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 15-23 (-8),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
--,,,,,"ASSIST  by KORN,LUKAS",,,"ASSIST  by KORN,LUKAS",1
08:23,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
08:23,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
08:14,,,,,"FOUL  by KORN,LUKAS",,,"FOUL  by KORN,LUKAS",1
08:14,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",1
08:14,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
08:00,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",17,,23 (+6),,CENTRE 17-23 (-6),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
07:40,,17,,26 (+9),"GOOD 3PTR by JOHNSON,CALEB",BCM 17-26 (-9),,"GOOD 3PTR by JOHNSON,CALEB",1
--,,,,,"ASSIST  by ELLINGSWORTH,COLEMAN",,,"ASSIST  by ELLINGSWORTH,COLEMAN",1
07:28,"MISS 3PTR by MAGUIRE,WILL",,,,,,,"MISS 3PTR by MAGUIRE,WILL",1
--,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",,,"REBOUND DEF by SCHERRMAN,BLAKE",1
07:11,,17,,29 (+12),"GOOD 3PTR by SCHERRMAN,BLAKE",BCM 17-29 (-12),,"GOOD 3PTR by SCHERRMAN,BLAKE",1
--,,,,,"ASSIST  by ELLINGSWORTH,COLEMAN",,,"ASSIST  by ELLINGSWORTH,COLEMAN",1
06:54,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:54,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
06:54,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
06:29,,,,,"MISS LAYUP by MCCLOUD,ALTON",,,"MISS LAYUP by MCCLOUD,ALTON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:11,"GOOD 3PTR by SINE,TUCKER",20,,29 (+9),,CENTRE 20-29 (-9),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
05:51,,,,,"MISS 3PTR by SCHERRMAN,BLAKE",,,"MISS 3PTR by SCHERRMAN,BLAKE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
05:38,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
05:38,,,,,"BLOCK  by JOHNSON,CALEB",,,"BLOCK  by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
05:17,,20,,31 (+11),"GOOD JUMPER by SCHERRMAN,BLAKE",BCM 20-31 (-11),,"GOOD JUMPER by SCHERRMAN,BLAKE",1
05:05,"GOOD LAYUP by SINE,TUCKER(in the paint)",22,,31 (+9),,CENTRE 22-31 (-9),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
05:05,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",1
05:05,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
05:05,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
05:05,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
05:05,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
05:05,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
05:04,"GOOD FT by SINE,TUCKER",23,,31 (+8),,CENTRE 23-31 (-8),,"GOOD FT by SINE,TUCKER",1
05:04,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
04:44,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
04:22,"GOOD 3PTR by EBERT,CARSON",26,,31 (+5),,CENTRE 26-31 (-5),,"GOOD 3PTR by EBERT,CARSON",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
04:02,,,,,"MISS LAYUP by MARDER,NICK",,,"MISS LAYUP by MARDER,NICK",1
--,"REBOUND DEF by ARNETT,MICHAEL",,,,,,,"REBOUND DEF by ARNETT,MICHAEL",1
03:57,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
03:38,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",1
03:38,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:38,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
03:38,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
03:38,,,,,"SUB OUT by SCHERRMAN,BLAKE",,,"SUB OUT by SCHERRMAN,BLAKE",1
03:22,,26,,34 (+8),"GOOD 3PTR by JOHNSON,CALEB",BCM 26-34 (-8),,"GOOD 3PTR by JOHNSON,CALEB",1
--,,,,,"ASSIST  by ELLINGSWORTH,COLEMAN",,,"ASSIST  by ELLINGSWORTH,COLEMAN",1
03:00,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
02:38,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",1
02:38,,,,,"MISS FT by JOHNSON,CALEB",,,"MISS FT by JOHNSON,CALEB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:38,,26,,35 (+9),"GOOD FT by JOHNSON,CALEB",BCM 26-35 (-9),,"GOOD FT by JOHNSON,CALEB",1
02:38,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
02:38,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
02:16,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
02:15,,,,,"STEAL  by MCCLOUD,ALTON",,,"STEAL  by MCCLOUD,ALTON",1
01:57,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
01:39,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",28,,35 (+7),,CENTRE 28-35 (-7),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
01:20,,28,,38 (+10),"GOOD 3PTR by MCCLOUD,LEE",BCM 28-38 (-10),,"GOOD 3PTR by MCCLOUD,LEE",1
--,,,,,"ASSIST  by MCCLOUD,ALTON",,,"ASSIST  by MCCLOUD,ALTON",1
00:57,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
00:41,,28,,40 (+12),"GOOD LAYUP by JOHNSON,CALEB(in the paint)",BCM 28-40 (-12),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",1
00:20,,,,,"FOUL  by JOHNSON,CALEB",,,"FOUL  by JOHNSON,CALEB",1
00:20,"GOOD FT by SCINTA,BLAKE",29,,40 (+11),,CENTRE 29-40 (-11),,"GOOD FT by SCINTA,BLAKE",1
00:20,"GOOD FT by SCINTA,BLAKE",30,,40 (+10),,CENTRE 30-40 (-10),,"GOOD FT by SCINTA,BLAKE",1
00:20,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
00:20,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
00:05,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
00:00,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:42,,30,,43 (+13),"GOOD 3PTR by JOHNSON,CALEB",BCM 30-43 (-13),,"GOOD 3PTR by JOHNSON,CALEB",2
19:19,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
19:18,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",2
19:13,,30,,45 (+15),"GOOD LAYUP by MARDER,NICK(fastbreak)(in the paint)",BCM 30-45 (-15),,"GOOD LAYUP by MARDER,NICK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",2
18:44,"GOOD 3PTR by GRIFFIN,JAROD",33,,45 (+12),,CENTRE 33-45 (-12),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
18:24,,,,,"MISS LAYUP by JOHNSON,CALEB",,,"MISS LAYUP by JOHNSON,CALEB",2
18:24,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:16,"GOOD 3PTR by SINE,TUCKER(fastbreak)(in the paint)",36,,45 (+9),,CENTRE 36-45 (-9),,"GOOD 3PTR by SINE,TUCKER(fastbreak)(in the paint)",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
17:46,,,,,"MISS JUMPER by KORN,LUKAS",,,"MISS JUMPER by KORN,LUKAS",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
17:35,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:33,,,,,"STEAL  by KORN,LUKAS",,,"STEAL  by KORN,LUKAS",2
17:24,,36,,47 (+11),"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 36-47 (-11),,"GOOD LAYUP by KORN,LUKAS(in the paint)",2
