Time Remaining,HANOVER,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
19:40,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
19:25,"MISS LAYUP by MUCHMORE,COREY",,,,,,,"MISS LAYUP by MUCHMORE,COREY",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
19:04,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
18:58,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
18:57,"STEAL  by KLEUNEN,MICHAEL VAN",,,,,,,"STEAL  by KLEUNEN,MICHAEL VAN",1
18:50,"TURNOVER  by BUCK,LEVI",,,,,,,"TURNOVER  by BUCK,LEVI",1
18:49,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",1
18:46,,0,,2 (+2),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 0-2 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
18:19,"GOOD JUMPER by BILLUPS,VJ",2,,2,,HANOVER 2-2 (0),,"GOOD JUMPER by BILLUPS,VJ",1
17:53,,2,,5 (+3),"GOOD 3PTR by EBERT,CARSON",CENTRE 2-5 (+3),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
17:29,"GOOD 3PTR by BUCK,LEVI",5,,5,,HANOVER 5-5 (0),,"GOOD 3PTR by BUCK,LEVI",1
--,"ASSIST  by MCKINNEY,WES",,,,,,,"ASSIST  by MCKINNEY,WES",1
17:07,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by BILLUPS,VJ",,,,,,,"REBOUND DEF by BILLUPS,VJ",1
16:54,"GOOD JUMPER by KLEUNEN,MICHAEL VAN",7 (+2),,5,,HANOVER 7-5 (-2),,"GOOD JUMPER by KLEUNEN,MICHAEL VAN",1
16:24,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
16:24,"BLOCK  by MUCHMORE,COREY",,,,,,,"BLOCK  by MUCHMORE,COREY",1
--,"REBOUND DEF by KLEUNEN,MICHAEL VAN",,,,,,,"REBOUND DEF by KLEUNEN,MICHAEL VAN",1
