Time Remaining,EARLHAM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
15:56,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by BENE,COLE",,,,,,,"REBOUND DEF by BENE,COLE",1
15:41,"MISS 3PTR by ALEXANDER,TAYLEN",,,,,,,"MISS 3PTR by ALEXANDER,TAYLEN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
15:29,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by TOPALOVIC,ALEX",,,,,,,"REBOUND DEF by TOPALOVIC,ALEX",1
15:06,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",1
15:06,"GOOD FT by ALEXANDER,TAYLEN",9 (+8),,1,,EARLHAM 9-1 (-8),,"GOOD FT by ALEXANDER,TAYLEN",1
15:06,"MISS FT by ALEXANDER,TAYLEN",,,,,,,"MISS FT by ALEXANDER,TAYLEN",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
15:06,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:06,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
15:06,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
15:06,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
14:54,,,,,"TURNOVER  by GRUBER,SAM",,,"TURNOVER  by GRUBER,SAM",1
14:52,"STEAL  by BENE,COLE",,,,,,,"STEAL  by BENE,COLE",1
14:38,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
14:28,"FOUL  by WILSON-THOMAS,ELIJAH",,,,,,,"FOUL  by WILSON-THOMAS,ELIJAH",1
14:28,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
14:28,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
14:12,,9 (+5),,4,"GOOD 3PTR by SCHMUCKER,ZACH",CENTRE 9-4 (-5),,"GOOD 3PTR by SCHMUCKER,ZACH",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
13:54,"MISS JUMPER by HUNTER,KAMARI",,,,,,,"MISS JUMPER by HUNTER,KAMARI",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
13:47,,9 (+3),,6,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE 9-6 (-3),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
13:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
13:42,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
13:42,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:35,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
13:09,,9 (+1),,8,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE 9-8 (-1),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
12:52,"TURNOVER  by ALEXANDER,TAYLEN",,,,,,,"TURNOVER  by ALEXANDER,TAYLEN",1
12:52,"SUB IN by WARE,ISAIAH",,,,,,,"SUB IN by WARE,ISAIAH",1
12:52,"SUB OUT by WILSON-THOMAS,ELIJAH",,,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",1
12:34,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by TOPALOVIC,ALEX",,,,,,,"REBOUND DEF by TOPALOVIC,ALEX",1
12:17,"TURNOVER  by TOPALOVIC,ALEX",,,,,,,"TURNOVER  by TOPALOVIC,ALEX",1
12:02,"FOUL  by TOPALOVIC,ALEX",,,,,,,"FOUL  by TOPALOVIC,ALEX",1
12:02,"SUB IN by ZOLMAN,CHAINEY",,,,,,,"SUB IN by ZOLMAN,CHAINEY",1
12:02,"SUB OUT by TOPALOVIC,ALEX",,,,,,,"SUB OUT by TOPALOVIC,ALEX",1
12:01,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by WARE,ISAIAH",,,,,,,"REBOUND DEF by WARE,ISAIAH",1
11:51,"GOOD 3PTR by ALEXANDER,TAYLEN",12 (+4),,8,,EARLHAM 12-8 (-4),,"GOOD 3PTR by ALEXANDER,TAYLEN",1
--,"ASSIST  by ZOLMAN,CHAINEY",,,,,,,"ASSIST  by ZOLMAN,CHAINEY",1
11:36,,,,,"MISS JUMPER by EBERT,CARSON",,,"MISS JUMPER by EBERT,CARSON",1
--,"REBOUND DEF by ALEXANDER,TAYLEN",,,,,,,"REBOUND DEF by ALEXANDER,TAYLEN",1
11:25,"MISS LAYUP by ALEXANDER,TAYLEN",,,,,,,"MISS LAYUP by ALEXANDER,TAYLEN",1
11:25,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
11:17,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
11:17,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
11:17,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
11:17,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
11:17,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
11:17,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
11:05,,12 (+2),,10,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 12-10 (-2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
10:50,"MISS 3PTR by ALEXANDER,TAYLEN",,,,,,,"MISS 3PTR by ALEXANDER,TAYLEN",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
10:40,,12,,12,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 12-12 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
10:39,"SUB IN by SMITH,KYLE",,,,,,,"SUB IN by SMITH,KYLE",1
10:39,"SUB OUT by ALEXANDER,TAYLEN",,,,,,,"SUB OUT by ALEXANDER,TAYLEN",1
10:36,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:15,"GOOD 3PTR by ZOLMAN,CHAINEY",15 (+3),,12,,EARLHAM 15-12 (-3),,"GOOD 3PTR by ZOLMAN,CHAINEY",1
--,"ASSIST  by WARE,ISAIAH",,,,,,,"ASSIST  by WARE,ISAIAH",1
09:55,,15 (+1),,14,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 15-14 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
09:38,"GOOD JUMPER by BENE,COLE",17 (+3),,14,,EARLHAM 17-14 (-3),,"GOOD JUMPER by BENE,COLE",1
--,"ASSIST  by ZOLMAN,CHAINEY",,,,,,,"ASSIST  by ZOLMAN,CHAINEY",1
09:23,"FOUL  by BENE,COLE",,,,,,,"FOUL  by BENE,COLE",1
09:23,"SUB IN by KELLY,LAJAY",,,,,,,"SUB IN by KELLY,LAJAY",1
09:23,"SUB OUT by BENE,COLE",,,,,,,"SUB OUT by BENE,COLE",1
09:23,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
09:23,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
09:21,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by ZOLMAN,CHAINEY",,,,,,,"REBOUND DEF by ZOLMAN,CHAINEY",1
09:08,"MISS 3PTR by SMITH,KYLE",,,,,,,"MISS 3PTR by SMITH,KYLE",1
--,,,,,"REBOUND DEF by BURNS,DREW",,,"REBOUND DEF by BURNS,DREW",1
08:50,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by HUNTER,KAMARI",,,,,,,"REBOUND DEF by HUNTER,KAMARI",1
08:27,"TURNOVER  by WARE,ISAIAH",,,,,,,"TURNOVER  by WARE,ISAIAH",1
08:27,"SUB IN by ALEXANDER,TAYLEN",,,,,,,"SUB IN by ALEXANDER,TAYLEN",1
08:27,"SUB IN by WILSON-THOMAS,ELIJAH",,,,,,,"SUB IN by WILSON-THOMAS,ELIJAH",1
08:27,"SUB OUT by WARE,ISAIAH",,,,,,,"SUB OUT by WARE,ISAIAH",1
08:27,"SUB OUT by HUNTER,KAMARI",,,,,,,"SUB OUT by HUNTER,KAMARI",1
08:13,,17 (+1),,16,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 17-16 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
08:09,"FOUL  by KELLY,LAJAY",,,,,,,"FOUL  by KELLY,LAJAY",1
08:09,,17,,17,"GOOD FT by SCINTA,BLAKE",CENTRE 17-17 (0),,"GOOD FT by SCINTA,BLAKE",1
07:51,"MISS 3PTR by ALEXANDER,TAYLEN",,,,,,,"MISS 3PTR by ALEXANDER,TAYLEN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
07:21,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by SMITH,KYLE",,,,,,,"REBOUND DEF by SMITH,KYLE",1
06:59,"TURNOVER  by WILSON-THOMAS,ELIJAH",,,,,,,"TURNOVER  by WILSON-THOMAS,ELIJAH",1
06:59,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",1
06:59,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
06:45,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",1
--,"REBOUND DEF by ZOLMAN,CHAINEY",,,,,,,"REBOUND DEF by ZOLMAN,CHAINEY",1
06:35,"GOOD 3PTR by WILSON-THOMAS,ELIJAH",20 (+3),,17,,EARLHAM 20-17 (-3),,"GOOD 3PTR by WILSON-THOMAS,ELIJAH",1
--,"ASSIST  by ALEXANDER,TAYLEN",,,,,,,"ASSIST  by ALEXANDER,TAYLEN",1
06:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:32,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
06:32,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
06:21,,,,,"TURNOVER  by REPISHTI,BRYAN",,,"TURNOVER  by REPISHTI,BRYAN",1
06:20,"STEAL  by KELLY,LAJAY",,,,,,,"STEAL  by KELLY,LAJAY",1
06:15,,,,,"FOUL  by REPISHTI,BRYAN",,,"FOUL  by REPISHTI,BRYAN",1
06:15,"MISS FT by KELLY,LAJAY",,,,,,,"MISS FT by KELLY,LAJAY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:15,"MISS FT by KELLY,LAJAY",,,,,,,"MISS FT by KELLY,LAJAY",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
06:15,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
06:15,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
05:54,,20,,20,"GOOD 3PTR by MAGUIRE,WILL",CENTRE 20-20 (0),,"GOOD 3PTR by MAGUIRE,WILL",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
05:28,"GOOD 3PTR by SMITH,KYLE",23 (+3),,20,,EARLHAM 23-20 (-3),,"GOOD 3PTR by SMITH,KYLE",1
05:09,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
04:59,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by WILSON-THOMAS,ELIJAH",,,,,,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",1
04:43,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
--,"REBOUND OFF by KELLY,LAJAY",,,,,,,"REBOUND OFF by KELLY,LAJAY",1
04:39,"GOOD LAYUP by KELLY,LAJAY(in the paint)",25 (+5),,20,,EARLHAM 25-20 (-5),,"GOOD LAYUP by KELLY,LAJAY(in the paint)",1
04:12,,25 (+3),,22,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 25-22 (-3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
03:52,"MISS JUMPER by SMITH,KYLE",,,,,,,"MISS JUMPER by SMITH,KYLE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:49,"SUB IN by BENE,COLE",,,,,,,"SUB IN by BENE,COLE",1
03:49,"SUB IN by TOPALOVIC,ALEX",,,,,,,"SUB IN by TOPALOVIC,ALEX",1
03:49,"SUB IN by WARE,ISAIAH",,,,,,,"SUB IN by WARE,ISAIAH",1
03:49,"SUB IN by HUNTER,KAMARI",,,,,,,"SUB IN by HUNTER,KAMARI",1
03:49,"SUB OUT by KELLY,LAJAY",,,,,,,"SUB OUT by KELLY,LAJAY",1
03:49,"SUB OUT by ZOLMAN,CHAINEY",,,,,,,"SUB OUT by ZOLMAN,CHAINEY",1
03:49,"SUB OUT by WILSON-THOMAS,ELIJAH",,,,,,,"SUB OUT by WILSON-THOMAS,ELIJAH",1
03:49,"SUB OUT by SMITH,KYLE",,,,,,,"SUB OUT by SMITH,KYLE",1
03:49,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
03:49,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
03:34,,25 (+1),,24,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 25-24 (-1),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
03:18,"MISS JUMPER by TOPALOVIC,ALEX",,,,,,,"MISS JUMPER by TOPALOVIC,ALEX",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
03:04,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
03:03,"STEAL  by HUNTER,KAMARI",,,,,,,"STEAL  by HUNTER,KAMARI",1
03:01,"GOOD LAYUP by HUNTER,KAMARI(fastbreak)(in the paint)",27 (+3),,24,,EARLHAM 27-24 (-3),,"GOOD LAYUP by HUNTER,KAMARI(fastbreak)(in the paint)",1
02:40,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:40,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
02:40,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
02:29,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
02:27,"MISS JUMPER by TOPALOVIC,ALEX",,,,,,,"MISS JUMPER by TOPALOVIC,ALEX",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
02:19,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:16,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
02:01,"GOOD LAYUP by BENE,COLE(in the paint)",29 (+5),,24,,EARLHAM 29-24 (-5),,"GOOD LAYUP by BENE,COLE(in the paint)",1
--,"ASSIST  by ALEXANDER,TAYLEN",,,,,,,"ASSIST  by ALEXANDER,TAYLEN",1
01:43,,29 (+3),,26,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 29-26 (-3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
01:17,"GOOD JUMPER by BENE,COLE",31 (+5),,26,,EARLHAM 31-26 (-5),,"GOOD JUMPER by BENE,COLE",1
--,"ASSIST  by WARE,ISAIAH",,,,,,,"ASSIST  by WARE,ISAIAH",1
00:51,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",1
--,"REBOUND DEF by TOPALOVIC,ALEX",,,,,,,"REBOUND DEF by TOPALOVIC,ALEX",1
00:17,"TURNOVER  by ALEXANDER,TAYLEN",,,,,,,"TURNOVER  by ALEXANDER,TAYLEN",1
00:17,"SUB IN by ZOLMAN,CHAINEY",,,,,,,"SUB IN by ZOLMAN,CHAINEY",1
00:17,"SUB OUT by TOPALOVIC,ALEX",,,,,,,"SUB OUT by TOPALOVIC,ALEX",1
00:17,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
00:17,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",1
00:02,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
00:02,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
19:41,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by WILSON-THOMAS,ELIJAH",,,,,,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",2
19:10,"MISS 3PTR by TOPALOVIC,ALEX",,,,,,,"MISS 3PTR by TOPALOVIC,ALEX",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:56,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by ALEXANDER,TAYLEN",,,,,,,"REBOUND DEF by ALEXANDER,TAYLEN",2
18:45,"MISS 3PTR by ALEXANDER,TAYLEN",,,,,,,"MISS 3PTR by ALEXANDER,TAYLEN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:42,"FOUL  by WILSON-THOMAS,ELIJAH",,,,,,,"FOUL  by WILSON-THOMAS,ELIJAH",2
18:33,"FOUL  by TOPALOVIC,ALEX",,,,,,,"FOUL  by TOPALOVIC,ALEX",2
18:33,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:15,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
18:01,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND DEF by HUNTER,KAMARI",,,,,,,"REBOUND DEF by HUNTER,KAMARI",2
17:38,"SUB IN by ZOLMAN,CHAINEY",,,,,,,"SUB IN by ZOLMAN,CHAINEY",2
17:38,"SUB OUT by ALEXANDER,TAYLEN",,,,,,,"SUB OUT by ALEXANDER,TAYLEN",2
17:30,"GOOD JUMPER by WILSON-THOMAS,ELIJAH",33 (+7),,26,,EARLHAM 33-26 (-7),,"GOOD JUMPER by WILSON-THOMAS,ELIJAH",2
17:13,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
17:09,,33 (+5),,28,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 33-28 (-5),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
16:39,"GOOD 3PTR by ZOLMAN,CHAINEY",36 (+8),,28,,EARLHAM 36-28 (-8),,"GOOD 3PTR by ZOLMAN,CHAINEY",2
--,"ASSIST  by HUNTER,KAMARI",,,,,,,"ASSIST  by HUNTER,KAMARI",2
16:26,,36 (+6),,30,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 36-30 (-6),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
16:12,"TURNOVER  by WILSON-THOMAS,ELIJAH",,,,,,,"TURNOVER  by WILSON-THOMAS,ELIJAH",2
16:10,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",2
16:08,"FOUL  by ALEXANDER,TAYLEN",,,,,,,"FOUL  by ALEXANDER,TAYLEN",2
16:08,,36 (+5),,31,"GOOD FT by GUMP,MATT",CENTRE 36-31 (-5),,"GOOD FT by GUMP,MATT",2
16:08,,36 (+4),,32,"GOOD FT by GUMP,MATT",CENTRE 36-32 (-4),,"GOOD FT by GUMP,MATT",2
16:08,"SUB IN by KELLY,LAJAY",,,,,,,"SUB IN by KELLY,LAJAY",2
16:08,"SUB OUT by BENE,COLE",,,,,,,"SUB OUT by BENE,COLE",2
16:08,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
16:08,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",2
16:08,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
16:08,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",2
16:05,"MISS JUMPER by WILSON-THOMAS,ELIJAH",,,,,,,"MISS JUMPER by WILSON-THOMAS,ELIJAH",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
15:52,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by WILSON-THOMAS,ELIJAH",,,,,,,"REBOUND DEF by WILSON-THOMAS,ELIJAH",2
15:38,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
15:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:38,"FOUL  by KELLY,LAJAY",,,,,,,"FOUL  by KELLY,LAJAY",2
15:38,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
15:38,"BLOCK  by KELLY,LAJAY",,,,,,,"BLOCK  by KELLY,LAJAY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
15:38,"SUB IN by ALEXANDER,TAYLEN",,,,,,,"SUB IN by ALEXANDER,TAYLEN",2
