Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by BOWMAN,EMIER",,,,,,,"REBOUND OFF by BOWMAN,EMIER",1
12:49,"TURNOVER  by BOWMAN,EMIER",,,,,,,"TURNOVER  by BOWMAN,EMIER",1
12:49,"SUB IN by RICHITELLI,DANTE",,,,,,,"SUB IN by RICHITELLI,DANTE",1
12:49,"SUB OUT by HOPPA,DANTE",,,,,,,"SUB OUT by HOPPA,DANTE",1
12:49,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
12:49,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
12:37,,10,,12 (+2),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 10-12 (+2),,"GOOD 3PTR by GRIFFIN,JAROD",1
12:16,"MISS 3PTR by BOWMAN,EMIER",,,,,,,"MISS 3PTR by BOWMAN,EMIER",1
--,"REBOUND OFF by GARCIA,EMANUELLE",,,,,,,"REBOUND OFF by GARCIA,EMANUELLE",1
12:11,"GOOD JUMPER by GARCIA,EMANUELLE",12,,12,,MVCM 12-12 (0),,"GOOD JUMPER by GARCIA,EMANUELLE",1
11:41,,12,,14 (+2),"GOOD JUMPER by GRUBER,SAM",CENTRE 12-14 (+2),,"GOOD JUMPER by GRUBER,SAM",1
--,,,,,"ASSIST  by ARNETT,MICHAEL",,,"ASSIST  by ARNETT,MICHAEL",1
11:21,"GOOD LAYUP by BREWER,LOGAN(in the paint)",14,,14,,MVCM 14-14 (0),,"GOOD LAYUP by BREWER,LOGAN(in the paint)",1
--,"ASSIST  by BOWMAN,EMIER",,,,,,,"ASSIST  by BOWMAN,EMIER",1
11:21,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
11:21,"GOOD FT by BREWER,LOGAN",15 (+1),,14,,MVCM 15-14 (-1),,"GOOD FT by BREWER,LOGAN",1
11:21,"SUB IN by NOKES,COLT",,,,,,,"SUB IN by NOKES,COLT",1
11:21,"SUB IN by HOPPA,DANTE",,,,,,,"SUB IN by HOPPA,DANTE",1
11:21,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",1
11:21,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",1
11:21,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
11:21,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
11:21,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
11:21,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
11:12,"FOUL  by RICHITELLI,DANTE",,,,,,,"FOUL  by RICHITELLI,DANTE",1
11:08,,15,,17 (+2),"GOOD 3PTR by EBERT,CARSON",CENTRE 15-17 (+2),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
10:50,"MISS 3PTR by HOPPA,DANTE",,,,,,,"MISS 3PTR by HOPPA,DANTE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
10:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
10:27,"SUB IN by BOWYER,JAY",,,,,,,"SUB IN by BOWYER,JAY",1
10:27,"SUB OUT by GARCIA,EMANUELLE",,,,,,,"SUB OUT by GARCIA,EMANUELLE",1
10:20,"FOUL  by HOPPA,DANTE",,,,,,,"FOUL  by HOPPA,DANTE",1
10:20,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",1
10:20,"SUB OUT by HOPPA,DANTE",,,,,,,"SUB OUT by HOPPA,DANTE",1
10:13,,15,,19 (+4),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 15-19 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
10:13,"FOUL  by NOKES,COLT",,,,,,,"FOUL  by NOKES,COLT",1
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",1
10:13,,15,,20 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE 15-20 (+5),,"GOOD FT by SCINTA,BLAKE",1
09:53,"TURNOVER  by NOKES,COLT",,,,,,,"TURNOVER  by NOKES,COLT",1
09:34,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",1
09:24,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
09:13,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",1
09:06,"MISS 3PTR by RICHITELLI,DANTE",,,,,,,"MISS 3PTR by RICHITELLI,DANTE",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
08:42,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
08:42,"SUB IN by BREWER,LOGAN",,,,,,,"SUB IN by BREWER,LOGAN",1
08:42,"SUB IN by SPICER,TYLER",,,,,,,"SUB IN by SPICER,TYLER",1
08:42,"SUB IN by WINTON,WILL",,,,,,,"SUB IN by WINTON,WILL",1
08:42,"SUB OUT by NOKES,COLT",,,,,,,"SUB OUT by NOKES,COLT",1
08:42,"SUB OUT by BOWMAN,EMIER",,,,,,,"SUB OUT by BOWMAN,EMIER",1
08:42,"SUB OUT by RICHITELLI,DANTE",,,,,,,"SUB OUT by RICHITELLI,DANTE",1
08:42,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
08:42,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",1
08:42,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
08:42,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
08:42,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
08:42,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
08:26,"GOOD 3PTR by WINTON,WILL",18,,20 (+2),,MVCM 18-20 (+2),,"GOOD 3PTR by WINTON,WILL",1
--,"ASSIST  by BOWYER,JAY",,,,,,,"ASSIST  by BOWYER,JAY",1
08:06,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by BREWER,LOGAN",,,,,,,"REBOUND DEF by BREWER,LOGAN",1
07:33,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
07:33,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
07:33,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
07:33,,,,,"SUB IN by KIDWELL,BRENT",,,"SUB IN by KIDWELL,BRENT",1
07:33,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
07:33,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
07:33,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
07:03,,18,,22 (+4),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE 18-22 (+4),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by KIDWELL,BRENT",,,"ASSIST  by KIDWELL,BRENT",1
06:43,"GOOD LAYUP by SPICER,TYLER(in the paint)",20,,22 (+2),,MVCM 20-22 (+2),,"GOOD LAYUP by SPICER,TYLER(in the paint)",1
06:22,,20,,24 (+4),"GOOD JUMPER by SCINTA,BLAKE",CENTRE 20-24 (+4),,"GOOD JUMPER by SCINTA,BLAKE",1
--,,,,,"ASSIST  by KIDWELL,BRENT",,,"ASSIST  by KIDWELL,BRENT",1
06:05,"FOUL  by BREWER,LOGAN",,,,,,,"FOUL  by BREWER,LOGAN",1
06:05,"TURNOVER  by BREWER,LOGAN",,,,,,,"TURNOVER  by BREWER,LOGAN",1
06:05,"SUB IN by GARCIA,EMANUELLE",,,,,,,"SUB IN by GARCIA,EMANUELLE",1
06:05,"SUB OUT by BOWYER,JAY",,,,,,,"SUB OUT by BOWYER,JAY",1
05:41,,,,,"MISS 3PTR by MAGUIRE,WILL",,,"MISS 3PTR by MAGUIRE,WILL",1
--,"REBOUND DEF by SPICER,TYLER",,,,,,,"REBOUND DEF by SPICER,TYLER",1
05:30,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",1
05:30,"GOOD FT by SHOFFNER,SPENCER",21,,24 (+3),,MVCM 21-24 (+3),,"GOOD FT by SHOFFNER,SPENCER",1
05:30,"GOOD FT by SHOFFNER,SPENCER",22,,24 (+2),,MVCM 22-24 (+2),,"GOOD FT by SHOFFNER,SPENCER",1
05:30,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
05:30,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
05:30,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",1
05:30,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
05:18,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
05:12,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by SHOFFNER,SPENCER",,,,,,,"REBOUND DEF by SHOFFNER,SPENCER",1
05:01,,,,,"FOUL  by REPISHTI,BRYAN",,,"FOUL  by REPISHTI,BRYAN",1
05:01,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
05:01,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
04:58,"FOUL  by BREWER,LOGAN",,,,,,,"FOUL  by BREWER,LOGAN",1
04:58,"TURNOVER  by BREWER,LOGAN",,,,,,,"TURNOVER  by BREWER,LOGAN",1
04:58,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
04:58,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
04:38,"FOUL  by SHOFFNER,SPENCER",,,,,,,"FOUL  by SHOFFNER,SPENCER",1
04:38,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:38,,22,,25 (+3),"GOOD FT by WESLEY,TYLER",CENTRE 22-25 (+3),,"GOOD FT by WESLEY,TYLER",1
04:16,"TURNOVER  by SPICER,TYLER",,,,,,,"TURNOVER  by SPICER,TYLER",1
04:15,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
04:05,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND DEF by WINTON,WILL",,,,,,,"REBOUND DEF by WINTON,WILL",1
03:56,"MISS 3PTR by SHOFFNER,SPENCER",,,,,,,"MISS 3PTR by SHOFFNER,SPENCER",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
03:33,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by SPICER,TYLER",,,,,,,"REBOUND DEF by SPICER,TYLER",1
03:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:26,"SUB IN by NOKES,COLT",,,,,,,"SUB IN by NOKES,COLT",1
03:26,"SUB IN by RICHITELLI,DANTE",,,,,,,"SUB IN by RICHITELLI,DANTE",1
03:26,"SUB OUT by BREWER,LOGAN",,,,,,,"SUB OUT by BREWER,LOGAN",1
03:26,"SUB OUT by WINTON,WILL",,,,,,,"SUB OUT by WINTON,WILL",1
03:18,"GOOD 3PTR by GARCIA,EMANUELLE",25,,25,,MVCM 25-25 (0),,"GOOD 3PTR by GARCIA,EMANUELLE",1
--,"ASSIST  by RICHITELLI,DANTE",,,,,,,"ASSIST  by RICHITELLI,DANTE",1
02:49,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
02:49,"SUB IN by BOWYER,JAY",,,,,,,"SUB IN by BOWYER,JAY",1
02:49,"SUB OUT by GARCIA,EMANUELLE",,,,,,,"SUB OUT by GARCIA,EMANUELLE",1
02:49,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
02:49,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
02:49,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
02:49,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
02:37,"MISS JUMPER by NOKES,COLT",,,,,,,"MISS JUMPER by NOKES,COLT",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
02:29,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
02:28,"STEAL  by SHOFFNER,SPENCER",,,,,,,"STEAL  by SHOFFNER,SPENCER",1
02:07,"MISS 3PTR by BOWYER,JAY",,,,,,,"MISS 3PTR by BOWYER,JAY",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
01:57,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",1
01:56,"STEAL  by BOWYER,JAY",,,,,,,"STEAL  by BOWYER,JAY",1
01:48,"MISS 3PTR by RICHITELLI,DANTE",,,,,,,"MISS 3PTR by RICHITELLI,DANTE",1
--,,,,,"REBOUND DEF by EBERT,CARSON",,,"REBOUND DEF by EBERT,CARSON",1
01:19,,25,,28 (+3),"GOOD 3PTR by GUMP,MATT",CENTRE 25-28 (+3),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by GRUBER,SAM",,,"ASSIST  by GRUBER,SAM",1
00:56,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",1
00:56,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
00:56,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
00:53,"GOOD JUMPER by SPICER,TYLER",27,,28 (+1),,MVCM 27-28 (+1),,"GOOD JUMPER by SPICER,TYLER",1
--,"ASSIST  by BOWYER,JAY",,,,,,,"ASSIST  by BOWYER,JAY",1
00:23,"FOUL  by RICHITELLI,DANTE",,,,,,,"FOUL  by RICHITELLI,DANTE",1
00:23,,27,,29 (+2),"GOOD FT by GRIFFIN,JAROD",CENTRE 27-29 (+2),,"GOOD FT by GRIFFIN,JAROD",1
00:23,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",1
--,,,,,"REBOUND OFF by EBERT,CARSON",,,"REBOUND OFF by EBERT,CARSON",1
00:23,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
00:23,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
00:05,,27,,31 (+4),"GOOD DUNK by WESLEY,TYLER(in the paint)",CENTRE 27-31 (+4),,"GOOD DUNK by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
20:00,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
20:00,,,,,"SUB OUT by MAGUIRE,WILL",,,"SUB OUT by MAGUIRE,WILL",2
19:43,"GOOD LAYUP by NOKES,COLT(in the paint)",29,,31 (+2),,MVCM 29-31 (+2),,"GOOD LAYUP by NOKES,COLT(in the paint)",2
--,"ASSIST  by SHOFFNER,SPENCER",,,,,,,"ASSIST  by SHOFFNER,SPENCER",2
19:26,"FOUL  by SPICER,TYLER",,,,,,,"FOUL  by SPICER,TYLER",2
19:12,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",2
18:54,"MISS LAYUP by NOKES,COLT",,,,,,,"MISS LAYUP by NOKES,COLT",2
18:54,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
18:47,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",2
18:31,,,,,"FOUL  by REPISHTI,BRYAN",,,"FOUL  by REPISHTI,BRYAN",2
18:29,"GOOD LAYUP by SPICER,TYLER(in the paint)",31,,31,,MVCM 31-31 (0),,"GOOD LAYUP by SPICER,TYLER(in the paint)",2
--,"ASSIST  by BOWYER,JAY",,,,,,,"ASSIST  by BOWYER,JAY",2
18:07,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",2
18:02,"FOUL  by BOWYER,JAY",,,,,,,"FOUL  by BOWYER,JAY",2
18:00,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND DEF by SPICER,TYLER",,,,,,,"REBOUND DEF by SPICER,TYLER",2
17:58,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
17:35,"MISS LAYUP by BOWYER,JAY",,,,,,,"MISS LAYUP by BOWYER,JAY",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
17:10,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by BOWYER,JAY",,,,,,,"REBOUND DEF by BOWYER,JAY",2
16:59,"GOOD LAYUP by NOKES,COLT(in the paint)",33 (+2),,31,,MVCM 33-31 (-2),,"GOOD LAYUP by NOKES,COLT(in the paint)",2
--,"ASSIST  by HOPPA,DANTE",,,,,,,"ASSIST  by HOPPA,DANTE",2
16:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:46,"SUB IN by NOKES,COLT",,,,,,,"SUB IN by NOKES,COLT",2
16:46,"SUB IN by SPICER,TYLER",,,,,,,"SUB IN by SPICER,TYLER",2
16:46,"SUB IN by HOPPA,DANTE",,,,,,,"SUB IN by HOPPA,DANTE",2
16:46,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",2
16:46,"SUB IN by BOWYER,JAY",,,,,,,"SUB IN by BOWYER,JAY",2
16:46,"SUB OUT by NOKES,COLT",,,,,,,"SUB OUT by NOKES,COLT",2
16:46,"SUB OUT by SPICER,TYLER",,,,,,,"SUB OUT by SPICER,TYLER",2
16:46,"SUB OUT by HOPPA,DANTE",,,,,,,"SUB OUT by HOPPA,DANTE",2
16:46,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",2
16:46,"SUB OUT by BOWYER,JAY",,,,,,,"SUB OUT by BOWYER,JAY",2
16:46,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
16:46,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
16:46,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
16:46,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
16:34,,33,,34 (+1),"GOOD 3PTR by EBERT,CARSON",CENTRE 33-34 (+1),,"GOOD 3PTR by EBERT,CARSON",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
16:06,"GOOD JUMPER by SHOFFNER,SPENCER",35 (+1),,34,,MVCM 35-34 (-1),,"GOOD JUMPER by SHOFFNER,SPENCER",2
