Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
11:16,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
11:16,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:16,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
10:52,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
10:25,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:24,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
10:24,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
10:12,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
10:07,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
09:42,,10,,20 (+10),"GOOD 3PTR by TOME,MATT",SEWANEE 10-20 (-10),,"GOOD 3PTR by TOME,MATT",1
--,,,,,"ASSIST  by JONES,CODY",,,"ASSIST  by JONES,CODY",1
09:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:42,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
09:42,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
09:42,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
09:42,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
09:28,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",12,,20 (+8),,CENTRE 12-20 (-8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
08:54,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
08:43,"GOOD 3PTR by GRIFFIN,JAROD",15,,20 (+5),,CENTRE 15-20 (-5),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
08:27,,,,,"MISS LAYUP by MCCULLOUGH,JACOB",,,"MISS LAYUP by MCCULLOUGH,JACOB",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
08:13,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
08:13,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:48,,15,,22 (+7),"GOOD JUMPER by JONES,CODY",SEWANEE 15-22 (-7),,"GOOD JUMPER by JONES,CODY",1
07:25,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
07:23,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",1
07:03,,15,,24 (+9),"GOOD JUMPER by CARTER,KESHONN",SEWANEE 15-24 (-9),,"GOOD JUMPER by CARTER,KESHONN",1
06:45,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
06:30,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:18,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
06:18,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
06:18,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
06:18,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
06:18,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
06:18,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
06:18,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
05:55,,15,,26 (+11),"GOOD JUMPER by MCCULLOUGH,JACOB",SEWANEE 15-26 (-11),,"GOOD JUMPER by MCCULLOUGH,JACOB",1
05:43,"GOOD 3PTR by GRIFFIN,JAROD",18,,26 (+8),,CENTRE 18-26 (-8),,"GOOD 3PTR by GRIFFIN,JAROD",1
05:33,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
05:33,"SUB OUT by EBERT,CARSON",,,,,,,"SUB OUT by EBERT,CARSON",1
05:33,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
05:33,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
05:11,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:11,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
04:53,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
04:53,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
04:44,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
04:44,,18,,27 (+9),"GOOD FT by BROWN,SETH",SEWANEE 18-27 (-9),,"GOOD FT by BROWN,SETH",1
04:44,,,,,"MISS FT by BROWN,SETH",,,"MISS FT by BROWN,SETH",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
04:44,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
04:44,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
04:32,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
04:30,"GOOD DUNK by WESLEY,TYLER(in the paint)",20,,27 (+7),,CENTRE 20-27 (-7),,"GOOD DUNK by WESLEY,TYLER(in the paint)",1
04:15,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",1
04:11,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
04:11,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
03:54,,20,,29 (+9),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 20-29 (-9),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,,,,,"ASSIST  by JONES,CODY",,,"ASSIST  by JONES,CODY",1
03:36,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
03:36,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:36,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
03:30,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",22,,29 (+7),,CENTRE 22-29 (-7),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
03:11,,22,,31 (+9),"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 22-31 (-9),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
02:55,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
02:54,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",1
02:33,,,,,"MISS JUMPER by MCCULLOUGH,JACOB",,,"MISS JUMPER by MCCULLOUGH,JACOB",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
02:28,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
02:07,,,,,"MISS 3PTR by STONE,BRODY",,,"MISS 3PTR by STONE,BRODY",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
01:56,"GOOD 3PTR by SCINTA,BLAKE",25,,31 (+6),,CENTRE 25-31 (-6),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
01:34,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
01:14,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",27,,31 (+4),,CENTRE 27-31 (-4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
00:47,,27,,33 (+6),"GOOD LAYUP by STONE,BRODY(in the paint)",SEWANEE 27-33 (-6),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
00:47,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
00:47,,27,,34 (+7),"GOOD FT by STONE,BRODY",SEWANEE 27-34 (-7),,"GOOD FT by STONE,BRODY",1
00:47,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
00:47,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
00:47,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
00:47,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
00:30,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
00:30,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
00:30,"GOOD FT by SINE,TUCKER",28,,34 (+6),,CENTRE 28-34 (-6),,"GOOD FT by SINE,TUCKER",1
00:30,"GOOD FT by SINE,TUCKER",29,,34 (+5),,CENTRE 29-34 (-5),,"GOOD FT by SINE,TUCKER",1
00:30,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
00:30,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
00:30,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
00:30,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
00:30,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
00:30,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
00:06,"FOUL  by EBERT,CARSON",,,,,,,"FOUL  by EBERT,CARSON",1
00:02,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
00:02,,,,,"MISS FT by BORN,CLAY",,,"MISS FT by BORN,CLAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:02,,29,,35 (+6),"GOOD FT by BORN,CLAY",SEWANEE 29-35 (-6),,"GOOD FT by BORN,CLAY",1
00:02,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
00:02,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
00:02,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
00:02,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
19:36,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
19:15,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
18:46,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",2
18:43,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:36,,,,,"MISS JUMPER by JONES,CODY",,,"MISS JUMPER by JONES,CODY",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
18:32,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
18:32,,,,,"STEAL  by STONE,BRODY",,,"STEAL  by STONE,BRODY",2
18:32,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
18:32,,29,,36 (+7),"GOOD FT by STONE,BRODY",SEWANEE 29-36 (-7),,"GOOD FT by STONE,BRODY",2
18:32,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
18:21,"GOOD LAYUP by GUMP,MATT(in the paint)",31,,36 (+5),,CENTRE 31-36 (-5),,"GOOD LAYUP by GUMP,MATT(in the paint)",2
18:08,,,,,"MISS JUMPER by JONES,CODY",,,"MISS JUMPER by JONES,CODY",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
17:58,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",2
17:38,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
17:31,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",2
17:31,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:15,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
16:56,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
--,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",,,"REBOUND OFF by MCCULLOUGH,JACOB",2
16:42,,,,,"MISS 3PTR by STONE,BRODY",,,"MISS 3PTR by STONE,BRODY",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:21,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",2
16:02,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",2
15:57,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",2
15:57,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
15:57,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",2
15:57,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",2
15:57,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",2
15:57,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",2
15:54,,31,,38 (+7),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 31-38 (-7),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
15:34,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",2
15:01,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
14:50,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
14:49,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",2
14:45,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",2
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",2
14:18,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
13:56,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",2
13:38,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",2
13:38,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
13:38,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
13:38,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
