Time Remaining,CEN,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
19:46,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
19:17,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
19:16,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
19:03,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
18:49,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2 (+2),,0,,CEN 2-0 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
18:18,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:15,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
18:02,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",4 (+4),,0,,CEN 4-0 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
17:46,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",1
17:46,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
17:30,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
17:08,,4 (+2),,2,"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 4-2 (+2),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
16:41,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
16:41,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
16:41,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
16:41,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
16:41,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
16:40,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
16:29,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",1
16:29,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
16:29,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
16:29,"GOOD 3PTR by GRIFFIN,JAROD",7 (+5),,2,,CEN 7-2 (+5),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
15:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:39,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
15:39,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
15:39,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
15:39,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",1
15:39,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
15:39,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
15:39,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
15:39,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
15:39,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
15:39,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
15:39,,,,,"SUB IN by NYWADA,ANESU",,,"SUB IN by NYWADA,ANESU",1
15:39,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
15:13,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
14:45,"GOOD 3PTR by GRUBER,SAM",10 (+8),,2,,CEN 10-2 (+8),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
14:29,,10 (+6),,4,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHO 10-4 (+6),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",1
13:59,"GOOD LAYUP by WESLEY,TYLER(in the paint)",12 (+8),,4,,CEN 12-4 (+8),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
13:27,,12 (+6),,6,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 12-6 (+6),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
12:53,"MISS 3PTR by ARNETT,MICHAEL",,,,,,,"MISS 3PTR by ARNETT,MICHAEL",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
12:48,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",14 (+8),,6,,CEN 14-6 (+8),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
12:37,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
12:16,"GOOD 3PTR by GRIFFIN,JAROD",17 (+11),,6,,CEN 17-6 (+11),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by ARNETT,MICHAEL",,,,,,,"ASSIST  by ARNETT,MICHAEL",1
12:03,,,,,"MISS JUMPER by GALVIN,DANIEL",,,"MISS JUMPER by GALVIN,DANIEL",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
11:43,"GOOD 3PTR by EBERT,CARSON",20 (+14),,6,,CEN 20-6 (+14),,"GOOD 3PTR by EBERT,CARSON",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
11:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:38,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
11:38,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
11:38,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
11:38,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
11:38,"SUB IN by EBERT,CARSON",,,,,,,"SUB IN by EBERT,CARSON",1
11:38,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:38,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
11:38,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
11:38,"SUB OUT by JONES,BRETT",,,,,,,"SUB OUT by JONES,BRETT",1
11:38,"SUB OUT by MAGUIRE,WILL",,,,,,,"SUB OUT by MAGUIRE,WILL",1
11:38,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
11:38,,,,,"SUB IN by NYWADA,ANESU",,,"SUB IN by NYWADA,ANESU",1
11:38,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
11:38,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
11:38,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
11:38,,,,,"SUB OUT by MCINTYRE,WILL",,,"SUB OUT by MCINTYRE,WILL",1
11:38,,,,,"SUB OUT by CORNELISON,ZACH",,,"SUB OUT by CORNELISON,ZACH",1
11:38,,,,,"SUB OUT by SAMSON,VAUGHN",,,"SUB OUT by SAMSON,VAUGHN",1
11:38,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
11:38,,,,,"SUB OUT by NYWADA,ANESU",,,"SUB OUT by NYWADA,ANESU",1
