Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TASMBB,Game Score,Team Indicator,Play,Period
19:37,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
19:13,"GOOD 3PTR by SINE,TUCKER",3 (+3),,0,,CENTRE 3-0 (+3),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
18:55,,3 (+1),,2,"GOOD JUMPER by ATKINSON,QUINN",TASMBB 3-2 (+1),,"GOOD JUMPER by ATKINSON,QUINN",1
18:26,"GOOD LAYUP by WESLEY,TYLER(in the paint)",5 (+3),,2,,CENTRE 5-2 (+3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
18:12,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
18:10,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
17:49,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
17:26,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",1
17:26,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
17:26,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
17:26,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
17:26,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
17:15,"GOOD JUMPER by SCINTA,BLAKE",7 (+5),,2,,CENTRE 7-2 (+5),,"GOOD JUMPER by SCINTA,BLAKE",1
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",1
17:01,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
16:45,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
16:26,"GOOD JUMPER by SCINTA,BLAKE",9 (+7),,2,,CENTRE 9-2 (+7),,"GOOD JUMPER by SCINTA,BLAKE",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
