Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
14:48,"MISS JUMPER by STOCKWELL,JUNIOR",,,,,,,"MISS JUMPER by STOCKWELL,JUNIOR",1
14:48,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
14:40,,10 (+1),,9,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 10-9 (-1),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
14:37,"SUB IN by KING,DAMION",,,,,,,"SUB IN by KING,DAMION",1
14:37,"SUB OUT by HOWARD,COREY",,,,,,,"SUB OUT by HOWARD,COREY",1
14:37,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
14:37,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
14:37,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:37,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
14:16,"MISS LAYUP by KING,DAMION",,,,,,,"MISS LAYUP by KING,DAMION",1
14:16,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
13:53,,10,,12 (+2),"GOOD 3PTR by GRUBER,SAM",CENTRE 10-12 (+2),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by KIDWELL,BRENT",,,"ASSIST  by KIDWELL,BRENT",1
13:37,"MISS LAYUP by STOCKWELL,JUNIOR",,,,,,,"MISS LAYUP by STOCKWELL,JUNIOR",1
13:37,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND OFF by STOCKWELL,JUNIOR",,,,,,,"REBOUND OFF by STOCKWELL,JUNIOR",1
13:30,"MISS LAYUP by HORNE,BRANDON",,,,,,,"MISS LAYUP by HORNE,BRANDON",1
13:30,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND OFF by STOCKWELL,JUNIOR",,,,,,,"REBOUND OFF by STOCKWELL,JUNIOR",1
13:16,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",12,,12,,TMC 12-12 (0),,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",1
13:08,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:04,"SUB IN by HOWARD,COREY",,,,,,,"SUB IN by HOWARD,COREY",1
13:04,"SUB IN by YOUNG,AUSTIN",,,,,,,"SUB IN by YOUNG,AUSTIN",1
13:04,"SUB OUT by HORNE,BRANDON",,,,,,,"SUB OUT by HORNE,BRANDON",1
13:04,"SUB OUT by WILLIAMS,DANIEL",,,,,,,"SUB OUT by WILLIAMS,DANIEL",1
13:04,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
13:04,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
13:04,,,,,"SUB OUT by KIDWELL,BRENT",,,"SUB OUT by KIDWELL,BRENT",1
13:04,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
12:41,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",14 (+2),,12,,TMC 14-12 (-2),,"GOOD LAYUP by STOCKWELL,JUNIOR(in the paint)",1
--,"ASSIST  by PAULY,SAWYER",,,,,,,"ASSIST  by PAULY,SAWYER",1
12:21,,14,,15 (+1),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 14-15 (+1),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
12:02,"MISS JUMPER by KING,DAMION",,,,,,,"MISS JUMPER by KING,DAMION",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
11:50,,14,,18 (+4),"GOOD 3PTR by GRUBER,SAM",CENTRE 14-18 (+4),,"GOOD 3PTR by GRUBER,SAM",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
11:27,"TURNOVER  by STOCKWELL,JUNIOR",,,,,,,"TURNOVER  by STOCKWELL,JUNIOR",1
11:27,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
11:15,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
11:15,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
11:09,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
11:08,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
11:08,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
11:03,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by STOCKWELL,JUNIOR",,,,,,,"REBOUND DEF by STOCKWELL,JUNIOR",1
10:45,"MISS 3PTR by YOUNG,AUSTIN",,,,,,,"MISS 3PTR by YOUNG,AUSTIN",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
10:31,"FOUL  by HOWARD,COREY",,,,,,,"FOUL  by HOWARD,COREY",1
10:31,,14,,19 (+5),"GOOD FT by GRUBER,SAM",CENTRE 14-19 (+5),,"GOOD FT by GRUBER,SAM",1
10:31,,14,,20 (+6),"GOOD FT by GRUBER,SAM",CENTRE 14-20 (+6),,"GOOD FT by GRUBER,SAM",1
10:31,"SUB IN by CLIFFORD,SIMON",,,,,,,"SUB IN by CLIFFORD,SIMON",1
10:31,"SUB IN by GRIFFIN,MICHAEL",,,,,,,"SUB IN by GRIFFIN,MICHAEL",1
10:31,"SUB OUT by STOCKWELL,JUNIOR",,,,,,,"SUB OUT by STOCKWELL,JUNIOR",1
10:31,"SUB OUT by PAULY,SAWYER",,,,,,,"SUB OUT by PAULY,SAWYER",1
10:31,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
10:31,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
10:31,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
10:31,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
10:13,"GOOD JUMPER by CLIFFORD,SIMON(in the paint)",16,,20 (+4),,TMC 16-20 (+4),,"GOOD JUMPER by CLIFFORD,SIMON(in the paint)",1
--,"ASSIST  by KING,DAMION",,,,,,,"ASSIST  by KING,DAMION",1
10:04,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
10:04,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
10:00,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",1
09:51,"MISS 3PTR by YOUNG,AUSTIN",,,,,,,"MISS 3PTR by YOUNG,AUSTIN",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
09:32,,16,,22 (+6),"GOOD JUMPER by EBERT,CARSON",CENTRE 16-22 (+6),,"GOOD JUMPER by EBERT,CARSON",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
09:30,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
08:56,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
08:56,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
08:56,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
08:48,"GOOD JUMPER by CLIFFORD,SIMON",18,,22 (+4),,TMC 18-22 (+4),,"GOOD JUMPER by CLIFFORD,SIMON",1
--,"ASSIST  by GRIFFIN,MICHAEL",,,,,,,"ASSIST  by GRIFFIN,MICHAEL",1
08:44,"SUB IN by WILLIAMS,DANIEL",,,,,,,"SUB IN by WILLIAMS,DANIEL",1
08:44,"SUB IN by PAULY,SAWYER",,,,,,,"SUB IN by PAULY,SAWYER",1
08:44,"SUB OUT by HOWARD,COREY",,,,,,,"SUB OUT by HOWARD,COREY",1
08:44,"SUB OUT by YOUNG,AUSTIN",,,,,,,"SUB OUT by YOUNG,AUSTIN",1
08:34,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by GRIFFIN,MICHAEL",,,,,,,"REBOUND DEF by GRIFFIN,MICHAEL",1
08:30,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",1
08:20,"GOOD JUMPER by PAULY,SAWYER(in the paint)",20,,22 (+2),,TMC 20-22 (+2),,"GOOD JUMPER by PAULY,SAWYER(in the paint)",1
08:02,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
07:59,"STEAL  by CLIFFORD,SIMON",,,,,,,"STEAL  by CLIFFORD,SIMON",1
07:58,"GOOD LAYUP by KING,DAMION(fastbreak)(in the paint)",22,,22,,TMC 22-22 (0),,"GOOD LAYUP by KING,DAMION(fastbreak)(in the paint)",1
07:58,,,,,"FOUL  by EBERT,CARSON",,,"FOUL  by EBERT,CARSON",1
07:58,"GOOD FT by KING,DAMION",23 (+1),,22,,TMC 23-22 (-1),,"GOOD FT by KING,DAMION",1
07:58,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
07:58,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
07:58,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
07:58,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
07:58,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
07:58,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
07:30,,23,,25 (+2),"GOOD 3PTR by GUMP,MATT",CENTRE 23-25 (+2),,"GOOD 3PTR by GUMP,MATT",1
07:14,"MISS JUMPER by PAULY,SAWYER",,,,,,,"MISS JUMPER by PAULY,SAWYER",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
07:07,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
07:05,"STEAL  by PAULY,SAWYER",,,,,,,"STEAL  by PAULY,SAWYER",1
07:02,"MISS LAYUP by WILLIAMS,DANIEL",,,,,,,"MISS LAYUP by WILLIAMS,DANIEL",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
06:52,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
06:52,"SUB IN by HORNE,BRANDON",,,,,,,"SUB IN by HORNE,BRANDON",1
06:52,"SUB OUT by PAULY,SAWYER",,,,,,,"SUB OUT by PAULY,SAWYER",1
06:52,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
06:52,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
06:40,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
06:40,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
06:40,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
06:24,"MISS 3PTR by WILLIAMS,DANIEL",,,,,,,"MISS 3PTR by WILLIAMS,DANIEL",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
06:14,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
06:14,"STEAL  by CLIFFORD,SIMON",,,,,,,"STEAL  by CLIFFORD,SIMON",1
05:47,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
05:47,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
05:38,"MISS 3PTR by KING,DAMION",,,,,,,"MISS 3PTR by KING,DAMION",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
05:25,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by HORNE,BRANDON",,,,,,,"REBOUND DEF by HORNE,BRANDON",1
05:11,"GOOD JUMPER by HORNE,BRANDON(in the paint)",25,,25,,TMC 25-25 (0),,"GOOD JUMPER by HORNE,BRANDON(in the paint)",1
--,"ASSIST  by WILLIAMS,DANIEL",,,,,,,"ASSIST  by WILLIAMS,DANIEL",1
04:53,,25,,28 (+3),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 25-28 (+3),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by REPISHTI,BRYAN",,,"ASSIST  by REPISHTI,BRYAN",1
04:30,"MISS JUMPER by KING,DAMION",,,,,,,"MISS JUMPER by KING,DAMION",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
04:15,"FOUL  by WILLIAMS,DANIEL",,,,,,,"FOUL  by WILLIAMS,DANIEL",1
04:15,,25,,29 (+4),"GOOD FT by SCINTA,BLAKE",CENTRE 25-29 (+4),,"GOOD FT by SCINTA,BLAKE",1
04:15,,25,,30 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE 25-30 (+5),,"GOOD FT by SCINTA,BLAKE",1
04:15,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
04:15,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
04:15,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
04:15,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",1
03:58,"MISS JUMPER by HORNE,BRANDON",,,,,,,"MISS JUMPER by HORNE,BRANDON",1
03:58,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
03:44,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",1
--,"REBOUND DEF by WILLIAMS,DANIEL",,,,,,,"REBOUND DEF by WILLIAMS,DANIEL",1
03:36,"GOOD 3PTR by HORNE,BRANDON",28,,30 (+2),,TMC 28-30 (+2),,"GOOD 3PTR by HORNE,BRANDON",1
--,"ASSIST  by WILLIAMS,DANIEL",,,,,,,"ASSIST  by WILLIAMS,DANIEL",1
03:14,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND OFF by GUMP,MATT",,,"REBOUND OFF by GUMP,MATT",1
03:08,,28,,32 (+4),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE 28-32 (+4),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
02:51,"MISS JUMPER by CLIFFORD,SIMON",,,,,,,"MISS JUMPER by CLIFFORD,SIMON",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
02:46,"FOUL  by HORNE,BRANDON",,,,,,,"FOUL  by HORNE,BRANDON",1
02:46,,28,,33 (+5),"GOOD FT by GUMP,MATT",CENTRE 28-33 (+5),,"GOOD FT by GUMP,MATT",1
02:46,,28,,34 (+6),"GOOD FT by GUMP,MATT",CENTRE 28-34 (+6),,"GOOD FT by GUMP,MATT",1
02:46,"SUB IN by YOUNG,AUSTIN",,,,,,,"SUB IN by YOUNG,AUSTIN",1
02:46,"SUB IN by HOWARD,COREY",,,,,,,"SUB IN by HOWARD,COREY",1
02:46,"SUB IN by CALLAHAN,RYNE",,,,,,,"SUB IN by CALLAHAN,RYNE",1
02:46,"SUB OUT by GRIFFIN,MICHAEL",,,,,,,"SUB OUT by GRIFFIN,MICHAEL",1
02:46,"SUB OUT by KING,DAMION",,,,,,,"SUB OUT by KING,DAMION",1
02:46,"SUB OUT by HORNE,BRANDON",,,,,,,"SUB OUT by HORNE,BRANDON",1
02:19,"GOOD 3PTR by WILLIAMS,DANIEL",31,,34 (+3),,TMC 31-34 (+3),,"GOOD 3PTR by WILLIAMS,DANIEL",1
01:59,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
01:48,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
01:47,"FOUL  by YOUNG,AUSTIN",,,,,,,"FOUL  by YOUNG,AUSTIN",1
01:47,,31,,35 (+4),"GOOD FT by WESLEY,TYLER",CENTRE 31-35 (+4),,"GOOD FT by WESLEY,TYLER",1
01:47,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",1
01:47,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
01:47,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
01:47,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",1
01:47,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",1
01:32,"TURNOVER  by HOWARD,COREY",,,,,,,"TURNOVER  by HOWARD,COREY",1
01:17,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by HOWARD,COREY",,,,,,,"REBOUND DEF by HOWARD,COREY",1
01:10,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",33,,35 (+2),,TMC 33-35 (+2),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",1
--,"ASSIST  by HOWARD,COREY",,,,,,,"ASSIST  by HOWARD,COREY",1
00:42,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by YOUNG,AUSTIN",,,,,,,"REBOUND DEF by YOUNG,AUSTIN",1
00:35,"MISS LAYUP by HOWARD,COREY",,,,,,,"MISS LAYUP by HOWARD,COREY",1
--,"REBOUND OFF by CLIFFORD,SIMON",,,,,,,"REBOUND OFF by CLIFFORD,SIMON",1
00:33,,,,,"FOUL  by REPISHTI,BRYAN",,,"FOUL  by REPISHTI,BRYAN",1
00:33,"GOOD FT by CLIFFORD,SIMON",34,,35 (+1),,TMC 34-35 (+1),,"GOOD FT by CLIFFORD,SIMON",1
00:33,"MISS FT by CLIFFORD,SIMON",,,,,,,"MISS FT by CLIFFORD,SIMON",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
00:33,"SUB IN by STOCKWELL,JUNIOR",,,,,,,"SUB IN by STOCKWELL,JUNIOR",1
00:33,"SUB IN by KING,DAMION",,,,,,,"SUB IN by KING,DAMION",1
00:33,"SUB OUT by YOUNG,AUSTIN",,,,,,,"SUB OUT by YOUNG,AUSTIN",1
00:33,"SUB OUT by CALLAHAN,RYNE",,,,,,,"SUB OUT by CALLAHAN,RYNE",1
00:33,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
00:33,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
00:04,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",1
00:02,"TURNOVER  by CLIFFORD,SIMON",,,,,,,"TURNOVER  by CLIFFORD,SIMON",1
00:01,,34,,38 (+4),"GOOD 3PTR by SINE,TUCKER",CENTRE 34-38 (+4),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by REPISHTI,BRYAN",,,"ASSIST  by REPISHTI,BRYAN",1
20:00,"SUB IN by GRIFFIN,MICHAEL",,,,,,,"SUB IN by GRIFFIN,MICHAEL",2
20:00,"SUB OUT by PAULY,SAWYER",,,,,,,"SUB OUT by PAULY,SAWYER",2
19:41,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",36,,38 (+2),,TMC 36-38 (+2),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",2
--,"ASSIST  by HALL,JACOB",,,,,,,"ASSIST  by HALL,JACOB",2
19:10,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
19:07,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",2
19:05,"STEAL  by WILLIAMS,DANIEL",,,,,,,"STEAL  by WILLIAMS,DANIEL",2
19:03,"TURNOVER  by WILLIAMS,DANIEL",,,,,,,"TURNOVER  by WILLIAMS,DANIEL",2
19:01,,,,,"STEAL  by REPISHTI,BRYAN",,,"STEAL  by REPISHTI,BRYAN",2
18:50,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by CLIFFORD,SIMON",,,,,,,"REBOUND DEF by CLIFFORD,SIMON",2
18:20,"MISS LAYUP by CLIFFORD,SIMON",,,,,,,"MISS LAYUP by CLIFFORD,SIMON",2
18:20,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND OFF by CLIFFORD,SIMON",,,,,,,"REBOUND OFF by CLIFFORD,SIMON",2
18:15,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",38,,38,,TMC 38-38 (0),,"GOOD LAYUP by CLIFFORD,SIMON(in the paint)",2
18:00,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",2
17:58,"STEAL  by HORNE,BRANDON",,,,,,,"STEAL  by HORNE,BRANDON",2
17:54,"GOOD LAYUP by HORNE,BRANDON(in the paint)",40 (+2),,38,,TMC 40-38 (-2),,"GOOD LAYUP by HORNE,BRANDON(in the paint)",2
--,"ASSIST  by WILLIAMS,DANIEL",,,,,,,"ASSIST  by WILLIAMS,DANIEL",2
