Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by MCCLOUD,ALTON",,,,,,,"REBOUND OFF by MCCLOUD,ALTON",2
18:05,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",2
17:59,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
17:42,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",2
17:42,,25,,29 (+4),"GOOD FT by SCINTA,BLAKE",CENTRE 25-29 (+4),,"GOOD FT by SCINTA,BLAKE",2
17:42,,25,,30 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE 25-30 (+5),,"GOOD FT by SCINTA,BLAKE",2
17:42,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",2
17:42,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",2
17:30,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",2
17:30,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
17:22,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
17:18,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",2
16:56,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",2
16:56,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
16:56,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",2
16:49,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
16:46,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
16:46,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
16:46,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
16:24,"GOOD LAYUP by JACOBS,OWEN(in the paint)",27,,30 (+3),,BCM 27-30 (+3),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",2
15:57,"FOUL  by JACOBS,OWEN",,,,,,,"FOUL  by JACOBS,OWEN",2
15:57,,27,,31 (+4),"GOOD FT by SCINTA,BLAKE",CENTRE 27-31 (+4),,"GOOD FT by SCINTA,BLAKE",2
15:57,,27,,32 (+5),"GOOD FT by SCINTA,BLAKE",CENTRE 27-32 (+5),,"GOOD FT by SCINTA,BLAKE",2
15:47,"MISS JUMPER by JACOBS,OWEN",,,,,,,"MISS JUMPER by JACOBS,OWEN",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
15:40,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
15:40,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
15:40,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
15:40,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
15:29,,27,,34 (+7),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 27-34 (+7),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
15:09,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:07,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",2
15:07,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
15:07,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
15:07,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
14:54,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
14:54,"GOOD FT by SCHERRMAN,BLAKE",28,,34 (+6),,BCM 28-34 (+6),,"GOOD FT by SCHERRMAN,BLAKE",2
14:54,"GOOD FT by SCHERRMAN,BLAKE",29,,34 (+5),,BCM 29-34 (+5),,"GOOD FT by SCHERRMAN,BLAKE",2
14:54,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
14:54,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
14:32,,29,,36 (+7),"GOOD JUMPER by ARNETT,MICHAEL(in the paint)",CENTRE 29-36 (+7),,"GOOD JUMPER by ARNETT,MICHAEL(in the paint)",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
14:10,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",31,,36 (+5),,BCM 31-36 (+5),,"GOOD LAYUP by JOHNSON,CALEB(in the paint)",2
--,"ASSIST  by KORN,LUKAS",,,,,,,"ASSIST  by KORN,LUKAS",2
13:48,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
13:24,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",2
13:24,"FOUL  by JOHNSON,CALEB",,,,,,,"FOUL  by JOHNSON,CALEB",2
13:24,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
13:24,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
13:24,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
13:24,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
13:05,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
13:05,"BLOCK  by KORN,LUKAS",,,,,,,"BLOCK  by KORN,LUKAS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:02,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
13:01,"STEAL  by MCCLOUD,LEE",,,,,,,"STEAL  by MCCLOUD,LEE",2
12:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:35,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",33,,36 (+3),,BCM 33-36 (+3),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",2
12:08,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
12:08,"BLOCK  by JOHNSON,CALEB",,,,,,,"BLOCK  by JOHNSON,CALEB",2
--,,,,,"REBOUND OFF by GRUBER,SAM",,,"REBOUND OFF by GRUBER,SAM",2
12:02,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
12:02,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
12:02,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
11:46,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",2
11:45,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",2
11:40,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by SCHERRMAN,BLAKE",,,,,,,"REBOUND DEF by SCHERRMAN,BLAKE",2
11:23,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:20,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",2
11:20,"SUB OUT by JACOBS,OWEN",,,,,,,"SUB OUT by JACOBS,OWEN",2
11:20,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
11:20,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
11:13,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",2
11:13,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,"REBOUND DEF by MCCLOUD,LEE",,,,,,,"REBOUND DEF by MCCLOUD,LEE",2
10:58,"MISS JUMPER by JOHNSON,CALEB",,,,,,,"MISS JUMPER by JOHNSON,CALEB",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
10:39,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
10:33,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
10:13,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
10:13,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",2
10:04,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
09:47,,33,,39 (+6),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE 33-39 (+6),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
09:33,"MISS JUMPER by KORN,LUKAS",,,,,,,"MISS JUMPER by KORN,LUKAS",2
--,"REBOUND OFF by MCCLOUD,ALTON",,,,,,,"REBOUND OFF by MCCLOUD,ALTON",2
09:32,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
09:32,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",2
09:32,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",2
09:04,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
09:04,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
09:04,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
08:54,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
08:54,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
08:54,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
08:54,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
08:54,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
08:37,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",2
08:36,"STEAL  by MARDER,NICK",,,,,,,"STEAL  by MARDER,NICK",2
08:10,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",2
08:10,"SUB IN by MCCLOUD,LEE",,,,,,,"SUB IN by MCCLOUD,LEE",2
08:10,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",2
08:06,"FOUL  by JACOBS,OWEN",,,,,,,"FOUL  by JACOBS,OWEN",2
08:06,,33,,40 (+7),"GOOD FT by SCINTA,BLAKE",CENTRE 33-40 (+7),,"GOOD FT by SCINTA,BLAKE",2
08:06,,33,,41 (+8),"GOOD FT by SCINTA,BLAKE",CENTRE 33-41 (+8),,"GOOD FT by SCINTA,BLAKE",2
07:53,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
07:53,"GOOD FT by JACOBS,OWEN",34,,41 (+7),,BCM 34-41 (+7),,"GOOD FT by JACOBS,OWEN",2
07:53,"GOOD FT by JACOBS,OWEN",35,,41 (+6),,BCM 35-41 (+6),,"GOOD FT by JACOBS,OWEN",2
07:53,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
07:53,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
07:28,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
07:28,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
07:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
07:28,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
07:28,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
07:28,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
07:28,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
07:28,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
07:28,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
07:28,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
07:15,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
07:15,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:15,"GOOD FT by JACOBS,OWEN",36,,41 (+5),,BCM 36-41 (+5),,"GOOD FT by JACOBS,OWEN",2
06:44,,36,,44 (+8),"GOOD 3PTR by GUMP,MATT",CENTRE 36-44 (+8),,"GOOD 3PTR by GUMP,MATT",2
06:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:32,"TURNOVER  by SCHERRMAN,BLAKE",,,,,,,"TURNOVER  by SCHERRMAN,BLAKE",2
06:32,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
06:06,,,,,"TURNOVER  by EBERT,CARSON",,,"TURNOVER  by EBERT,CARSON",2
06:04,"STEAL  by SCHERRMAN,BLAKE",,,,,,,"STEAL  by SCHERRMAN,BLAKE",2
06:00,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",2
05:59,,,,,"STEAL  by SINE,TUCKER",,,"STEAL  by SINE,TUCKER",2
05:57,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
05:44,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
05:44,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:44,"GOOD FT by JACOBS,OWEN",37,,44 (+7),,BCM 37-44 (+7),,"GOOD FT by JACOBS,OWEN",2
05:44,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
05:44,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
05:44,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
05:44,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
05:44,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
05:42,"FOUL  by SCHERRMAN,BLAKE",,,,,,,"FOUL  by SCHERRMAN,BLAKE",2
05:42,,37,,45 (+8),"GOOD FT by EBERT,CARSON",CENTRE 37-45 (+8),,"GOOD FT by EBERT,CARSON",2
05:42,,,,,"MISS FT by EBERT,CARSON",,,"MISS FT by EBERT,CARSON",2
--,"REBOUND DEF by MCCLOUD,ALTON",,,,,,,"REBOUND DEF by MCCLOUD,ALTON",2
05:42,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
05:42,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
05:33,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
05:33,"GOOD FT by JOHNSON,CALEB",38,,45 (+7),,BCM 38-45 (+7),,"GOOD FT by JOHNSON,CALEB",2
05:33,"MISS FT by JOHNSON,CALEB",,,,,,,"MISS FT by JOHNSON,CALEB",2
--,"REBOUND OFF by MCCLOUD,ALTON",,,,,,,"REBOUND OFF by MCCLOUD,ALTON",2
05:33,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
05:33,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
05:25,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
05:25,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",2
05:24,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",2
05:24,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:16,,38,,47 (+9),"GOOD LAYUP by EBERT,CARSON(fastbreak)(in the paint)",CENTRE 38-47 (+9),,"GOOD LAYUP by EBERT,CARSON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
04:57,"GOOD 3PTR by JOHNSON,CALEB",41,,47 (+6),,BCM 41-47 (+6),,"GOOD 3PTR by JOHNSON,CALEB",2
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",2
04:42,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
04:25,"FOUL  by MCCLOUD,LEE",,,,,,,"FOUL  by MCCLOUD,LEE",2
04:25,,41,,48 (+7),"GOOD FT by GRIFFIN,JAROD",CENTRE 41-48 (+7),,"GOOD FT by GRIFFIN,JAROD",2
04:25,,41,,49 (+8),"GOOD FT by GRIFFIN,JAROD",CENTRE 41-49 (+8),,"GOOD FT by GRIFFIN,JAROD",2
04:25,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
04:25,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
04:25,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
04:07,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
04:00,,41,,51 (+10),"GOOD DUNK by WESLEY,TYLER(fastbreak)(in the paint)",CENTRE 41-51 (+10),,"GOOD DUNK by WESLEY,TYLER(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
03:48,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:38,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
03:38,"MISS FT by SCHERRMAN,BLAKE",,,,,,,"MISS FT by SCHERRMAN,BLAKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:38,"GOOD FT by SCHERRMAN,BLAKE",42,,51 (+9),,BCM 42-51 (+9),,"GOOD FT by SCHERRMAN,BLAKE",2
03:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:38,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
03:38,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
03:30,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
03:27,"STEAL  by SCHERRMAN,BLAKE",,,,,,,"STEAL  by SCHERRMAN,BLAKE",2
03:20,"GOOD LAYUP by JACOBS,OWEN(in the paint)",44,,51 (+7),,BCM 44-51 (+7),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,"ASSIST  by SCHERRMAN,BLAKE",,,,,,,"ASSIST  by SCHERRMAN,BLAKE",2
03:02,,44,,53 (+9),"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",CENTRE 44-53 (+9),,"GOOD LAYUP by GRIFFIN,JAROD(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
02:34,"TURNOVER  by JOHNSON,CALEB",,,,,,,"TURNOVER  by JOHNSON,CALEB",2
02:33,,,,,"STEAL  by GRUBER,SAM",,,"STEAL  by GRUBER,SAM",2
02:29,,,,,"MISS LAYUP by GRUBER,SAM",,,"MISS LAYUP by GRUBER,SAM",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
02:14,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
01:58,"MISS JUMPER by SCHERRMAN,BLAKE",,,,,,,"MISS JUMPER by SCHERRMAN,BLAKE",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
01:46,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",2
01:46,,44,,54 (+10),"GOOD FT by GRUBER,SAM",CENTRE 44-54 (+10),,"GOOD FT by GRUBER,SAM",2
01:46,,44,,55 (+11),"GOOD FT by GRUBER,SAM",CENTRE 44-55 (+11),,"GOOD FT by GRUBER,SAM",2
01:46,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
01:46,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
01:46,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
01:46,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
01:28,"GOOD JUMPER by JOHNSON,CALEB",46,,55 (+9),,BCM 46-55 (+9),,"GOOD JUMPER by JOHNSON,CALEB",2
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",2
01:28,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:13,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
01:10,"STEAL  by JOHNSON,CALEB",,,,,,,"STEAL  by JOHNSON,CALEB",2
00:59,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",2
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",2
00:52,,46,,57 (+11),"GOOD DUNK by WESLEY,TYLER(in the paint)",CENTRE 46-57 (+11),,"GOOD DUNK by WESLEY,TYLER(in the paint)",2
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",2
00:42,"FOUL TECH by SCHERRMAN,BLAKE",,,,,,,"FOUL TECH by SCHERRMAN,BLAKE",2
00:42,"FOUL  by SCHERRMAN,BLAKE",,,,,,,"FOUL  by SCHERRMAN,BLAKE",2
00:42,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",2
00:42,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",2
00:35,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",2
--,"REBOUND OFF by KORN,LUKAS",,,,,,,"REBOUND OFF by KORN,LUKAS",2
00:19,"GOOD LAYUP by KORN,LUKAS(in the paint)",48,,57 (+9),,BCM 48-57 (+9),,"GOOD LAYUP by KORN,LUKAS(in the paint)",2
00:00,,,,,"MISS JUMPER by EBERT,CARSON",,,"MISS JUMPER by EBERT,CARSON",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
