Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,WASHUM,Game Score,Team Indicator,Play,Period
19:37,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
19:36,,,,,"STEAL  by HOOKS,CLINTON",,,"STEAL  by HOOKS,CLINTON",1
19:21,,0,,3 (+3),"GOOD 3PTR by SILVERMAN-LLOYD,L",WASHUM 0-3 (-3),,"GOOD 3PTR by SILVERMAN-LLOYD,L",1
--,,,,,"ASSIST  by HIGHSMITH,MATT",,,"ASSIST  by HIGHSMITH,MATT",1
18:54,"GOOD 3PTR by SCINTA,BLAKE",3,,3,,CENTRE 3-3 (0),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
18:37,,3,,6 (+3),"GOOD 3PTR by HOOKS,CLINTON",WASHUM 3-6 (-3),,"GOOD 3PTR by HOOKS,CLINTON",1
--,,,,,"ASSIST  by KUCERA,KEVIN",,,"ASSIST  by KUCERA,KEVIN",1
18:08,,,,,"FOUL  by HOOKS,CLINTON",,,"FOUL  by HOOKS,CLINTON",1
18:08,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:08,"GOOD FT by GUMP,MATT",4,,6 (+2),,CENTRE 4-6 (-2),,"GOOD FT by GUMP,MATT",1
18:08,,,,,"MISS LAYUP by HOOKS,CLINTON",,,"MISS LAYUP by HOOKS,CLINTON",1
--,,,,,"REBOUND OFF by SANDERS,ANDREW",,,"REBOUND OFF by SANDERS,ANDREW",1
18:08,,,,,"MISS LAYUP by SANDERS,ANDREW",,,"MISS LAYUP by SANDERS,ANDREW",1
--,,,,,"REBOUND OFF by HIGHSMITH,MATT",,,"REBOUND OFF by HIGHSMITH,MATT",1
18:08,,,,,"MISS LAYUP by SANDERS,ANDREW",,,"MISS LAYUP by SANDERS,ANDREW",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
17:59,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",1
17:47,,,,,"MISS 3PTR by KUCERA,KEVIN",,,"MISS 3PTR by KUCERA,KEVIN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
17:39,"GOOD 3PTR by REPISHTI,BRYAN",7 (+1),,6,,CENTRE 7-6 (+1),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
17:24,,,,,"MISS 3PTR by SILVERMAN-LLOYD,L",,,"MISS 3PTR by SILVERMAN-LLOYD,L",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
16:26,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
16:25,,,,,"STEAL  by KUCERA,KEVIN",,,"STEAL  by KUCERA,KEVIN",1
16:08,,,,,"MISS JUMPER by SANDERS,ANDREW",,,"MISS JUMPER by SANDERS,ANDREW",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
15:49,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",9 (+3),,6,,CENTRE 9-6 (+3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
15:47,,,,,"FOUL  by SANDERS,ANDREW",,,"FOUL  by SANDERS,ANDREW",1
15:47,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by SANDERS,ANDREW",,,"REBOUND DEF by SANDERS,ANDREW",1
