Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
14:35,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",2
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",2
14:31,"MISS LAYUP by BUTTS,KEYSHAWN",,,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,"REBOUND OFF by GALVIN,DANIEL",,,,,,,"REBOUND OFF by GALVIN,DANIEL",2
14:28,"MISS JUMPER by GALVIN,DANIEL",,,,,,,"MISS JUMPER by GALVIN,DANIEL",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
14:27,"FOUL  by GALVIN,DANIEL",,,,,,,"FOUL  by GALVIN,DANIEL",2
14:27,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:27,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",2
14:27,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
14:27,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",2
14:27,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",2
14:27,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
14:27,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
14:02,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",2
14:02,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:02,,17,,37 (+20),"GOOD FT by GUMP,MATT",CEN 17-37 (+20),,"GOOD FT by GUMP,MATT",2
13:49,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
13:49,"GOOD FT by GEE,TYLER",18,,37 (+19),,RHO 18-37 (+19),,"GOOD FT by GEE,TYLER",2
13:49,"MISS FT by GEE,TYLER",,,,,,,"MISS FT by GEE,TYLER",2
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",2
13:49,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
13:49,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
13:49,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
13:49,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
13:33,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
13:33,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
13:33,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",2
13:33,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
13:33,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
13:03,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",2
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",2
12:55,,,,,"FOUL  by GRUBER,SAM",,,"FOUL  by GRUBER,SAM",2
12:55,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
12:49,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",2
12:42,,,,,"STEAL  by GRUBER,SAM",,,"STEAL  by GRUBER,SAM",2
12:38,,18,,39 (+21),"GOOD DUNK by SCINTA,BLAKE(in the paint)",CEN 18-39 (+21),,"GOOD DUNK by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
12:20,"GOOD 3PTR by SULLIVAN,BRENNAN",21,,39 (+18),,RHO 21-39 (+18),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",2
12:16,,21,,41 (+20),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CEN 21-41 (+20),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",2
12:16,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
12:16,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
12:16,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
12:09,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",2
12:09,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
12:09,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",2
12:09,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
12:09,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
12:09,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
12:09,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
12:09,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
12:02,"GOOD JUMPER by SULLIVAN,BRENNAN",23,,41 (+18),,RHO 23-41 (+18),,"GOOD JUMPER by SULLIVAN,BRENNAN",2
--,"ASSIST  by GALVIN,DANIEL",,,,,,,"ASSIST  by GALVIN,DANIEL",2
11:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:20,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",2
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",2
11:00,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
10:29,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",2
--,"REBOUND DEF by HARRISON,IAN",,,,,,,"REBOUND DEF by HARRISON,IAN",2
10:21,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",2
10:20,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",2
09:59,,,,,"MISS JUMPER by GUMP,MATT",,,"MISS JUMPER by GUMP,MATT",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
09:45,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:43,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",2
09:43,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",2
09:43,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",2
09:43,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",2
09:43,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
09:43,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",2
09:43,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
09:43,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
09:38,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:24,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
09:24,,,,,"SUB OUT by EBERT,CARSON",,,"SUB OUT by EBERT,CARSON",2
09:00,"MISS JUMPER by HARRISON,IAN",,,,,,,"MISS JUMPER by HARRISON,IAN",2
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",2
08:44,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by MCINTYRE,WILL",,,,,,,"REBOUND DEF by MCINTYRE,WILL",2
08:25,"MISS LAYUP by SULLIVAN,BRENNAN",,,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
08:12,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
08:12,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",2
08:12,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",2
08:12,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",2
08:12,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",2
08:12,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",2
08:12,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",2
08:12,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
08:12,,,,,"SUB OUT by REPISHTI,BRYAN",,,"SUB OUT by REPISHTI,BRYAN",2
08:12,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
08:02,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
08:02,,23,,42 (+19),"GOOD FT by GRIFFIN,JAROD",CEN 23-42 (+19),,"GOOD FT by GRIFFIN,JAROD",2
08:02,,,,,"MISS FT by GRIFFIN,JAROD",,,"MISS FT by GRIFFIN,JAROD",2
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",2
08:02,"SUB IN by NYWADA,ANESU",,,,,,,"SUB IN by NYWADA,ANESU",2
08:02,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",2
07:47,"MISS 3PTR by MCINTYRE,WILL",,,,,,,"MISS 3PTR by MCINTYRE,WILL",2
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",2
07:24,,23,,44 (+21),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CEN 23-44 (+21),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
07:07,"MISS 3PTR by LOWRIE,ANDREW",,,,,,,"MISS 3PTR by LOWRIE,ANDREW",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
06:50,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
06:50,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",2
06:50,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
06:42,,23,,46 (+23),"GOOD JUMPER by GUMP,MATT",CEN 23-46 (+23),,"GOOD JUMPER by GUMP,MATT",2
06:21,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",2
06:21,"GOOD 3PTR by MCINTYRE,WILL",26,,46 (+20),,RHO 26-46 (+20),,"GOOD 3PTR by MCINTYRE,WILL",2
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",2
05:53,"FOUL  by MCINTYRE,WILL",,,,,,,"FOUL  by MCINTYRE,WILL",2
05:53,,26,,47 (+21),"GOOD FT by SCINTA,BLAKE",CEN 26-47 (+21),,"GOOD FT by SCINTA,BLAKE",2
05:53,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",2
--,"REBOUND DEF by HARRISON,IAN",,,,,,,"REBOUND DEF by HARRISON,IAN",2
05:53,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",2
05:53,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",2
05:41,"MISS JUMPER by BUTTS,KEYSHAWN",,,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",2
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",2
05:35,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",2
05:35,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",2
05:10,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by LOWRIE,ANDREW",,,,,,,"REBOUND DEF by LOWRIE,ANDREW",2
04:46,"GOOD JUMPER by GEE,TYLER",28,,47 (+19),,RHO 28-47 (+19),,"GOOD JUMPER by GEE,TYLER",2
--,"ASSIST  by LOWRIE,ANDREW",,,,,,,"ASSIST  by LOWRIE,ANDREW",2
04:16,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",2
04:16,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:16,,28,,48 (+20),"GOOD FT by GUMP,MATT",CEN 28-48 (+20),,"GOOD FT by GUMP,MATT",2
04:16,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",2
04:16,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",2
04:16,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
04:16,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",2
04:16,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",2
04:16,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
04:02,"GOOD JUMPER by DARST,DANIEL",30,,48 (+18),,RHO 30-48 (+18),,"GOOD JUMPER by DARST,DANIEL",2
03:29,,30,,51 (+21),"GOOD 3PTR by GRUBER,SAM",CEN 30-51 (+21),,"GOOD 3PTR by GRUBER,SAM",2
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",2
03:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:13,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",2
03:13,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",2
02:45,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
02:29,,,,,"SUB IN by MAGUIRE,WILL",,,"SUB IN by MAGUIRE,WILL",2
02:29,,,,,"SUB IN by SPRICK,PAUL",,,"SUB IN by SPRICK,PAUL",2
02:29,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",2
02:29,,,,,"SUB IN by JONES,BRETT",,,"SUB IN by JONES,BRETT",2
02:29,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",2
02:29,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
02:29,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",2
02:29,,,,,"SUB OUT by GRUBER,SAM",,,"SUB OUT by GRUBER,SAM",2
02:29,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",2
02:15,"MISS JUMPER by BUTTS,KEYSHAWN",,,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",2
--,,,,,"REBOUND OFF by BURNS,DREW",,,"REBOUND OFF by BURNS,DREW",2
01:55,,30,,53 (+23),"GOOD JUMPER by BURNS,DREW(in the paint)",CEN 30-53 (+23),,"GOOD JUMPER by BURNS,DREW(in the paint)",2
01:52,,,,,"FOUL  by SPRICK,PAUL",,,"FOUL  by SPRICK,PAUL",2
01:52,"GOOD FT by HARRISON,IAN",31,,53 (+22),,RHO 31-53 (+22),,"GOOD FT by HARRISON,IAN",2
01:52,"MISS FT by HARRISON,IAN",,,,,,,"MISS FT by HARRISON,IAN",2
--,"REBOUND OFF by MCINTYRE,WILL",,,,,,,"REBOUND OFF by MCINTYRE,WILL",2
01:44,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",2
01:44,"MISS FT by HAYES,JAMES",,,,,,,"MISS FT by HAYES,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:44,"MISS FT by HAYES,JAMES",,,,,,,"MISS FT by HAYES,JAMES",2
--,,,,,"REBOUND DEF by MAGUIRE,WILL",,,"REBOUND DEF by MAGUIRE,WILL",2
01:44,"SUB IN by HAYES,JAMES",,,,,,,"SUB IN by HAYES,JAMES",2
01:44,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",2
01:17,,31,,55 (+24),"GOOD LAYUP by SPRICK,PAUL(in the paint)",CEN 31-55 (+24),,"GOOD LAYUP by SPRICK,PAUL(in the paint)",2
01:02,,,,,"FOUL  by MAGUIRE,WILL",,,"FOUL  by MAGUIRE,WILL",2
01:02,"GOOD FT by DARST,DANIEL",32,,55 (+23),,RHO 32-55 (+23),,"GOOD FT by DARST,DANIEL",2
01:02,"GOOD FT by DARST,DANIEL",33,,55 (+22),,RHO 33-55 (+22),,"GOOD FT by DARST,DANIEL",2
00:47,,,,,"MISS 3PTR by ARNETT,MICHAEL",,,"MISS 3PTR by ARNETT,MICHAEL",2
--,,,,,"REBOUND OFF by JONES,BRETT",,,"REBOUND OFF by JONES,BRETT",2
00:34,,,,,"TURNOVER  by MAGUIRE,WILL",,,"TURNOVER  by MAGUIRE,WILL",2
00:32,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",2
00:29,,,,,"FOUL  by MAGUIRE,WILL",,,"FOUL  by MAGUIRE,WILL",2
00:29,"MISS FT by DARST,DANIEL",,,,,,,"MISS FT by DARST,DANIEL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:13,"FOUL  by HAYES,JAMES",,,,,,,"FOUL  by HAYES,JAMES",2
00:13,,33,,56 (+23),"GOOD FT by SPRICK,PAUL",CEN 33-56 (+23),,"GOOD FT by SPRICK,PAUL",2
00:13,,,,,"MISS FT by SPRICK,PAUL",,,"MISS FT by SPRICK,PAUL",2
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",2
00:06,"MISS 3PTR by HAYES,JAMES",,,,,,,"MISS 3PTR by HAYES,JAMES",2
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",2
