Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CEN,Game Score,Team Indicator,Play,Period
12:38,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
12:38,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
12:38,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
12:38,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
12:38,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
12:38,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
12:38,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
12:38,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
12:38,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
12:38,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
12:33,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
12:33,,,,,"MISS LAYUP by REPISHTI,BRYAN",,,"MISS LAYUP by REPISHTI,BRYAN",1
--,"REBOUND DEF by MCINTYRE,WILL",,,,,,,"REBOUND DEF by MCINTYRE,WILL",1
12:33,"GOOD JUMPER by SULLIVAN,BRENNAN",11,,11,,RHO 11-11 (0),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
11:40,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by GRUBER,SAM",,,"REBOUND DEF by GRUBER,SAM",1
11:05,,,,,"MISS 3PTR by GRUBER,SAM",,,"MISS 3PTR by GRUBER,SAM",1
--,"REBOUND DEF by DANIELS,JORDAN",,,,,,,"REBOUND DEF by DANIELS,JORDAN",1
10:45,"MISS 3PTR by NYWADA,ANESU",,,,,,,"MISS 3PTR by NYWADA,ANESU",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
10:15,,11,,13 (+2),"GOOD JUMPER by SINE,TUCKER",CEN 11-13 (+2),,"GOOD JUMPER by SINE,TUCKER",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
09:45,"GOOD JUMPER by GEE,TYLER",13,,13,,RHO 13-13 (0),,"GOOD JUMPER by GEE,TYLER",1
--,"ASSIST  by DARST,DANIEL",,,,,,,"ASSIST  by DARST,DANIEL",1
09:35,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
09:35,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
09:11,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
09:00,,13,,16 (+3),"GOOD 3PTR by REPISHTI,BRYAN",CEN 13-16 (+3),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
08:48,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
08:28,,13,,18 (+5),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CEN 13-18 (+5),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
08:24,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
08:24,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
08:24,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
08:24,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
08:24,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
08:24,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",1
08:24,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
08:24,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
08:24,,,,,"SUB IN by EBERT,CARSON",,,"SUB IN by EBERT,CARSON",1
