Time Remaining,BEREA,Away Team Score,Play Team Indicator,Home Team Score,CENTRE,Game Score,Team Indicator,Play,Period
19:35,"TURNOVER  by GARMON,DOMINIQUE",,,,,,,"TURNOVER  by GARMON,DOMINIQUE",1
19:17,,0,,2 (+2),"GOOD JUMPER by SCINTA,BLAKE",CENTRE 0-2 (+2),,"GOOD JUMPER by SCINTA,BLAKE",1
19:07,"MISS JUMPER by HARRIS,ETHAN",,,,,,,"MISS JUMPER by HARRIS,ETHAN",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
19:07,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND DEF by MYRKS,ANTHONY",,,,,,,"REBOUND DEF by MYRKS,ANTHONY",1
18:45,"TURNOVER  by PARKER,RICHARD",,,,,,,"TURNOVER  by PARKER,RICHARD",1
18:44,,,,,"STEAL  by EBERT,CARSON",,,"STEAL  by EBERT,CARSON",1
18:29,,0,,4 (+4),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 0-4 (+4),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by REPISHTI,BRYAN",,,"ASSIST  by REPISHTI,BRYAN",1
18:19,"MISS 3PTR by PARKER,RICHARD",,,,,,,"MISS 3PTR by PARKER,RICHARD",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
17:25,"SUB IN by BROWN,BIZZLE",,,,,,,"SUB IN by BROWN,BIZZLE",1
17:25,"SUB OUT by HARRIS,ETHAN",,,,,,,"SUB OUT by HARRIS,ETHAN",1
17:23,,0,,6 (+6),"GOOD JUMPER by GUMP,MATT",CENTRE 0-6 (+6),,"GOOD JUMPER by GUMP,MATT",1
--,,,,,"ASSIST  by REPISHTI,BRYAN",,,"ASSIST  by REPISHTI,BRYAN",1
17:00,"MISS 3PTR by BROWN,BIZZLE",,,,,,,"MISS 3PTR by BROWN,BIZZLE",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
16:44,,0,,8 (+8),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE 0-8 (+8),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
16:31,"MISS 3PTR by PARKER,RICHARD",,,,,,,"MISS 3PTR by PARKER,RICHARD",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
16:11,,,,,"MISS 3PTR by EBERT,CARSON",,,"MISS 3PTR by EBERT,CARSON",1
--,"REBOUND DEF by HINTON,GABE",,,,,,,"REBOUND DEF by HINTON,GABE",1
15:57,"GOOD LAYUP by HINTON,GABE(in the paint)",2,,8 (+6),,BEREA 2-8 (+6),,"GOOD LAYUP by HINTON,GABE(in the paint)",1
--,"ASSIST  by PARKER,RICHARD",,,,,,,"ASSIST  by PARKER,RICHARD",1
15:43,,2,,10 (+8),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE 2-10 (+8),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by EBERT,CARSON",,,"ASSIST  by EBERT,CARSON",1
15:26,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",4,,10 (+6),,BEREA 4-10 (+6),,"GOOD LAYUP by GARMON,DOMINIQUE(in the paint)",1
15:10,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by HINTON,GABE",,,,,,,"REBOUND DEF by HINTON,GABE",1
15:03,"MISS LAYUP by MYRKS,ANTHONY",,,,,,,"MISS LAYUP by MYRKS,ANTHONY",1
15:03,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND OFF by MYRKS,ANTHONY",,,,,,,"REBOUND OFF by MYRKS,ANTHONY",1
14:52,"MISS LAYUP by MYRKS,ANTHONY",,,,,,,"MISS LAYUP by MYRKS,ANTHONY",1
14:52,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND OFF by MYRKS,ANTHONY",,,,,,,"REBOUND OFF by MYRKS,ANTHONY",1
14:48,"GOOD LAYUP by HINTON,GABE(in the paint)",6,,10 (+4),,BEREA 6-10 (+4),,"GOOD LAYUP by HINTON,GABE(in the paint)",1
14:43,,6,,13 (+7),"GOOD 3PTR by EBERT,CARSON",CENTRE 6-13 (+7),,"GOOD 3PTR by EBERT,CARSON",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
14:22,"MISS 3PTR by GARMON,DOMINIQUE",,,,,,,"MISS 3PTR by GARMON,DOMINIQUE",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
14:06,,,,,"MISS 3PTR by REPISHTI,BRYAN",,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND DEF by BROWN,BIZZLE",,,,,,,"REBOUND DEF by BROWN,BIZZLE",1
14:04,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
14:04,"SUB IN by HARRIS,ETHAN",,,,,,,"SUB IN by HARRIS,ETHAN",1
14:04,"SUB IN by SPRATLING,CHRIS",,,,,,,"SUB IN by SPRATLING,CHRIS",1
14:04,"SUB IN by JACKSON,JAIR",,,,,,,"SUB IN by JACKSON,JAIR",1
14:04,"SUB IN by BUTTS,STEPHEN",,,,,,,"SUB IN by BUTTS,STEPHEN",1
14:04,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",1
14:04,"SUB OUT by BROWN,BIZZLE",,,,,,,"SUB OUT by BROWN,BIZZLE",1
14:04,"SUB OUT by HINTON,GABE",,,,,,,"SUB OUT by HINTON,GABE",1
14:04,"SUB OUT by MYRKS,ANTHONY",,,,,,,"SUB OUT by MYRKS,ANTHONY",1
14:04,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
14:04,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
14:04,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
14:04,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
