Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:56,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
19:54,,,,,"STEAL  by COTTER,DOUGLAS",,,"STEAL  by COTTER,DOUGLAS",1
19:50,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
19:46,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",1
19:44,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
19:44,,,,,"MISS FT by MCCLOUD,LEE",,,"MISS FT by MCCLOUD,LEE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:44,,0,,1 (+1),"GOOD FT by MCCLOUD,LEE",BCM 0-1 (-1),,"GOOD FT by MCCLOUD,LEE",1
19:44,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",1
19:44,,,,,"STEAL  by SMOAK,HUNTER",,,"STEAL  by SMOAK,HUNTER",1
19:40,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:30,,,,,"FOUL  by COTTER,DOUGLAS",,,"FOUL  by COTTER,DOUGLAS",1
19:30,"GOOD FT by WESLEY,TYLER",1,,1,,CENTRE_M 1-1 (0),,"GOOD FT by WESLEY,TYLER",1
19:30,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",1
19:12,,,,,"MISS JUMPER by WHALEN,MAC",,,"MISS JUMPER by WHALEN,MAC",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
19:03,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",3 (+2),,1,,CENTRE_M 3-1 (+2),,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
18:55,,,,,"MISS LAYUP by WHALEN,MAC",,,"MISS LAYUP by WHALEN,MAC",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
18:32,"GOOD 3PTR by MURRAY,RYAN",6 (+5),,1,,CENTRE_M 6-1 (+5),,"GOOD 3PTR by MURRAY,RYAN",1
18:09,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",1
18:02,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",8 (+7),,1,,CENTRE_M 8-1 (+7),,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",1
--,"ASSIST  by MURRAY,RYAN",,,,,,,"ASSIST  by MURRAY,RYAN",1
18:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
18:01,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
18:01,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
17:57,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
17:57,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
17:50,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
17:50,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
17:50,,,,,"STEAL  by WHALEN,MAC",,,"STEAL  by WHALEN,MAC",1
17:50,,,,,"MISS LAYUP by WHALEN,MAC",,,"MISS LAYUP by WHALEN,MAC",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
17:49,"GOOD LAYUP by WESLEY,TYLER(fastbreak)(in the paint)",10 (+9),,1,,CENTRE_M 10-1 (+9),,"GOOD LAYUP by WESLEY,TYLER(fastbreak)(in the paint)",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
17:40,,,,,"MISS FT by MCCLOUD,LEE",,,"MISS FT by MCCLOUD,LEE",1
17:34,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
17:23,,,,,"TURNOVER  by MCCLOUD,LEE",,,"TURNOVER  by MCCLOUD,LEE",1
17:17,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",1
17:17,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",1
17:17,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",1
17:17,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
17:17,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",1
17:17,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
16:57,"GOOD 3PTR by KARSNER,JOSH",13 (+12),,1,,CENTRE_M 13-1 (+12),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",1
16:46,,13 (+9),,4,"GOOD 3PTR by LEWIS,AJ",BCM 13-4 (+9),,"GOOD 3PTR by LEWIS,AJ",1
16:42,"GOOD JUMPER by KARSNER,JOSH",15 (+11),,4,,CENTRE_M 15-4 (+11),,"GOOD JUMPER by KARSNER,JOSH",1
--,"ASSIST  by MURRAY,RYAN",,,,,,,"ASSIST  by MURRAY,RYAN",1
16:42,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",1
16:42,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
15:58,,,,,"MISS 3PTR by LEWIS,AJ",,,"MISS 3PTR by LEWIS,AJ",1
--,,,,,"REBOUND OFF by SMOAK,HUNTER",,,"REBOUND OFF by SMOAK,HUNTER",1
15:56,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",1
15:56,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
15:56,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
15:56,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
15:56,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
15:45,,15 (+9),,6,"GOOD LAYUP by PARK,BRANDON(in the paint)",BCM 15-6 (+9),,"GOOD LAYUP by PARK,BRANDON(in the paint)",1
15:22,"MISS LAYUP by KARSNER,JOSH",,,,,,,"MISS LAYUP by KARSNER,JOSH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:21,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
15:21,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
15:21,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
15:17,,,,,"MISS JUMPER by LEWIS,AJ",,,"MISS JUMPER by LEWIS,AJ",1
--,"REBOUND DEF by LOHR,MATT",,,,,,,"REBOUND DEF by LOHR,MATT",1
14:59,"GOOD 3PTR by LOHR,MATT",18 (+12),,6,,CENTRE_M 18-6 (+12),,"GOOD 3PTR by LOHR,MATT",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
14:42,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:39,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
14:39,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
14:39,,,,,"SUB IN by WEBBER,CONNOR",,,"SUB IN by WEBBER,CONNOR",1
14:39,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
14:24,,,,,"FOUL  by LEWIS,AJ",,,"FOUL  by LEWIS,AJ",1
14:24,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
14:24,,,,,"SUB OUT by LEWIS,AJ",,,"SUB OUT by LEWIS,AJ",1
14:03,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
14:02,,,,,"STEAL  by WEBBER,CONNOR",,,"STEAL  by WEBBER,CONNOR",1
13:55,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
13:55,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
13:55,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
13:46,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1
13:46,"GOOD FT by SCINTA,BLAKE",19 (+13),,6,,CENTRE_M 19-6 (+13),,"GOOD FT by SCINTA,BLAKE",1
13:46,"GOOD FT by SCINTA,BLAKE",20 (+14),,6,,CENTRE_M 20-6 (+14),,"GOOD FT by SCINTA,BLAKE",1
13:19,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
12:54,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",22 (+16),,6,,CENTRE_M 22-6 (+16),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
12:48,,,,,"MISS 3PTR by SMOAK,HUNTER",,,"MISS 3PTR by SMOAK,HUNTER",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
12:39,"TURNOVER  by GEEGAN,MIKE",,,,,,,"TURNOVER  by GEEGAN,MIKE",1
12:39,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
12:39,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
12:39,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
12:39,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",1
12:39,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
12:39,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",1
12:39,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
12:39,,,,,"SUB OUT by WEBBER,CONNOR",,,"SUB OUT by WEBBER,CONNOR",1
