Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
15:36,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
15:24,,,,,"FOUL  by FLORIN,MICHAEL",,,"FOUL  by FLORIN,MICHAEL",1
15:24,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:24,"GOOD FT by WESLEY,TYLER",9 (+2),,7,,CENTRE_M 9-7 (+2),,"GOOD FT by WESLEY,TYLER",1
15:24,"GOOD FT by WESLEY,TYLER",10 (+3),,7,,CENTRE_M 10-7 (+3),,"GOOD FT by WESLEY,TYLER",1
15:24,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",1
15:24,,,,,"SUB IN by TERRY,JONATHAN",,,"SUB IN by TERRY,JONATHAN",1
15:24,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
15:24,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
15:24,,,,,"SUB OUT by FOSTER,ALEX",,,"SUB OUT by FOSTER,ALEX",1
15:24,,,,,"SUB OUT by FLORIN,MICHAEL",,,"SUB OUT by FLORIN,MICHAEL",1
15:13,,10,,10,"GOOD 3PTR by MOORE,MCPHERSON",EUM 10-10 (0),,"GOOD 3PTR by MOORE,MCPHERSON",1
--,,,,,"ASSIST  by RAO,DAVIS",,,"ASSIST  by RAO,DAVIS",1
14:50,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by TERRY,JONATHAN",,,"REBOUND DEF by TERRY,JONATHAN",1
14:35,,,,,"MISS LAYUP by TERRY,JONATHAN",,,"MISS LAYUP by TERRY,JONATHAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
14:28,"GOOD 3PTR by WHITESIDE,DONOVAN(fastbreak)",13 (+3),,10,,CENTRE_M 13-10 (+3),,"GOOD 3PTR by WHITESIDE,DONOVAN(fastbreak)",1
14:14,,13,,13,"GOOD 3PTR by DAVIS,MAX",EUM 13-13 (0),,"GOOD 3PTR by DAVIS,MAX",1
--,,,,,"ASSIST  by RAO,DAVIS",,,"ASSIST  by RAO,DAVIS",1
13:43,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",1
13:37,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by DAVIS,MAX",,,"REBOUND DEF by DAVIS,MAX",1
13:26,,,,,"MISS 3PTR by DAGUE,AUSTIN",,,"MISS 3PTR by DAGUE,AUSTIN",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
12:52,"MISS LAYUP by STEGGEMAN,ANDREW",,,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
12:50,,,,,"FOUL  by MOORE,MCPHERSON",,,"FOUL  by MOORE,MCPHERSON",1
12:50,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:50,"GOOD FT by WESLEY,TYLER",14 (+1),,13,,CENTRE_M 14-13 (+1),,"GOOD FT by WESLEY,TYLER",1
12:50,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
12:50,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
12:50,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
12:50,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
12:50,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
12:50,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
12:50,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
12:50,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
12:50,,,,,"SUB IN by SCHATTIE,JOSH",,,"SUB IN by SCHATTIE,JOSH",1
12:50,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
12:50,,,,,"SUB IN by FOSTER,ALEX",,,"SUB IN by FOSTER,ALEX",1
12:50,,,,,"SUB IN by FLORIN,MICHAEL",,,"SUB IN by FLORIN,MICHAEL",1
12:50,,,,,"SUB OUT by DAGUE,AUSTIN",,,"SUB OUT by DAGUE,AUSTIN",1
12:50,,,,,"SUB OUT by DAVIS,MAX",,,"SUB OUT by DAVIS,MAX",1
12:50,,,,,"SUB OUT by TERRY,JONATHAN",,,"SUB OUT by TERRY,JONATHAN",1
12:50,,,,,"SUB OUT by MOORE,MCPHERSON",,,"SUB OUT by MOORE,MCPHERSON",1
12:36,,,,,"MISS JUMPER by SCHATTIE,JOSH",,,"MISS JUMPER by SCHATTIE,JOSH",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
12:22,,,,,"FOUL  by SCHATTIE,JOSH",,,"FOUL  by SCHATTIE,JOSH",1
12:22,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:22,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by FOSTER,ALEX",,,"REBOUND DEF by FOSTER,ALEX",1
12:22,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
12:22,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
12:01,,,,,"MISS 3PTR by FOSTER,ALEX",,,"MISS 3PTR by FOSTER,ALEX",1
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",1
11:34,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
11:32,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:12,"GOOD JUMPER by GEEGAN,MIKE",16 (+3),,13,,CENTRE_M 16-13 (+3),,"GOOD JUMPER by GEEGAN,MIKE",1
10:59,,,,,"MISS LAYUP by FLORIN,MICHAEL",,,"MISS LAYUP by FLORIN,MICHAEL",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
10:45,"GOOD 3PTR by KARSNER,JOSH",19 (+6),,13,,CENTRE_M 19-13 (+6),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
10:31,,19 (+3),,16,"GOOD 3PTR by FOSTER,ALEX",EUM 19-16 (+3),,"GOOD 3PTR by FOSTER,ALEX",1
--,,,,,"ASSIST  by TRAWICK,WILL",,,"ASSIST  by TRAWICK,WILL",1
10:01,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by RAO,DAVIS",,,"REBOUND DEF by RAO,DAVIS",1
09:54,,,,,"MISS LAYUP by TRAWICK,WILL",,,"MISS LAYUP by TRAWICK,WILL",1
--,,,,,"REBOUND OFF by SCHATTIE,JOSH",,,"REBOUND OFF by SCHATTIE,JOSH",1
09:49,,,,,"MISS 3PTR by FOSTER,ALEX",,,"MISS 3PTR by FOSTER,ALEX",1
--,,,,,"REBOUND OFF by TRAWICK,WILL",,,"REBOUND OFF by TRAWICK,WILL",1
09:45,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
09:45,,19 (+2),,17,"GOOD FT by TRAWICK,WILL",EUM 19-17 (+2),,"GOOD FT by TRAWICK,WILL",1
09:45,,19 (+1),,18,"GOOD FT by TRAWICK,WILL",EUM 19-18 (+1),,"GOOD FT by TRAWICK,WILL",1
09:45,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
09:45,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
09:45,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
09:45,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
09:45,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",1
09:45,,,,,"SUB IN by MOORE,MCPHERSON",,,"SUB IN by MOORE,MCPHERSON",1
09:45,,,,,"SUB OUT by RAO,DAVIS",,,"SUB OUT by RAO,DAVIS",1
09:45,,,,,"SUB OUT by FLORIN,MICHAEL",,,"SUB OUT by FLORIN,MICHAEL",1
09:27,,,,,"FOUL  by DAVIS,MAX",,,"FOUL  by DAVIS,MAX",1
09:25,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",1
09:25,,,,,"STEAL  by DAVIS,MAX",,,"STEAL  by DAVIS,MAX",1
09:22,,19,,20 (+1),"GOOD DUNK by SCHATTIE,JOSH(fastbreak)(in the paint)",EUM 19-20 (-1),,"GOOD DUNK by SCHATTIE,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DAVIS,MAX",,,"ASSIST  by DAVIS,MAX",1
08:53,,,,,"FOUL  by DAVIS,MAX",,,"FOUL  by DAVIS,MAX",1
08:53,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
08:53,,,,,"SUB IN by FLORIN,MICHAEL",,,"SUB IN by FLORIN,MICHAEL",1
08:53,,,,,"SUB OUT by DAVIS,MAX",,,"SUB OUT by DAVIS,MAX",1
08:42,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by MOORE,MCPHERSON",,,"REBOUND DEF by MOORE,MCPHERSON",1
08:18,,19,,22 (+3),"GOOD JUMPER by MOORE,MCPHERSON",EUM 19-22 (-3),,"GOOD JUMPER by MOORE,MCPHERSON",1
07:49,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",1
07:42,"GOOD 3PTR by KARSNER,JOSH",22,,22,,CENTRE_M 22-22 (0),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
07:19,,,,,"MISS JUMPER by FOSTER,ALEX",,,"MISS JUMPER by FOSTER,ALEX",1
--,,,,,"REBOUND OFF by FLORIN,MICHAEL",,,"REBOUND OFF by FLORIN,MICHAEL",1
07:07,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
07:07,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:07,,22,,23 (+1),"GOOD FT by FLORIN,MICHAEL",EUM 22-23 (-1),,"GOOD FT by FLORIN,MICHAEL",1
07:07,,22,,24 (+2),"GOOD FT by FLORIN,MICHAEL",EUM 22-24 (-2),,"GOOD FT by FLORIN,MICHAEL",1
07:07,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
07:07,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
07:07,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
07:07,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
07:07,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
07:07,,,,,"SUB IN by DAGUE,AUSTIN",,,"SUB IN by DAGUE,AUSTIN",1
07:07,,,,,"SUB IN by TERRY,JONATHAN",,,"SUB IN by TERRY,JONATHAN",1
07:07,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
07:07,,,,,"SUB OUT by SCHATTIE,JOSH",,,"SUB OUT by SCHATTIE,JOSH",1
07:07,,,,,"SUB OUT by TRAWICK,WILL",,,"SUB OUT by TRAWICK,WILL",1
07:07,,,,,"SUB OUT by FOSTER,ALEX",,,"SUB OUT by FOSTER,ALEX",1
06:45,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",1
06:34,,,,,"MISS 3PTR by MOORE,MCPHERSON",,,"MISS 3PTR by MOORE,MCPHERSON",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:21,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
06:07,,22,,26 (+4),"GOOD LAYUP by RAO,DAVIS(in the paint)",EUM 22-26 (-4),,"GOOD LAYUP by RAO,DAVIS(in the paint)",1
05:56,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by RAO,DAVIS",,,"REBOUND DEF by RAO,DAVIS",1
05:40,,,,,"MISS 3PTR by FLORIN,MICHAEL",,,"MISS 3PTR by FLORIN,MICHAEL",1
--,,,,,"REBOUND OFF by RAO,DAVIS",,,"REBOUND OFF by RAO,DAVIS",1
05:33,,,,,"MISS 3PTR by TERRY,JONATHAN",,,"MISS 3PTR by TERRY,JONATHAN",1
--,,,,,"REBOUND OFF by MOORE,MCPHERSON",,,"REBOUND OFF by MOORE,MCPHERSON",1
05:27,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:20,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
05:20,,22,,27 (+5),"GOOD FT by DAGUE,AUSTIN",EUM 22-27 (-5),,"GOOD FT by DAGUE,AUSTIN",1
05:20,,,,,"MISS FT by DAGUE,AUSTIN",,,"MISS FT by DAGUE,AUSTIN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
05:20,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
05:20,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
05:20,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
05:20,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
04:48,"GOOD 3PTR by KARSNER,JOSH",25,,27 (+2),,CENTRE_M 25-27 (-2),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
04:38,,25,,29 (+4),"GOOD LAYUP by MOORE,MCPHERSON(fastbreak)(in the paint)",EUM 25-29 (-4),,"GOOD LAYUP by MOORE,MCPHERSON(fastbreak)(in the paint)",1
04:19,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by MOORE,MCPHERSON",,,"REBOUND DEF by MOORE,MCPHERSON",1
04:11,,,,,"MISS JUMPER by FLORIN,MICHAEL",,,"MISS JUMPER by FLORIN,MICHAEL",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
04:02,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",1
03:46,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by DAGUE,AUSTIN",,,"REBOUND DEF by DAGUE,AUSTIN",1
03:25,,25,,31 (+6),"GOOD JUMPER by MOORE,MCPHERSON",EUM 25-31 (-6),,"GOOD JUMPER by MOORE,MCPHERSON",1
03:02,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
02:57,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
02:56,,,,,"STEAL  by MOORE,MCPHERSON",,,"STEAL  by MOORE,MCPHERSON",1
02:52,,,,,"MISS LAYUP by FLORIN,MICHAEL",,,"MISS LAYUP by FLORIN,MICHAEL",1
--,,,,,"REBOUND OFF by TERRY,JONATHAN",,,"REBOUND OFF by TERRY,JONATHAN",1
02:48,,,,,"MISS 3PTR by RAO,DAVIS",,,"MISS 3PTR by RAO,DAVIS",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
02:14,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
02:04,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",27,,31 (+4),,CENTRE_M 27-31 (-4),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",1
01:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:50,,,,,"SUB IN by SCHATTIE,JOSH",,,"SUB IN by SCHATTIE,JOSH",1
01:50,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
01:50,,,,,"SUB IN by FOSTER,ALEX",,,"SUB IN by FOSTER,ALEX",1
01:50,,,,,"SUB OUT by DAGUE,AUSTIN",,,"SUB OUT by DAGUE,AUSTIN",1
01:50,,,,,"SUB OUT by TERRY,JONATHAN",,,"SUB OUT by TERRY,JONATHAN",1
01:50,,,,,"SUB OUT by MOORE,MCPHERSON",,,"SUB OUT by MOORE,MCPHERSON",1
01:39,,,,,"MISS LAYUP by FOSTER,ALEX",,,"MISS LAYUP by FOSTER,ALEX",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
01:07,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
01:03,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by FOSTER,ALEX",,,"REBOUND DEF by FOSTER,ALEX",1
00:49,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
00:49,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
00:46,,27,,33 (+6),"GOOD LAYUP by FLORIN,MICHAEL(in the paint)",EUM 27-33 (-6),,"GOOD LAYUP by FLORIN,MICHAEL(in the paint)",1
00:06,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
19:46,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by FOSTER,ALEX",,,"REBOUND DEF by FOSTER,ALEX",2
19:32,,,,,"TURNOVER  by TRAWICK,WILL",,,"TURNOVER  by TRAWICK,WILL",2
19:31,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
19:23,,,,,"FOUL  by FOSTER,ALEX",,,"FOUL  by FOSTER,ALEX",2
19:05,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by SCHATTIE,JOSH",,,"REBOUND DEF by SCHATTIE,JOSH",2
18:59,,,,,"MISS LAYUP by FLORIN,MICHAEL",,,"MISS LAYUP by FLORIN,MICHAEL",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:55,,,,,"MISS 3PTR by FOSTER,ALEX",,,"MISS 3PTR by FOSTER,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:55,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
18:43,,,,,"MISS JUMPER by SCHATTIE,JOSH",,,"MISS JUMPER by SCHATTIE,JOSH",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
18:38,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
18:37,,,,,"STEAL  by TRAWICK,WILL",,,"STEAL  by TRAWICK,WILL",2
18:14,,27,,35 (+8),"GOOD LAYUP by FLORIN,MICHAEL(in the paint)",EUM 27-35 (-8),,"GOOD LAYUP by FLORIN,MICHAEL(in the paint)",2
17:57,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
17:55,,,,,"STEAL  by FOSTER,ALEX",,,"STEAL  by FOSTER,ALEX",2
17:53,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
17:53,,,,,"MISS FT by FOSTER,ALEX",,,"MISS FT by FOSTER,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:53,,27,,36 (+9),"GOOD FT by FOSTER,ALEX",EUM 27-36 (-9),,"GOOD FT by FOSTER,ALEX",2
17:53,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
17:53,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
17:53,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
17:53,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
17:43,"GOOD LAYUP by WHITESIDE,DONOVAN(fastbreak)(in the paint)",29,,36 (+7),,CENTRE_M 29-36 (-7),,"GOOD LAYUP by WHITESIDE,DONOVAN(fastbreak)(in the paint)",2
