Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
15:41,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",1
15:28,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
15:04,"GOOD JUMPER by KARSNER,JOSH",9 (+5),,4,,CENTREM 9-4 (+5),,"GOOD JUMPER by KARSNER,JOSH",1
15:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:01,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
15:01,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
15:01,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
15:01,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
15:01,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
15:01,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
14:36,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
14:32,,9 (+3),,6,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 9-6 (+3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by FREBIS,RONNIE",,,"ASSIST  by FREBIS,RONNIE",1
14:32,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
14:32,,9 (+2),,7,"GOOD FT by GILLIGAN,TULLY",MILLSAPS 9-7 (+2),,"GOOD FT by GILLIGAN,TULLY",1
14:32,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
14:32,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
14:32,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:32,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
14:10,"GOOD 3PTR by KARSNER,JOSH",12 (+5),,7,,CENTREM 12-7 (+5),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
13:43,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
13:37,"GOOD 3PTR by GEEGAN,MIKE",15 (+8),,7,,CENTREM 15-7 (+8),,"GOOD 3PTR by GEEGAN,MIKE",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
13:22,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",1
13:22,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:22,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
13:22,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
13:22,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
13:22,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
13:22,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
13:22,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
13:01,,,,,"MISS JUMPER by AUBERT,DUSTIN",,,"MISS JUMPER by AUBERT,DUSTIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:27,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
12:16,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
12:16,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
12:16,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
