Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,OTT,Game Score,Team Indicator,Play,Period
19:32,,,,,"FOUL  by JUERGENS,JON",,,"FOUL  by JUERGENS,JON",1
19:32,"GOOD FT by WESLEY,TYLER",1 (+1),,0,,CENTRE 1-0 (+1),,"GOOD FT by WESLEY,TYLER",1
19:32,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND OFF by TAYLOR,CHRIS",,,,,,,"REBOUND OFF by TAYLOR,CHRIS",1
19:20,"GOOD JUMPER by WESLEY,TYLER(in the paint)",3 (+3),,0,,CENTRE 3-0 (+3),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",1
18:46,,,,,"TURNOVER  by DAVIS,JASON",,,"TURNOVER  by DAVIS,JASON",1
18:22,"GOOD 3PTR by LOPEZ,COLLIN",6 (+6),,0,,CENTRE 6-0 (+6),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
18:13,,,,,"MISS LAYUP by DAVIS,JASON",,,"MISS LAYUP by DAVIS,JASON",1
18:13,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:07,,,,,"MISS JUMPER by CRUM,MARSHALL",,,"MISS JUMPER by CRUM,MARSHALL",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
18:00,"GOOD LAYUP by TAYLOR,CHRIS(fastbreak)(in the paint)",8 (+8),,0,,CENTRE 8-0 (+8),,"GOOD LAYUP by TAYLOR,CHRIS(fastbreak)(in the paint)",1
17:47,,8 (+6),,2,"GOOD LAYUP by CRUM,MARSHALL(in the paint)",OTT 8-2 (+6),,"GOOD LAYUP by CRUM,MARSHALL(in the paint)",1
17:23,"TURNOVER  by LOPEZ,COLLIN",,,,,,,"TURNOVER  by LOPEZ,COLLIN",1
17:22,,,,,"STEAL  by DAVIS,JASON",,,"STEAL  by DAVIS,JASON",1
17:19,,8 (+4),,4,"GOOD LAYUP by DAVIS,JASON(fastbreak)(in the paint)",OTT 8-4 (+4),,"GOOD LAYUP by DAVIS,JASON(fastbreak)(in the paint)",1
16:52,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",10 (+6),,4,,CENTRE 10-4 (+6),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
16:30,,,,,"MISS JUMPER by JUERGENS,JON",,,"MISS JUMPER by JUERGENS,JON",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
16:17,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by BISCHOFF,JAKE",,,"REBOUND DEF by BISCHOFF,JAKE",1
16:10,,,,,"MISS JUMPER by BISCHOFF,JAKE",,,"MISS JUMPER by BISCHOFF,JAKE",1
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",1
15:52,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:52,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
15:52,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
15:52,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
15:52,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
15:52,,,,,"SUB IN by LUCIEN,BILLY",,,"SUB IN by LUCIEN,BILLY",1
15:52,,,,,"SUB IN by RHODES,MATT",,,"SUB IN by RHODES,MATT",1
15:52,,,,,"SUB IN by PHILLIS,JAKE",,,"SUB IN by PHILLIS,JAKE",1
15:52,,,,,"SUB OUT by CRUM,MARSHALL",,,"SUB OUT by CRUM,MARSHALL",1
15:52,,,,,"SUB OUT by JUERGENS,JON",,,"SUB OUT by JUERGENS,JON",1
15:52,,,,,"SUB OUT by DAVIS,JASON",,,"SUB OUT by DAVIS,JASON",1
15:43,,10 (+4),,6,"GOOD LAYUP by RHODES,MATT(in the paint)",OTT 10-6 (+4),,"GOOD LAYUP by RHODES,MATT(in the paint)",1
--,,,,,"ASSIST  by BISCHOFF,JAKE",,,"ASSIST  by BISCHOFF,JAKE",1
15:24,"GOOD JUMPER by WHITESIDE,DONOVAN",12 (+6),,6,,CENTRE 12-6 (+6),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
15:04,,,,,"TURNOVER  by YAZROMBEK,ANDY",,,"TURNOVER  by YAZROMBEK,ANDY",1
15:03,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
14:53,,,,,"FOUL  by LUCIEN,BILLY",,,"FOUL  by LUCIEN,BILLY",1
14:53,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
14:53,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
14:53,,,,,"SUB IN by FENNER,GRANT",,,"SUB IN by FENNER,GRANT",1
14:53,,,,,"SUB OUT by BISCHOFF,JAKE",,,"SUB OUT by BISCHOFF,JAKE",1
14:37,"GOOD 3PTR by WHITESIDE,DONOVAN",15 (+9),,6,,CENTRE 15-6 (+9),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
14:18,,,,,"MISS JUMPER by RHODES,MATT",,,"MISS JUMPER by RHODES,MATT",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
14:05,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",1
14:05,,,,,"STEAL  by PHILLIS,JAKE",,,"STEAL  by PHILLIS,JAKE",1
14:05,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
14:05,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:05,,,,,"SUB IN by BISCHOFF,JAKE",,,"SUB IN by BISCHOFF,JAKE",1
14:05,,,,,"SUB OUT by YAZROMBEK,ANDY",,,"SUB OUT by YAZROMBEK,ANDY",1
13:44,,,,,"MISS JUMPER by LUCIEN,BILLY",,,"MISS JUMPER by LUCIEN,BILLY",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
13:25,"GOOD JUMPER by SCINTA,BLAKE",17 (+11),,6,,CENTRE 17-6 (+11),,"GOOD JUMPER by SCINTA,BLAKE",1
13:00,,,,,"MISS JUMPER by BISCHOFF,JAKE",,,"MISS JUMPER by BISCHOFF,JAKE",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
12:43,,,,,"FOUL  by FENNER,GRANT",,,"FOUL  by FENNER,GRANT",1
12:43,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
12:43,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
12:43,,,,,"SUB IN by CRUM,MARSHALL",,,"SUB IN by CRUM,MARSHALL",1
12:43,,,,,"SUB IN by DAVIS,JASON",,,"SUB IN by DAVIS,JASON",1
12:43,,,,,"SUB OUT by LUCIEN,BILLY",,,"SUB OUT by LUCIEN,BILLY",1
12:43,,,,,"SUB OUT by PHILLIS,JAKE",,,"SUB OUT by PHILLIS,JAKE",1
12:42,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by BISCHOFF,JAKE",,,"REBOUND DEF by BISCHOFF,JAKE",1
12:34,,17 (+8),,9,"GOOD 3PTR by FENNER,GRANT",OTT 17-9 (+8),,"GOOD 3PTR by FENNER,GRANT",1
--,,,,,"ASSIST  by BISCHOFF,JAKE",,,"ASSIST  by BISCHOFF,JAKE",1
12:13,,,,,"FOUL  by CRUM,MARSHALL",,,"FOUL  by CRUM,MARSHALL",1
12:13,"GOOD FT by SCINTA,BLAKE",18 (+9),,9,,CENTRE 18-9 (+9),,"GOOD FT by SCINTA,BLAKE",1
12:13,"GOOD FT by SCINTA,BLAKE",19 (+10),,9,,CENTRE 19-9 (+10),,"GOOD FT by SCINTA,BLAKE",1
12:13,,,,,"SUB IN by JUERGENS,JON",,,"SUB IN by JUERGENS,JON",1
12:13,,,,,"SUB OUT by CRUM,MARSHALL",,,"SUB OUT by CRUM,MARSHALL",1
11:59,,,,,"MISS JUMPER by FENNER,GRANT",,,"MISS JUMPER by FENNER,GRANT",1
--,,,,,"REBOUND OFF by JUERGENS,JON",,,"REBOUND OFF by JUERGENS,JON",1
11:51,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
11:51,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
11:42,,,,,"MISS JUMPER by JUERGENS,JON",,,"MISS JUMPER by JUERGENS,JON",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
11:32,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
11:29,"GOOD 3PTR by WHITESIDE,DONOVAN",22 (+13),,9,,CENTRE 22-9 (+13),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
11:10,,,,,"MISS 3PTR by RHODES,MATT",,,"MISS 3PTR by RHODES,MATT",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
10:47,,,,,"FOUL  by JUERGENS,JON",,,"FOUL  by JUERGENS,JON",1
10:47,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:47,"GOOD FT by SCINTA,BLAKE",23 (+14),,9,,CENTRE 23-9 (+14),,"GOOD FT by SCINTA,BLAKE",1
10:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:47,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
10:47,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",1
10:47,,,,,"SUB IN by CRUM,MARSHALL",,,"SUB IN by CRUM,MARSHALL",1
10:47,,,,,"SUB IN by YAZROMBEK,ANDY",,,"SUB IN by YAZROMBEK,ANDY",1
10:47,,,,,"SUB OUT by JUERGENS,JON",,,"SUB OUT by JUERGENS,JON",1
10:47,,,,,"SUB OUT by RHODES,MATT",,,"SUB OUT by RHODES,MATT",1
10:27,,,,,"MISS JUMPER by BISCHOFF,JAKE",,,"MISS JUMPER by BISCHOFF,JAKE",1
--,,,,,"REBOUND OFF by CRUM,MARSHALL",,,"REBOUND OFF by CRUM,MARSHALL",1
10:24,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
10:24,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:24,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
10:19,,,,,"MISS JUMPER by FENNER,GRANT",,,"MISS JUMPER by FENNER,GRANT",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
09:52,"GOOD LAYUP by WESLEY,TYLER(in the paint)",25 (+16),,9,,CENTRE 25-9 (+16),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
09:40,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
09:40,,25 (+15),,10,"GOOD FT by CRUM,MARSHALL",OTT 25-10 (+15),,"GOOD FT by CRUM,MARSHALL",1
09:40,,,,,"MISS FT by CRUM,MARSHALL",,,"MISS FT by CRUM,MARSHALL",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
09:40,,,,,"SUB IN by PHILLIS,JAKE",,,"SUB IN by PHILLIS,JAKE",1
09:40,,,,,"SUB OUT by DAVIS,JASON",,,"SUB OUT by DAVIS,JASON",1
09:13,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND DEF by FENNER,GRANT",,,"REBOUND DEF by FENNER,GRANT",1
09:00,,,,,"MISS JUMPER by CRUM,MARSHALL",,,"MISS JUMPER by CRUM,MARSHALL",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
08:44,,,,,"FOUL  by CRUM,MARSHALL",,,"FOUL  by CRUM,MARSHALL",1
08:44,"GOOD FT by WESLEY,TYLER",26 (+16),,10,,CENTRE 26-10 (+16),,"GOOD FT by WESLEY,TYLER",1
08:44,"GOOD FT by WESLEY,TYLER",27 (+17),,10,,CENTRE 27-10 (+17),,"GOOD FT by WESLEY,TYLER",1
08:44,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
08:44,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
08:44,,,,,"SUB IN by MCCOLLISTER,MATT",,,"SUB IN by MCCOLLISTER,MATT",1
08:44,,,,,"SUB IN by LUCIEN,BILLY",,,"SUB IN by LUCIEN,BILLY",1
08:44,,,,,"SUB IN by RHODES,MATT",,,"SUB IN by RHODES,MATT",1
08:44,,,,,"SUB OUT by YAZROMBEK,ANDY",,,"SUB OUT by YAZROMBEK,ANDY",1
08:44,,,,,"SUB OUT by CRUM,MARSHALL",,,"SUB OUT by CRUM,MARSHALL",1
08:44,,,,,"SUB OUT by FENNER,GRANT",,,"SUB OUT by FENNER,GRANT",1
08:31,,27 (+14),,13,"GOOD 3PTR by BISCHOFF,JAKE",OTT 27-13 (+14),,"GOOD 3PTR by BISCHOFF,JAKE",1
--,,,,,"ASSIST  by PHILLIS,JAKE",,,"ASSIST  by PHILLIS,JAKE",1
08:07,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by RHODES,MATT",,,"REBOUND DEF by RHODES,MATT",1
07:53,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
07:53,,27 (+13),,14,"GOOD FT by RHODES,MATT",OTT 27-14 (+13),,"GOOD FT by RHODES,MATT",1
07:53,,27 (+12),,15,"GOOD FT by RHODES,MATT",OTT 27-15 (+12),,"GOOD FT by RHODES,MATT",1
07:53,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
07:53,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
07:35,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",29 (+14),,15,,CENTRE 29-15 (+14),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
07:16,,29 (+12),,17,"GOOD JUMPER by RHODES,MATT(in the paint)",OTT 29-17 (+12),,"GOOD JUMPER by RHODES,MATT(in the paint)",1
07:16,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
07:16,,29 (+11),,18,"GOOD FT by RHODES,MATT",OTT 29-18 (+11),,"GOOD FT by RHODES,MATT",1
07:15,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
07:15,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
07:15,,,,,"SUB IN by YAZROMBEK,ANDY",,,"SUB IN by YAZROMBEK,ANDY",1
07:15,,,,,"SUB OUT by BISCHOFF,JAKE",,,"SUB OUT by BISCHOFF,JAKE",1
07:06,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",1
07:05,,,,,"STEAL  by PHILLIS,JAKE",,,"STEAL  by PHILLIS,JAKE",1
07:02,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",1
07:02,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
06:54,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
06:51,,,,,"MISS 3PTR by PHILLIS,JAKE",,,"MISS 3PTR by PHILLIS,JAKE",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
06:41,"GOOD 3PTR by SCINTA,BLAKE",32 (+14),,18,,CENTRE 32-18 (+14),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
06:27,,,,,"MISS LAYUP by LUCIEN,BILLY",,,"MISS LAYUP by LUCIEN,BILLY",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
06:19,"GOOD LAYUP by GUMP,MATT(in the paint)",34 (+16),,18,,CENTRE 34-18 (+16),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
06:18,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:08,,,,,"TURNOVER  by RHODES,MATT",,,"TURNOVER  by RHODES,MATT",1
06:06,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
05:55,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by PHILLIS,JAKE",,,"REBOUND DEF by PHILLIS,JAKE",1
05:45,,34 (+14),,20,"GOOD JUMPER by PHILLIS,JAKE",OTT 34-20 (+14),,"GOOD JUMPER by PHILLIS,JAKE",1
