Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,FC,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS 3PTR by WASHINGTON,TRAE",,,"MISS 3PTR by WASHINGTON,TRAE",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
19:26,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by SARGENT,TERRY",,,"REBOUND DEF by SARGENT,TERRY",1
19:15,,0,,2 (+2),"GOOD JUMPER by HOWARD,BAILEY",FC 0-2 (+2),,"GOOD JUMPER by HOWARD,BAILEY",1
--,,,,,"ASSIST  by SARGENT,TERRY",,,"ASSIST  by SARGENT,TERRY",1
19:03,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2,,2,,CENTRE_M 2-2 (0),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
18:48,,2,,5 (+3),"GOOD 3PTR by HOWARD,BAILEY",FC 2-5 (+3),,"GOOD 3PTR by HOWARD,BAILEY",1
--,,,,,"ASSIST  by PORTER,TROY",,,"ASSIST  by PORTER,TROY",1
18:33,"MISS 3PTR by TAYLOR,CHRIS",,,,,,,"MISS 3PTR by TAYLOR,CHRIS",1
--,,,,,"REBOUND DEF by PORTER,TROY",,,"REBOUND DEF by PORTER,TROY",1
18:16,,2,,7 (+5),"GOOD JUMPER by WASHINGTON,TRAE(in the paint)",FC 2-7 (+5),,"GOOD JUMPER by WASHINGTON,TRAE(in the paint)",1
--,,,,,"ASSIST  by SMITH,DION",,,"ASSIST  by SMITH,DION",1
18:16,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",1
18:16,,,,,"MISS FT by WASHINGTON,TRAE",,,"MISS FT by WASHINGTON,TRAE",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
18:16,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
18:16,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
17:55,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
17:55,,,,,"STEAL  by SMITH,DION",,,"STEAL  by SMITH,DION",1
17:50,,2,,9 (+7),"GOOD LAYUP by SMITH,DION(fastbreak)(in the paint)",FC 2-9 (+7),,"GOOD LAYUP by SMITH,DION(fastbreak)(in the paint)",1
17:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
17:32,,,,,"TURNOVER  by PORTER,TROY",,,"TURNOVER  by PORTER,TROY",1
17:20,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
17:12,,,,,"MISS 3PTR by HOWARD,BAILEY",,,"MISS 3PTR by HOWARD,BAILEY",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
17:03,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
17:03,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
16:46,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",4,,9 (+5),,CENTRE_M 4-9 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
16:30,,,,,"TURNOVER  by HOWARD,BAILEY",,,"TURNOVER  by HOWARD,BAILEY",1
16:15,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
16:13,,,,,"STEAL  by SARGENT,TERRY",,,"STEAL  by SARGENT,TERRY",1
16:05,,4,,12 (+8),"GOOD 3PTR by PORTER,TROY",FC 4-12 (+8),,"GOOD 3PTR by PORTER,TROY",1
--,,,,,"ASSIST  by SARGENT,TERRY",,,"ASSIST  by SARGENT,TERRY",1
15:56,"STEAL  by LOPEZ,COLLIN",,,,,,,"STEAL  by LOPEZ,COLLIN",1
--,,,,,"REBOUND DEF by SARGENT,TERRY",,,"REBOUND DEF by SARGENT,TERRY",1
15:40,,,,,"MISS LAYUP by SMITH,DION",,,"MISS LAYUP by SMITH,DION",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
15:31,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",6,,12 (+6),,CENTRE_M 6-12 (+6),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",1
15:07,,6,,14 (+8),"GOOD LAYUP by SMITH,DION(in the paint)",FC 6-14 (+8),,"GOOD LAYUP by SMITH,DION(in the paint)",1
14:55,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",1
14:53,,,,,"BLOCK  by SMITH,DION",,,"BLOCK  by SMITH,DION",1
--,,,,,"REBOUND DEF by WASHINGTON,TRAE",,,"REBOUND DEF by WASHINGTON,TRAE",1
14:46,,6,,17 (+11),"GOOD 3PTR by PORTER,TROY",FC 6-17 (+11),,"GOOD 3PTR by PORTER,TROY",1
--,,,,,"ASSIST  by WASHINGTON,TRAE",,,"ASSIST  by WASHINGTON,TRAE",1
14:46,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
14:33,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",8,,17 (+9),,CENTRE_M 8-17 (+9),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
14:25,,,,,"MISS JUMPER by HOWARD,BAILEY",,,"MISS JUMPER by HOWARD,BAILEY",1
14:25,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,REBOUND OFF by TM,,,REBOUND OFF by TM,1
14:15,,,,,"SUB IN by BARTON,JT",,,"SUB IN by BARTON,JT",1
