Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:40,"MISS JUMPER by LIVSEY,GEOFF",,,,,,,"MISS JUMPER by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
19:21,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
19:08,"TURNOVER  by HOECK,RYAN VAN",,,,,,,"TURNOVER  by HOECK,RYAN VAN",1
18:49,,0,,2 (+2),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 0-2 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
18:26,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
18:04,,0,,4 (+4),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 0-4 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
17:40,"MISS 3PTR by DUNAVANT,JOHNNY",,,,,,,"MISS 3PTR by DUNAVANT,JOHNNY",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
17:36,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
17:36,"GOOD FT by LIVSEY,GEOFF",1,,4 (+3),,RHODESMB 1-4 (+3),,"GOOD FT by LIVSEY,GEOFF",1
17:36,"GOOD FT by LIVSEY,GEOFF",2,,4 (+2),,RHODESMB 2-4 (+2),,"GOOD FT by LIVSEY,GEOFF",1
17:11,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by HOECK,RYAN VAN",,,,,,,"REBOUND DEF by HOECK,RYAN VAN",1
16:56,"TURNOVER  by COLLINS,LUKE",,,,,,,"TURNOVER  by COLLINS,LUKE",1
16:55,"SUB IN by SLEDGE,TATE",,,,,,,"SUB IN by SLEDGE,TATE",1
16:55,"SUB OUT by LIVSEY,GEOFF",,,,,,,"SUB OUT by LIVSEY,GEOFF",1
16:55,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:55,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
16:44,"FOUL  by SLEDGE,TATE",,,,,,,"FOUL  by SLEDGE,TATE",1
16:44,,2,,5 (+3),"GOOD FT by WESLEY,TYLER",CENTRE_M 2-5 (+3),,"GOOD FT by WESLEY,TYLER",1
16:44,,2,,6 (+4),"GOOD FT by WESLEY,TYLER",CENTRE_M 2-6 (+4),,"GOOD FT by WESLEY,TYLER",1
16:35,"MISS LAYUP by COLLINS,LUKE",,,,,,,"MISS LAYUP by COLLINS,LUKE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
