Time Remaining,CCU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:44,,0,,2 (+2),"GOOD JUMPER by WESLEY,TYLER(in the paint)",CENTRE_M 0-2 (+2),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
19:17,"MISS 3PTR by HILL,MIKE",,,,,,,"MISS 3PTR by HILL,MIKE",1
--,"REBOUND OFF by MCKINNEY,WILLIE",,,,,,,"REBOUND OFF by MCKINNEY,WILLIE",1
19:15,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
19:15,"GOOD FT by MCKINNEY,WILLIE",1,,2 (+1),,CCU 1-2 (+1),,"GOOD FT by MCKINNEY,WILLIE",1
19:15,"GOOD FT by MCKINNEY,WILLIE",2,,2,,CCU 2-2 (0),,"GOOD FT by MCKINNEY,WILLIE",1
19:06,,2,,4 (+2),"GOOD JUMPER by WHITESIDE,DONOVAN",CENTRE_M 2-4 (+2),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
18:44,"TURNOVER  by MCKINNEY,WILLIE",,,,,,,"TURNOVER  by MCKINNEY,WILLIE",1
18:29,,2,,7 (+5),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 2-7 (+5),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
18:06,"MISS JUMPER by MCCOMMONS,DJ",,,,,,,"MISS JUMPER by MCCOMMONS,DJ",1
--,"REBOUND OFF by GAYNOR,KENNY",,,,,,,"REBOUND OFF by GAYNOR,KENNY",1
18:00,"GOOD 3PTR by MCLEISH,MITCH",5,,7 (+2),,CCU 5-7 (+2),,"GOOD 3PTR by MCLEISH,MITCH",1
--,"ASSIST  by GAYNOR,KENNY",,,,,,,"ASSIST  by GAYNOR,KENNY",1
17:46,"FOUL  by HILL,MIKE",,,,,,,"FOUL  by HILL,MIKE",1
17:42,,,,,"MISS JUMPER by LOPEZ,COLLIN",,,"MISS JUMPER by LOPEZ,COLLIN",1
--,"REBOUND DEF by MCKINNEY,WILLIE",,,,,,,"REBOUND DEF by MCKINNEY,WILLIE",1
17:28,"MISS 3PTR by MCLEISH,MITCH",,,,,,,"MISS 3PTR by MCLEISH,MITCH",1
--,"REBOUND OFF by MCCOMMONS,DJ",,,,,,,"REBOUND OFF by MCCOMMONS,DJ",1
17:24,"MISS JUMPER by MCCOMMONS,DJ",,,,,,,"MISS JUMPER by MCCOMMONS,DJ",1
--,"REBOUND OFF by GAYNOR,KENNY",,,,,,,"REBOUND OFF by GAYNOR,KENNY",1
17:17,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",7,,7,,CCU 7-7 (0),,"GOOD LAYUP by GAYNOR,KENNY(in the paint)",1
17:06,,7,,10 (+3),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 7-10 (+3),,"GOOD 3PTR by LOPEZ,COLLIN",1
