Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
17:12,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",1
--,"REBOUND DEF by AUBERT,DUSTIN",,,,,,,"REBOUND DEF by AUBERT,DUSTIN",1
17:06,"GOOD 3PTR by ROBERTSON,MARC",5,,6 (+1),,MILLSAPS 5-6 (+1),,"GOOD 3PTR by ROBERTSON,MARC",1
16:51,,5,,8 (+3),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 5-8 (+3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
16:31,"GOOD LAYUP by BERGER,RYAN(in the paint)",7,,8 (+1),,MILLSAPS 7-8 (+1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
16:11,,7,,11 (+4),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 7-11 (+4),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",1
15:47,"GOOD 3PTR by ROBERTSON,MARC",10,,11 (+1),,MILLSAPS 10-11 (+1),,"GOOD 3PTR by ROBERTSON,MARC",1
15:30,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
15:08,"GOOD LAYUP by BERGER,RYAN(in the paint)",12 (+1),,11,,MILLSAPS 12-11 (-1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
15:08,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:05,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
15:05,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",1
15:05,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
15:05,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
15:05,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
15:05,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
15:05,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
15:05,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
15:05,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
15:05,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
15:05,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
15:05,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
14:45,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
14:29,"MISS LAYUP by FREBIS,RONNIE",,,,,,,"MISS LAYUP by FREBIS,RONNIE",1
14:29,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
14:10,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",1
