Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
20:00,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
20:00,"SUB IN by ROBINSON,DENZEL",,,,,,,"SUB IN by ROBINSON,DENZEL",1
20:00,"SUB IN by BAXTER,DUSTIN",,,,,,,"SUB IN by BAXTER,DUSTIN",1
20:00,"SUB IN by DUGGER,PATRICK",,,,,,,"SUB IN by DUGGER,PATRICK",1
20:00,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",1
20:00,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
20:00,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
20:00,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
20:00,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
20:00,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
19:27,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",1
19:03,"GOOD LAYUP by MITCHELL,NICK(in the paint)",2 (+2),,0,,LCM 2-0 (-2),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
18:36,,2,,3 (+1),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 2-3 (+1),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
18:26,"GOOD 3PTR by WAGNER,MARK",5 (+2),,3,,LCM 5-3 (-2),,"GOOD 3PTR by WAGNER,MARK",1
--,"ASSIST  by ROBINSON,DENZEL",,,,,,,"ASSIST  by ROBINSON,DENZEL",1
17:59,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
17:59,"BLOCK  by DUGGER,PATRICK",,,,,,,"BLOCK  by DUGGER,PATRICK",1
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",1
17:53,"GOOD LAYUP by MITCHELL,NICK(in the paint)",7 (+4),,3,,LCM 7-3 (-4),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
17:53,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
17:30,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by DUGGER,PATRICK",,,,,,,"REBOUND DEF by DUGGER,PATRICK",1
17:23,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
17:21,"FOUL  by ROBINSON,DENZEL",,,,,,,"FOUL  by ROBINSON,DENZEL",1
17:13,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
16:55,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
16:52,"FOUL  by DUGGER,PATRICK",,,,,,,"FOUL  by DUGGER,PATRICK",1
16:52,,7 (+3),,4,"GOOD FT by SCINTA,BLAKE",CENTRE_M 7-4 (-3),,"GOOD FT by SCINTA,BLAKE",1
16:52,,7 (+2),,5,"GOOD FT by SCINTA,BLAKE",CENTRE_M 7-5 (-2),,"GOOD FT by SCINTA,BLAKE",1
16:52,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:52,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
16:28,"GOOD JUMPER by BAXTER,DUSTIN",9 (+4),,5,,LCM 9-5 (-4),,"GOOD JUMPER by BAXTER,DUSTIN",1
16:12,,9 (+1),,8,"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 9-8 (-1),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
16:02,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
16:02,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
16:02,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
15:55,"GOOD 3PTR by ROBINSON,DENZEL",12 (+4),,8,,LCM 12-8 (-4),,"GOOD 3PTR by ROBINSON,DENZEL",1
--,"ASSIST  by BAXTER,DUSTIN",,,,,,,"ASSIST  by BAXTER,DUSTIN",1
15:29,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
15:18,,12 (+2),,10,"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 12-10 (-2),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
