Time Remaining,RHODESMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:47,,,,,"MISS 3PTR by LOHR,MATT",,,"MISS 3PTR by LOHR,MATT",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
19:35,,0,,3 (+3),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 0-3 (+3),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",1
19:21,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",1
--,,,,,"REBOUND DEF by LOHR,MATT",,,"REBOUND DEF by LOHR,MATT",1
19:00,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by COLLINS,LUKE",,,,,,,"REBOUND DEF by COLLINS,LUKE",1
18:48,"MISS LAYUP by HOECK,RYAN VAN",,,,,,,"MISS LAYUP by HOECK,RYAN VAN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
18:30,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",1
18:19,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",2,,3 (+1),,RHODESMB 2-3 (+1),,"GOOD LAYUP by DUNAVANT,JOHNNY(in the paint)",1
--,"ASSIST  by LIVSEY,GEOFF",,,,,,,"ASSIST  by LIVSEY,GEOFF",1
17:50,,2,,6 (+4),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 2-6 (+4),,"GOOD 3PTR by MURRAY,RYAN",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
17:28,"MISS 3PTR by COLLINS,LUKE",,,,,,,"MISS 3PTR by COLLINS,LUKE",1
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",1
17:18,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
16:59,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
16:42,"GOOD JUMPER by HOECK,RYAN VAN",4,,6 (+2),,RHODESMB 4-6 (+2),,"GOOD JUMPER by HOECK,RYAN VAN",1
16:22,,,,,"FOUL  by LOHR,MATT",,,"FOUL  by LOHR,MATT",1
16:22,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:22,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
16:22,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
16:22,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",1
16:06,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",6,,6,,RHODESMB 6-6 (0),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",1
15:39,"FOUL  by DUNAVANT,JOHNNY",,,,,,,"FOUL  by DUNAVANT,JOHNNY",1
15:39,"SUB IN by GALLAGHER,MICHAEL",,,,,,,"SUB IN by GALLAGHER,MICHAEL",1
15:39,"SUB OUT by COLLINS,LUKE",,,,,,,"SUB OUT by COLLINS,LUKE",1
15:34,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
