Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:39,"GOOD 3PTR by SHOFFNER,SPENCER",3 (+3),,0,,MVCM 3-0 (-3),,"GOOD 3PTR by SHOFFNER,SPENCER",1
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",1
19:07,,3 (+1),,2,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 3-2 (-1),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
18:44,"MISS JUMPER by SHOFFNER,SPENCER",,,,,,,"MISS JUMPER by SHOFFNER,SPENCER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
18:22,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",1
18:05,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",1
17:48,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",5 (+3),,2,,MVCM 5-2 (-3),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",1
17:27,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",1
17:06,"GOOD JUMPER by BYRD,JAUMONEE",7 (+5),,2,,MVCM 7-2 (-5),,"GOOD JUMPER by BYRD,JAUMONEE",1
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",1
16:51,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
16:51,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:51,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
16:35,"MISS JUMPER by BODEWIG,JOEY",,,,,,,"MISS JUMPER by BODEWIG,JOEY",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:18,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by SHOFFNER,SPENCER",,,,,,,"REBOUND DEF by SHOFFNER,SPENCER",1
16:06,"TURNOVER  by FORD,CHRISTIAN",,,,,,,"TURNOVER  by FORD,CHRISTIAN",1
16:06,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
15:49,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND DEF by SHOFFNER,SPENCER",,,,,,,"REBOUND DEF by SHOFFNER,SPENCER",1
15:39,"TURNOVER  by BODEWIG,JOEY",,,,,,,"TURNOVER  by BODEWIG,JOEY",1
15:39,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
15:39,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
15:39,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
15:39,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
15:31,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",1
15:29,"STEAL  by FORD,CHRISTIAN",,,,,,,"STEAL  by FORD,CHRISTIAN",1
15:22,"GOOD 3PTR by SHOFFNER,SPENCER",10 (+8),,2,,MVCM 10-2 (-8),,"GOOD 3PTR by SHOFFNER,SPENCER",1
--,"ASSIST  by BUTLER,OSCAR",,,,,,,"ASSIST  by BUTLER,OSCAR",1
15:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:04,,10 (+5),,5,"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 10-5 (-5),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
14:42,"MISS 3PTR by FORD,CHRISTIAN",,,,,,,"MISS 3PTR by FORD,CHRISTIAN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
14:29,,10 (+3),,7,"GOOD JUMPER by WESLEY,TYLER",CENTRE_M 10-7 (-3),,"GOOD JUMPER by WESLEY,TYLER",1
14:29,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",1
