Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:39,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",1
19:22,"GOOD 3PTR by WHALEN,MAC",3 (+3),,0,,BCM 3-0 (-3),,"GOOD 3PTR by WHALEN,MAC",1
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",1
18:49,,3 (+1),,2,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 3-2 (-1),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
18:14,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,"REBOUND OFF by MCCLOUD,LEE",,,,,,,"REBOUND OFF by MCCLOUD,LEE",1
17:59,,,,,"FOUL  by MURRAY,RYAN",,,"FOUL  by MURRAY,RYAN",1
17:45,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",1
17:44,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",1
17:41,"FOUL  by SMOAK,HUNTER",,,,,,,"FOUL  by SMOAK,HUNTER",1
17:34,,3,,5 (+2),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 3-5 (+2),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
17:19,"MISS JUMPER by SMOAK,HUNTER",,,,,,,"MISS JUMPER by SMOAK,HUNTER",1
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",1
17:07,"MISS JUMPER by JACOBS,OWEN",,,,,,,"MISS JUMPER by JACOBS,OWEN",1
17:07,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
16:58,,3,,7 (+4),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 3-7 (+4),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
16:56,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",1
16:56,,3,,8 (+5),"GOOD FT by LOPEZ,COLLIN",CENTRE_M 3-8 (+5),,"GOOD FT by LOPEZ,COLLIN",1
16:56,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:56,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
16:32,"MISS 3PTR by WHALEN,MAC",,,,,,,"MISS 3PTR by WHALEN,MAC",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
16:07,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
15:59,"MISS 3PTR by SMOAK,HUNTER",,,,,,,"MISS 3PTR by SMOAK,HUNTER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
15:53,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
15:36,,3,,10 (+7),"GOOD JUMPER by LOPEZ,COLLIN",CENTRE_M 3-10 (+7),,"GOOD JUMPER by LOPEZ,COLLIN",1
15:19,"GOOD 3PTR by MCCLOUD,LEE",6,,10 (+4),,BCM 6-10 (+4),,"GOOD 3PTR by MCCLOUD,LEE",1
--,"ASSIST  by SMOAK,HUNTER",,,,,,,"ASSIST  by SMOAK,HUNTER",1
14:45,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
14:42,"STEAL  by JACOBS,OWEN",,,,,,,"STEAL  by JACOBS,OWEN",1
14:31,"MISS JUMPER by GRAHAM,LAKE",,,,,,,"MISS JUMPER by GRAHAM,LAKE",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
