Time Remaining,TMC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:39,"FOUL  by PIPES,ELIOT",,,,,,,"FOUL  by PIPES,ELIOT",1
19:38,,,,,"TURNOVER  by STEGGEMAN,ANDREW",,,"TURNOVER  by STEGGEMAN,ANDREW",1
19:38,"STEAL  by MUMFORD,DREW",,,,,,,"STEAL  by MUMFORD,DREW",1
19:15,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
19:12,"MISS LAYUP by PIPES,ELIOT",,,,,,,"MISS LAYUP by PIPES,ELIOT",1
19:11,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
19:05,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",,,"MISS LAYUP by STEGGEMAN,ANDREW",1
--,"REBOUND DEF by MUMFORD,DREW",,,,,,,"REBOUND DEF by MUMFORD,DREW",1
18:58,"TURNOVER  by MAYS,DREW",,,,,,,"TURNOVER  by MAYS,DREW",1
18:58,,,,,"STEAL  by SCINTA,BLAKE",,,"STEAL  by SCINTA,BLAKE",1
18:44,,,,,"TURNOVER  by STEGGEMAN,ANDREW",,,"TURNOVER  by STEGGEMAN,ANDREW",1
18:43,"STEAL  by BERLEKAMP,SPENCER",,,,,,,"STEAL  by BERLEKAMP,SPENCER",1
18:40,"MISS LAYUP by BERLEKAMP,SPENCER",,,,,,,"MISS LAYUP by BERLEKAMP,SPENCER",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
18:30,"FOUL  by PIPES,ELIOT",,,,,,,"FOUL  by PIPES,ELIOT",1
18:30,,0,,3 (+3),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 0-3 (+3),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
18:30,"SUB IN by MCGOVNEY,NATE",,,,,,,"SUB IN by MCGOVNEY,NATE",1
18:30,"SUB IN by RICHARD,CHRIS",,,,,,,"SUB IN by RICHARD,CHRIS",1
18:30,"SUB OUT by PIPES,ELIOT",,,,,,,"SUB OUT by PIPES,ELIOT",1
18:30,"SUB OUT by MAYS,DREW",,,,,,,"SUB OUT by MAYS,DREW",1
18:08,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
18:08,"GOOD LAYUP by RICHARD,CHRIS(in the paint)",2,,3 (+1),,TMC 2-3 (+1),,"GOOD LAYUP by RICHARD,CHRIS(in the paint)",1
--,"ASSIST  by HAYES,D'CARLO",,,,,,,"ASSIST  by HAYES,D'CARLO",1
