Time Remaining,PPU,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
16:56,,2,,11 (+9),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 2-11 (+9),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
16:47,"MISS JUMPER by HETER,ALAN",,,,,,,"MISS JUMPER by HETER,ALAN",1
--,"REBOUND OFF by HEATHERINGTON,ROB",,,,,,,"REBOUND OFF by HEATHERINGTON,ROB",1
16:41,"MISS LAYUP by HETER,ALAN",,,,,,,"MISS LAYUP by HETER,ALAN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
16:36,,2,,13 (+11),"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",CENTRE_M 2-13 (+11),,"GOOD LAYUP by LOPEZ,COLLIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
16:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:36,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:36,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
16:17,"GOOD JUMPER by HETER,ALAN",4,,13 (+9),,PPU 4-13 (+9),,"GOOD JUMPER by HETER,ALAN",1
15:58,,4,,16 (+12),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 4-16 (+12),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",1
15:45,"GOOD 3PTR by HEATHERINGTON,ROB",7,,16 (+9),,PPU 7-16 (+9),,"GOOD 3PTR by HEATHERINGTON,ROB",1
15:23,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by HETER,ALAN",,,,,,,"REBOUND DEF by HETER,ALAN",1
15:14,"GOOD 3PTR by BROWN,NICK",10,,16 (+6),,PPU 10-16 (+6),,"GOOD 3PTR by BROWN,NICK",1
--,"ASSIST  by MCNEAL,GABE",,,,,,,"ASSIST  by MCNEAL,GABE",1
14:49,,10,,18 (+8),"GOOD JUMPER by SCINTA,BLAKE(in the paint)",CENTRE_M 10-18 (+8),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
14:26,"MISS 3PTR by MCNEAL,GABE",,,,,,,"MISS 3PTR by MCNEAL,GABE",1
--,"REBOUND OFF by HETER,ALAN",,,,,,,"REBOUND OFF by HETER,ALAN",1
14:21,"GOOD LAYUP by HETER,ALAN(in the paint)",12,,18 (+6),,PPU 12-18 (+6),,"GOOD LAYUP by HETER,ALAN(in the paint)",1
14:03,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by NOSZKA,MATT",,,,,,,"REBOUND DEF by NOSZKA,MATT",1
13:55,"MISS 3PTR by NOSZKA,MATT",,,,,,,"MISS 3PTR by NOSZKA,MATT",1
--,"REBOUND OFF by HETER,ALAN",,,,,,,"REBOUND OFF by HETER,ALAN",1
13:51,"GOOD LAYUP by HETER,ALAN(in the paint)",14,,18 (+4),,PPU 14-18 (+4),,"GOOD LAYUP by HETER,ALAN(in the paint)",1
13:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:29,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by HETER,ALAN",,,,,,,"REBOUND DEF by HETER,ALAN",1
13:20,"MISS 3PTR by MCNEAL,GABE",,,,,,,"MISS 3PTR by MCNEAL,GABE",1
--,"REBOUND OFF by NOSZKA,MATT",,,,,,,"REBOUND OFF by NOSZKA,MATT",1
13:14,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
13:14,"MISS FT by HETER,ALAN",,,,,,,"MISS FT by HETER,ALAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:14,"GOOD FT by HETER,ALAN",15,,18 (+3),,PPU 15-18 (+3),,"GOOD FT by HETER,ALAN",1
13:14,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
13:14,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
13:14,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
13:14,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
13:14,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
13:14,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:14,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
13:14,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
13:14,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
13:14,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
12:51,,15,,20 (+5),"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",CENTRE_M 15-20 (+5),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
12:42,"MISS 3PTR by HEATHERINGTON,ROB",,,,,,,"MISS 3PTR by HEATHERINGTON,ROB",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
12:23,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:19,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
12:19,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
12:08,"GOOD 3PTR by BROWN,NICK",18,,20 (+2),,PPU 18-20 (+2),,"GOOD 3PTR by BROWN,NICK",1
11:37,,18,,23 (+5),"GOOD 3PTR by SCINTA,BLAKE",CENTRE_M 18-23 (+5),,"GOOD 3PTR by SCINTA,BLAKE",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
11:26,"MISS 3PTR by BROWN,NICK",,,,,,,"MISS 3PTR by BROWN,NICK",1
--,"REBOUND OFF by HETER,ALAN",,,,,,,"REBOUND OFF by HETER,ALAN",1
11:21,"GOOD LAYUP by HETER,ALAN(in the paint)",20,,23 (+3),,PPU 20-23 (+3),,"GOOD LAYUP by HETER,ALAN(in the paint)",1
11:21,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
11:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:21,"MISS FT by HETER,ALAN",,,,,,,"MISS FT by HETER,ALAN",1
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",1
11:02,,20,,26 (+6),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 20-26 (+6),,"GOOD 3PTR by MURRAY,RYAN",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
10:38,"MISS LAYUP by BROWN,NICK",,,,,,,"MISS LAYUP by BROWN,NICK",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
10:24,,,,,"TURNOVER  by STEGGEMAN,ANDREW",,,"TURNOVER  by STEGGEMAN,ANDREW",1
10:22,"STEAL  by HEATHERINGTON,ROB",,,,,,,"STEAL  by HEATHERINGTON,ROB",1
10:21,"GOOD LAYUP by HEATHERINGTON,ROB(fastbreak)(in the paint)",22,,26 (+4),,PPU 22-26 (+4),,"GOOD LAYUP by HEATHERINGTON,ROB(fastbreak)(in the paint)",1
10:00,"FOUL  by HETER,ALAN",,,,,,,"FOUL  by HETER,ALAN",1
10:00,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:00,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,"REBOUND DEF by BROWN,NICK",,,,,,,"REBOUND DEF by BROWN,NICK",1
10:00,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
10:00,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
10:00,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
10:00,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
09:56,"MISS 3PTR by MCNEAL,GABE",,,,,,,"MISS 3PTR by MCNEAL,GABE",1
--,"REBOUND OFF by HETER,ALAN",,,,,,,"REBOUND OFF by HETER,ALAN",1
09:53,"MISS LAYUP by HETER,ALAN",,,,,,,"MISS LAYUP by HETER,ALAN",1
--,,,,,"REBOUND DEF by MURRAY,RYAN",,,"REBOUND DEF by MURRAY,RYAN",1
09:45,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by HEATHERINGTON,ROB",,,,,,,"REBOUND DEF by HEATHERINGTON,ROB",1
09:37,"GOOD LAYUP by BROWN,NICK(in the paint)",24,,26 (+2),,PPU 24-26 (+2),,"GOOD LAYUP by BROWN,NICK(in the paint)",1
--,"ASSIST  by HEATHERINGTON,ROB",,,,,,,"ASSIST  by HEATHERINGTON,ROB",1
09:25,,,,,"MISS LAYUP by KARSNER,JOSH",,,"MISS LAYUP by KARSNER,JOSH",1
09:25,"BLOCK  by BROWN,NICK",,,,,,,"BLOCK  by BROWN,NICK",1
--,"REBOUND DEF by HEATHERINGTON,ROB",,,,,,,"REBOUND DEF by HEATHERINGTON,ROB",1
09:16,"TURNOVER  by MCNEAL,GABE",,,,,,,"TURNOVER  by MCNEAL,GABE",1
09:14,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
09:12,,24,,28 (+4),"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",CENTRE_M 24-28 (+4),,"GOOD LAYUP by GUMP,MATT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
08:56,"MISS 3PTR by NOSZKA,MATT",,,,,,,"MISS 3PTR by NOSZKA,MATT",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
08:50,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
08:49,"STEAL  by HEATHERINGTON,ROB",,,,,,,"STEAL  by HEATHERINGTON,ROB",1
08:44,"GOOD JUMPER by HEATHERINGTON,ROB",26,,28 (+2),,PPU 26-28 (+2),,"GOOD JUMPER by HEATHERINGTON,ROB",1
08:20,,26,,31 (+5),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 26-31 (+5),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
08:01,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:01,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
08:01,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
07:44,"MISS JUMPER by HETER,ALAN",,,,,,,"MISS JUMPER by HETER,ALAN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
07:35,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
07:33,"STEAL  by HEATHERINGTON,ROB",,,,,,,"STEAL  by HEATHERINGTON,ROB",1
07:32,"GOOD 3PTR by HEATHERINGTON,ROB",29,,31 (+2),,PPU 29-31 (+2),,"GOOD 3PTR by HEATHERINGTON,ROB",1
07:06,,29,,33 (+4),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 29-33 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
06:48,"GOOD LAYUP by HETER,ALAN(in the paint)",31,,33 (+2),,PPU 31-33 (+2),,"GOOD LAYUP by HETER,ALAN(in the paint)",1
--,"ASSIST  by HEATHERINGTON,ROB",,,,,,,"ASSIST  by HEATHERINGTON,ROB",1
06:31,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
06:21,,31,,35 (+4),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 31-35 (+4),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
06:04,"GOOD LAYUP by HETER,ALAN(in the paint)",33,,35 (+2),,PPU 33-35 (+2),,"GOOD LAYUP by HETER,ALAN(in the paint)",1
--,"ASSIST  by NOSZKA,MATT",,,,,,,"ASSIST  by NOSZKA,MATT",1
05:43,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
05:42,"STEAL  by MCNEAL,GABE",,,,,,,"STEAL  by MCNEAL,GABE",1
05:38,"GOOD JUMPER by MCNEAL,GABE(fastbreak)",35,,35,,PPU 35-35 (0),,"GOOD JUMPER by MCNEAL,GABE(fastbreak)",1
05:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:36,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",1
05:36,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
05:36,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
05:36,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
05:36,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
05:36,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
05:25,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by MCNEAL,GABE",,,,,,,"REBOUND DEF by MCNEAL,GABE",1
05:04,"MISS LAYUP by HEATHERINGTON,ROB",,,,,,,"MISS LAYUP by HEATHERINGTON,ROB",1
--,,,,,"REBOUND DEF by GEEGAN,MIKE",,,"REBOUND DEF by GEEGAN,MIKE",1
04:55,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by NOSZKA,MATT",,,,,,,"REBOUND DEF by NOSZKA,MATT",1
04:49,"MISS 3PTR by MCNEAL,GABE",,,,,,,"MISS 3PTR by MCNEAL,GABE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
04:35,,,,,"MISS JUMPER by GEEGAN,MIKE",,,"MISS JUMPER by GEEGAN,MIKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:34,,,,,"FOUL  by LOHR,MATT",,,"FOUL  by LOHR,MATT",1
04:34,"SUB IN by POHLOT,JOSH",,,,,,,"SUB IN by POHLOT,JOSH",1
04:34,"SUB OUT by HETER,ALAN",,,,,,,"SUB OUT by HETER,ALAN",1
04:22,"MISS JUMPER by NOSZKA,MATT",,,,,,,"MISS JUMPER by NOSZKA,MATT",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
03:55,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
03:54,"STEAL  by BROWN,NICK",,,,,,,"STEAL  by BROWN,NICK",1
03:51,"GOOD LAYUP by BROWN,NICK(fastbreak)(in the paint)",37 (+2),,35,,PPU 37-35 (-2),,"GOOD LAYUP by BROWN,NICK(fastbreak)(in the paint)",1
03:33,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by NOSZKA,MATT",,,,,,,"REBOUND DEF by NOSZKA,MATT",1
03:22,"GOOD JUMPER by HEATHERINGTON,ROB",39 (+4),,35,,PPU 39-35 (-4),,"GOOD JUMPER by HEATHERINGTON,ROB",1
02:53,,,,,"MISS 3PTR by TAYLOR,CHRIS",,,"MISS 3PTR by TAYLOR,CHRIS",1
--,"REBOUND DEF by MCNEAL,GABE",,,,,,,"REBOUND DEF by MCNEAL,GABE",1
02:37,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
02:37,"MISS FT by MCNEAL,GABE",,,,,,,"MISS FT by MCNEAL,GABE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:37,"GOOD FT by MCNEAL,GABE",40 (+5),,35,,PPU 40-35 (-5),,"GOOD FT by MCNEAL,GABE",1
02:37,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
02:37,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
02:37,,,,,"SUB OUT by LOHR,MATT",,,"SUB OUT by LOHR,MATT",1
02:37,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
02:24,"FOUL  by POHLOT,JOSH",,,,,,,"FOUL  by POHLOT,JOSH",1
02:24,,40 (+4),,36,"GOOD FT by SCINTA,BLAKE",CENTRE_M 40-36 (-4),,"GOOD FT by SCINTA,BLAKE",1
02:24,,40 (+3),,37,"GOOD FT by SCINTA,BLAKE",CENTRE_M 40-37 (-3),,"GOOD FT by SCINTA,BLAKE",1
02:10,"MISS 3PTR by BROWN,NICK",,,,,,,"MISS 3PTR by BROWN,NICK",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
01:44,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by MCNEAL,GABE",,,,,,,"REBOUND DEF by MCNEAL,GABE",1
01:34,"TURNOVER  by HEATHERINGTON,ROB",,,,,,,"TURNOVER  by HEATHERINGTON,ROB",1
01:17,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
01:14,,40 (+1),,39,"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 40-39 (-1),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
01:00,"MISS 3PTR by MCNEAL,GABE",,,,,,,"MISS 3PTR by MCNEAL,GABE",1
--,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",,,"REBOUND DEF by STEGGEMAN,ANDREW",1
00:30,"FOUL  by NOSZKA,MATT",,,,,,,"FOUL  by NOSZKA,MATT",1
00:03,"FOUL  by NOSZKA,MATT",,,,,,,"FOUL  by NOSZKA,MATT",1
00:03,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:03,,40,,40,"GOOD FT by SCINTA,BLAKE",CENTRE_M 40-40 (0),,"GOOD FT by SCINTA,BLAKE",1
00:03,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
00:03,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",1
00:03,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
00:03,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
00:03,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
00:03,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
00:00,"MISS 3PTR by HEATHERINGTON,ROB",,,,,,,"MISS 3PTR by HEATHERINGTON,ROB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:45,"TURNOVER  by HEATHERINGTON,ROB",,,,,,,"TURNOVER  by HEATHERINGTON,ROB",2
19:44,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",2
19:28,,40,,43 (+3),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 40-43 (+3),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
19:11,"MISS LAYUP by HEATHERINGTON,ROB",,,,,,,"MISS LAYUP by HEATHERINGTON,ROB",2
19:11,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",2
18:59,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",2
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",2
18:54,,,,,"MISS TIPIN by WESLEY,TYLER",,,"MISS TIPIN by WESLEY,TYLER",2
--,"REBOUND DEF by HETER,ALAN",,,,,,,"REBOUND DEF by HETER,ALAN",2
18:49,"MISS JUMPER by MCNEAL,GABE",,,,,,,"MISS JUMPER by MCNEAL,GABE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:48,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
18:48,"GOOD FT by BROWN,NICK",41,,43 (+2),,PPU 41-43 (+2),,"GOOD FT by BROWN,NICK",2
18:48,"GOOD FT by BROWN,NICK",42,,43 (+1),,PPU 42-43 (+1),,"GOOD FT by BROWN,NICK",2
18:37,,42,,45 (+3),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 42-45 (+3),,"GOOD JUMPER by TAYLOR,CHRIS",2
18:18,"GOOD JUMPER by HETER,ALAN",44,,45 (+1),,PPU 44-45 (+1),,"GOOD JUMPER by HETER,ALAN",2
17:55,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",2
17:36,"MISS LAYUP by HETER,ALAN",,,,,,,"MISS LAYUP by HETER,ALAN",2
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",2
17:22,,,,,"TURNOVER  by TAYLOR,CHRIS",,,"TURNOVER  by TAYLOR,CHRIS",2
17:10,"MISS LAYUP by MCNEAL,GABE",,,,,,,"MISS LAYUP by MCNEAL,GABE",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
16:54,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
16:54,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",2
16:52,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",2
--,"REBOUND DEF by NOSZKA,MATT",,,,,,,"REBOUND DEF by NOSZKA,MATT",2
16:45,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",2
16:45,"GOOD FT by HETER,ALAN",45,,45,,PPU 45-45 (0),,"GOOD FT by HETER,ALAN",2
