Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
14:57,,10 (+8),,2,"GOOD FT by VANCE,LUKE",HC 10-2 (+8),,"GOOD FT by VANCE,LUKE",1
14:57,,10 (+7),,3,"GOOD FT by VANCE,LUKE",HC 10-3 (+7),,"GOOD FT by VANCE,LUKE",1
14:57,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
14:57,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
14:57,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:57,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
14:46,"GOOD LAYUP by KARSNER,JOSH(in the paint)",12 (+9),,3,,CENTRE_M 12-3 (+9),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
14:31,,12 (+7),,5,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 12-5 (+7),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
14:08,"GOOD LAYUP by GUMP,MATT(in the paint)",14 (+9),,5,,CENTRE_M 14-5 (+9),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
13:54,,14 (+7),,7,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 14-7 (+7),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
13:42,"GOOD 3PTR by STEGGEMAN,ANDREW",17 (+10),,7,,CENTRE_M 17-7 (+10),,"GOOD 3PTR by STEGGEMAN,ANDREW",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
13:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:36,,,,,"SUB IN by CONARD,ALEC",,,"SUB IN by CONARD,ALEC",1
13:36,,,,,"SUB IN by TAULTON,JORDAN",,,"SUB IN by TAULTON,JORDAN",1
13:36,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
13:36,,,,,"SUB OUT by GUMM,GABE",,,"SUB OUT by GUMM,GABE",1
13:33,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
13:10,"GOOD 3PTR by KARSNER,JOSH",20 (+13),,7,,CENTRE_M 20-7 (+13),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
12:51,,,,,"MISS JUMPER by CONARD,ALEC",,,"MISS JUMPER by CONARD,ALEC",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
12:19,"MISS JUMPER by GEEGAN,MIKE",,,,,,,"MISS JUMPER by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by TAULTON,JORDAN",,,"REBOUND DEF by TAULTON,JORDAN",1
12:05,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
12:05,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
11:54,,,,,"FOUL  by CONARD,ALEC",,,"FOUL  by CONARD,ALEC",1
11:54,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
11:54,,,,,"SUB OUT by CONARD,ALEC",,,"SUB OUT by CONARD,ALEC",1
11:40,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
11:20,"MISS JUMPER by STEGGEMAN,ANDREW",,,,,,,"MISS JUMPER by STEGGEMAN,ANDREW",1
11:20,,,,,"BLOCK  by PRIMM,COLTON",,,"BLOCK  by PRIMM,COLTON",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
11:05,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
11:05,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
11:05,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",1
11:05,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",1
11:05,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
11:05,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
11:05,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
10:56,,,,,"MISS LAYUP by PRIMM,COLTON",,,"MISS LAYUP by PRIMM,COLTON",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
10:42,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1
10:42,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:42,"GOOD FT by WESLEY,TYLER",21 (+14),,7,,CENTRE_M 21-7 (+14),,"GOOD FT by WESLEY,TYLER",1
10:42,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
