Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
18:38,,38,,44 (+6),"GOOD JUMPER by PENNY,CJ(in the paint)",AC 38-44 (-6),,"GOOD JUMPER by PENNY,CJ(in the paint)",2
18:29,"GOOD JUMPER by WESLEY,TYLER(in the paint)",40,,44 (+4),,CENTR 40-44 (-4),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
18:29,,,,,"FOUL  by LAMB,KYLE",,,"FOUL  by LAMB,KYLE",2
18:29,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
17:54,,,,,"MISS 3PTR by PENNY,CJ",,,"MISS 3PTR by PENNY,CJ",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
17:46,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",42,,44 (+2),,CENTR 42-44 (-2),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",2
17:23,,,,,"MISS JUMPER by EUTON,DAKOTAH",,,"MISS JUMPER by EUTON,DAKOTAH",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
17:17,,,,,"FOUL  by RICHARDSON,CAM",,,"FOUL  by RICHARDSON,CAM",2
17:17,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
17:17,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
17:14,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",44,,44,,CENTR 44-44 (0),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
16:58,,,,,"MISS 3PTR by RICHARDSON,CAM",,,"MISS 3PTR by RICHARDSON,CAM",2
--,,,,,"REBOUND OFF by PENNY,CJ",,,"REBOUND OFF by PENNY,CJ",2
16:55,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
16:55,,44,,45 (+1),"GOOD FT by RICHARDSON,CAM",AC 44-45 (-1),,"GOOD FT by RICHARDSON,CAM",2
16:55,,44,,46 (+2),"GOOD FT by RICHARDSON,CAM",AC 44-46 (-2),,"GOOD FT by RICHARDSON,CAM",2
16:55,,,,,"SUB IN by FLANNERY,AUSTIN",,,"SUB IN by FLANNERY,AUSTIN",2
16:55,,,,,"SUB OUT by EUTON,DAKOTAH",,,"SUB OUT by EUTON,DAKOTAH",2
16:48,"GOOD 3PTR by LOPEZ,COLLIN",47 (+1),,46,,CENTR 47-46 (+1),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
16:28,,,,,"MISS JUMPER by RICHARDSON,CAM",,,"MISS JUMPER by RICHARDSON,CAM",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
16:23,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",49 (+3),,46,,CENTR 49-46 (+3),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
16:23,,,,,"FOUL  by LAMB,KYLE",,,"FOUL  by LAMB,KYLE",2
16:23,"MISS FT by LOPEZ,COLLIN",,,,,,,"MISS FT by LOPEZ,COLLIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:23,"GOOD FT by LOPEZ,COLLIN",50 (+4),,46,,CENTR 50-46 (+4),,"GOOD FT by LOPEZ,COLLIN",2
16:10,,50 (+2),,48,"GOOD JUMPER by RICHARDSON,CAM",AC 50-48 (+2),,"GOOD JUMPER by RICHARDSON,CAM",2
--,,,,,"ASSIST  by FLANNERY,AUSTIN",,,"ASSIST  by FLANNERY,AUSTIN",2
15:49,,,,,"FOUL  by FLANNERY,AUSTIN",,,"FOUL  by FLANNERY,AUSTIN",2
15:44,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",52 (+4),,48,,CENTR 52-48 (+4),,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
15:34,,52 (+1),,51,"GOOD 3PTR by LAMB,KYLE",AC 52-51 (+1),,"GOOD 3PTR by LAMB,KYLE",2
15:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:13,"GOOD JUMPER by WHITESIDE,DONOVAN",54 (+3),,51,,CENTR 54-51 (+3),,"GOOD JUMPER by WHITESIDE,DONOVAN",2
15:03,,54 (+1),,53,"GOOD JUMPER by MORRIS,LEE'VAUGHN(in the paint)",AC 54-53 (+1),,"GOOD JUMPER by MORRIS,LEE'VAUGHN(in the paint)",2
14:45,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
14:38,,54,,56 (+2),"GOOD 3PTR by RICHARDSON,CAM",AC 54-56 (-2),,"GOOD 3PTR by RICHARDSON,CAM",2
--,,,,,"ASSIST  by MORRIS,LEE'VAUGHN",,,"ASSIST  by MORRIS,LEE'VAUGHN",2
14:20,,,,,"FOUL  by FLANNERY,AUSTIN",,,"FOUL  by FLANNERY,AUSTIN",2
14:20,"GOOD FT by WHITESIDE,DONOVAN",55,,56 (+1),,CENTR 55-56 (-1),,"GOOD FT by WHITESIDE,DONOVAN",2
14:20,"GOOD FT by WHITESIDE,DONOVAN",56,,56,,CENTR 56-56 (0),,"GOOD FT by WHITESIDE,DONOVAN",2
14:20,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
14:20,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
14:20,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
14:20,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
14:20,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
14:20,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
14:04,,,,,"MISS JUMPER by PENNY,CJ",,,"MISS JUMPER by PENNY,CJ",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
13:50,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
13:50,,,,,"BLOCK  by MORRIS,LEE'VAUGHN",,,"BLOCK  by MORRIS,LEE'VAUGHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:37,,,,,"MISS JUMPER by FLANNERY,AUSTIN",,,"MISS JUMPER by FLANNERY,AUSTIN",2
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",2
13:18,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
13:15,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
13:09,,,,,"MISS JUMPER by RICHARDSON,CAM",,,"MISS JUMPER by RICHARDSON,CAM",2
--,,,,,"REBOUND OFF by LAMB,KYLE",,,"REBOUND OFF by LAMB,KYLE",2
12:55,,56,,58 (+2),"GOOD JUMPER by PENNY,CJ(in the paint)",AC 56-58 (-2),,"GOOD JUMPER by PENNY,CJ(in the paint)",2
12:39,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",2
--,,,,,"REBOUND DEF by RICHARDSON,CAM",,,"REBOUND DEF by RICHARDSON,CAM",2
12:38,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
12:38,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
12:38,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
12:38,,,,,"SUB IN by GILBERT,JORDAN",,,"SUB IN by GILBERT,JORDAN",2
12:38,,,,,"SUB OUT by LAMB,KYLE",,,"SUB OUT by LAMB,KYLE",2
12:30,,56,,60 (+4),"GOOD JUMPER by PENNY,CJ(in the paint)",AC 56-60 (-4),,"GOOD JUMPER by PENNY,CJ(in the paint)",2
--,,,,,"ASSIST  by RICHARDSON,CAM",,,"ASSIST  by RICHARDSON,CAM",2
12:10,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",2
12:10,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:00,,,,,"MISS JUMPER by MORRIS,LEE'VAUGHN",,,"MISS JUMPER by MORRIS,LEE'VAUGHN",2
11:59,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
11:52,"GOOD 3PTR by KARSNER,JOSH",59,,60 (+1),,CENTR 59-60 (-1),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by MURRAY,RYAN",,,,,,,"ASSIST  by MURRAY,RYAN",2
11:28,,,,,"MISS 3PTR by FLANNERY,AUSTIN",,,"MISS 3PTR by FLANNERY,AUSTIN",2
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",2
11:19,"MISS JUMPER by MURRAY,RYAN",,,,,,,"MISS JUMPER by MURRAY,RYAN",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
11:13,,,,,"TURNOVER  by RICHARDSON,CAM",,,"TURNOVER  by RICHARDSON,CAM",2
11:13,,,,,"SUB IN by LAMB,KYLE",,,"SUB IN by LAMB,KYLE",2
11:13,,,,,"SUB OUT by FLANNERY,AUSTIN",,,"SUB OUT by FLANNERY,AUSTIN",2
10:55,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
10:47,,59,,63 (+4),"GOOD 3PTR by RICHARDSON,CAM",AC 59-63 (-4),,"GOOD 3PTR by RICHARDSON,CAM",2
--,,,,,"ASSIST  by MORRIS,LEE'VAUGHN",,,"ASSIST  by MORRIS,LEE'VAUGHN",2
10:18,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
10:09,,,,,"MISS JUMPER by LAMB,KYLE",,,"MISS JUMPER by LAMB,KYLE",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
09:59,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",2
09:54,,,,,"STEAL  by PENNY,CJ",,,"STEAL  by PENNY,CJ",2
09:51,,59,,65 (+6),"GOOD JUMPER by PENNY,CJ(in the paint)",AC 59-65 (-6),,"GOOD JUMPER by PENNY,CJ(in the paint)",2
--,,,,,"ASSIST  by RICHARDSON,CAM",,,"ASSIST  by RICHARDSON,CAM",2
09:45,"GOOD JUMPER by GUMP,MATT(in the paint)",61,,65 (+4),,CENTR 61-65 (-4),,"GOOD JUMPER by GUMP,MATT(in the paint)",2
09:27,,,,,"MISS 3PTR by MORRIS,LEE'VAUGHN",,,"MISS 3PTR by MORRIS,LEE'VAUGHN",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
09:10,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",63,,65 (+2),,CENTR 63-65 (-2),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",2
08:44,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
08:44,,,,,"SUB IN by SMITH,TYLER",,,"SUB IN by SMITH,TYLER",2
08:44,,,,,"SUB IN by EUTON,DAKOTAH",,,"SUB IN by EUTON,DAKOTAH",2
08:44,,,,,"SUB OUT by PENNY,CJ",,,"SUB OUT by PENNY,CJ",2
08:44,,,,,"SUB OUT by RICHARDSON,CAM",,,"SUB OUT by RICHARDSON,CAM",2
08:36,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
08:36,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
08:36,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
08:36,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
08:36,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
08:36,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
08:36,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
08:36,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
08:36,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
08:36,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
08:32,,,,,"MISS JUMPER by EUTON,DAKOTAH",,,"MISS JUMPER by EUTON,DAKOTAH",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
08:23,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by SMITH,TYLER",,,"REBOUND DEF by SMITH,TYLER",2
08:11,,63,,67 (+4),"GOOD JUMPER by MORRIS,LEE'VAUGHN(in the paint)",AC 63-67 (-4),,"GOOD JUMPER by MORRIS,LEE'VAUGHN(in the paint)",2
07:55,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by SMITH,TYLER",,,"REBOUND DEF by SMITH,TYLER",2
07:50,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
07:48,,63,,70 (+7),"GOOD 3PTR by LAMB,KYLE",AC 63-70 (-7),,"GOOD 3PTR by LAMB,KYLE",2
--,,,,,"ASSIST  by MORRIS,LEE'VAUGHN",,,"ASSIST  by MORRIS,LEE'VAUGHN",2
07:25,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",2
07:17,,63,,72 (+9),"GOOD JUMPER by SMITH,TYLER(in the paint)",AC 63-72 (-9),,"GOOD JUMPER by SMITH,TYLER(in the paint)",2
--,,,,,"ASSIST  by GILBERT,JORDAN",,,"ASSIST  by GILBERT,JORDAN",2
07:17,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
07:17,,,,,"MISS FT by SMITH,TYLER",,,"MISS FT by SMITH,TYLER",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
07:17,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
07:17,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
07:12,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by LAMB,KYLE",,,"REBOUND DEF by LAMB,KYLE",2
07:08,,,,,"TURNOVER  by LAMB,KYLE",,,"TURNOVER  by LAMB,KYLE",2
07:08,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
07:08,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
06:50,"GOOD 3PTR by KARSNER,JOSH",66,,72 (+6),,CENTR 66-72 (-6),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
06:23,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
06:23,,66,,73 (+7),"GOOD FT by SMITH,TYLER",AC 66-73 (-7),,"GOOD FT by SMITH,TYLER",2
06:23,,66,,74 (+8),"GOOD FT by SMITH,TYLER",AC 66-74 (-8),,"GOOD FT by SMITH,TYLER",2
06:23,,,,,"SUB IN by PENNY,CJ",,,"SUB IN by PENNY,CJ",2
06:23,,,,,"SUB IN by RICHARDSON,CAM",,,"SUB IN by RICHARDSON,CAM",2
06:23,,,,,"SUB OUT by SMITH,TYLER",,,"SUB OUT by SMITH,TYLER",2
06:23,,,,,"SUB OUT by MORRIS,LEE'VAUGHN",,,"SUB OUT by MORRIS,LEE'VAUGHN",2
06:10,"GOOD 3PTR by LOPEZ,COLLIN",69,,74 (+5),,CENTR 69-74 (-5),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
05:53,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
05:53,,69,,75 (+6),"GOOD FT by EUTON,DAKOTAH",AC 69-75 (-6),,"GOOD FT by EUTON,DAKOTAH",2
05:53,,69,,76 (+7),"GOOD FT by EUTON,DAKOTAH",AC 69-76 (-7),,"GOOD FT by EUTON,DAKOTAH",2
05:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:39,"GOOD 3PTR by SCINTA,BLAKE",72,,76 (+4),,CENTR 72-76 (-4),,"GOOD 3PTR by SCINTA,BLAKE",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
05:28,,,,,"TURNOVER  by RICHARDSON,CAM",,,"TURNOVER  by RICHARDSON,CAM",2
05:09,,,,,"FOUL  by PENNY,CJ",,,"FOUL  by PENNY,CJ",2
05:09,"GOOD FT by WHITESIDE,DONOVAN",73,,76 (+3),,CENTR 73-76 (-3),,"GOOD FT by WHITESIDE,DONOVAN",2
05:09,"MISS FT by WHITESIDE,DONOVAN",,,,,,,"MISS FT by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by EUTON,DAKOTAH",,,"REBOUND DEF by EUTON,DAKOTAH",2
04:59,,,,,"TURNOVER  by RICHARDSON,CAM",,,"TURNOVER  by RICHARDSON,CAM",2
04:57,"STEAL  by STEGGEMAN,ANDREW",,,,,,,"STEAL  by STEGGEMAN,ANDREW",2
04:52,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",75,,76 (+1),,CENTR 75-76 (-1),,"GOOD JUMPER by WHITESIDE,DONOVAN(in the paint)",2
04:24,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
04:24,,,,,"MISS FT by PENNY,CJ",,,"MISS FT by PENNY,CJ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:24,,75,,77 (+2),"GOOD FT by PENNY,CJ",AC 75-77 (-2),,"GOOD FT by PENNY,CJ",2
04:24,,,,,"SUB IN by FLANNERY,AUSTIN",,,"SUB IN by FLANNERY,AUSTIN",2
04:24,,,,,"SUB IN by MORRIS,LEE'VAUGHN",,,"SUB IN by MORRIS,LEE'VAUGHN",2
04:24,,,,,"SUB OUT by GILBERT,JORDAN",,,"SUB OUT by GILBERT,JORDAN",2
04:24,,,,,"SUB OUT by EUTON,DAKOTAH",,,"SUB OUT by EUTON,DAKOTAH",2
04:07,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by FLANNERY,AUSTIN",,,"REBOUND DEF by FLANNERY,AUSTIN",2
03:51,,,,,"MISS 3PTR by LAMB,KYLE",,,"MISS 3PTR by LAMB,KYLE",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
03:45,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",77,,77,,CENTR 77-77 (0),,"GOOD JUMPER by LOPEZ,COLLIN(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
03:23,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
03:23,,,,,"MISS FT by RICHARDSON,CAM",,,"MISS FT by RICHARDSON,CAM",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
03:14,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by RICHARDSON,CAM",,,"REBOUND DEF by RICHARDSON,CAM",2
03:02,,,,,"MISS JUMPER by MORRIS,LEE'VAUGHN",,,"MISS JUMPER by MORRIS,LEE'VAUGHN",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
02:47,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:47,,,,,"SUB IN by SMITH,TYLER",,,"SUB IN by SMITH,TYLER",2
02:47,,,,,"SUB OUT by FLANNERY,AUSTIN",,,"SUB OUT by FLANNERY,AUSTIN",2
02:42,"GOOD JUMPER by KARSNER,JOSH",79 (+2),,77,,CENTR 79-77 (+2),,"GOOD JUMPER by KARSNER,JOSH",2
02:22,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
02:22,,,,,"MISS FT by PENNY,CJ",,,"MISS FT by PENNY,CJ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
02:22,,,,,"MISS FT by PENNY,CJ",,,"MISS FT by PENNY,CJ",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
01:57,"MISS JUMPER by KARSNER,JOSH",,,,,,,"MISS JUMPER by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by SMITH,TYLER",,,"REBOUND DEF by SMITH,TYLER",2
01:47,,79,,79,"GOOD JUMPER by MORRIS,LEE'VAUGHN(in the paint)",AC 79-79 (0),,"GOOD JUMPER by MORRIS,LEE'VAUGHN(in the paint)",2
01:12,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:10,,,,,"SUB IN by FLANNERY,AUSTIN",,,"SUB IN by FLANNERY,AUSTIN",2
01:10,,,,,"SUB OUT by SMITH,TYLER",,,"SUB OUT by SMITH,TYLER",2
00:56,,79,,81 (+2),"GOOD JUMPER by FLANNERY,AUSTIN(in the paint)",AC 79-81 (-2),,"GOOD JUMPER by FLANNERY,AUSTIN(in the paint)",2
--,,,,,"ASSIST  by PENNY,CJ",,,"ASSIST  by PENNY,CJ",2
00:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:55,,,,,"SUB IN by SMITH,TYLER",,,"SUB IN by SMITH,TYLER",2
00:55,,,,,"SUB OUT by FLANNERY,AUSTIN",,,"SUB OUT by FLANNERY,AUSTIN",2
00:32,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",2
00:20,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
00:20,,79,,82 (+3),"GOOD FT by MORRIS,LEE'VAUGHN",AC 79-82 (-3),,"GOOD FT by MORRIS,LEE'VAUGHN",2
00:20,,79,,83 (+4),"GOOD FT by MORRIS,LEE'VAUGHN",AC 79-83 (-4),,"GOOD FT by MORRIS,LEE'VAUGHN",2
00:20,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
00:20,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
00:08,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,"REBOUND OFF by KARSNER,JOSH",,,,,,,"REBOUND OFF by KARSNER,JOSH",2
00:06,"GOOD JUMPER by KARSNER,JOSH(in the paint)",81,,83 (+2),,CENTR 81-83 (-2),,"GOOD JUMPER by KARSNER,JOSH(in the paint)",2
00:06,,,,,"FOUL  by SMITH,TYLER",,,"FOUL  by SMITH,TYLER",2
00:06,"MISS FT by KARSNER,JOSH",,,,,,,"MISS FT by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by LAMB,KYLE",,,"REBOUND DEF by LAMB,KYLE",2
00:06,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
00:06,,81,,84 (+3),"GOOD FT by LAMB,KYLE",AC 81-84 (-3),,"GOOD FT by LAMB,KYLE",2
00:06,,81,,85 (+4),"GOOD FT by LAMB,KYLE",AC 81-85 (-4),,"GOOD FT by LAMB,KYLE",2
00:06,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",2
--,,,,,"REBOUND DEF by LAMB,KYLE",,,"REBOUND DEF by LAMB,KYLE",2
00:01,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",2
00:01,,81,,86 (+5),"GOOD FT by LAMB,KYLE",AC 81-86 (-5),,"GOOD FT by LAMB,KYLE",2
00:01,,81,,87 (+6),"GOOD FT by LAMB,KYLE",AC 81-87 (-6),,"GOOD FT by LAMB,KYLE",2
