Time Remaining,CENTR,Away Team Score,Play Team Indicator,Home Team Score,AC,Game Score,Team Indicator,Play,Period
15:57,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",1
15:56,,,,,"STEAL  by MORRIS,LEE'VAUGHN",,,"STEAL  by MORRIS,LEE'VAUGHN",1
15:46,,,,,"MISS JUMPER by EUTON,DAKOTAH",,,"MISS JUMPER by EUTON,DAKOTAH",1
15:45,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
15:39,"GOOD JUMPER by WESLEY,TYLER(in the paint)",4,,4,,CENTR 4-4 (0),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",1
15:30,,,,,"TURNOVER  by MORRIS,LEE'VAUGHN",,,"TURNOVER  by MORRIS,LEE'VAUGHN",1
15:30,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
15:30,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",1
15:30,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
15:30,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
15:08,"GOOD JUMPER by MURRAY,RYAN",6 (+2),,4,,CENTR 6-4 (+2),,"GOOD JUMPER by MURRAY,RYAN",1
14:57,,,,,"MISS 3PTR by MORRIS,LEE'VAUGHN",,,"MISS 3PTR by MORRIS,LEE'VAUGHN",1
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",1
14:37,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by RICHARDSON,CAM",,,"REBOUND DEF by RICHARDSON,CAM",1
14:22,,,,,"MISS JUMPER by LAMB,KYLE",,,"MISS JUMPER by LAMB,KYLE",1
14:22,"BLOCK  by WHITESIDE,DONOVAN",,,,,,,"BLOCK  by WHITESIDE,DONOVAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:14,,,,,"MISS 3PTR by EUTON,DAKOTAH",,,"MISS 3PTR by EUTON,DAKOTAH",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
14:01,,,,,"FOUL  by MORRIS,LEE'VAUGHN",,,"FOUL  by MORRIS,LEE'VAUGHN",1
14:01,"GOOD FT by GUMP,MATT",7 (+3),,4,,CENTR 7-4 (+3),,"GOOD FT by GUMP,MATT",1
14:01,"GOOD FT by GUMP,MATT",8 (+4),,4,,CENTR 8-4 (+4),,"GOOD FT by GUMP,MATT",1
14:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:01,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
14:01,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
14:01,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
14:01,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
14:01,,,,,"SUB IN by GILBERT,JORDAN",,,"SUB IN by GILBERT,JORDAN",1
14:01,,,,,"SUB OUT by MORRIS,LEE'VAUGHN",,,"SUB OUT by MORRIS,LEE'VAUGHN",1
13:37,,,,,"MISS JUMPER by EUTON,DAKOTAH",,,"MISS JUMPER by EUTON,DAKOTAH",1
13:33,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
13:25,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",1
13:18,"FOUL  by MURRAY,RYAN",,,,,,,"FOUL  by MURRAY,RYAN",1
13:18,,,,,"SUB IN by FLANNERY,AUSTIN",,,"SUB IN by FLANNERY,AUSTIN",1
13:18,,,,,"SUB OUT by EUTON,DAKOTAH",,,"SUB OUT by EUTON,DAKOTAH",1
13:12,,8 (+1),,7,"GOOD 3PTR by LAMB,KYLE",AC 8-7 (+1),,"GOOD 3PTR by LAMB,KYLE",1
--,,,,,"ASSIST  by PENNY,CJ",,,"ASSIST  by PENNY,CJ",1
12:44,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by PENNY,CJ",,,"REBOUND DEF by PENNY,CJ",1
