Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,TRANSY,Game Score,Team Indicator,Play,Period
16:57,,44 (+2),,42,"GOOD JUMPER by STANSBERRY,PARKER",TRANSY 44-42 (+2),,"GOOD JUMPER by STANSBERRY,PARKER",2
--,,,,,"ASSIST  by JONES,ALEX",,,"ASSIST  by JONES,ALEX",2
16:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:47,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by STANSBERRY,PARKER",,,"REBOUND DEF by STANSBERRY,PARKER",2
16:47,"SUB IN by MURRAY,RYAN",,,,,,,"SUB IN by MURRAY,RYAN",2
16:47,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
16:47,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
16:47,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
16:47,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
16:47,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
16:47,,,,,"SUB IN by JONES,ALEX",,,"SUB IN by JONES,ALEX",2
16:47,,,,,"SUB OUT by TILLER,TREVOR",,,"SUB OUT by TILLER,TREVOR",2
16:31,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
16:31,,44 (+1),,43,"GOOD FT by MONROE,MASON",TRANSY 44-43 (+1),,"GOOD FT by MONROE,MASON",2
16:31,,44,,44,"GOOD FT by MONROE,MASON",TRANSY 44-44 (0),,"GOOD FT by MONROE,MASON",2
16:31,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
16:31,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
16:09,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by ROWE,ETHAN",,,"REBOUND DEF by ROWE,ETHAN",2
16:00,,,,,"MISS LAYUP by ROWE,ETHAN",,,"MISS LAYUP by ROWE,ETHAN",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
15:53,"GOOD LAYUP by KARSNER,JOSH(in the paint)",46 (+2),,44,,CENTRE_M 46-44 (+2),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",2
15:53,,,,,"FOUL  by WADE,LOGAN",,,"FOUL  by WADE,LOGAN",2
15:53,"GOOD FT by KARSNER,JOSH",47 (+3),,44,,CENTRE_M 47-44 (+3),,"GOOD FT by KARSNER,JOSH",2
15:43,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
15:43,,47 (+2),,45,"GOOD FT by MONROE,MASON",TRANSY 47-45 (+2),,"GOOD FT by MONROE,MASON",2
15:43,,47 (+1),,46,"GOOD FT by MONROE,MASON",TRANSY 47-46 (+1),,"GOOD FT by MONROE,MASON",2
15:33,,,,,"FOUL  by ROWE,ETHAN",,,"FOUL  by ROWE,ETHAN",2
15:33,,,,,"SUB IN by PARKE,DANIEL",,,"SUB IN by PARKE,DANIEL",2
15:33,,,,,"SUB OUT by WADE,LOGAN",,,"SUB OUT by WADE,LOGAN",2
15:31,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
15:19,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
15:12,,,,,"MISS 3PTR by STANSBERRY,PARKER",,,"MISS 3PTR by STANSBERRY,PARKER",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
14:59,"GOOD 3PTR by MURRAY,RYAN",50 (+4),,46,,CENTRE_M 50-46 (+4),,"GOOD 3PTR by MURRAY,RYAN",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
14:33,,,,,"MISS 3PTR by JONES,ALEX",,,"MISS 3PTR by JONES,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:28,,,,,"FOUL  by STANSBERRY,PARKER",,,"FOUL  by STANSBERRY,PARKER",2
14:15,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by STANSBERRY,PARKER",,,"REBOUND DEF by STANSBERRY,PARKER",2
14:04,,,,,"MISS 3PTR by PARKE,DANIEL",,,"MISS 3PTR by PARKE,DANIEL",2
--,,,,,"REBOUND OFF by JONES,ALEX",,,"REBOUND OFF by JONES,ALEX",2
13:59,,,,,"MISS JUMPER by STANSBERRY,PARKER",,,"MISS JUMPER by STANSBERRY,PARKER",2
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",2
13:44,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,,,,,"REBOUND DEF by STANSBERRY,PARKER",,,"REBOUND DEF by STANSBERRY,PARKER",2
13:28,,,,,"MISS JUMPER by MONROE,MASON",,,"MISS JUMPER by MONROE,MASON",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
13:20,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
13:17,,,,,"SUB IN by TILLER,TREVOR",,,"SUB IN by TILLER,TREVOR",2
13:17,,,,,"SUB OUT by STANSBERRY,PARKER",,,"SUB OUT by STANSBERRY,PARKER",2
13:01,,,,,"MISS JUMPER by WADE,LOGAN",,,"MISS JUMPER by WADE,LOGAN",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
12:53,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
12:53,,,,,"BLOCK  by WADE,LOGAN",,,"BLOCK  by WADE,LOGAN",2
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",2
12:50,,,,,"FOUL  by TILLER,TREVOR",,,"FOUL  by TILLER,TREVOR",2
12:35,"GOOD JUMPER by KARSNER,JOSH(in the paint)",52 (+6),,46,,CENTRE_M 52-46 (+6),,"GOOD JUMPER by KARSNER,JOSH(in the paint)",2
12:11,,,,,"TURNOVER  by ROWE,ETHAN",,,"TURNOVER  by ROWE,ETHAN",2
12:10,,,,,"FOUL  by ROWE,ETHAN",,,"FOUL  by ROWE,ETHAN",2
12:10,,,,,"SUB IN by STANSBERRY,PARKER",,,"SUB IN by STANSBERRY,PARKER",2
12:10,,,,,"SUB IN by SIRKIN,TOMMY",,,"SUB IN by SIRKIN,TOMMY",2
12:10,,,,,"SUB OUT by MONROE,MASON",,,"SUB OUT by MONROE,MASON",2
12:10,,,,,"SUB OUT by ROWE,ETHAN",,,"SUB OUT by ROWE,ETHAN",2
11:55,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",2
11:53,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
11:53,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
11:27,,52 (+4),,48,"GOOD JUMPER by STANSBERRY,PARKER",TRANSY 52-48 (+4),,"GOOD JUMPER by STANSBERRY,PARKER",2
--,,,,,"ASSIST  by PARKE,DANIEL",,,"ASSIST  by PARKE,DANIEL",2
11:16,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
11:08,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
11:08,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
11:08,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
11:08,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",2
11:08,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
11:08,,,,,"SUB IN by WADE,LOGAN",,,"SUB IN by WADE,LOGAN",2
11:08,,,,,"SUB OUT by PARKE,DANIEL",,,"SUB OUT by PARKE,DANIEL",2
10:59,,52 (+2),,50,"GOOD JUMPER by JONES,ALEX",TRANSY 52-50 (+2),,"GOOD JUMPER by JONES,ALEX",2
10:51,"GOOD 3PTR by WHITESIDE,DONOVAN",55 (+5),,50,,CENTRE_M 55-50 (+5),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
--,"ASSIST  by MURRAY,RYAN",,,,,,,"ASSIST  by MURRAY,RYAN",2
10:19,,,,,"MISS JUMPER by SIRKIN,TOMMY",,,"MISS JUMPER by SIRKIN,TOMMY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:09,,,,,"MISS JUMPER by WADE,LOGAN",,,"MISS JUMPER by WADE,LOGAN",2
--,"REBOUND DEF by MURRAY,RYAN",,,,,,,"REBOUND DEF by MURRAY,RYAN",2
09:58,"GOOD 3PTR by KARSNER,JOSH",58 (+8),,50,,CENTRE_M 58-50 (+8),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
09:53,,,,,"TURNOVER  by SIRKIN,TOMMY",,,"TURNOVER  by SIRKIN,TOMMY",2
09:52,"STEAL  by MURRAY,RYAN",,,,,,,"STEAL  by MURRAY,RYAN",2
09:44,"MISS JUMPER by MURRAY,RYAN",,,,,,,"MISS JUMPER by MURRAY,RYAN",2
--,"REBOUND OFF by MURRAY,RYAN",,,,,,,"REBOUND OFF by MURRAY,RYAN",2
09:42,"GOOD TIPIN by MURRAY,RYAN(in the paint)",60 (+10),,50,,CENTRE_M 60-50 (+10),,"GOOD TIPIN by MURRAY,RYAN(in the paint)",2
09:42,,,,,"SUB IN by MONROE,MASON",,,"SUB IN by MONROE,MASON",2
09:42,,,,,"SUB OUT by SIRKIN,TOMMY",,,"SUB OUT by SIRKIN,TOMMY",2
09:29,,,,,"MISS JUMPER by MONROE,MASON",,,"MISS JUMPER by MONROE,MASON",2
09:29,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
09:13,"MISS JUMPER by MURRAY,RYAN",,,,,,,"MISS JUMPER by MURRAY,RYAN",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
09:11,,,,,"FOUL  by WADE,LOGAN",,,"FOUL  by WADE,LOGAN",2
09:11,"GOOD FT by WESLEY,TYLER",61 (+11),,50,,CENTRE_M 61-50 (+11),,"GOOD FT by WESLEY,TYLER",2
09:11,"GOOD FT by WESLEY,TYLER",62 (+12),,50,,CENTRE_M 62-50 (+12),,"GOOD FT by WESLEY,TYLER",2
09:11,,,,,"SUB IN by ROWE,ETHAN",,,"SUB IN by ROWE,ETHAN",2
09:11,,,,,"SUB OUT by TILLER,TREVOR",,,"SUB OUT by TILLER,TREVOR",2
08:59,,62 (+9),,53,"GOOD 3PTR by WADE,LOGAN",TRANSY 62-53 (+9),,"GOOD 3PTR by WADE,LOGAN",2
08:28,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,,,,,"REBOUND DEF by JONES,ALEX",,,"REBOUND DEF by JONES,ALEX",2
08:14,,,,,"TURNOVER  by STANSBERRY,PARKER",,,"TURNOVER  by STANSBERRY,PARKER",2
08:02,"GOOD LAYUP by MURRAY,RYAN(in the paint)",64 (+11),,53,,CENTRE_M 64-53 (+11),,"GOOD LAYUP by MURRAY,RYAN(in the paint)",2
07:49,,,,,"MISS JUMPER by MONROE,MASON",,,"MISS JUMPER by MONROE,MASON",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
07:34,"GOOD JUMPER by GUMP,MATT(in the paint)",66 (+13),,53,,CENTRE_M 66-53 (+13),,"GOOD JUMPER by GUMP,MATT(in the paint)",2
07:08,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
07:08,,66 (+12),,54,"GOOD FT by WADE,LOGAN",TRANSY 66-54 (+12),,"GOOD FT by WADE,LOGAN",2
07:08,,,,,"MISS FT by WADE,LOGAN",,,"MISS FT by WADE,LOGAN",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
07:02,"TURNOVER  by MURRAY,RYAN",,,,,,,"TURNOVER  by MURRAY,RYAN",2
07:01,,,,,"STEAL  by MONROE,MASON",,,"STEAL  by MONROE,MASON",2
06:49,,66 (+10),,56,"GOOD LAYUP by MONROE,MASON(fastbreak)(in the paint)",TRANSY 66-56 (+10),,"GOOD LAYUP by MONROE,MASON(fastbreak)(in the paint)",2
06:43,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",2
06:43,,,,,"SUB IN by SIRKIN,TOMMY",,,"SUB IN by SIRKIN,TOMMY",2
06:43,,,,,"SUB OUT by ROWE,ETHAN",,,"SUB OUT by ROWE,ETHAN",2
06:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:41,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
06:41,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
06:41,,,,,"SUB IN by PARKE,DANIEL",,,"SUB IN by PARKE,DANIEL",2
06:41,,,,,"SUB OUT by SIRKIN,TOMMY",,,"SUB OUT by SIRKIN,TOMMY",2
06:25,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
06:25,,66 (+9),,57,"GOOD FT by WADE,LOGAN",TRANSY 66-57 (+9),,"GOOD FT by WADE,LOGAN",2
06:25,,66 (+8),,58,"GOOD FT by WADE,LOGAN",TRANSY 66-58 (+8),,"GOOD FT by WADE,LOGAN",2
06:25,,,,,"SUB IN by SIRKIN,TOMMY",,,"SUB IN by SIRKIN,TOMMY",2
06:25,,,,,"SUB OUT by WADE,LOGAN",,,"SUB OUT by WADE,LOGAN",2
06:05,"GOOD LAYUP by WESLEY,TYLER(in the paint)",68 (+10),,58,,CENTRE_M 68-58 (+10),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
05:49,,,,,"MISS 3PTR by JONES,ALEX",,,"MISS 3PTR by JONES,ALEX",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
05:31,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
05:28,"GOOD TIPIN by WESLEY,TYLER(in the paint)",70 (+12),,58,,CENTRE_M 70-58 (+12),,"GOOD TIPIN by WESLEY,TYLER(in the paint)",2
05:03,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
05:03,,70 (+11),,59,"GOOD FT by STANSBERRY,PARKER",TRANSY 70-59 (+11),,"GOOD FT by STANSBERRY,PARKER",2
05:03,,70 (+10),,60,"GOOD FT by STANSBERRY,PARKER",TRANSY 70-60 (+10),,"GOOD FT by STANSBERRY,PARKER",2
04:55,"GOOD 3PTR by WHITESIDE,DONOVAN",73 (+13),,60,,CENTRE_M 73-60 (+13),,"GOOD 3PTR by WHITESIDE,DONOVAN",2
04:34,,,,,"TURNOVER  by PARKE,DANIEL",,,"TURNOVER  by PARKE,DANIEL",2
04:33,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
04:30,"MISS DUNK by WHITESIDE,DONOVAN",,,,,,,"MISS DUNK by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by MONROE,MASON",,,"REBOUND DEF by MONROE,MASON",2
04:27,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:27,,,,,"SUB IN by WADE,LOGAN",,,"SUB IN by WADE,LOGAN",2
04:27,,,,,"SUB IN by TILLER,TREVOR",,,"SUB IN by TILLER,TREVOR",2
04:27,,,,,"SUB OUT by SIRKIN,TOMMY",,,"SUB OUT by SIRKIN,TOMMY",2
04:27,,,,,"SUB OUT by PARKE,DANIEL",,,"SUB OUT by PARKE,DANIEL",2
04:15,,73 (+10),,63,"GOOD 3PTR by STANSBERRY,PARKER",TRANSY 73-63 (+10),,"GOOD 3PTR by STANSBERRY,PARKER",2
--,,,,,"ASSIST  by WADE,LOGAN",,,"ASSIST  by WADE,LOGAN",2
03:50,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",2
03:48,"GOOD TIPIN by WESLEY,TYLER(in the paint)",75 (+12),,63,,CENTRE_M 75-63 (+12),,"GOOD TIPIN by WESLEY,TYLER(in the paint)",2
03:39,,,,,"MISS LAYUP by MONROE,MASON",,,"MISS LAYUP by MONROE,MASON",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
03:17,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by STANSBERRY,PARKER",,,"REBOUND DEF by STANSBERRY,PARKER",2
03:04,,,,,"MISS JUMPER by JONES,ALEX",,,"MISS JUMPER by JONES,ALEX",2
--,,,,,"REBOUND OFF by JONES,ALEX",,,"REBOUND OFF by JONES,ALEX",2
02:58,,75 (+10),,65,"GOOD LAYUP by JONES,ALEX(in the paint)",TRANSY 75-65 (+10),,"GOOD LAYUP by JONES,ALEX(in the paint)",2
02:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:37,,,,,"SUB IN by SIRKIN,TOMMY",,,"SUB IN by SIRKIN,TOMMY",2
02:37,,,,,"SUB OUT by TILLER,TREVOR",,,"SUB OUT by TILLER,TREVOR",2
02:30,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",2
--,,,,,"REBOUND DEF by JONES,ALEX",,,"REBOUND DEF by JONES,ALEX",2
02:20,,75 (+8),,67,"GOOD LAYUP by MONROE,MASON(in the paint)",TRANSY 75-67 (+8),,"GOOD LAYUP by MONROE,MASON(in the paint)",2
02:11,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:08,,,,,"FOUL  by MONROE,MASON",,,"FOUL  by MONROE,MASON",2
02:08,"GOOD FT by TAYLOR,CHRIS",76 (+9),,67,,CENTRE_M 76-67 (+9),,"GOOD FT by TAYLOR,CHRIS",2
02:08,"MISS FT by TAYLOR,CHRIS",,,,,,,"MISS FT by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by STANSBERRY,PARKER",,,"REBOUND DEF by STANSBERRY,PARKER",2
01:52,,,,,"MISS JUMPER by JONES,ALEX",,,"MISS JUMPER by JONES,ALEX",2
--,,,,,"REBOUND OFF by JONES,ALEX",,,"REBOUND OFF by JONES,ALEX",2
01:50,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
01:50,,,,,"MISS FT by JONES,ALEX",,,"MISS FT by JONES,ALEX",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:50,,76 (+8),,68,"GOOD FT by JONES,ALEX",TRANSY 76-68 (+8),,"GOOD FT by JONES,ALEX",2
01:50,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
01:50,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
01:50,,,,,"SUB IN by PARKE,DANIEL",,,"SUB IN by PARKE,DANIEL",2
01:50,,,,,"SUB OUT by WADE,LOGAN",,,"SUB OUT by WADE,LOGAN",2
01:27,,,,,"FOUL  by MONROE,MASON",,,"FOUL  by MONROE,MASON",2
01:27,"GOOD FT by KARSNER,JOSH",77 (+9),,68,,CENTRE_M 77-68 (+9),,"GOOD FT by KARSNER,JOSH",2
01:27,"GOOD FT by KARSNER,JOSH",78 (+10),,68,,CENTRE_M 78-68 (+10),,"GOOD FT by KARSNER,JOSH",2
01:27,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
01:27,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
01:27,,,,,"SUB IN by WADE,LOGAN",,,"SUB IN by WADE,LOGAN",2
01:27,,,,,"SUB OUT by SIRKIN,TOMMY",,,"SUB OUT by SIRKIN,TOMMY",2
01:07,,,,,"TURNOVER  by STANSBERRY,PARKER",,,"TURNOVER  by STANSBERRY,PARKER",2
01:07,"STEAL  by TAYLOR,CHRIS",,,,,,,"STEAL  by TAYLOR,CHRIS",2
01:06,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",2
00:59,,78 (+8),,70,"GOOD JUMPER by JONES,ALEX(in the paint)",TRANSY 78-70 (+8),,"GOOD JUMPER by JONES,ALEX(in the paint)",2
00:58,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:58,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
00:58,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
00:58,,,,,"SUB IN by SIRKIN,TOMMY",,,"SUB IN by SIRKIN,TOMMY",2
00:58,,,,,"SUB OUT by WADE,LOGAN",,,"SUB OUT by WADE,LOGAN",2
00:45,,,,,"FOUL  by STANSBERRY,PARKER",,,"FOUL  by STANSBERRY,PARKER",2
00:45,"GOOD FT by KARSNER,JOSH",79 (+9),,70,,CENTRE_M 79-70 (+9),,"GOOD FT by KARSNER,JOSH",2
00:45,"GOOD FT by KARSNER,JOSH",80 (+10),,70,,CENTRE_M 80-70 (+10),,"GOOD FT by KARSNER,JOSH",2
00:45,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
00:45,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
00:45,,,,,"SUB IN by WADE,LOGAN",,,"SUB IN by WADE,LOGAN",2
00:45,,,,,"SUB OUT by SIRKIN,TOMMY",,,"SUB OUT by SIRKIN,TOMMY",2
00:34,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
00:34,,80 (+9),,71,"GOOD FT by MONROE,MASON",TRANSY 80-71 (+9),,"GOOD FT by MONROE,MASON",2
00:34,,80 (+8),,72,"GOOD FT by MONROE,MASON",TRANSY 80-72 (+8),,"GOOD FT by MONROE,MASON",2
00:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:34,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
00:34,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
00:34,,,,,"SUB IN by SIRKIN,TOMMY",,,"SUB IN by SIRKIN,TOMMY",2
00:34,,,,,"SUB OUT by WADE,LOGAN",,,"SUB OUT by WADE,LOGAN",2
00:25,,,,,"FOUL  by SIRKIN,TOMMY",,,"FOUL  by SIRKIN,TOMMY",2
00:25,"GOOD FT by WHITESIDE,DONOVAN",81 (+9),,72,,CENTRE_M 81-72 (+9),,"GOOD FT by WHITESIDE,DONOVAN",2
00:25,"GOOD FT by WHITESIDE,DONOVAN",82 (+10),,72,,CENTRE_M 82-72 (+10),,"GOOD FT by WHITESIDE,DONOVAN",2
00:25,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",2
00:25,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
00:25,,,,,"SUB IN by WADE,LOGAN",,,"SUB IN by WADE,LOGAN",2
00:25,,,,,"SUB OUT by SIRKIN,TOMMY",,,"SUB OUT by SIRKIN,TOMMY",2
00:18,,82 (+7),,75,"GOOD 3PTR by JONES,ALEX",TRANSY 82-75 (+7),,"GOOD 3PTR by JONES,ALEX",2
--,,,,,"ASSIST  by MONROE,MASON",,,"ASSIST  by MONROE,MASON",2
00:14,,,,,"FOUL  by JONES,ALEX",,,"FOUL  by JONES,ALEX",2
00:14,"GOOD FT by WHITESIDE,DONOVAN",83 (+8),,75,,CENTRE_M 83-75 (+8),,"GOOD FT by WHITESIDE,DONOVAN",2
00:14,"GOOD FT by WHITESIDE,DONOVAN",84 (+9),,75,,CENTRE_M 84-75 (+9),,"GOOD FT by WHITESIDE,DONOVAN",2
00:09,,,,,"MISS LAYUP by MONROE,MASON",,,"MISS LAYUP by MONROE,MASON",2
00:09,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
00:05,,,,,"MISS 3PTR by WADE,LOGAN",,,"MISS 3PTR by WADE,LOGAN",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
