Time Remaining,CNTRM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
04:06,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
03:59,,,,,"SUB IN by KINNEY,JORDAN",,,"SUB IN by KINNEY,JORDAN",1
03:59,,,,,"SUB OUT by PERRY,WILL",,,"SUB OUT by PERRY,WILL",1
03:46,"GOOD JUMPER by WHITESIDE,DONOVAN",20 (+13),,7,,CNTRM 20-7 (+13),,"GOOD JUMPER by WHITESIDE,DONOVAN",1
03:28,,,,,"MISS 3PTR by ROHLFS,VICTOR",,,"MISS 3PTR by ROHLFS,VICTOR",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
03:21,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
03:21,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
03:09,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",22 (+15),,7,,CNTRM 22-7 (+15),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
03:09,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",1
03:09,"GOOD FT by SCINTA,BLAKE",23 (+16),,7,,CNTRM 23-7 (+16),,"GOOD FT by SCINTA,BLAKE",1
03:09,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
03:09,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
03:09,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
03:09,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
02:49,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",1
02:45,"STEAL  by LOPEZ,COLLIN",,,,,,,"STEAL  by LOPEZ,COLLIN",1
02:26,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",1
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",1
02:16,,23 (+13),,10,"GOOD 3PTR by SMITH,CONNOR",OUM 23-10 (+13),,"GOOD 3PTR by SMITH,CONNOR",1
01:49,,,,,"FOUL  by ROHLFS,VICTOR",,,"FOUL  by ROHLFS,VICTOR",1
01:49,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
01:49,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
01:49,,,,,"SUB IN by SIGRIST,CONNOR",,,"SUB IN by SIGRIST,CONNOR",1
01:49,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
01:40,,,,,"MISS 3PTR by SMITH,CONNOR",,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND OFF by COURSON,TYLER",,,"REBOUND OFF by COURSON,TYLER",1
01:34,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
01:34,,23 (+12),,11,"GOOD FT by ROHLFS,VICTOR",OUM 23-11 (+12),,"GOOD FT by ROHLFS,VICTOR",1
01:34,,,,,"MISS FT by ROHLFS,VICTOR",,,"MISS FT by ROHLFS,VICTOR",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
01:34,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
01:34,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
01:34,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
01:34,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",1
01:14,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
01:09,,23 (+9),,14,"GOOD 3PTR by ROHLFS,VICTOR",OUM 23-14 (+9),,"GOOD 3PTR by ROHLFS,VICTOR",1
--,,,,,"ASSIST  by COURSON,TYLER",,,"ASSIST  by COURSON,TYLER",1
00:45,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
00:45,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
00:18,,,,,"TURNOVER  by DAVIS,ALEX",,,"TURNOVER  by DAVIS,ALEX",1
00:18,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
00:18,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
00:18,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",1
00:18,,,,,"SUB OUT by ROHLFS,VICTOR",,,"SUB OUT by ROHLFS,VICTOR",1
19:55,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",2
19:55,,,,,"SUB OUT by PATRICK,DREW",,,"SUB OUT by PATRICK,DREW",2
19:54,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",2
19:52,,,,,"STEAL  by DAVIS,ALEX",,,"STEAL  by DAVIS,ALEX",2
19:33,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
19:18,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",2
18:57,"MISS 3PTR by MURRAY,RYAN",,,,,,,"MISS 3PTR by MURRAY,RYAN",2
--,,,,,"REBOUND DEF by DAVIS,ALEX",,,"REBOUND DEF by DAVIS,ALEX",2
18:48,,,,,"MISS 3PTR by ROHLFS,VICTOR",,,"MISS 3PTR by ROHLFS,VICTOR",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
18:37,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:09,,,,,"MISS JUMPER by COURSON,TYLER",,,"MISS JUMPER by COURSON,TYLER",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
17:55,"GOOD 3PTR by LOPEZ,COLLIN",26 (+12),,14,,CNTRM 26-14 (+12),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",2
17:14,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
17:14,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
16:51,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",28 (+14),,14,,CNTRM 28-14 (+14),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
16:43,,,,,"MISS 3PTR by COURSON,TYLER",,,"MISS 3PTR by COURSON,TYLER",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:33,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",2
16:33,"GOOD FT by SCINTA,BLAKE",29 (+15),,14,,CNTRM 29-14 (+15),,"GOOD FT by SCINTA,BLAKE",2
16:33,"GOOD FT by SCINTA,BLAKE",30 (+16),,14,,CNTRM 30-14 (+16),,"GOOD FT by SCINTA,BLAKE",2
16:33,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
16:33,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
16:18,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",2
15:56,,30 (+13),,17,"GOOD 3PTR by ROHLFS,VICTOR",OUM 30-17 (+13),,"GOOD 3PTR by ROHLFS,VICTOR",2
--,,,,,"ASSIST  by DAVIS,ALEX",,,"ASSIST  by DAVIS,ALEX",2
15:20,"GOOD LAYUP by KARSNER,JOSH(in the paint)",32 (+15),,17,,CNTRM 32-17 (+15),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
15:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:08,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",2
15:07,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",2
14:51,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by SMITH,CONNOR",,,"REBOUND DEF by SMITH,CONNOR",2
14:41,,,,,"MISS JUMPER by KINNEY,JORDAN",,,"MISS JUMPER by KINNEY,JORDAN",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
14:23,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
14:23,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
14:23,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
14:23,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
14:23,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
14:23,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
14:23,"SUB OUT by MURRAY,RYAN",,,,,,,"SUB OUT by MURRAY,RYAN",2
14:23,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
14:23,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",2
14:09,,32 (+13),,19,"GOOD LAYUP by COURSON,TYLER(in the paint)",OUM 32-19 (+13),,"GOOD LAYUP by COURSON,TYLER(in the paint)",2
13:46,"GOOD 3PTR by LOPEZ,COLLIN",35 (+16),,19,,CNTRM 35-19 (+16),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
13:15,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
