Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:49,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
19:27,,0,,2 (+2),"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 0-2 (+2),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
19:11,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
19:11,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
19:00,,0,,4 (+4),"GOOD JUMPER by GEORGETOWN II,ARNESS",Rhodes 0-4 (+4),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"ASSIST  by SHEN,KEVIN",,,"ASSIST  by SHEN,KEVIN",1
18:35,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",2,,4 (+2),,BSC 2-4 (+2),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
18:21,,2,,6 (+4),"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",Rhodes 2-6 (+4),,"GOOD JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1
18:02,"GOOD LAYUP by SIGLER,EVAN(in the paint)",4,,6 (+2),,BSC 4-6 (+2),,"GOOD LAYUP by SIGLER,EVAN(in the paint)",1
18:02,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1
18:02,"GOOD FT by SIGLER,EVAN",5,,6 (+1),,BSC 5-6 (+1),,"GOOD FT by SIGLER,EVAN",1
17:38,,5,,8 (+3),"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 5-8 (+3),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
17:33,,,,,"FOUL  by WILEY,KOKI",,,"FOUL  by WILEY,KOKI",1
