Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
14:27,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
14:22,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
14:22,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
14:01,,6,,17 (+11),"GOOD 3PTR by WILLIAMS,JALEN",Centre 6-17 (-11),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by WELLS,GAGE",,,"ASSIST  by WELLS,GAGE",1
13:50,"MISS 3PTR by CLAYTON,TJ",,,,,,,"MISS 3PTR by CLAYTON,TJ",1
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",1
13:46,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",1
13:46,"MISS FT by WILEY,KOKI",,,,,,,"MISS FT by WILEY,KOKI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:46,"GOOD FT by WILEY,KOKI",7,,17 (+10),,Rhodes 7-17 (-10),,"GOOD FT by WILEY,KOKI",1
13:36,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
13:32,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by HIESTER,JACKSON",,,,,,,"REBOUND DEF by HIESTER,JACKSON",1
13:32,,,,,"FOUL  by MOORE,CHEZ",,,"FOUL  by MOORE,CHEZ",1
13:11,"MISS JUMPER by HIESTER,JACKSON",,,,,,,"MISS JUMPER by HIESTER,JACKSON",1
--,,,,,"REBOUND DEF by WELLS,GAGE",,,"REBOUND DEF by WELLS,GAGE",1
12:54,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
12:54,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
12:54,,7,,20 (+13),"GOOD 3PTR by CRUMP,DAWSON",Centre 7-20 (-13),,"GOOD 3PTR by CRUMP,DAWSON",1
12:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:54,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
12:54,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
12:54,"SUB OUT by HIESTER,JACKSON",,,,,,,"SUB OUT by HIESTER,JACKSON",1
12:54,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
12:54,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
12:54,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
12:26,"GOOD JUMPER by JAMES,MAC(in the paint)",9,,20 (+11),,Rhodes 9-20 (-11),,"GOOD JUMPER by JAMES,MAC(in the paint)",1
12:09,"FOUL  by CLAYTON,TJ",,,,,,,"FOUL  by CLAYTON,TJ",1
12:09,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
12:09,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
12:09,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
12:09,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
12:09,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
12:09,"SUB IN by COOK,JEREMIAH",,,,,,,"SUB IN by COOK,JEREMIAH",1
11:57,,,,,"MISS 3PTR by WELLS,GAGE",,,"MISS 3PTR by WELLS,GAGE",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
11:31,"MISS 3PTR by COOK,JEREMIAH",,,,,,,"MISS 3PTR by COOK,JEREMIAH",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
11:13,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
11:13,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:11,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
11:11,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
10:56,"GOOD LAYUP by ESSICK,JALEN(in the paint)",11,,20 (+9),,Rhodes 11-20 (-9),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
--,"ASSIST  by GEORGETOWN II,ARNESS",,,,,,,"ASSIST  by GEORGETOWN II,ARNESS",1
10:35,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
10:35,,,,,"SUB OUT by WELLS,GAGE",,,"SUB OUT by WELLS,GAGE",1
10:35,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
10:35,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
10:35,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
10:12,,11,,23 (+12),"GOOD 3PTR by WILSON,DREW",Centre 11-23 (-12),,"GOOD 3PTR by WILSON,DREW",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
09:59,"MISS JUMPER by WALKER,JEFFERSON",,,,,,,"MISS JUMPER by WALKER,JEFFERSON",1
--,"REBOUND OFF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
09:58,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
09:58,"GOOD FT by GEORGETOWN II,ARNESS",12,,23 (+11),,Rhodes 12-23 (-11),,"GOOD FT by GEORGETOWN II,ARNESS",1
09:58,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
09:58,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
09:58,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
09:58,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
09:58,"MISS FT by GEORGETOWN II,ARNESS",,,,,,,"MISS FT by GEORGETOWN II,ARNESS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:58,,,,,"FOUL  by WILLIAMS,JALEN",,,"FOUL  by WILLIAMS,JALEN",1
09:39,"MISS 3PTR by COOK,JEREMIAH",,,,,,,"MISS 3PTR by COOK,JEREMIAH",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
09:30,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
09:30,"STEAL  by COOK,JEREMIAH",,,,,,,"STEAL  by COOK,JEREMIAH",1
09:29,"TURNOVER  by COOK,JEREMIAH",,,,,,,"TURNOVER  by COOK,JEREMIAH",1
09:17,,12,,25 (+13),"GOOD LAYUP by CRUMP,DAWSON(in the paint)",Centre 12-25 (-13),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
--,,,,,"ASSIST  by KNOCHELMANN,PETE",,,"ASSIST  by KNOCHELMANN,PETE",1
09:01,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
08:47,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
08:38,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by KNOCHELMANN,PETE",,,"REBOUND DEF by KNOCHELMANN,PETE",1
08:17,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
08:17,,,,,"MISS FT by WILSON,DREW",,,"MISS FT by WILSON,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:14,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
08:14,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:14,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
08:14,,,,,"SUB IN by WELLS,GAGE",,,"SUB IN by WELLS,GAGE",1
08:14,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
08:14,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
08:14,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
08:14,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
08:12,,12,,26 (+14),"GOOD FT by WILSON,DREW",Centre 12-26 (-14),,"GOOD FT by WILSON,DREW",1
