Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Hend,Game Score,Team Indicator,Play,Period
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
16:18,,6,,7 (+1),"GOOD JUMPER by CUMMINGS II,ROD(in the paint)",Hend 6-7 (-1),,"GOOD JUMPER by CUMMINGS II,ROD(in the paint)",1
16:04,"MISS LAYUP by JAMES,MAC(in the paint)",,,,,,,"MISS LAYUP by JAMES,MAC(in the paint)",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
15:53,,6,,9 (+3),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 6-9 (-3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
15:37,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
15:37,,,,,"STEAL  by COMAN,SEAN",,,"STEAL  by COMAN,SEAN",1
15:33,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
15:33,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:33,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
15:33,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
15:33,,,,,"MISS FT by COMAN,SEAN(fastbreak)",,,"MISS FT by COMAN,SEAN(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:33,,,,,"MISS FT by COMAN,SEAN(fastbreak)",,,"MISS FT by COMAN,SEAN(fastbreak)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
15:07,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",1
15:02,"GOOD LAYUP by ESSICK,JALEN(in the paint)",8,,9 (+1),,Rhodes 8-9 (-1),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
14:34,,,,,"TURNOVER  by JOHNSON,DAMECKO",,,"TURNOVER  by JOHNSON,DAMECKO",1
14:34,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
14:34,,,,,"SUB IN by PARKS,JACKSON",,,"SUB IN by PARKS,JACKSON",1
14:34,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
14:34,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
14:05,"MISS JUMPER by WALKER,JEFFERSON",,,,,,,"MISS JUMPER by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
13:56,,,,,"MISS LAYUP by PARKS,JACKSON(in the paint)",,,"MISS LAYUP by PARKS,JACKSON(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
13:42,"TURNOVER  by CLAYTON,TJ",,,,,,,"TURNOVER  by CLAYTON,TJ",1
13:42,,,,,"SUB OUT by JOHNSON,DAMECKO",,,"SUB OUT by JOHNSON,DAMECKO",1
13:42,,,,,"SUB OUT by CUMMINGS II,ROD",,,"SUB OUT by CUMMINGS II,ROD",1
13:42,,,,,"SUB IN by RYAN,JONATHAN",,,"SUB IN by RYAN,JONATHAN",1
13:42,,,,,"SUB IN by II,CRAIG",,,"SUB IN by II,CRAIG",1
13:33,,,,,"TURNOVER  by RYAN,JONATHAN",,,"TURNOVER  by RYAN,JONATHAN",1
13:13,"MISS JUMPER by WALKER,JEFFERSON",,,,,,,"MISS JUMPER by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by II,CRAIG",,,"REBOUND DEF by II,CRAIG",1
13:07,,,,,"MISS JUMPER by II,CRAIG",,,"MISS JUMPER by II,CRAIG",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
12:56,"TURNOVER  by CLAYTON,TJ",,,,,,,"TURNOVER  by CLAYTON,TJ",1
12:37,,8,,11 (+3),"GOOD LAYUP by STANLEY,SETH(in the paint)",Hend 8-11 (-3),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
