Time Remaining,RHOM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:30,"GOOD LAYUP by WILEY,KOKI(in the paint)",2 (+2),,0,,RHOM 2-0 (+2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
19:07,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND DEF by CLAYTON,TJ",,,,,,,"REBOUND DEF by CLAYTON,TJ",1
18:40,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND OFF by CLAYTON,TJ",,,,,,,"REBOUND OFF by CLAYTON,TJ",1
18:34,"GOOD LAYUP by CLAYTON,TJ(in the paint)",4 (+4),,0,,RHOM 4-0 (+4),,"GOOD LAYUP by CLAYTON,TJ(in the paint)",1
18:14,,4 (+1),,3,"GOOD 3PTR by JENEI,RYAN",OUM 4-3 (+1),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
17:52,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",1
17:41,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",1
--,"REBOUND DEF by CLAYTON,TJ",,,,,,,"REBOUND DEF by CLAYTON,TJ",1
17:21,,,,,"FOUL  by SONE,CARLOS",,,"FOUL  by SONE,CARLOS",1
17:21,"GOOD FT by JAMES,MAC",5 (+2),,3,,RHOM 5-3 (+2),,"GOOD FT by JAMES,MAC",1
17:21,"GOOD FT by JAMES,MAC",6 (+3),,3,,RHOM 6-3 (+3),,"GOOD FT by JAMES,MAC",1
17:03,,6,,6,"GOOD 3PTR by JENEI,RYAN",OUM 6-6 (0),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST  by EZIGBO,UBA",,,"ASSIST  by EZIGBO,UBA",1
