Time Remaining,Sal,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
15:03,,,,,"FOUL  by CLAYTON,TJ",,,"FOUL  by CLAYTON,TJ",1
15:03,"MISS FT by OATES,JORDAN",,,,,,,"MISS FT by OATES,JORDAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:03,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
15:03,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
15:03,"SUB OUT by BLOODSWOTH,GREG",,,,,,,"SUB OUT by BLOODSWOTH,GREG",1
15:03,"SUB OUT by FIERSTEIN,JOHNNY",,,,,,,"SUB OUT by FIERSTEIN,JOHNNY",1
15:03,"SUB OUT by CARR,SEAN",,,,,,,"SUB OUT by CARR,SEAN",1
15:03,"SUB IN by CRAIG,BRANDON",,,,,,,"SUB IN by CRAIG,BRANDON",1
15:03,"SUB IN by HEARD,CAMERON",,,,,,,"SUB IN by HEARD,CAMERON",1
15:03,"SUB IN by GOYENA,ROB",,,,,,,"SUB IN by GOYENA,ROB",1
15:03,"MISS FT by OATES,JORDAN",,,,,,,"MISS FT by OATES,JORDAN",1
--,"REBOUND OFF by CRAIG,BRANDON",,,,,,,"REBOUND OFF by CRAIG,BRANDON",1
15:03,"GOOD LAYUP by CRAIG,BRANDON(in the paint)",10 (+6),,4,,Sal 10-4 (-6),,"GOOD LAYUP by CRAIG,BRANDON(in the paint)",1
14:43,"FOUL  by GOYENA,ROB",,,,,,,"FOUL  by GOYENA,ROB",1
14:43,,10 (+5),,5,"GOOD FT by SHEN,KEVIN",Rhodes 10-5 (-5),,"GOOD FT by SHEN,KEVIN",1
14:43,,,,,"SUB OUT by FITZGERALD,DAVID",,,"SUB OUT by FITZGERALD,DAVID",1
14:43,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",1
14:43,,10 (+4),,6,"GOOD FT by SHEN,KEVIN",Rhodes 10-6 (-4),,"GOOD FT by SHEN,KEVIN",1
14:32,"TURNOVER  by GOYENA,ROB",,,,,,,"TURNOVER  by GOYENA,ROB",1
14:32,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",1
14:32,"FOUL  by GOYENA,ROB",,,,,,,"FOUL  by GOYENA,ROB",1
14:16,,,,,"TURNOVER  by WHITE,ELIJAH",,,"TURNOVER  by WHITE,ELIJAH",1
13:59,"GOOD JUMPER by OATES,JORDAN",12 (+6),,6,,Sal 12-6 (-6),,"GOOD JUMPER by OATES,JORDAN",1
13:45,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
13:38,,,,,"FOUL  by WHITE,ELIJAH",,,"FOUL  by WHITE,ELIJAH",1
13:38,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
13:38,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
13:33,"GOOD LAYUP by CRAIG,BRANDON(in the paint)",14 (+8),,6,,Sal 14-6 (-8),,"GOOD LAYUP by CRAIG,BRANDON(in the paint)",1
--,"ASSIST  by OATES,JORDAN",,,,,,,"ASSIST  by OATES,JORDAN",1
13:13,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",,,"TURNOVER  by GEORGETOWN II,ARNESS",1
13:13,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",1
13:13,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
13:03,"GOOD 3PTR by BRIDDELL,GARY",17 (+11),,6,,Sal 17-6 (-11),,"GOOD 3PTR by BRIDDELL,GARY",1
--,"ASSIST  by OATES,JORDAN",,,,,,,"ASSIST  by OATES,JORDAN",1
12:51,,,,,"TURNOVER  by JAMES,MAC",,,"TURNOVER  by JAMES,MAC",1
12:51,"STEAL  by CRAIG,BRANDON",,,,,,,"STEAL  by CRAIG,BRANDON",1
12:46,"MISS LAYUP by OATES,JORDAN(in the paint)",,,,,,,"MISS LAYUP by OATES,JORDAN(in the paint)",1
--,"REBOUND OFF by BRIDDELL,GARY",,,,,,,"REBOUND OFF by BRIDDELL,GARY",1
12:45,"GOOD LAYUP by BRIDDELL,GARY(in the paint)",19 (+13),,6,,Sal 19-6 (-13),,"GOOD LAYUP by BRIDDELL,GARY(in the paint)",1
12:45,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
12:45,"MISS FT by BRIDDELL,GARY",,,,,,,"MISS FT by BRIDDELL,GARY",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
12:30,,19 (+11),,8,"GOOD LAYUP by ESSICK,JALEN(in the paint)",Rhodes 19-8 (-11),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
12:22,"MISS 3PTR by OATES,JORDAN",,,,,,,"MISS 3PTR by OATES,JORDAN",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
12:16,"FOUL  by BRIDDELL,GARY",,,,,,,"FOUL  by BRIDDELL,GARY",1
12:16,,,,,"MISS FT by JAMES,MAC(fastbreak)",,,"MISS FT by JAMES,MAC(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:16,"SUB OUT by GOYENA,ROB",,,,,,,"SUB OUT by GOYENA,ROB",1
12:16,"SUB IN by FIERSTEIN,JOHNNY",,,,,,,"SUB IN by FIERSTEIN,JOHNNY",1
12:16,"SUB OUT by OATES,JORDAN",,,,,,,"SUB OUT by OATES,JORDAN",1
12:16,"SUB IN by CARR,SEAN",,,,,,,"SUB IN by CARR,SEAN",1
12:16,,19 (+10),,9,"GOOD FT by JAMES,MAC(fastbreak)",Rhodes 19-9 (-10),,"GOOD FT by JAMES,MAC(fastbreak)",1
12:08,"GOOD LAYUP by CRAIG,BRANDON(in the paint)",21 (+12),,9,,Sal 21-9 (-12),,"GOOD LAYUP by CRAIG,BRANDON(in the paint)",1
11:48,,,,,"TURNOVER  by COOK,JEREMIAH",,,"TURNOVER  by COOK,JEREMIAH",1
11:33,"MISS JUMPER by CARR,SEAN",,,,,,,"MISS JUMPER by CARR,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:30,"SUB OUT by CRAIG,BRANDON",,,,,,,"SUB OUT by CRAIG,BRANDON",1
11:30,"SUB IN by GARCIA,PAUL",,,,,,,"SUB IN by GARCIA,PAUL",1
11:30,"SUB OUT by BRIDDELL,GARY",,,,,,,"SUB OUT by BRIDDELL,GARY",1
11:30,"SUB IN by GOYENA,ROB",,,,,,,"SUB IN by GOYENA,ROB",1
11:25,,,,,"TURNOVER  by SHEN,KEVIN",,,"TURNOVER  by SHEN,KEVIN",1
11:25,"SUB OUT by GOYENA,ROB",,,,,,,"SUB OUT by GOYENA,ROB",1
11:25,"SUB IN by BRIDDELL,GARY",,,,,,,"SUB IN by BRIDDELL,GARY",1
10:59,"MISS 3PTR by GARCIA,PAUL",,,,,,,"MISS 3PTR by GARCIA,PAUL",1
10:59,,,,,"BLOCK  by ESSICK,JALEN",,,"BLOCK  by ESSICK,JALEN",1
--,"REBOUND OFF by HEARD,CAMERON",,,,,,,"REBOUND OFF by HEARD,CAMERON",1
10:53,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
10:53,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",1
10:53,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
10:53,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
10:53,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",1
10:37,"FOUL  by BRIDDELL,GARY",,,,,,,"FOUL  by BRIDDELL,GARY",1
10:37,"SUB OUT by HEARD,CAMERON",,,,,,,"SUB OUT by HEARD,CAMERON",1
10:37,"SUB OUT by BRIDDELL,GARY",,,,,,,"SUB OUT by BRIDDELL,GARY",1
10:37,"SUB IN by CRAIG,BRANDON",,,,,,,"SUB IN by CRAIG,BRANDON",1
10:37,"SUB IN by BLOODSWOTH,GREG",,,,,,,"SUB IN by BLOODSWOTH,GREG",1
10:25,,21 (+9),,12,"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 21-12 (-9),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
09:52,"MISS JUMPER by CARR,SEAN",,,,,,,"MISS JUMPER by CARR,SEAN",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
09:39,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1
09:39,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",,,"TURNOVER  by GEORGETOWN II,ARNESS",1
09:39,"SUB OUT by GARCIA,PAUL",,,,,,,"SUB OUT by GARCIA,PAUL",1
09:39,"SUB IN by OATES,JORDAN",,,,,,,"SUB IN by OATES,JORDAN",1
09:36,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
09:36,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
09:21,"MISS 3PTR by BLOODSWOTH,GREG",,,,,,,"MISS 3PTR by BLOODSWOTH,GREG",1
--,"REBOUND OFF by OATES,JORDAN",,,,,,,"REBOUND OFF by OATES,JORDAN",1
09:18,"MISS 3PTR by OATES,JORDAN",,,,,,,"MISS 3PTR by OATES,JORDAN",1
--,,,,,"REBOUND DEF by JAMES,MAC",,,"REBOUND DEF by JAMES,MAC",1
09:08,,,,,"MISS 3PTR by CLAYTON,TJ",,,"MISS 3PTR by CLAYTON,TJ",1
--,"REBOUND DEF by OATES,JORDAN",,,,,,,"REBOUND DEF by OATES,JORDAN",1
08:47,"GOOD JUMPER by CRAIG,BRANDON(in the paint)",23 (+11),,12,,Sal 23-12 (-11),,"GOOD JUMPER by CRAIG,BRANDON(in the paint)",1
08:29,,,,,"TURNOVER  by CLAYTON,TJ",,,"TURNOVER  by CLAYTON,TJ",1
08:29,"STEAL  by CRAIG,BRANDON",,,,,,,"STEAL  by CRAIG,BRANDON",1
08:21,,,,,"FOUL  by CLAYTON,TJ",,,"FOUL  by CLAYTON,TJ",1
08:21,"MISS FT by CARR,SEAN(fastbreak)",,,,,,,"MISS FT by CARR,SEAN(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:21,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
08:21,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
08:21,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
08:21,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
08:21,,,,,"SUB IN by FITZGERALD,DAVID",,,"SUB IN by FITZGERALD,DAVID",1
08:21,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
08:21,"GOOD FT by CARR,SEAN(fastbreak)",24 (+12),,12,,Sal 24-12 (-12),,"GOOD FT by CARR,SEAN(fastbreak)",1
08:01,,24 (+9),,15,"GOOD 3PTR by SHEN,KEVIN",Rhodes 24-15 (-9),,"GOOD 3PTR by SHEN,KEVIN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
07:43,"TURNOVER  by FIERSTEIN,JOHNNY",,,,,,,"TURNOVER  by FIERSTEIN,JOHNNY",1
07:43,,,,,"STEAL  by JAMES,MAC",,,"STEAL  by JAMES,MAC",1
07:36,,,,,"MISS 3PTR by FITZGERALD,DAVID",,,"MISS 3PTR by FITZGERALD,DAVID",1
--,"REBOUND DEF by BLOODSWOTH,GREG",,,,,,,"REBOUND DEF by BLOODSWOTH,GREG",1
07:28,"MISS LAYUP by OATES,JORDAN(in the paint)",,,,,,,"MISS LAYUP by OATES,JORDAN(in the paint)",1
07:28,,,,,"BLOCK  by WILLIAMS,ZAVIEN",,,"BLOCK  by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
07:21,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",1
--,"REBOUND DEF by CARR,SEAN",,,,,,,"REBOUND DEF by CARR,SEAN",1
07:02,"MISS JUMPER by BLOODSWOTH,GREG",,,,,,,"MISS JUMPER by BLOODSWOTH,GREG",1
--,"REBOUND OFF by CRAIG,BRANDON",,,,,,,"REBOUND OFF by CRAIG,BRANDON",1
06:45,"FOUL  by CARR,SEAN",,,,,,,"FOUL  by CARR,SEAN",1
06:45,"TURNOVER  by CARR,SEAN",,,,,,,"TURNOVER  by CARR,SEAN",1
06:45,"SUB OUT by CARR,SEAN",,,,,,,"SUB OUT by CARR,SEAN",1
06:45,"SUB IN by BRIDDELL,GARY",,,,,,,"SUB IN by BRIDDELL,GARY",1
06:29,,,,,"MISS JUMPER by SHEN,KEVIN",,,"MISS JUMPER by SHEN,KEVIN",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
06:20,"FOUL  by FIERSTEIN,JOHNNY",,,,,,,"FOUL  by FIERSTEIN,JOHNNY",1
06:20,,,,,"MISS FT by FITZGERALD,DAVID",,,"MISS FT by FITZGERALD,DAVID",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:20,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
06:20,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",1
06:20,"SUB OUT by CRAIG,BRANDON",,,,,,,"SUB OUT by CRAIG,BRANDON",1
06:20,"SUB IN by GARCIA,PAUL",,,,,,,"SUB IN by GARCIA,PAUL",1
06:20,,24 (+8),,16,"GOOD FT by FITZGERALD,DAVID",Rhodes 24-16 (-8),,"GOOD FT by FITZGERALD,DAVID",1
05:58,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",1
05:58,"GOOD FT by GARCIA,PAUL",25 (+9),,16,,Sal 25-16 (-9),,"GOOD FT by GARCIA,PAUL",1
05:58,"MISS FT by GARCIA,PAUL",,,,,,,"MISS FT by GARCIA,PAUL",1
--,"REBOUND OFF by BRIDDELL,GARY",,,,,,,"REBOUND OFF by BRIDDELL,GARY",1
05:58,"MISS LAYUP by BRIDDELL,GARY(in the paint)",,,,,,,"MISS LAYUP by BRIDDELL,GARY(in the paint)",1
--,,,,,"REBOUND DEF by COOK,JEREMIAH",,,"REBOUND DEF by COOK,JEREMIAH",1
05:44,,,,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",,,"MISS JUMPER by COOK,JEREMIAH(in the paint)",1
--,"REBOUND DEF by OATES,JORDAN",,,,,,,"REBOUND DEF by OATES,JORDAN",1
05:37,"MISS JUMPER by GARCIA,PAUL",,,,,,,"MISS JUMPER by GARCIA,PAUL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:35,,,,,"SUB OUT by FITZGERALD,DAVID",,,"SUB OUT by FITZGERALD,DAVID",1
05:35,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
05:35,"SUB OUT by BLOODSWOTH,GREG",,,,,,,"SUB OUT by BLOODSWOTH,GREG",1
05:35,"SUB IN by HEARD,CAMERON",,,,,,,"SUB IN by HEARD,CAMERON",1
05:16,,25 (+7),,18,"GOOD JUMPER by WILLIAMS,ZAVIEN",Rhodes 25-18 (-7),,"GOOD JUMPER by WILLIAMS,ZAVIEN",1
--,,,,,"ASSIST  by COOK,JEREMIAH",,,"ASSIST  by COOK,JEREMIAH",1
05:02,,,,,"FOUL  by GEORGETOWN II,ARNESS",,,"FOUL  by GEORGETOWN II,ARNESS",1
05:02,"MISS FT by OATES,JORDAN",,,,,,,"MISS FT by OATES,JORDAN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
04:41,,25 (+4),,21,"GOOD 3PTR by WILLIAMS,ZAVIEN",Rhodes 25-21 (-4),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"ASSIST  by SHEN,KEVIN",,,"ASSIST  by SHEN,KEVIN",1
04:23,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
04:23,,,,,"SUB IN by FITZGERALD,DAVID",,,"SUB IN by FITZGERALD,DAVID",1
04:13,"FOUL  by OATES,JORDAN",,,,,,,"FOUL  by OATES,JORDAN",1
04:13,"TURNOVER  by OATES,JORDAN",,,,,,,"TURNOVER  by OATES,JORDAN",1
04:13,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
03:52,,25 (+2),,23,"GOOD JUMPER by FITZGERALD,DAVID(in the paint)",Rhodes 25-23 (-2),,"GOOD JUMPER by FITZGERALD,DAVID(in the paint)",1
03:31,"MISS 3PTR by OATES,JORDAN",,,,,,,"MISS 3PTR by OATES,JORDAN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
03:26,"SUB OUT by GARCIA,PAUL",,,,,,,"SUB OUT by GARCIA,PAUL",1
03:26,"SUB OUT by FIERSTEIN,JOHNNY",,,,,,,"SUB OUT by FIERSTEIN,JOHNNY",1
03:26,"SUB IN by CRAIG,BRANDON",,,,,,,"SUB IN by CRAIG,BRANDON",1
03:26,"SUB IN by GOYENA,ROB",,,,,,,"SUB IN by GOYENA,ROB",1
03:10,,25,,26 (+1),"GOOD 3PTR by SHEN,KEVIN",Rhodes 25-26 (+1),,"GOOD 3PTR by SHEN,KEVIN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
02:50,"MISS 3PTR by GOYENA,ROB",,,,,,,"MISS 3PTR by GOYENA,ROB",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
02:30,,,,,"MISS 3PTR by COOK,JEREMIAH",,,"MISS 3PTR by COOK,JEREMIAH",1
--,,,,,"REBOUND OFF by FITZGERALD,DAVID",,,"REBOUND OFF by FITZGERALD,DAVID",1
02:16,"SUB OUT by HEARD,CAMERON",,,,,,,"SUB OUT by HEARD,CAMERON",1
02:16,"SUB IN by BLOODSWOTH,GREG",,,,,,,"SUB IN by BLOODSWOTH,GREG",1
02:09,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
02:09,"BLOCK  by CRAIG,BRANDON",,,,,,,"BLOCK  by CRAIG,BRANDON",1
--,"REBOUND DEF by CRAIG,BRANDON",,,,,,,"REBOUND DEF by CRAIG,BRANDON",1
02:05,,,,,"FOUL  by SHEN,KEVIN",,,"FOUL  by SHEN,KEVIN",1
02:05,"GOOD FT by CRAIG,BRANDON(fastbreak)",26,,26,,Sal 26-26 (0),,"GOOD FT by CRAIG,BRANDON(fastbreak)",1
02:05,"SUB OUT by BRIDDELL,GARY",,,,,,,"SUB OUT by BRIDDELL,GARY",1
02:05,"SUB IN by HEARD,CAMERON",,,,,,,"SUB IN by HEARD,CAMERON",1
02:05,"MISS FT by CRAIG,BRANDON(fastbreak)",,,,,,,"MISS FT by CRAIG,BRANDON(fastbreak)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
02:01,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
02:01,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
02:01,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
02:01,"SUB OUT by HEARD,CAMERON",,,,,,,"SUB OUT by HEARD,CAMERON",1
02:01,"SUB IN by BRIDDELL,GARY",,,,,,,"SUB IN by BRIDDELL,GARY",1
01:40,"GOOD JUMPER by CRAIG,BRANDON(in the paint)",28 (+2),,26,,Sal 28-26 (-2),,"GOOD JUMPER by CRAIG,BRANDON(in the paint)",1
--,"ASSIST  by OATES,JORDAN",,,,,,,"ASSIST  by OATES,JORDAN",1
01:27,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND OFF by COOK,JEREMIAH",,,"REBOUND OFF by COOK,JEREMIAH",1
