Time Remaining,WESTMO,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 0-2 (+2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
19:16,"MISS JUMPER by HARRISON,LANDON",,,,,,,"MISS JUMPER by HARRISON,LANDON",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
18:56,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND DEF by SPRIGGS,EMIL",,,,,,,"REBOUND DEF by SPRIGGS,EMIL",1
18:48,"MISS JUMPER by SPRIGGS,EMIL",,,,,,,"MISS JUMPER by SPRIGGS,EMIL",1
--,"REBOUND OFF by HARRISON,LANDON",,,,,,,"REBOUND OFF by HARRISON,LANDON",1
18:42,"GOOD 3PTR by ALTHAUS,JAXON",3 (+1),,2,,WESTMO 3-2 (-1),,"GOOD 3PTR by ALTHAUS,JAXON",1
--,"ASSIST  by SPRIGGS,EMIL",,,,,,,"ASSIST  by SPRIGGS,EMIL",1
18:12,,3,,4 (+1),"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",Rhodes 3-4 (+1),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
17:55,"MISS JUMPER by SPRIGGS,EMIL",,,,,,,"MISS JUMPER by SPRIGGS,EMIL",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
17:27,,,,,"MISS JUMPER by WILLIAMS,JAYSON(in the paint)",,,"MISS JUMPER by WILLIAMS,JAYSON(in the paint)",1
--,"REBOUND DEF by HARRISON,LANDON",,,,,,,"REBOUND DEF by HARRISON,LANDON",1
17:18,"MISS 3PTR by ALTHAUS,JAXON",,,,,,,"MISS 3PTR by ALTHAUS,JAXON",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
17:03,,3,,7 (+4),"GOOD 3PTR by CLAYTON,TJ",Rhodes 3-7 (+4),,"GOOD 3PTR by CLAYTON,TJ",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
16:43,"GOOD LAYUP by KEMPKER,TRE(in the paint)",5,,7 (+2),,WESTMO 5-7 (+2),,"GOOD LAYUP by KEMPKER,TRE(in the paint)",1
16:29,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
16:29,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
