Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
13:37,,9,,9,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",Berry 9-9 (0),,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",1
13:37,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
13:37,,,,,"MISS FT by JOHNSON,MICHAEL",,,"MISS FT by JOHNSON,MICHAEL",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
13:11,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by JOHNSON,MICHAEL",,,"REBOUND DEF by JOHNSON,MICHAEL",1
13:06,,,,,"TURNOVER  by JOHNSON,MICHAEL",,,"TURNOVER  by JOHNSON,MICHAEL",1
13:06,"STEAL  by SHEN,KEVIN",,,,,,,"STEAL  by SHEN,KEVIN",1
12:51,,,,,"FOUL  by CLARK,BRYCE",,,"FOUL  by CLARK,BRYCE",1
12:51,"GOOD FT by ESSICK,JALEN",10 (+1),,9,,Rhodes 10-9 (+1),,"GOOD FT by ESSICK,JALEN",1
12:51,,,,,"SUB OUT by KRUEGER,JORDAN",,,"SUB OUT by KRUEGER,JORDAN",1
12:51,,,,,"SUB OUT by JOHNSON,MICHAEL",,,"SUB OUT by JOHNSON,MICHAEL",1
12:51,,,,,"SUB IN by BENHAM,BRAXTON",,,"SUB IN by BENHAM,BRAXTON",1
12:51,,,,,"SUB IN by ELLIS,CHASE",,,"SUB IN by ELLIS,CHASE",1
12:51,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
12:51,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
12:51,"GOOD FT by ESSICK,JALEN",11 (+2),,9,,Rhodes 11-9 (+2),,"GOOD FT by ESSICK,JALEN",1
12:51,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
12:51,"SUB IN by AESCHLIMAN,SETH",,,,,,,"SUB IN by AESCHLIMAN,SETH",1
12:30,,,,,"MISS 3PTR by ELLIS,CHASE",,,"MISS 3PTR by ELLIS,CHASE",1
--,"REBOUND DEF by AESCHLIMAN,SETH",,,,,,,"REBOUND DEF by AESCHLIMAN,SETH",1
12:05,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",,,"REBOUND DEF by RUSCIANO,ROBBIE",1
11:43,,,,,"MISS 3PTR by BENHAM,BRAXTON",,,"MISS 3PTR by BENHAM,BRAXTON",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
11:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:28,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
11:28,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
11:24,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
11:24,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
11:14,"TURNOVER  by AESCHLIMAN,SETH",,,,,,,"TURNOVER  by AESCHLIMAN,SETH",1
10:57,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,,,,,"REBOUND OFF by CAMPBELL,BLAKE",,,"REBOUND OFF by CAMPBELL,BLAKE",1
10:49,,11,,11,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",Berry 11-11 (0),,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",1
10:24,"GOOD LAYUP by ESSICK,JALEN(in the paint)",13 (+2),,11,,Rhodes 13-11 (+2),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",1
--,"ASSIST  by AESCHLIMAN,SETH",,,,,,,"ASSIST  by AESCHLIMAN,SETH",1
10:11,,13,,13,"GOOD LAYUP by BENHAM,BRAXTON(in the paint)",Berry 13-13 (0),,"GOOD LAYUP by BENHAM,BRAXTON(in the paint)",1
09:49,,,,,"FOUL  by CLARK,BRYCE",,,"FOUL  by CLARK,BRYCE",1
09:49,,,,,"SUB OUT by CLARK,BRYCE",,,"SUB OUT by CLARK,BRYCE",1
09:49,,,,,"SUB OUT by RUSCIANO,ROBBIE",,,"SUB OUT by RUSCIANO,ROBBIE",1
09:49,,,,,"SUB IN by COSTAS,RILEY",,,"SUB IN by COSTAS,RILEY",1
09:49,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
09:49,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
09:49,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
09:48,"GOOD FT by AESCHLIMAN,SETH",14 (+1),,13,,Rhodes 14-13 (+1),,"GOOD FT by AESCHLIMAN,SETH",1
09:48,"MISS FT by AESCHLIMAN,SETH",,,,,,,"MISS FT by AESCHLIMAN,SETH",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
09:30,"FOUL  by WILLIAMS,JAYSON",,,,,,,"FOUL  by WILLIAMS,JAYSON",1
09:30,"SUB OUT by AESCHLIMAN,SETH",,,,,,,"SUB OUT by AESCHLIMAN,SETH",1
09:30,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
09:29,,14,,15 (+1),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 14-15 (-1),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
09:18,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND DEF by BROOKS,AUSTIN",,,"REBOUND DEF by BROOKS,AUSTIN",1
09:08,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",1
09:08,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
09:08,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
09:08,,14,,18 (+4),"GOOD 3PTR by CAMPBELL,BLAKE",Berry 14-18 (-4),,"GOOD 3PTR by CAMPBELL,BLAKE",1
09:08,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
09:08,,14,,19 (+5),"GOOD FT by CAMPBELL,BLAKE",Berry 14-19 (-5),,"GOOD FT by CAMPBELL,BLAKE",1
--,,,,,"ASSIST  by BROOKS,AUSTIN",,,"ASSIST  by BROOKS,AUSTIN",1
08:44,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
08:32,,,,,"TURNOVER  by BENHAM,BRAXTON",,,"TURNOVER  by BENHAM,BRAXTON",1
08:32,,,,,"SUB OUT by BENHAM,BRAXTON",,,"SUB OUT by BENHAM,BRAXTON",1
08:32,,,,,"SUB IN by JOHNSON,MICHAEL",,,"SUB IN by JOHNSON,MICHAEL",1
08:32,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
08:32,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
07:59,"MISS JUMPER by WALKER,JEFFERSON",,,,,,,"MISS JUMPER by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",1
07:37,,14,,21 (+7),"GOOD LAYUP by COSTAS,RILEY(in the paint)",Berry 14-21 (-7),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",1
07:13,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",16,,21 (+5),,Rhodes 16-21 (-5),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
07:13,,,,,"FOUL  by CAMPBELL,BLAKE",,,"FOUL  by CAMPBELL,BLAKE",1
07:13,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:13,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
07:13,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
07:13,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
07:13,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
07:13,"GOOD FT by WILLIAMS,ZAVIEN",17,,21 (+4),,Rhodes 17-21 (-4),,"GOOD FT by WILLIAMS,ZAVIEN",1
07:13,,,,,"SUB OUT by CAMPBELL,BLAKE",,,"SUB OUT by CAMPBELL,BLAKE",1
07:13,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
06:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:52,,17,,23 (+6),"GOOD LAYUP by ELLIS,CHASE(in the paint)",Berry 17-23 (-6),,"GOOD LAYUP by ELLIS,CHASE(in the paint)",1
06:26,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",19,,23 (+4),,Rhodes 19-23 (-4),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,"ASSIST  by ESSICK,JALEN",,,,,,,"ASSIST  by ESSICK,JALEN",1
06:17,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
06:17,,19,,24 (+5),"GOOD FT by ELLIS,CHASE",Berry 19-24 (-5),,"GOOD FT by ELLIS,CHASE",1
06:17,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
06:17,,,,,"SUB IN by RUSCIANO,ROBBIE",,,"SUB IN by RUSCIANO,ROBBIE",1
06:17,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
06:17,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
06:17,,,,,"MISS FT by ELLIS,CHASE",,,"MISS FT by ELLIS,CHASE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
05:44,"GOOD LAYUP by JAMES,MAC(in the paint)",21,,24 (+3),,Rhodes 21-24 (-3),,"GOOD LAYUP by JAMES,MAC(in the paint)",1
05:24,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
05:24,"SUB IN by AESCHLIMAN,SETH",,,,,,,"SUB IN by AESCHLIMAN,SETH",1
05:18,,,,,"MISS 3PTR by ELLIS,CHASE",,,"MISS 3PTR by ELLIS,CHASE",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
04:54,"GOOD JUMPER by AESCHLIMAN,SETH",23,,24 (+1),,Rhodes 23-24 (-1),,"GOOD JUMPER by AESCHLIMAN,SETH",1
--,"ASSIST  by WILLIAMS,ZAVIEN",,,,,,,"ASSIST  by WILLIAMS,ZAVIEN",1
04:40,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
04:40,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
04:40,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
04:40,,,,,"MISS FT by ELLIS,CHASE",,,"MISS FT by ELLIS,CHASE",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
04:19,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
04:19,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
04:19,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
04:19,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
04:00,,,,,"TURNOVER  by HONROTH,OWEN",,,"TURNOVER  by HONROTH,OWEN",1
04:00,"STEAL  by SHEN,KEVIN",,,,,,,"STEAL  by SHEN,KEVIN",1
03:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:53,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
03:53,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
03:35,,,,,"FOUL  by RUSCIANO,ROBBIE",,,"FOUL  by RUSCIANO,ROBBIE",1
03:35,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:35,"GOOD FT by ESSICK,JALEN",24,,24,,Rhodes 24-24 (0),,"GOOD FT by ESSICK,JALEN",1
03:35,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
03:35,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
03:22,,24,,27 (+3),"GOOD 3PTR by RUSCIANO,ROBBIE",Berry 24-27 (-3),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
02:48,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",1
02:48,,,,,"STEAL  by HONROTH,OWEN",,,"STEAL  by HONROTH,OWEN",1
02:42,,24,,30 (+6),"GOOD 3PTR by HONROTH,OWEN(fastbreak)",Berry 24-30 (-6),,"GOOD 3PTR by HONROTH,OWEN(fastbreak)",1
--,,,,,"ASSIST  by JOHNSON,MICHAEL",,,"ASSIST  by JOHNSON,MICHAEL",1
02:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:37,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
02:37,"SUB OUT by AESCHLIMAN,SETH",,,,,,,"SUB OUT by AESCHLIMAN,SETH",1
02:37,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
02:37,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
02:37,"GOOD JUMPER by WILLIAMS,ZAVIEN",26,,30 (+4),,Rhodes 26-30 (-4),,"GOOD JUMPER by WILLIAMS,ZAVIEN",1
02:37,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
02:37,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
02:37,,,,,"TURNOVER  by JOHNSON,MICHAEL",,,"TURNOVER  by JOHNSON,MICHAEL",1
02:37,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",1
02:37,"MISS JUMPER by WILEY,KOKI(in the paint)",,,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND OFF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
02:37,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",28,,30 (+2),,Rhodes 28-30 (-2),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
01:26,,28,,32 (+4),"GOOD JUMPER by JOHNSON,MICHAEL",Berry 28-32 (-4),,"GOOD JUMPER by JOHNSON,MICHAEL",1
--,,,,,"ASSIST  by COSTAS,RILEY",,,"ASSIST  by COSTAS,RILEY",1
01:05,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",1
01:05,"GOOD FT by ESSICK,JALEN",29,,32 (+3),,Rhodes 29-32 (-3),,"GOOD FT by ESSICK,JALEN",1
01:05,,,,,"SUB OUT by RUSCIANO,ROBBIE",,,"SUB OUT by RUSCIANO,ROBBIE",1
01:05,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",1
01:05,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
01:05,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
01:05,"GOOD FT by ESSICK,JALEN",30,,32 (+2),,Rhodes 30-32 (-2),,"GOOD FT by ESSICK,JALEN",1
01:05,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
01:05,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
00:54,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
00:54,,30,,33 (+3),"GOOD FT by BROOKS,AUSTIN",Berry 30-33 (-3),,"GOOD FT by BROOKS,AUSTIN",1
00:54,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
00:54,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
00:54,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
00:54,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
00:54,,30,,34 (+4),"GOOD FT by BROOKS,AUSTIN",Berry 30-34 (-4),,"GOOD FT by BROOKS,AUSTIN",1
00:30,"GOOD JUMPER by ESSICK,JALEN",32,,34 (+2),,Rhodes 32-34 (-2),,"GOOD JUMPER by ESSICK,JALEN",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
00:12,,32,,37 (+5),"GOOD 3PTR by JOHNSON,MICHAEL",Berry 32-37 (-5),,"GOOD 3PTR by JOHNSON,MICHAEL",1
19:48,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
19:37,,32,,39 (+7),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 32-39 (-7),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",2
--,,,,,"ASSIST  by ELLIS,CHASE",,,"ASSIST  by ELLIS,CHASE",2
19:18,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",2
--,,,,,"REBOUND DEF by ELLIS,CHASE",,,"REBOUND DEF by ELLIS,CHASE",2
18:49,,32,,41 (+9),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 32-41 (-9),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",2
--,,,,,"ASSIST  by JOHNSON,MICHAEL",,,"ASSIST  by JOHNSON,MICHAEL",2
18:28,"MISS LAYUP by WILEY,KOKI(in the paint)",,,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",2
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",2
18:26,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",2
18:26,"MISS FT by WILEY,KOKI",,,,,,,"MISS FT by WILEY,KOKI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:26,"GOOD FT by WILEY,KOKI",33,,41 (+8),,Rhodes 33-41 (-8),,"GOOD FT by WILEY,KOKI",2
18:09,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",2
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",2
17:46,"GOOD 3PTR by ESSICK,JALEN",36,,41 (+5),,Rhodes 36-41 (-5),,"GOOD 3PTR by ESSICK,JALEN",2
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",2
17:33,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",2
17:33,,,,,"MISS FT by BROOKS,AUSTIN",,,"MISS FT by BROOKS,AUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:33,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",2
17:33,,,,,"SUB IN by CAMPBELL,BLAKE",,,"SUB IN by CAMPBELL,BLAKE",2
17:33,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",2
17:33,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",2
17:33,,,,,"MISS FT by BROOKS,AUSTIN",,,"MISS FT by BROOKS,AUSTIN",2
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",2
17:13,"GOOD LAYUP by ESSICK,JALEN(in the paint)",38,,41 (+3),,Rhodes 38-41 (-3),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
--,"ASSIST  by WILLIAMS,ZAVIEN",,,,,,,"ASSIST  by WILLIAMS,ZAVIEN",2
16:53,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",2
16:53,,38,,42 (+4),"GOOD FT by ELLIS,CHASE",Berry 38-42 (-4),,"GOOD FT by ELLIS,CHASE",2
