Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:35,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
19:35,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
19:26,,,,,"FOUL  by JAMES,MAC",,,"FOUL  by JAMES,MAC",1
19:05,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:43,,,,,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
18:38,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",1
18:38,,0,,1 (+1),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 0-1 (+1),,"GOOD FT by GEORGETOWN II,ARNESS",1
18:38,,0,,2 (+2),"GOOD FT by GEORGETOWN II,ARNESS",Rhodes 0-2 (+2),,"GOOD FT by GEORGETOWN II,ARNESS",1
18:23,"GOOD JUMPER by JENEI,RYAN(in the paint)",2,,2,,OU 2-2 (0),,"GOOD JUMPER by JENEI,RYAN(in the paint)",1
17:53,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,"REBOUND DEF by JENEI,RYAN",,,,,,,"REBOUND DEF by JENEI,RYAN",1
17:33,"GOOD JUMPER by KOCH,WILL",4 (+2),,2,,OU 4-2 (-2),,"GOOD JUMPER by KOCH,WILL",1
17:19,,4,,5 (+1),"GOOD 3PTR by WILLIAMS,ZAVIEN",Rhodes 4-5 (+1),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
17:12,"MISS JUMPER by CHAMBERS,DIMETRI",,,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,"REBOUND OFF by JENEI,RYAN",,,,,,,"REBOUND OFF by JENEI,RYAN",1
17:06,"MISS JUMPER by JENEI,RYAN",,,,,,,"MISS JUMPER by JENEI,RYAN",1
