Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
16:04,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
16:04,,,,,"MISS FT by ESSICK,JALEN",,,"MISS FT by ESSICK,JALEN",1
--,"REBOUND DEF by RUSCIANO,ROBBIE",,,,,,,"REBOUND DEF by RUSCIANO,ROBBIE",1
15:57,"GOOD DUNK by RUSCIANO,ROBBIE(fastbreak)(in the paint)",11 (+7),,4,,Berry 11-4 (-7),,"GOOD DUNK by RUSCIANO,ROBBIE(fastbreak)(in the paint)",1
--,"ASSIST  by ELLIS,CHASE",,,,,,,"ASSIST  by ELLIS,CHASE",1
15:39,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
15:39,"STEAL  by JOHNSON,MICHAEL",,,,,,,"STEAL  by JOHNSON,MICHAEL",1
15:32,"GOOD 3PTR by RUSCIANO,ROBBIE",14 (+10),,4,,Berry 14-4 (-10),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by JOHNSON,MICHAEL",,,,,,,"ASSIST  by JOHNSON,MICHAEL",1
15:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:31,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
15:31,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
15:31,"SUB IN by CAMPBELL,BLAKE",,,,,,,"SUB IN by CAMPBELL,BLAKE",1
15:31,"SUB IN by BENHAM,BRAXTON",,,,,,,"SUB IN by BENHAM,BRAXTON",1
15:15,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
14:54,,,,,"MISS JUMPER by WALKER,JEFFERSON",,,"MISS JUMPER by WALKER,JEFFERSON",1
14:54,"BLOCK  by CAMPBELL,BLAKE",,,,,,,"BLOCK  by CAMPBELL,BLAKE",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
14:52,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:25,"MISS JUMPER by BENHAM,BRAXTON(in the paint)",,,,,,,"MISS JUMPER by BENHAM,BRAXTON(in the paint)",1
--,"REBOUND OFF by BENHAM,BRAXTON",,,,,,,"REBOUND OFF by BENHAM,BRAXTON",1
14:20,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",,,,,,,"MISS LAYUP by BENHAM,BRAXTON(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
14:20,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
14:20,"SUB IN by SEGALL,RYAN",,,,,,,"SUB IN by SEGALL,RYAN",1
14:00,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
13:49,"MISS JUMPER by CAMPBELL,BLAKE",,,,,,,"MISS JUMPER by CAMPBELL,BLAKE",1
--,,,,,"REBOUND DEF by WILLIAMS,JAYSON",,,"REBOUND DEF by WILLIAMS,JAYSON",1
13:45,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
13:45,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
13:33,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by ELLIS,CHASE",,,,,,,"REBOUND DEF by ELLIS,CHASE",1
13:23,"MISS JUMPER by ELLIS,CHASE",,,,,,,"MISS JUMPER by ELLIS,CHASE",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
13:07,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",1
--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1
13:02,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND DEF by SEGALL,RYAN",,,,,,,"REBOUND DEF by SEGALL,RYAN",1
12:42,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",16 (+12),,4,,Berry 16-4 (-12),,"GOOD JUMPER by CAMPBELL,BLAKE(in the paint)",1
12:32,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
12:32,"STEAL  by ELLIS,CHASE",,,,,,,"STEAL  by ELLIS,CHASE",1
12:27,"MISS LAYUP by RUSCIANO,ROBBIE(in the paint)",,,,,,,"MISS LAYUP by RUSCIANO,ROBBIE(in the paint)",1
--,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
12:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:24,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
12:24,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
12:24,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
12:24,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
12:24,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",1
12:24,,,,,"SUB IN by FITZGERALD,DAVID",,,"SUB IN by FITZGERALD,DAVID",1
12:24,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
12:24,"SUB OUT by ELLIS,CHASE",,,,,,,"SUB OUT by ELLIS,CHASE",1
12:24,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
12:24,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
12:24,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
12:16,"FOUL  by CAMPBELL,BLAKE",,,,,,,"FOUL  by CAMPBELL,BLAKE",1
12:04,,,,,"MISS 3PTR by FITZGERALD,DAVID",,,"MISS 3PTR by FITZGERALD,DAVID",1
--,"REBOUND DEF by BENHAM,BRAXTON",,,,,,,"REBOUND DEF by BENHAM,BRAXTON",1
11:33,"MISS 3PTR by CAMPBELL,BLAKE",,,,,,,"MISS 3PTR by CAMPBELL,BLAKE",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
11:17,,,,,"TURNOVER  by COOK,JEREMIAH",,,"TURNOVER  by COOK,JEREMIAH",1
11:17,"STEAL  by CAMPBELL,BLAKE",,,,,,,"STEAL  by CAMPBELL,BLAKE",1
11:17,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
11:17,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
11:17,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",1
11:17,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",1
