Time Remaining,WU,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS LAYUP by WILEY,KOKI(in the paint)",,,"MISS LAYUP by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by DAVET,KEVIN",,,,,,,"REBOUND DEF by DAVET,KEVIN",1
19:27,"MISS 3PTR by HARDY,JUSTIN",,,,,,,"MISS 3PTR by HARDY,JUSTIN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
19:14,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
19:08,,0,,2 (+2),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 0-2 (+2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
18:53,"TURNOVER  by DOYLE,HAYDEN",,,,,,,"TURNOVER  by DOYLE,HAYDEN",1
18:26,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",,,"MISS JUMPER by WILLIAMS,ZAVIEN(in the paint)",1
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",1
17:56,"MISS 3PTR by NOLAN,JACK",,,,,,,"MISS 3PTR by NOLAN,JACK",1
--,,,,,"REBOUND DEF by CLAYTON,TJ",,,"REBOUND DEF by CLAYTON,TJ",1
17:44,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,"REBOUND DEF by JACOB,CHARLIE",,,,,,,"REBOUND DEF by JACOB,CHARLIE",1
17:39,"MISS 3PTR by JACOB,CHARLIE",,,,,,,"MISS 3PTR by JACOB,CHARLIE",1
--,,,,,"REBOUND DEF by CLAYTON,TJ",,,"REBOUND DEF by CLAYTON,TJ",1
17:19,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
17:06,"GOOD 3PTR by DOYLE,HAYDEN",3 (+1),,2,,WU 3-2 (-1),,"GOOD 3PTR by DOYLE,HAYDEN",1
--,"ASSIST  by HARDY,JUSTIN",,,,,,,"ASSIST  by HARDY,JUSTIN",1
16:51,,,,,"MISS 3PTR by CLAYTON,TJ",,,"MISS 3PTR by CLAYTON,TJ",1
--,"REBOUND DEF by HARDY,JUSTIN",,,,,,,"REBOUND DEF by HARDY,JUSTIN",1
16:32,"TURNOVER  by NOLAN,JACK",,,,,,,"TURNOVER  by NOLAN,JACK",1
16:32,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
16:32,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
16:32,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
16:32,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
16:32,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
16:32,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
16:32,"SUB OUT by DOYLE,HAYDEN",,,,,,,"SUB OUT by DOYLE,HAYDEN",1
16:32,"SUB IN by GONZALO,MATT",,,,,,,"SUB IN by GONZALO,MATT",1
16:15,,,,,"MISS 3PTR by CLAYTON,TJ",,,"MISS 3PTR by CLAYTON,TJ",1
--,"REBOUND DEF by JACOB,CHARLIE",,,,,,,"REBOUND DEF by JACOB,CHARLIE",1
15:53,"MISS 3PTR by HARDY,JUSTIN",,,,,,,"MISS 3PTR by HARDY,JUSTIN",1
--,,,,,"REBOUND DEF by WILLIAMS,JAYSON",,,"REBOUND DEF by WILLIAMS,JAYSON",1
15:50,"FOUL  by DAVET,KEVIN",,,,,,,"FOUL  by DAVET,KEVIN",1
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:50,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
15:50,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
15:50,"SUB OUT by DAVET,KEVIN",,,,,,,"SUB OUT by DAVET,KEVIN",1
15:50,"SUB OUT by JACOB,CHARLIE",,,,,,,"SUB OUT by JACOB,CHARLIE",1
15:50,"SUB IN by WINDLEY,DAVID",,,,,,,"SUB IN by WINDLEY,DAVID",1
15:50,"SUB IN by WOLF,JAKE",,,,,,,"SUB IN by WOLF,JAKE",1
15:37,,3,,4 (+1),"GOOD JUMPER by LAMEY,HAYDEN",Rhodes 3-4 (+1),,"GOOD JUMPER by LAMEY,HAYDEN",1
15:10,,,,,"FOUL  by WILLIAMS,JAYSON",,,"FOUL  by WILLIAMS,JAYSON",1
15:03,"MISS JUMPER by NOLAN,JACK(in the paint)",,,,,,,"MISS JUMPER by NOLAN,JACK(in the paint)",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
14:55,,,,,"TURNOVER  by SHEN,KEVIN",,,"TURNOVER  by SHEN,KEVIN",1
14:55,"STEAL  by NOLAN,JACK",,,,,,,"STEAL  by NOLAN,JACK",1
14:28,"GOOD JUMPER by NOLAN,JACK",5 (+1),,4,,WU 5-4 (-1),,"GOOD JUMPER by NOLAN,JACK",1
14:08,,,,,"MISS JUMPER by JAMES,MAC",,,"MISS JUMPER by JAMES,MAC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:05,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
14:05,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
14:05,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
14:05,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
13:55,"SUB OUT by HARDY,JUSTIN",,,,,,,"SUB OUT by HARDY,JUSTIN",1
13:55,"SUB IN by MACK,KAMERON",,,,,,,"SUB IN by MACK,KAMERON",1
13:47,"TURNOVER  by MACK,KAMERON",,,,,,,"TURNOVER  by MACK,KAMERON",1
13:47,,,,,"STEAL  by WILLIAMS,ZAVIEN",,,"STEAL  by WILLIAMS,ZAVIEN",1
13:39,,5,,7 (+2),"GOOD 3PTR by ESSICK,JALEN(fastbreak)",Rhodes 5-7 (+2),,"GOOD 3PTR by ESSICK,JALEN(fastbreak)",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
13:20,"MISS JUMPER by NOLAN,JACK",,,,,,,"MISS JUMPER by NOLAN,JACK",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
13:04,,,,,"MISS JUMPER by WILLIAMS,ZAVIEN",,,"MISS JUMPER by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by WOLF,JAKE",,,,,,,"REBOUND DEF by WOLF,JAKE",1
12:58,"TURNOVER  by WOLF,JAKE",,,,,,,"TURNOVER  by WOLF,JAKE",1
12:58,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
12:55,,5,,10 (+5),"GOOD 3PTR by ESSICK,JALEN(fastbreak)",Rhodes 5-10 (+5),,"GOOD 3PTR by ESSICK,JALEN(fastbreak)",1
12:55,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:55,"SUB OUT by MACK,KAMERON",,,,,,,"SUB OUT by MACK,KAMERON",1
