Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,OUMBB,Game Score,Team Indicator,Play,Period
11:04,,10,,17 (+7),"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 10-17 (-7),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
10:43,"MISS JUMPER by II,ARNESS GEORGETOWN",,,,,,,"MISS JUMPER by II,ARNESS GEORGETOWN",1
--,,,,,"REBOUND DEF by MURRAH,JACK",,,"REBOUND DEF by MURRAH,JACK",1
10:32,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by II,ARNESS GEORGETOWN",,,,,,,"REBOUND DEF by II,ARNESS GEORGETOWN",1
10:13,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
10:13,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
10:13,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
10:13,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
10:13,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
10:13,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
10:13,"SUB OUT by II,ARNESS GEORGETOWN",,,,,,,"SUB OUT by II,ARNESS GEORGETOWN",1
10:13,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",1
10:13,,,,,"SUB IN by BENNEFIELD,DYLAN",,,"SUB IN by BENNEFIELD,DYLAN",1
10:13,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
10:13,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
10:13,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",1
10:13,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
09:53,,10,,19 (+9),"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",OUMBB 10-19 (-9),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",1
09:26,"MISS LAYUP by ESSICK,JALEN",,,,,,,"MISS LAYUP by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",1
09:16,,10,,22 (+12),"GOOD 3PTR by CHAMBERS,DIMETRI",OUMBB 10-22 (-12),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
09:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:12,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
09:12,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
08:51,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND OFF by SHEN,KEVIN",,,,,,,"REBOUND OFF by SHEN,KEVIN",1
08:41,"GOOD 3PTR by WILEY,KOKI",13,,22 (+9),,Rhodes 13-22 (-9),,"GOOD 3PTR by WILEY,KOKI",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
08:25,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND OFF by JENEI,RYAN",,,"REBOUND OFF by JENEI,RYAN",1
08:17,,,,,"MISS 3PTR by KOCH,WILL",,,"MISS 3PTR by KOCH,WILL",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
07:45,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
07:45,,,,,"STEAL  by BENNEFIELD,DYLAN",,,"STEAL  by BENNEFIELD,DYLAN",1
07:45,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
07:45,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
07:45,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
07:45,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
07:45,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
07:45,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",1
07:45,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
07:45,,,,,"SUB OUT by BENNEFIELD,DYLAN",,,"SUB OUT by BENNEFIELD,DYLAN",1
07:45,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",1
07:24,,13,,25 (+12),"GOOD 3PTR by MURRAH,JACK",OUMBB 13-25 (-12),,"GOOD 3PTR by MURRAH,JACK",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
07:06,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by ETIWE,TOJU",,,"REBOUND DEF by ETIWE,TOJU",1
07:02,"FOUL  by CLAYTON,TJ",,,,,,,"FOUL  by CLAYTON,TJ",1
07:02,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
07:02,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",1
06:36,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
06:36,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:36,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
06:36,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
06:36,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
06:06,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",1
--,,,,,"REBOUND DEF by ETIWE,TOJU",,,"REBOUND DEF by ETIWE,TOJU",1
05:55,,13,,27 (+14),"GOOD LAYUP by EZIGBO,UBA(fastbreak)(in the paint)",OUMBB 13-27 (-14),,"GOOD LAYUP by EZIGBO,UBA(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
05:31,"GOOD JUMPER by ESSICK,JALEN(in the paint)",15,,27 (+12),,Rhodes 15-27 (-12),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
05:17,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
05:17,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",1
05:17,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",1
05:15,,15,,29 (+14),"GOOD LAYUP by FOSTER,LANE(in the paint)",OUMBB 15-29 (-14),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",1
04:56,"GOOD LAYUP by CLAYTON,TJ(in the paint)",17,,29 (+12),,Rhodes 17-29 (-12),,"GOOD LAYUP by CLAYTON,TJ(in the paint)",1
04:41,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by CLAYTON,TJ",,,,,,,"REBOUND DEF by CLAYTON,TJ",1
04:26,"GOOD 3PTR by JAMES,MAC",20,,29 (+9),,Rhodes 20-29 (-9),,"GOOD 3PTR by JAMES,MAC",1
04:02,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",1
--,"REBOUND DEF by CLAYTON,TJ",,,,,,,"REBOUND DEF by CLAYTON,TJ",1
03:36,"MISS LAYUP by CLAYTON,TJ",,,,,,,"MISS LAYUP by CLAYTON,TJ",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
03:27,,20,,32 (+12),"GOOD 3PTR by MURRAH,JACK",OUMBB 20-32 (-12),,"GOOD 3PTR by MURRAH,JACK",1
03:06,,,,,"FOUL  by MURRAH,JACK",,,"FOUL  by MURRAH,JACK",1
03:06,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
03:06,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
03:06,"SUB IN by II,ARNESS GEORGETOWN",,,,,,,"SUB IN by II,ARNESS GEORGETOWN",1
03:06,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
03:06,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
02:57,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND OFF by II,ARNESS GEORGETOWN",,,,,,,"REBOUND OFF by II,ARNESS GEORGETOWN",1
02:51,"MISS LAYUP by WILLIAMS,ZAVIEN",,,,,,,"MISS LAYUP by WILLIAMS,ZAVIEN",1
02:51,,,,,"BLOCK  by FOSTER,LANE",,,"BLOCK  by FOSTER,LANE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:37,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
02:37,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",1
02:37,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
02:24,,20,,34 (+14),"GOOD DUNK by KOCH,WILL(in the paint)",OUMBB 20-34 (-14),,"GOOD DUNK by KOCH,WILL(in the paint)",1
02:08,"GOOD JUMPER by ESSICK,JALEN",22,,34 (+12),,Rhodes 22-34 (-12),,"GOOD JUMPER by ESSICK,JALEN",1
01:58,,,,,"FOUL  by KOCH,WILL",,,"FOUL  by KOCH,WILL",1
01:58,,,,,"TURNOVER  by KOCH,WILL",,,"TURNOVER  by KOCH,WILL",1
01:58,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
01:58,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
01:37,"MISS LAYUP by JAMES,MAC",,,,,,,"MISS LAYUP by JAMES,MAC",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
01:32,,22,,36 (+14),"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",OUMBB 22-36 (-14),,"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
01:06,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
01:06,"SUB OUT by II,ARNESS GEORGETOWN",,,,,,,"SUB OUT by II,ARNESS GEORGETOWN",1
00:55,"MISS LAYUP by ESSICK,JALEN",,,,,,,"MISS LAYUP by ESSICK,JALEN",1
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",1
00:42,,22,,39 (+17),"GOOD 3PTR by JENEI,RYAN",OUMBB 22-39 (-17),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",1
00:22,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:14,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
19:36,"MISS JUMPER by JAMES,MAC",,,,,,,"MISS JUMPER by JAMES,MAC",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
19:29,,22,,41 (+19),"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",OUMBB 22-41 (-19),,"GOOD LAYUP by MURRAH,JACK(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
19:07,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
19:05,"GOOD LAYUP by II,ARNESS GEORGETOWN(in the paint)",24,,41 (+17),,Rhodes 24-41 (-17),,"GOOD LAYUP by II,ARNESS GEORGETOWN(in the paint)",2
--,"ASSIST  by WILLIAMS,ZAVIEN",,,,,,,"ASSIST  by WILLIAMS,ZAVIEN",2
18:38,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:22,"TURNOVER  by II,ARNESS GEORGETOWN",,,,,,,"TURNOVER  by II,ARNESS GEORGETOWN",2
18:05,,24,,44 (+20),"GOOD 3PTR by EZIGBO,UBA",OUMBB 24-44 (-20),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",2
17:46,"GOOD JUMPER by ESSICK,JALEN(in the paint)",26,,44 (+18),,Rhodes 26-44 (-18),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",2
--,"ASSIST  by II,ARNESS GEORGETOWN",,,,,,,"ASSIST  by II,ARNESS GEORGETOWN",2
17:26,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",2
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",2
17:19,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",28,,44 (+16),,Rhodes 28-44 (-16),,"GOOD LAYUP by WILLIAMS,ZAVIEN(fastbreak)(in the paint)",2
--,"ASSIST  by ESSICK,JALEN",,,,,,,"ASSIST  by ESSICK,JALEN",2
16:56,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",2
16:56,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
16:56,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",2
16:53,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",2
16:33,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",2
--,"REBOUND OFF by ESSICK,JALEN",,,,,,,"REBOUND OFF by ESSICK,JALEN",2
16:17,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
16:05,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",2
16:05,,28,,45 (+17),"GOOD FT by FOSTER,LANE",OUMBB 28-45 (-17),,"GOOD FT by FOSTER,LANE",2
16:05,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:05,,28,,46 (+18),"GOOD FT by FOSTER,LANE",OUMBB 28-46 (-18),,"GOOD FT by FOSTER,LANE",2
15:53,"MISS LAYUP by WILEY,KOKI",,,,,,,"MISS LAYUP by WILEY,KOKI",2
15:53,,,,,"BLOCK  by KOCH,WILL",,,"BLOCK  by KOCH,WILL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:50,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
15:47,"GOOD LAYUP by ESSICK,JALEN(in the paint)",30,,46 (+16),,Rhodes 30-46 (-16),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
15:46,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",2
15:46,"MISS FT by ESSICK,JALEN",,,,,,,"MISS FT by ESSICK,JALEN",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
15:46,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",2
15:46,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
15:33,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",2
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",2
15:26,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",2
15:25,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
15:25,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",2
15:25,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",2
15:25,"SUB OUT by II,ARNESS GEORGETOWN",,,,,,,"SUB OUT by II,ARNESS GEORGETOWN",2
15:10,"FOUL  by WILLIAMS,JAYSON",,,,,,,"FOUL  by WILLIAMS,JAYSON",2
15:10,,30,,47 (+17),"GOOD FT by FOSTER,LANE",OUMBB 30-47 (-17),,"GOOD FT by FOSTER,LANE",2
15:10,,30,,48 (+18),"GOOD FT by FOSTER,LANE",OUMBB 30-48 (-18),,"GOOD FT by FOSTER,LANE",2
14:50,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
14:50,"GOOD FT by WILEY,KOKI",31,,48 (+17),,Rhodes 31-48 (-17),,"GOOD FT by WILEY,KOKI",2
14:50,"GOOD FT by WILEY,KOKI",32,,48 (+16),,Rhodes 32-48 (-16),,"GOOD FT by WILEY,KOKI",2
14:50,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",2
14:50,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",2
14:46,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",2
14:24,"GOOD LAYUP by ESSICK,JALEN(in the paint)",34,,48 (+14),,Rhodes 34-48 (-14),,"GOOD LAYUP by ESSICK,JALEN(in the paint)",2
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",2
14:08,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",2
--,"REBOUND DEF by WILLIAMS,JAYSON",,,,,,,"REBOUND DEF by WILLIAMS,JAYSON",2
13:51,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",2
13:50,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
13:43,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",2
13:43,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",2
