Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
17:20,,0,,6 (+6),"GOOD 3PTR by WILEY,KOKI",Rhodes 0-6 (+6),,"GOOD 3PTR by WILEY,KOKI",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
16:57,"GOOD 3PTR by ROELKE,KAMREN",3,,6 (+3),,UO 3-6 (+3),,"GOOD 3PTR by ROELKE,KAMREN",1
--,"ASSIST  by FRESH,RAY",,,,,,,"ASSIST  by FRESH,RAY",1
16:39,,3,,8 (+5),"GOOD JUMPER by WILEY,KOKI(in the paint)",Rhodes 3-8 (+5),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
16:31,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",5,,8 (+3),,UO 5-8 (+3),,"GOOD JUMPER by ROELKE,KAMREN(fastbreak)(in the paint)",1
16:06,,5,,11 (+6),"GOOD 3PTR by ESSICK,JALEN",Rhodes 5-11 (+6),,"GOOD 3PTR by ESSICK,JALEN",1
16:04,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
16:04,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
16:04,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
16:04,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
16:04,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",1
16:04,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",1
16:04,"SUB OUT by LITTLE,CARTER",,,,,,,"SUB OUT by LITTLE,CARTER",1
16:04,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",1
16:04,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",1
16:04,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",1
15:41,"TURNOVER  by POWELL,KYRON",,,,,,,"TURNOVER  by POWELL,KYRON",1
15:41,,,,,"STEAL  by WALKER,JEFFERSON",,,"STEAL  by WALKER,JEFFERSON",1
15:35,"FOUL  by POWELL,KYRON",,,,,,,"FOUL  by POWELL,KYRON",1
15:35,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:26,,,,,"MISS 3PTR by JAMES,MAC",,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND DEF by FRESH,RAY",,,,,,,"REBOUND DEF by FRESH,RAY",1
15:18,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
15:11,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
14:50,"MISS JUMPER by NIX,GRAYSON(in the paint)",,,,,,,"MISS JUMPER by NIX,GRAYSON(in the paint)",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
14:41,,,,,"MISS 3PTR by WALKER,JEFFERSON",,,"MISS 3PTR by WALKER,JEFFERSON",1
--,"REBOUND DEF by POWELL,KYRON",,,,,,,"REBOUND DEF by POWELL,KYRON",1
14:29,"GOOD JUMPER by POWELL,KYRON(in the paint)",7,,11 (+4),,UO 7-11 (+4),,"GOOD JUMPER by POWELL,KYRON(in the paint)",1
14:10,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",1
--,,,,,"REBOUND OFF by WILEY,KOKI",,,"REBOUND OFF by WILEY,KOKI",1
14:05,,7,,13 (+6),"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 7-13 (+6),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
13:38,"GOOD 3PTR by NIX,GRAYSON",10,,13 (+3),,UO 10-13 (+3),,"GOOD 3PTR by NIX,GRAYSON",1
--,"ASSIST  by POWELL,KYRON",,,,,,,"ASSIST  by POWELL,KYRON",1
13:17,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",,,"MISS JUMPER by GEORGETOWN II,ARNESS(in the paint)",1
--,"REBOUND DEF by FINLEY,GARRET",,,,,,,"REBOUND DEF by FINLEY,GARRET",1
13:02,"MISS JUMPER by POWELL,KYRON(in the paint)",,,,,,,"MISS JUMPER by POWELL,KYRON(in the paint)",1
--,"REBOUND OFF by ALT,DAWSON",,,,,,,"REBOUND OFF by ALT,DAWSON",1
13:01,"TURNOVER  by ALT,DAWSON",,,,,,,"TURNOVER  by ALT,DAWSON",1
13:01,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
13:01,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
13:01,,,,,"SUB IN by COOK,JEREMIAH",,,"SUB IN by COOK,JEREMIAH",1
13:01,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",1
13:01,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",1
13:01,"SUB OUT by FINLEY,GARRET",,,,,,,"SUB OUT by FINLEY,GARRET",1
13:01,"SUB OUT by NIX,GRAYSON",,,,,,,"SUB OUT by NIX,GRAYSON",1
13:01,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",1
13:01,"SUB IN by JANGA,ELVIS",,,,,,,"SUB IN by JANGA,ELVIS",1
13:01,"SUB IN by DUKES,JACOB",,,,,,,"SUB IN by DUKES,JACOB",1
12:42,,,,,"TURNOVER  by WALKER,JEFFERSON",,,"TURNOVER  by WALKER,JEFFERSON",1
12:19,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
12:04,,,,,"MISS 3PTR by COOK,JEREMIAH",,,"MISS 3PTR by COOK,JEREMIAH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:48,"MISS 3PTR by ROELKE,KAMREN",,,,,,,"MISS 3PTR by ROELKE,KAMREN",1
11:48,,,,,"BLOCK  by WILLIAMS,JAYSON",,,"BLOCK  by WILLIAMS,JAYSON",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
11:41,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",1
11:34,"GOOD LAYUP by ALT,DAWSON(fastbreak)(in the paint)",12,,13 (+1),,UO 12-13 (+1),,"GOOD LAYUP by ALT,DAWSON(fastbreak)(in the paint)",1
--,"ASSIST  by ROELKE,KAMREN",,,,,,,"ASSIST  by ROELKE,KAMREN",1
11:25,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,"REBOUND DEF by DUKES,JACOB",,,,,,,"REBOUND DEF by DUKES,JACOB",1
11:12,"MISS JUMPER by ALT,DAWSON(in the paint)",,,,,,,"MISS JUMPER by ALT,DAWSON(in the paint)",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
10:54,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",1
10:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:54,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
10:54,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",1
10:54,,,,,"SUB IN by CLAYTON,TJ",,,"SUB IN by CLAYTON,TJ",1
10:54,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
10:54,"SUB OUT by ALT,DAWSON",,,,,,,"SUB OUT by ALT,DAWSON",1
10:54,"SUB IN by NIX,GRAYSON",,,,,,,"SUB IN by NIX,GRAYSON",1
10:49,,12,,16 (+4),"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 12-16 (+4),,"GOOD 3PTR by LAMEY,HAYDEN",1
--,,,,,"ASSIST  by COOK,JEREMIAH",,,"ASSIST  by COOK,JEREMIAH",1
10:25,"MISS JUMPER by ROELKE,KAMREN",,,,,,,"MISS JUMPER by ROELKE,KAMREN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:53,,,,,"MISS JUMPER by WALKER,JEFFERSON",,,"MISS JUMPER by WALKER,JEFFERSON",1
09:53,"BLOCK  by DUKES,JACOB",,,,,,,"BLOCK  by DUKES,JACOB",1
--,"REBOUND DEF by POWELL,KYRON",,,,,,,"REBOUND DEF by POWELL,KYRON",1
09:31,"GOOD JUMPER by NIX,GRAYSON(in the paint)",14,,16 (+2),,UO 14-16 (+2),,"GOOD JUMPER by NIX,GRAYSON(in the paint)",1
09:03,"FOUL  by ROELKE,KAMREN",,,,,,,"FOUL  by ROELKE,KAMREN",1
09:03,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",1
09:03,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",1
09:03,"SUB OUT by ROELKE,KAMREN",,,,,,,"SUB OUT by ROELKE,KAMREN",1
09:03,"SUB IN by FRESH,RAY",,,,,,,"SUB IN by FRESH,RAY",1
09:02,,14,,18 (+4),"GOOD LAYUP by COOK,JEREMIAH(in the paint)",Rhodes 14-18 (+4),,"GOOD LAYUP by COOK,JEREMIAH(in the paint)",1
--,,,,,"ASSIST  by LAMEY,HAYDEN",,,"ASSIST  by LAMEY,HAYDEN",1
08:47,"MISS LAYUP by NIX,GRAYSON(in the paint)",,,,,,,"MISS LAYUP by NIX,GRAYSON(in the paint)",1
--,"REBOUND OFF by DUKES,JACOB",,,,,,,"REBOUND OFF by DUKES,JACOB",1
08:40,"GOOD LAYUP by DUKES,JACOB(in the paint)",16,,18 (+2),,UO 16-18 (+2),,"GOOD LAYUP by DUKES,JACOB(in the paint)",1
08:26,,16,,20 (+4),"GOOD LAYUP by JAMES,MAC(in the paint)",Rhodes 16-20 (+4),,"GOOD LAYUP by JAMES,MAC(in the paint)",1
08:06,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND DEF by JAMES,MAC",,,"REBOUND DEF by JAMES,MAC",1
07:56,,,,,"MISS 3PTR by CLAYTON,TJ",,,"MISS 3PTR by CLAYTON,TJ",1
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",1
07:41,"GOOD LAYUP by FRESH,RAY(in the paint)",18,,20 (+2),,UO 18-20 (+2),,"GOOD LAYUP by FRESH,RAY(in the paint)",1
07:41,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:41,,,,,"SUB OUT by CLAYTON,TJ",,,"SUB OUT by CLAYTON,TJ",1
07:41,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",1
07:41,"SUB OUT by POWELL,KYRON",,,,,,,"SUB OUT by POWELL,KYRON",1
07:41,"SUB IN by ALT,DAWSON",,,,,,,"SUB IN by ALT,DAWSON",1
07:22,,18,,23 (+5),"GOOD 3PTR by LAMEY,HAYDEN",Rhodes 18-23 (+5),,"GOOD 3PTR by LAMEY,HAYDEN",1
06:54,"MISS LAYUP by DUKES,JACOB(in the paint)",,,,,,,"MISS LAYUP by DUKES,JACOB(in the paint)",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
06:45,,,,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",,,"MISS LAYUP by WILLIAMS,JAYSON(in the paint)",1
--,"REBOUND DEF by ALT,DAWSON",,,,,,,"REBOUND DEF by ALT,DAWSON",1
06:24,"GOOD JUMPER by NIX,GRAYSON(in the paint)",20,,23 (+3),,UO 20-23 (+3),,"GOOD JUMPER by NIX,GRAYSON(in the paint)",1
06:18,"FOUL  by NIX,GRAYSON",,,,,,,"FOUL  by NIX,GRAYSON",1
06:18,,,,,"MISS FT by SHEN,KEVIN(fastbreak)",,,"MISS FT by SHEN,KEVIN(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:18,"SUB OUT by JANGA,ELVIS",,,,,,,"SUB OUT by JANGA,ELVIS",1
06:18,"SUB IN by POWELL,KYRON",,,,,,,"SUB IN by POWELL,KYRON",1
06:18,,20,,24 (+4),"GOOD FT by SHEN,KEVIN(fastbreak)",Rhodes 20-24 (+4),,"GOOD FT by SHEN,KEVIN(fastbreak)",1
06:07,"MISS JUMPER by ALT,DAWSON",,,,,,,"MISS JUMPER by ALT,DAWSON",1
--,,,,,"REBOUND DEF by JAMES,MAC",,,"REBOUND DEF by JAMES,MAC",1
06:00,,20,,27 (+7),"GOOD 3PTR by SHEN,KEVIN(fastbreak)",Rhodes 20-27 (+7),,"GOOD 3PTR by SHEN,KEVIN(fastbreak)",1
--,,,,,"ASSIST  by JAMES,MAC",,,"ASSIST  by JAMES,MAC",1
05:48,,,,,"FOUL  by COOK,JEREMIAH",,,"FOUL  by COOK,JEREMIAH",1
05:48,,,,,"SUB OUT by COOK,JEREMIAH",,,"SUB OUT by COOK,JEREMIAH",1
05:48,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
05:48,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
05:48,,,,,"SUB IN by WILLIAMS,ZAVIEN",,,"SUB IN by WILLIAMS,ZAVIEN",1
05:48,"SUB OUT by DUKES,JACOB",,,,,,,"SUB OUT by DUKES,JACOB",1
05:48,"SUB IN by FINLEY,GARRET",,,,,,,"SUB IN by FINLEY,GARRET",1
05:35,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
05:23,,,,,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND DEF by FINLEY,GARRET",,,,,,,"REBOUND DEF by FINLEY,GARRET",1
05:11,"TURNOVER  by ALT,DAWSON",,,,,,,"TURNOVER  by ALT,DAWSON",1
05:11,,,,,"STEAL  by WILEY,KOKI",,,"STEAL  by WILEY,KOKI",1
05:00,,20,,29 (+9),"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",Rhodes 20-29 (+9),,"GOOD JUMPER by WILLIAMS,ZAVIEN(in the paint)",1
04:57,"SUB OUT by FRESH,RAY",,,,,,,"SUB OUT by FRESH,RAY",1
04:57,"SUB IN by JANGA,ELVIS",,,,,,,"SUB IN by JANGA,ELVIS",1
04:45,"GOOD LAYUP by FINLEY,GARRET(in the paint)",22,,29 (+7),,UO 22-29 (+7),,"GOOD LAYUP by FINLEY,GARRET(in the paint)",1
--,"ASSIST  by ALT,DAWSON",,,,,,,"ASSIST  by ALT,DAWSON",1
04:23,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
04:23,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
04:23,,,,,"SUB OUT by WILEY,KOKI",,,"SUB OUT by WILEY,KOKI",1
04:23,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
04:23,,,,,"SUB IN by LAMEY,HAYDEN",,,"SUB IN by LAMEY,HAYDEN",1
04:10,"MISS 3PTR by JANGA,ELVIS",,,,,,,"MISS 3PTR by JANGA,ELVIS",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
04:00,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",1
03:58,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
03:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:57,,,,,"SUB OUT by JAMES,MAC",,,"SUB OUT by JAMES,MAC",1
03:57,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",1
03:57,"SUB OUT by JANGA,ELVIS",,,,,,,"SUB OUT by JANGA,ELVIS",1
03:57,"SUB IN by GAFFNEY,XAVIER",,,,,,,"SUB IN by GAFFNEY,XAVIER",1
03:39,"MISS JUMPER by NIX,GRAYSON(in the paint)",,,,,,,"MISS JUMPER by NIX,GRAYSON(in the paint)",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
03:33,,22,,31 (+9),"GOOD LAYUP by WILLIAMS,JAYSON(fastbreak)(in the paint)",Rhodes 22-31 (+9),,"GOOD LAYUP by WILLIAMS,JAYSON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by LAMEY,HAYDEN",,,"ASSIST  by LAMEY,HAYDEN",1
03:09,"MISS JUMPER by POWELL,KYRON(in the paint)",,,,,,,"MISS JUMPER by POWELL,KYRON(in the paint)",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
03:03,,,,,"FOUL  by WILLIAMS,ZAVIEN",,,"FOUL  by WILLIAMS,ZAVIEN",1
03:03,,,,,"TURNOVER  by WILLIAMS,ZAVIEN",,,"TURNOVER  by WILLIAMS,ZAVIEN",1
03:03,,,,,"SUB OUT by WILLIAMS,ZAVIEN",,,"SUB OUT by WILLIAMS,ZAVIEN",1
03:03,,,,,"SUB IN by WALKER,JEFFERSON",,,"SUB IN by WALKER,JEFFERSON",1
03:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:41,"MISS 3PTR by POWELL,KYRON",,,,,,,"MISS 3PTR by POWELL,KYRON",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
02:27,,22,,34 (+12),"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 22-34 (+12),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,,,,,"ASSIST  by SHEN,KEVIN",,,"ASSIST  by SHEN,KEVIN",1
02:10,"GOOD LAYUP by FINLEY,GARRET(in the paint)",24,,34 (+10),,UO 24-34 (+10),,"GOOD LAYUP by FINLEY,GARRET(in the paint)",1
02:04,,,,,"TURNOVER  by ESSICK,JALEN",,,"TURNOVER  by ESSICK,JALEN",1
02:04,"STEAL  by POWELL,KYRON",,,,,,,"STEAL  by POWELL,KYRON",1
01:59,"MISS LAYUP by POWELL,KYRON(in the paint)",,,,,,,"MISS LAYUP by POWELL,KYRON(in the paint)",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
01:50,,,,,"MISS 3PTR by LAMEY,HAYDEN",,,"MISS 3PTR by LAMEY,HAYDEN",1
--,"REBOUND DEF by FINLEY,GARRET",,,,,,,"REBOUND DEF by FINLEY,GARRET",1
01:41,"MISS 3PTR by FINLEY,GARRET",,,,,,,"MISS 3PTR by FINLEY,GARRET",1
--,,,,,"REBOUND DEF by LAMEY,HAYDEN",,,"REBOUND DEF by LAMEY,HAYDEN",1
01:23,"FOUL  by FINLEY,GARRET",,,,,,,"FOUL  by FINLEY,GARRET",1
01:23,,24,,35 (+11),"GOOD FT by ESSICK,JALEN",Rhodes 24-35 (+11),,"GOOD FT by ESSICK,JALEN",1
01:23,,,,,"SUB OUT by LAMEY,HAYDEN",,,"SUB OUT by LAMEY,HAYDEN",1
01:23,,,,,"SUB IN by WILEY,KOKI",,,"SUB IN by WILEY,KOKI",1
01:23,,24,,36 (+12),"GOOD FT by ESSICK,JALEN",Rhodes 24-36 (+12),,"GOOD FT by ESSICK,JALEN",1
01:23,,,,,"SUB OUT by ESSICK,JALEN",,,"SUB OUT by ESSICK,JALEN",1
01:23,,,,,"SUB IN by GEORGETOWN II,ARNESS",,,"SUB IN by GEORGETOWN II,ARNESS",1
01:08,"MISS JUMPER by ALT,DAWSON",,,,,,,"MISS JUMPER by ALT,DAWSON",1
--,,,,,"REBOUND DEF by WALKER,JEFFERSON",,,"REBOUND DEF by WALKER,JEFFERSON",1
01:03,,24,,38 (+14),"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",Rhodes 24-38 (+14),,"GOOD LAYUP by SHEN,KEVIN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WALKER,JEFFERSON",,,"ASSIST  by WALKER,JEFFERSON",1
00:42,"MISS 3PTR by NIX,GRAYSON",,,,,,,"MISS 3PTR by NIX,GRAYSON",1
--,,,,,"REBOUND DEF by SHEN,KEVIN",,,"REBOUND DEF by SHEN,KEVIN",1
00:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:30,,,,,"SUB OUT by WILLIAMS,JAYSON",,,"SUB OUT by WILLIAMS,JAYSON",1
00:30,,,,,"SUB OUT by SHEN,KEVIN",,,"SUB OUT by SHEN,KEVIN",1
00:30,,,,,"SUB IN by WHITE,ELIJAH",,,"SUB IN by WHITE,ELIJAH",1
00:30,,,,,"SUB IN by ESSICK,JALEN",,,"SUB IN by ESSICK,JALEN",1
00:19,,,,,"FOUL  by WHITE,ELIJAH",,,"FOUL  by WHITE,ELIJAH",1
00:19,,,,,"TURNOVER  by WHITE,ELIJAH",,,"TURNOVER  by WHITE,ELIJAH",1
00:19,,,,,"SUB OUT by WHITE,ELIJAH",,,"SUB OUT by WHITE,ELIJAH",1
00:19,,,,,"SUB IN by WILLIAMS,JAYSON",,,"SUB IN by WILLIAMS,JAYSON",1
00:02,"MISS JUMPER by NIX,GRAYSON(in the paint)",,,,,,,"MISS JUMPER by NIX,GRAYSON(in the paint)",1
00:02,,,,,"BLOCK  by WILLIAMS,JAYSON",,,"BLOCK  by WILLIAMS,JAYSON",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
20:00,,,,,"SUB OUT by WALKER,JEFFERSON",,,"SUB OUT by WALKER,JEFFERSON",2
20:00,,,,,"SUB OUT by GEORGETOWN II,ARNESS",,,"SUB OUT by GEORGETOWN II,ARNESS",2
20:00,,,,,"SUB IN by SHEN,KEVIN",,,"SUB IN by SHEN,KEVIN",2
20:00,,,,,"SUB IN by JAMES,MAC",,,"SUB IN by JAMES,MAC",2
20:00,"SUB OUT by POWELL,KYRON",,,,,,,"SUB OUT by POWELL,KYRON",2
20:00,"SUB OUT by GAFFNEY,XAVIER",,,,,,,"SUB OUT by GAFFNEY,XAVIER",2
20:00,"SUB OUT by FINLEY,GARRET",,,,,,,"SUB OUT by FINLEY,GARRET",2
20:00,"SUB OUT by ALT,DAWSON",,,,,,,"SUB OUT by ALT,DAWSON",2
20:00,"SUB IN by ROELKE,KAMREN",,,,,,,"SUB IN by ROELKE,KAMREN",2
20:00,"SUB IN by FRESH,RAY",,,,,,,"SUB IN by FRESH,RAY",2
20:00,"SUB IN by DUKES,JACOB",,,,,,,"SUB IN by DUKES,JACOB",2
20:00,"SUB IN by LITTLE,CARTER",,,,,,,"SUB IN by LITTLE,CARTER",2
19:50,,,,,"MISS JUMPER by WILEY,KOKI",,,"MISS JUMPER by WILEY,KOKI",2
--,"REBOUND DEF by ROELKE,KAMREN",,,,,,,"REBOUND DEF by ROELKE,KAMREN",2
19:18,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",26,,38 (+12),,UO 26-38 (+12),,"GOOD JUMPER by ROELKE,KAMREN(in the paint)",2
19:05,,,,,"MISS JUMPER by ESSICK,JALEN",,,"MISS JUMPER by ESSICK,JALEN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:42,,26,,40 (+14),"GOOD JUMPER by JAMES,MAC",Rhodes 26-40 (+14),,"GOOD JUMPER by JAMES,MAC",2
18:27,"MISS JUMPER by NIX,GRAYSON(in the paint)",,,,,,,"MISS JUMPER by NIX,GRAYSON(in the paint)",2
--,,,,,"REBOUND DEF by WILLIAMS,JAYSON",,,"REBOUND DEF by WILLIAMS,JAYSON",2
18:22,,,,,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",2
--,"REBOUND DEF by NIX,GRAYSON",,,,,,,"REBOUND DEF by NIX,GRAYSON",2
18:12,"MISS LAYUP by NIX,GRAYSON(in the paint)",,,,,,,"MISS LAYUP by NIX,GRAYSON(in the paint)",2
18:12,,,,,"BLOCK  by WILLIAMS,JAYSON",,,"BLOCK  by WILLIAMS,JAYSON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
