Time Remaining,AUG,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:37,,2 (+2),,0,"GOOD JUMPER by JAMES,MAC(in the paint)",Rhodes 2-0 (-2),,"GOOD JUMPER by JAMES,MAC(in the paint)",1
19:11,,,,,"FOUL  by ESSICK,JALEN",,,"FOUL  by ESSICK,JALEN",1
19:03,"MISS JUMPER by KNOEPFLE,CONNER(in the paint)",,,,,,,"MISS JUMPER by KNOEPFLE,CONNER(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
18:33,,,,,"MISS JUMPER by JAMES,MAC(in the paint)",,,"MISS JUMPER by JAMES,MAC(in the paint)",1
18:33,"BLOCK  by KNOEPFLE,CONNER",,,,,,,"BLOCK  by KNOEPFLE,CONNER",1
--,"REBOUND DEF by WINTER,BRADLEY",,,,,,,"REBOUND DEF by WINTER,BRADLEY",1
18:24,"GOOD LAYUP by WINTER,BRADLEY(in the paint)",2,,2,,AUG 2-2 (0),,"GOOD LAYUP by WINTER,BRADLEY(in the paint)",1
--,"ASSIST  by CARIK,MATT",,,,,,,"ASSIST  by CARIK,MATT",1
18:02,,5 (+3),,2,"GOOD 3PTR by WALKER,JEFFERSON",Rhodes 5-2 (-3),,"GOOD 3PTR by WALKER,JEFFERSON",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
17:50,"MISS 3PTR by CARIK,MATT",,,,,,,"MISS 3PTR by CARIK,MATT",1
--,,,,,"REBOUND DEF by ESSICK,JALEN",,,"REBOUND DEF by ESSICK,JALEN",1
17:35,,7 (+5),,2,"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 7-2 (-5),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
--,,,,,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1
17:25,"TURNOVER  by SORENSON,JACK",,,,,,,"TURNOVER  by SORENSON,JACK",1
17:25,,,,,"STEAL  by ESSICK,JALEN",,,"STEAL  by ESSICK,JALEN",1
17:19,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
17:19,"STEAL  by PALMER,JOE",,,,,,,"STEAL  by PALMER,JOE",1
17:04,"MISS JUMPER by PALMER,JOE",,,,,,,"MISS JUMPER by PALMER,JOE",1
--,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
16:46,"FOUL  by PALMER,JOE",,,,,,,"FOUL  by PALMER,JOE",1
16:46,,8 (+6),,2,"GOOD FT by ESSICK,JALEN",Rhodes 8-2 (-6),,"GOOD FT by ESSICK,JALEN",1
16:46,,9 (+7),,2,"GOOD FT by ESSICK,JALEN",Rhodes 9-2 (-7),,"GOOD FT by ESSICK,JALEN",1
16:39,"MISS JUMPER by KNOEPFLE,CONNER",,,,,,,"MISS JUMPER by KNOEPFLE,CONNER",1
--,"REBOUND OFF by WINTER,BRADLEY",,,,,,,"REBOUND OFF by WINTER,BRADLEY",1
