Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:42,,0,,2 (+2),"GOOD LAYUP by CARTER,LEVONDRE(in the paint)",BU 0-2 (-2),,"GOOD LAYUP by CARTER,LEVONDRE(in the paint)",1
--,,,,,"ASSIST  by GIVENS,DONOVAN",,,"ASSIST  by GIVENS,DONOVAN",1
19:21,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,"REBOUND OFF by WALKER,JEFFERSON",,,,,,,"REBOUND OFF by WALKER,JEFFERSON",1
19:08,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",2,,2,,Rhodes 2-2 (0),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
19:00,,2,,5 (+3),"GOOD 3PTR by RATLIFF,AROTHER(fastbreak)",BU 2-5 (-3),,"GOOD 3PTR by RATLIFF,AROTHER(fastbreak)",1
--,,,,,"ASSIST  by MCMILLAN,MATTHEW",,,"ASSIST  by MCMILLAN,MATTHEW",1
18:43,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,"REBOUND OFF by WALKER,JEFFERSON",,,,,,,"REBOUND OFF by WALKER,JEFFERSON",1
18:34,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",1
18:34,,,,,"STEAL  by MCMILLAN,MATTHEW",,,"STEAL  by MCMILLAN,MATTHEW",1
18:28,,2,,8 (+6),"GOOD 3PTR by COUCH,LUKE",BU 2-8 (-6),,"GOOD 3PTR by COUCH,LUKE",1
--,,,,,"ASSIST  by MCMILLAN,MATTHEW",,,"ASSIST  by MCMILLAN,MATTHEW",1
18:10,"GOOD LAYUP by JAMES,MAC(in the paint)",4,,8 (+4),,Rhodes 4-8 (-4),,"GOOD LAYUP by JAMES,MAC(in the paint)",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
17:50,,4,,11 (+7),"GOOD 3PTR by MCMILLAN,MATTHEW",BU 4-11 (-7),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
--,,,,,"ASSIST  by COUCH,LUKE",,,"ASSIST  by COUCH,LUKE",1
17:14,,,,,"FOUL  by MCMILLAN,MATTHEW",,,"FOUL  by MCMILLAN,MATTHEW",1
17:07,,,,,"SUB OUT by CARTER,LEVONDRE",,,"SUB OUT by CARTER,LEVONDRE",1
17:07,,,,,"SUB IN by BRANTLEY,JAY",,,"SUB IN by BRANTLEY,JAY",1
17:07,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
17:07,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
16:53,"GOOD 3PTR by WILEY,KOKI",7,,11 (+4),,Rhodes 7-11 (-4),,"GOOD 3PTR by WILEY,KOKI",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
16:34,,7,,14 (+7),"GOOD 3PTR by MCMILLAN,MATTHEW",BU 7-14 (-7),,"GOOD 3PTR by MCMILLAN,MATTHEW",1
--,,,,,"ASSIST  by COUCH,LUKE",,,"ASSIST  by COUCH,LUKE",1
16:18,,,,,"FOUL  by BRANTLEY,JAY",,,"FOUL  by BRANTLEY,JAY",1
15:41,"GOOD FT by WILEY,KOKI",8,,14 (+6),,Rhodes 8-14 (-6),,"GOOD FT by WILEY,KOKI",1
15:41,"GOOD FT by WILEY,KOKI",9,,14 (+5),,Rhodes 9-14 (-5),,"GOOD FT by WILEY,KOKI",1
15:28,,,,,"SUB OUT by GIVENS,DONOVAN",,,"SUB OUT by GIVENS,DONOVAN",1
15:28,,,,,"SUB IN by SHIELDS,RIAN",,,"SUB IN by SHIELDS,RIAN",1
15:28,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
15:28,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
15:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:26,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
15:26,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
15:26,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
15:26,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
