Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,SU,Game Score,Team Indicator,Play,Period
14:28,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
14:28,,,,,"TURNOVER  by MANN,TYLAN",,,"TURNOVER  by MANN,TYLAN",1
14:14,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
14:14,,,,,"STEAL  by OBIDIKE,BRANDIN",,,"STEAL  by OBIDIKE,BRANDIN",1
14:02,,14 (+3),,11,"GOOD 3PTR by OBIDIKE,BRANDIN",SU 14-11 (+3),,"GOOD 3PTR by OBIDIKE,BRANDIN",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
13:46,"GOOD LAYUP by SHEN,KEVIN(in the paint)",16 (+5),,11,,Rhodes 16-11 (+5),,"GOOD LAYUP by SHEN,KEVIN(in the paint)",1
13:12,,16 (+3),,13,"GOOD LAYUP by MANN,TYLAN(in the paint)",SU 16-13 (+3),,"GOOD LAYUP by MANN,TYLAN(in the paint)",1
13:01,,,,,"SUB OUT by MANN,TYLAN",,,"SUB OUT by MANN,TYLAN",1
13:01,,,,,"SUB OUT by HENSON,JONATHAN",,,"SUB OUT by HENSON,JONATHAN",1
13:01,,,,,"SUB IN by JOHNSON,JACOBY",,,"SUB IN by JOHNSON,JACOBY",1
13:01,,,,,"SUB IN by LOCKARD,ISIAH",,,"SUB IN by LOCKARD,ISIAH",1
13:01,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
13:01,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
12:51,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
12:51,,,,,"SUB IN by AMANOR,TROY",,,"SUB IN by AMANOR,TROY",1
12:46,"MISS JUMPER by LAMEY,HAYDEN(in the paint)",,,,,,,"MISS JUMPER by LAMEY,HAYDEN(in the paint)",1
--,,,,,"REBOUND DEF by AMANOR,TROY",,,"REBOUND DEF by AMANOR,TROY",1
12:31,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
12:31,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
12:31,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
12:27,,,,,"MISS JUMPER by CAMPBELL,MAXTON(in the paint)",,,"MISS JUMPER by CAMPBELL,MAXTON(in the paint)",1
--,"REBOUND DEF by LAMEY,HAYDEN",,,,,,,"REBOUND DEF by LAMEY,HAYDEN",1
12:25,,,,,"FOUL  by JOHNSON,JACOBY",,,"FOUL  by JOHNSON,JACOBY",1
12:16,"TURNOVER  by GEORGETOWN II,ARNESS",,,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",1
11:51,,16 (+1),,15,"GOOD LAYUP by AMANOR,TROY(in the paint)",SU 16-15 (+1),,"GOOD LAYUP by AMANOR,TROY(in the paint)",1
11:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:45,"SUB OUT by COOK,JEREMIAH",,,,,,,"SUB OUT by COOK,JEREMIAH",1
11:45,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
11:45,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
11:45,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
11:07,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
10:51,,,,,"MISS LAYUP by AMANOR,TROY(in the paint)",,,"MISS LAYUP by AMANOR,TROY(in the paint)",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
10:33,"TURNOVER  by CLAYTON,TJ",,,,,,,"TURNOVER  by CLAYTON,TJ",1
10:26,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
10:26,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
10:13,,,,,"TURNOVER  by OBIDIKE,BRANDIN",,,"TURNOVER  by OBIDIKE,BRANDIN",1
10:11,"GOOD 3PTR by LAMEY,HAYDEN",19 (+4),,15,,Rhodes 19-15 (+4),,"GOOD 3PTR by LAMEY,HAYDEN",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
09:53,,19 (+2),,17,"GOOD JUMPER by AMANOR,TROY",SU 19-17 (+2),,"GOOD JUMPER by AMANOR,TROY",1
--,,,,,"ASSIST  by JOHNSON,JACOBY",,,"ASSIST  by JOHNSON,JACOBY",1
09:42,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",1
--,,,,,"REBOUND DEF by OBIDIKE,BRANDIN",,,"REBOUND DEF by OBIDIKE,BRANDIN",1
09:34,,19,,19,"GOOD JUMPER by LOCKARD,ISIAH(fastbreak)(in the paint)",SU 19-19 (0),,"GOOD JUMPER by LOCKARD,ISIAH(fastbreak)(in the paint)",1
09:17,"MISS 3PTR by LAMEY,HAYDEN",,,,,,,"MISS 3PTR by LAMEY,HAYDEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:05,,,,,"SUB OUT by OBIDIKE,BRANDIN",,,"SUB OUT by OBIDIKE,BRANDIN",1
09:05,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",1
09:05,,,,,"SUB IN by CHATMAN,PARKER",,,"SUB IN by CHATMAN,PARKER",1
09:05,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
08:54,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
08:47,,,,,"MISS JUMPER by AMANOR,TROY",,,"MISS JUMPER by AMANOR,TROY",1
--,"REBOUND DEF by LAMEY,HAYDEN",,,,,,,"REBOUND DEF by LAMEY,HAYDEN",1
08:38,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
08:31,,,,,"SUB OUT by LOCKARD,ISIAH",,,"SUB OUT by LOCKARD,ISIAH",1
08:31,,,,,"SUB IN by MANN,TYLAN",,,"SUB IN by MANN,TYLAN",1
08:31,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
08:31,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
08:31,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
08:31,"SUB IN by WHITE,ELIJAH",,,,,,,"SUB IN by WHITE,ELIJAH",1
08:31,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
08:31,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
08:25,,,,,"MISS LAYUP by AMANOR,TROY(in the paint)",,,"MISS LAYUP by AMANOR,TROY(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
08:18,"MISS JUMPER by GEORGETOWN II,ARNESS",,,,,,,"MISS JUMPER by GEORGETOWN II,ARNESS",1
--,,,,,"REBOUND DEF by MANN,TYLAN",,,"REBOUND DEF by MANN,TYLAN",1
08:16,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
08:02,,19,,21 (+2),"GOOD JUMPER by MANN,TYLAN",SU 19-21 (-2),,"GOOD JUMPER by MANN,TYLAN",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
07:43,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:43,,,,,"FOUL  by JOHNSON,JACOBY",,,"FOUL  by JOHNSON,JACOBY",1
07:43,"MISS FT by SHEN,KEVIN",,,,,,,"MISS FT by SHEN,KEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:43,"GOOD FT by SHEN,KEVIN",20,,21 (+1),,Rhodes 20-21 (-1),,"GOOD FT by SHEN,KEVIN",1
07:43,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",1
07:43,,,,,"SUB IN by HENSON,JONATHAN",,,"SUB IN by HENSON,JONATHAN",1
07:43,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
07:43,"SUB IN by WILLIAMS,ZAVIEN",,,,,,,"SUB IN by WILLIAMS,ZAVIEN",1
07:43,"MISS FT by SHEN,KEVIN",,,,,,,"MISS FT by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by AMANOR,TROY",,,"REBOUND DEF by AMANOR,TROY",1
