Time Remaining,PIEDMONT,Away Team Score,Play Team Indicator,Home Team Score,CENTREM,Game Score,Team Indicator,Play,Period
17:25,,2,,6 (+4),"GOOD 3PTR by BAUGHMAN,CARTER",CENTREM 2-6 (+4),,"GOOD 3PTR by BAUGHMAN,CARTER",1
17:04,"MISS LAYUP by PALMER,AARON",,,,,,,"MISS LAYUP by PALMER,AARON",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
16:53,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
16:53,"STEAL  by RICHTER,WILL",,,,,,,"STEAL  by RICHTER,WILL",1
16:49,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
16:49,"SUB IN by CRANFORD,LOGAN",,,,,,,"SUB IN by CRANFORD,LOGAN",1
16:49,"SUB IN by BEAGLE,GARRETT",,,,,,,"SUB IN by BEAGLE,GARRETT",1
16:49,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",1
16:49,"SUB OUT by REARDON,NOAH",,,,,,,"SUB OUT by REARDON,NOAH",1
16:49,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
16:49,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
16:40,"TURNOVER  by QUICK,JUSTIN",,,,,,,"TURNOVER  by QUICK,JUSTIN",1
16:39,,,,,"STEAL  by WILLIAMS,JALEN",,,"STEAL  by WILLIAMS,JALEN",1
16:11,,,,,"MISS JUMPER by WILLIAMS,JALEN",,,"MISS JUMPER by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
16:09,,2,,8 (+6),"GOOD LAYUP by SMITH,RJ(in the paint)",CENTREM 2-8 (+6),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
16:08,"FOUL  by STIMPSON,ANDREW",,,,,,,"FOUL  by STIMPSON,ANDREW",1
16:08,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",1
--,"REBOUND DEF by STIMPSON,ANDREW",,,,,,,"REBOUND DEF by STIMPSON,ANDREW",1
16:08,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
16:08,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
15:45,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:43,"GOOD 3PTR by RICHTER,WILL",5,,8 (+3),,PIEDMONT 5-8 (+3),,"GOOD 3PTR by RICHTER,WILL",1
--,"ASSIST  by CRANFORD,LOGAN",,,,,,,"ASSIST  by CRANFORD,LOGAN",1
15:22,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",1
15:18,,5,,10 (+5),"GOOD LAYUP by SMITH,RJ(in the paint)",CENTREM 5-10 (+5),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
