Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:43,,0,,2 (+2),"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",Centre 0-2 (+2),,"GOOD LAYUP by BAUGHMAN,CARTER(in the paint)",1
19:22,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
19:02,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
18:50,"MISS 3PTR by RUSCIANO,ROBBIE",,,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,"REBOUND OFF by COSTAS,RILEY",,,,,,,"REBOUND OFF by COSTAS,RILEY",1
18:42,"GOOD LAYUP by COSTAS,RILEY(in the paint)",2,,2,,Berry 2-2 (0),,"GOOD LAYUP by COSTAS,RILEY(in the paint)",1
18:31,,2,,4 (+2),"GOOD JUMPER by SMITH,RJ",Centre 2-4 (+2),,"GOOD JUMPER by SMITH,RJ",1
18:22,"GOOD 3PTR by RUSCIANO,ROBBIE",5 (+1),,4,,Berry 5-4 (-1),,"GOOD 3PTR by RUSCIANO,ROBBIE",1
--,"ASSIST  by HONROTH,OWEN",,,,,,,"ASSIST  by HONROTH,OWEN",1
18:19,,,,,"FOUL  by BLAIR,ANDY",,,"FOUL  by BLAIR,ANDY",1
18:10,"GOOD LAYUP by RUSCIANO,ROBBIE(in the paint)",7 (+3),,4,,Berry 7-4 (-3),,"GOOD LAYUP by RUSCIANO,ROBBIE(in the paint)",1
17:46,,,,,"MISS 3PTR by BLAIR,ANDY",,,"MISS 3PTR by BLAIR,ANDY",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
17:40,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
17:40,"STEAL  by RUSCIANO,ROBBIE",,,,,,,"STEAL  by RUSCIANO,ROBBIE",1
17:33,"MISS 3PTR by RUSCIANO,ROBBIE",,,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,"REBOUND OFF by HONROTH,OWEN",,,,,,,"REBOUND OFF by HONROTH,OWEN",1
17:12,"MISS 3PTR by COSTAS,RILEY",,,,,,,"MISS 3PTR by COSTAS,RILEY",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
17:03,,7 (+1),,6,"GOOD JUMPER by SMITH,RJ",Centre 7-6 (-1),,"GOOD JUMPER by SMITH,RJ",1
16:51,"GOOD JUMPER by COSTAS,RILEY",9 (+3),,6,,Berry 9-6 (-3),,"GOOD JUMPER by COSTAS,RILEY",1
--,"ASSIST  by RUSCIANO,ROBBIE",,,,,,,"ASSIST  by RUSCIANO,ROBBIE",1
16:28,,9 (+1),,8,"GOOD LAYUP by BLAIR,ANDY(in the paint)",Centre 9-8 (-1),,"GOOD LAYUP by BLAIR,ANDY(in the paint)",1
16:10,"MISS 3PTR by HONROTH,OWEN",,,,,,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
16:05,,,,,"FOUL  by BLAIR,ANDY",,,"FOUL  by BLAIR,ANDY",1
16:04,"GOOD FT by BROOKS,AUSTIN",10 (+2),,8,,Berry 10-8 (-2),,"GOOD FT by BROOKS,AUSTIN",1
16:04,,,,,"SUB OUT by BLAIR,ANDY",,,"SUB OUT by BLAIR,ANDY",1
16:04,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
16:04,"MISS FT by BROOKS,AUSTIN",,,,,,,"MISS FT by BROOKS,AUSTIN",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
16:04,,10,,10,"GOOD LAYUP by MOORE,CHEZ(fastbreak)(in the paint)",Centre 10-10 (0),,"GOOD LAYUP by MOORE,CHEZ(fastbreak)(in the paint)",1
16:04,"MISS 3PTR by RUSCIANO,ROBBIE",,,,,,,"MISS 3PTR by RUSCIANO,ROBBIE",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
15:44,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",12 (+2),,10,,Berry 12-10 (-2),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
15:13,,,,,"MISS JUMPER by SMITH,RJ",,,"MISS JUMPER by SMITH,RJ",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
15:04,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
15:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:58,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
14:58,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
14:43,,,,,"MISS 3PTR by TAYLOR,MARSHALL",,,"MISS 3PTR by TAYLOR,MARSHALL",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
14:39,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
14:39,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
14:39,"SUB OUT by RUSCIANO,ROBBIE",,,,,,,"SUB OUT by RUSCIANO,ROBBIE",1
14:39,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
14:17,"MISS 3PTR by ELLIS,CHASE",,,,,,,"MISS 3PTR by ELLIS,CHASE",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
14:03,,12,,12,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 12-12 (0),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
14:03,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
14:03,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
14:03,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
14:03,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
14:03,"STEAL  by HONROTH,OWEN",,,,,,,"STEAL  by HONROTH,OWEN",1
14:03,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
14:03,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
14:03,"SUB IN by CAMPBELL,BLAKE",,,,,,,"SUB IN by CAMPBELL,BLAKE",1
13:43,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
13:43,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
13:43,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
13:43,"SUB IN by CLARK,BRYCE",,,,,,,"SUB IN by CLARK,BRYCE",1
13:37,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
13:37,"STEAL  by ELLIS,CHASE",,,,,,,"STEAL  by ELLIS,CHASE",1
13:26,"MISS LAYUP by CAMPBELL,BLAKE(in the paint)",,,,,,,"MISS LAYUP by CAMPBELL,BLAKE(in the paint)",1
--,"REBOUND OFF by CLARK,BRYCE",,,,,,,"REBOUND OFF by CLARK,BRYCE",1
13:20,"GOOD LAYUP by CLARK,BRYCE(in the paint)",14 (+2),,12,,Berry 14-12 (-2),,"GOOD LAYUP by CLARK,BRYCE(in the paint)",1
13:05,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
13:05,"SUB OUT by HONROTH,OWEN",,,,,,,"SUB OUT by HONROTH,OWEN",1
13:05,"SUB IN by BENHAM,BRAXTON",,,,,,,"SUB IN by BENHAM,BRAXTON",1
12:49,"TURNOVER  by BENHAM,BRAXTON",,,,,,,"TURNOVER  by BENHAM,BRAXTON",1
12:41,,14,,14,"GOOD LAYUP by WILSON,DREW(in the paint)",Centre 14-14 (0),,"GOOD LAYUP by WILSON,DREW(in the paint)",1
12:11,"GOOD JUMPER by ELLIS,CHASE",16 (+2),,14,,Berry 16-14 (-2),,"GOOD JUMPER by ELLIS,CHASE",1
11:58,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
11:58,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
11:58,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:58,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
11:58,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
11:58,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
11:58,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
11:58,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
11:58,"SUB IN by RUSCIANO,ROBBIE",,,,,,,"SUB IN by RUSCIANO,ROBBIE",1
11:42,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",18 (+4),,14,,Berry 18-14 (-4),,"GOOD LAYUP by CAMPBELL,BLAKE(in the paint)",1
11:16,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,"REBOUND DEF by CAMPBELL,BLAKE",,,,,,,"REBOUND DEF by CAMPBELL,BLAKE",1
10:57,,,,,"FOUL  by TAYLOR,MARSHALL",,,"FOUL  by TAYLOR,MARSHALL",1
10:57,"MISS FT by CAMPBELL,BLAKE",,,,,,,"MISS FT by CAMPBELL,BLAKE",1
