Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,SPALDING,Game Score,Team Indicator,Play,Period
19:36,"GOOD 3PTR by BAUGHMAN,CARTER",3 (+3),,0,,CENTREM 3-0 (+3),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
18:50,,,,,"MISS LAYUP by JOHNSON,JACOBY",,,"MISS LAYUP by JOHNSON,JACOBY",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
18:41,"GOOD LAYUP by SMITH,RJ(fastbreak)(in the paint)",5 (+5),,0,,CENTREM 5-0 (+5),,"GOOD LAYUP by SMITH,RJ(fastbreak)(in the paint)",1
18:11,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",1
18:11,,,,,"SUB IN by TRIBBLE,BRIAN",,,"SUB IN by TRIBBLE,BRIAN",1
18:11,,,,,"SUB OUT by MANN,TYLAN",,,"SUB OUT by MANN,TYLAN",1
17:55,,,,,"MISS JUMPER by TRIBBLE,BRIAN",,,"MISS JUMPER by TRIBBLE,BRIAN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:50,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
17:28,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by CAMPBELL,MAXTON",,,"REBOUND DEF by CAMPBELL,MAXTON",1
17:08,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
16:53,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
16:31,,5 (+2),,3,"GOOD 3PTR by TRIBBLE,BRIAN",SPALDING 5-3 (+2),,"GOOD 3PTR by TRIBBLE,BRIAN",1
--,,,,,"ASSIST  by HENSON,JONATHAN",,,"ASSIST  by HENSON,JONATHAN",1
16:05,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",7 (+4),,3,,CENTREM 7-3 (+4),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
15:41,,,,,"MISS JUMPER by HENSON,JONATHAN",,,"MISS JUMPER by HENSON,JONATHAN",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
15:25,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:25,"SUB IN by WOOLDRIDGE,CARSON",,,,,,,"SUB IN by WOOLDRIDGE,CARSON",1
15:25,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
15:25,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
15:25,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
15:17,,,,,"FOUL  by TRIBBLE,BRIAN",,,"FOUL  by TRIBBLE,BRIAN",1
15:17,,,,,"SUB IN by LOCKARD,ISAIAH",,,"SUB IN by LOCKARD,ISAIAH",1
15:17,,,,,"SUB OUT by HENSON,JONATHAN",,,"SUB OUT by HENSON,JONATHAN",1
15:14,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
15:07,,,,,"TURNOVER  by JOHNSON,JACOBY",,,"TURNOVER  by JOHNSON,JACOBY",1
14:59,,,,,"FOUL  by TRIBBLE,BRIAN",,,"FOUL  by TRIBBLE,BRIAN",1
14:59,,,,,"SUB IN by MANN,TYLAN",,,"SUB IN by MANN,TYLAN",1
14:59,,,,,"SUB OUT by TRIBBLE,BRIAN",,,"SUB OUT by TRIBBLE,BRIAN",1
14:55,"MISS LAYUP by SMITH,RJ",,,,,,,"MISS LAYUP by SMITH,RJ",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
14:53,"MISS LAYUP by SMITH,RJ",,,,,,,"MISS LAYUP by SMITH,RJ",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
14:22,,,,,"TURNOVER  by MANN,TYLAN",,,"TURNOVER  by MANN,TYLAN",1
14:11,"MISS 3PTR by WILSON,DREW",,,,,,,"MISS 3PTR by WILSON,DREW",1
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",1
13:51,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",1
13:51,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",1
13:51,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
13:51,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
13:34,,7 (+2),,5,"GOOD JUMPER by LOCKARD,ISAIAH(in the paint)",SPALDING 7-5 (+2),,"GOOD JUMPER by LOCKARD,ISAIAH(in the paint)",1
13:16,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:10,"GOOD LAYUP by SMITH,RJ(in the paint)",9 (+4),,5,,CENTREM 9-5 (+4),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
--,"ASSIST  by WILSON,DREW",,,,,,,"ASSIST  by WILSON,DREW",1
12:45,,,,,"MISS JUMPER by JOHNSON,JACOBY",,,"MISS JUMPER by JOHNSON,JACOBY",1
--,,,,,"REBOUND OFF by CAMPBELL,MAXTON",,,"REBOUND OFF by CAMPBELL,MAXTON",1
12:42,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
12:39,,,,,"MISS 3PTR by LOCKARD,ISAIAH",,,"MISS 3PTR by LOCKARD,ISAIAH",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
12:26,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
12:25,,,,,"STEAL  by LOCKARD,ISAIAH",,,"STEAL  by LOCKARD,ISAIAH",1
12:23,,9 (+2),,7,"GOOD LAYUP by LOCKARD,ISAIAH(fastbreak)(in the paint)",SPALDING 9-7 (+2),,"GOOD LAYUP by LOCKARD,ISAIAH(fastbreak)(in the paint)",1
12:23,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
12:23,,9 (+1),,8,"GOOD FT by LOCKARD,ISAIAH",SPALDING 9-8 (+1),,"GOOD FT by LOCKARD,ISAIAH",1
12:23,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",1
12:23,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
12:23,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
12:23,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
12:10,"GOOD 3PTR by SMITH,RJ",12 (+4),,8,,CENTREM 12-8 (+4),,"GOOD 3PTR by SMITH,RJ",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
11:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:52,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
11:52,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
11:38,,,,,"MISS JUMPER by JOHNSON,JACOBY",,,"MISS JUMPER by JOHNSON,JACOBY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:22,,,,,"TURNOVER  by MANN,TYLAN",,,"TURNOVER  by MANN,TYLAN",1
11:21,"STEAL  by TAYLOR,MARSHALL",,,,,,,"STEAL  by TAYLOR,MARSHALL",1
11:19,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",1
11:17,,,,,"STEAL  by LOCKARD,ISAIAH",,,"STEAL  by LOCKARD,ISAIAH",1
11:14,,,,,"MISS LAYUP by JOHNSON,JACOBY",,,"MISS LAYUP by JOHNSON,JACOBY",1
--,,,,,"REBOUND OFF by MANN,TYLAN",,,"REBOUND OFF by MANN,TYLAN",1
11:07,,,,,"MISS LAYUP by LOCKARD,ISAIAH",,,"MISS LAYUP by LOCKARD,ISAIAH",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
11:03,"FOUL  by RING,NOAH",,,,,,,"FOUL  by RING,NOAH",1
11:03,"SUB IN by KNOCHELMANN,PETE",,,,,,,"SUB IN by KNOCHELMANN,PETE",1
11:03,"SUB IN by WILLIAMS,JALEN",,,,,,,"SUB IN by WILLIAMS,JALEN",1
11:03,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
11:03,"SUB OUT by TAYLOR,MARSHALL",,,,,,,"SUB OUT by TAYLOR,MARSHALL",1
11:03,,,,,"SUB IN by TRIBBLE,BRIAN",,,"SUB IN by TRIBBLE,BRIAN",1
11:03,,,,,"SUB OUT by MANN,TYLAN",,,"SUB OUT by MANN,TYLAN",1
10:54,,,,,"MISS JUMPER by LOCKARD,ISAIAH",,,"MISS JUMPER by LOCKARD,ISAIAH",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
10:36,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by JOHNSON,JACOBY",,,"REBOUND DEF by JOHNSON,JACOBY",1
10:28,,,,,"MISS JUMPER by JOHNSON,JACOBY",,,"MISS JUMPER by JOHNSON,JACOBY",1
--,"REBOUND DEF by KNOCHELMANN,PETE",,,,,,,"REBOUND DEF by KNOCHELMANN,PETE",1
10:26,,,,,"FOUL  by CAMPBELL,MAXTON",,,"FOUL  by CAMPBELL,MAXTON",1
10:07,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by TRIBBLE,BRIAN",,,"REBOUND DEF by TRIBBLE,BRIAN",1
09:58,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",1
--,,,,,"REBOUND OFF by JOHNSON,JACOBY",,,"REBOUND OFF by JOHNSON,JACOBY",1
09:54,,,,,"MISS LAYUP by JOHNSON,JACOBY",,,"MISS LAYUP by JOHNSON,JACOBY",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
09:40,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
09:40,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
09:40,"SUB OUT by WOOLDRIDGE,CARSON",,,,,,,"SUB OUT by WOOLDRIDGE,CARSON",1
09:40,,,,,"SUB IN by TOLIVER,TEFRELL",,,"SUB IN by TOLIVER,TEFRELL",1
09:40,,,,,"SUB IN by MANN,TYLAN",,,"SUB IN by MANN,TYLAN",1
09:40,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",1
09:40,,,,,"SUB OUT by JOHNSON,JACOBY",,,"SUB OUT by JOHNSON,JACOBY",1
09:28,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
09:20,"GOOD JUMPER by SMITH,RJ",14 (+6),,8,,CENTREM 14-8 (+6),,"GOOD JUMPER by SMITH,RJ",1
09:05,,14 (+4),,10,"GOOD JUMPER by TRIBBLE,BRIAN",SPALDING 14-10 (+4),,"GOOD JUMPER by TRIBBLE,BRIAN",1
08:38,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
08:38,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
08:38,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
08:38,,,,,"SUB IN by TOLIVER,TEFRELL",,,"SUB IN by TOLIVER,TEFRELL",1
08:38,,,,,"SUB IN by CAMPBELL,MAXTON",,,"SUB IN by CAMPBELL,MAXTON",1
08:38,,,,,"SUB OUT by CAMPBELL,MAXTON",,,"SUB OUT by CAMPBELL,MAXTON",1
08:38,,,,,"SUB OUT by TOLIVER,TEFRELL",,,"SUB OUT by TOLIVER,TEFRELL",1
08:28,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
08:27,,,,,"STEAL  by LOCKARD,ISAIAH",,,"STEAL  by LOCKARD,ISAIAH",1
08:24,,14 (+2),,12,"GOOD LAYUP by MANN,TYLAN(fastbreak)(in the paint)",SPALDING 14-12 (+2),,"GOOD LAYUP by MANN,TYLAN(fastbreak)(in the paint)",1
08:22,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:53,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",1
07:53,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
07:53,"SUB IN by WOOLDRIDGE,CARSON",,,,,,,"SUB IN by WOOLDRIDGE,CARSON",1
07:53,"SUB OUT by KNOCHELMANN,PETE",,,,,,,"SUB OUT by KNOCHELMANN,PETE",1
07:44,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
07:31,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
07:30,,,,,"STEAL  by MANN,TYLAN",,,"STEAL  by MANN,TYLAN",1
07:28,,,,,"MISS LAYUP by MANN,TYLAN",,,"MISS LAYUP by MANN,TYLAN",1
--,,,,,"REBOUND OFF by LOCKARD,ISAIAH",,,"REBOUND OFF by LOCKARD,ISAIAH",1
07:25,"FOUL  by WILLIAMS,JALEN",,,,,,,"FOUL  by WILLIAMS,JALEN",1
07:25,,14 (+1),,13,"GOOD FT by LOCKARD,ISAIAH",SPALDING 14-13 (+1),,"GOOD FT by LOCKARD,ISAIAH",1
07:25,,14,,14,"GOOD FT by LOCKARD,ISAIAH",SPALDING 14-14 (0),,"GOOD FT by LOCKARD,ISAIAH",1
07:25,"SUB IN by GERALD,DUSTIN",,,,,,,"SUB IN by GERALD,DUSTIN",1
07:25,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
07:15,"MISS LAYUP by WILLIAMS,JALEN",,,,,,,"MISS LAYUP by WILLIAMS,JALEN",1
07:15,,,,,"BLOCK  by LOCKARD,ISAIAH",,,"BLOCK  by LOCKARD,ISAIAH",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
07:06,,14,,16 (+2),"GOOD LAYUP by MANN,TYLAN(fastbreak)(in the paint)",SPALDING 14-16 (-2),,"GOOD LAYUP by MANN,TYLAN(fastbreak)(in the paint)",1
06:46,,,,,"FOUL  by MANN,TYLAN",,,"FOUL  by MANN,TYLAN",1
06:46,"MISS FT by WILLIAMS,JALEN",,,,,,,"MISS FT by WILLIAMS,JALEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:46,"GOOD FT by WILLIAMS,JALEN",15,,16 (+1),,CENTREM 15-16 (-1),,"GOOD FT by WILLIAMS,JALEN",1
06:46,,,,,"SUB IN by JOHNSON,JACOBY",,,"SUB IN by JOHNSON,JACOBY",1
06:46,,,,,"SUB OUT by LOCKARD,ISAIAH",,,"SUB OUT by LOCKARD,ISAIAH",1
06:33,,,,,"MISS 3PTR by JOHNSON,JACOBY",,,"MISS 3PTR by JOHNSON,JACOBY",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
06:03,,,,,"FOUL  by JOHNSON,JACOBY",,,"FOUL  by JOHNSON,JACOBY",1
06:03,"GOOD FT by WILLIAMS,JALEN",16,,16,,CENTREM 16-16 (0),,"GOOD FT by WILLIAMS,JALEN",1
06:03,"GOOD FT by WILLIAMS,JALEN",17 (+1),,16,,CENTREM 17-16 (+1),,"GOOD FT by WILLIAMS,JALEN",1
06:03,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
06:03,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
06:03,,,,,"SUB IN by CHATMAN,PARKER",,,"SUB IN by CHATMAN,PARKER",1
06:03,,,,,"SUB IN by LOCKARD,ISAIAH",,,"SUB IN by LOCKARD,ISAIAH",1
06:03,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
06:03,,,,,"SUB OUT by MANN,TYLAN",,,"SUB OUT by MANN,TYLAN",1
05:45,,17,,18 (+1),"GOOD JUMPER by LOCKARD,ISAIAH",SPALDING 17-18 (-1),,"GOOD JUMPER by LOCKARD,ISAIAH",1
05:19,,,,,"FOUL  by CHATMAN,PARKER",,,"FOUL  by CHATMAN,PARKER",1
05:19,"GOOD FT by SMITH,RJ",18,,18,,CENTREM 18-18 (0),,"GOOD FT by SMITH,RJ",1
05:19,"GOOD FT by SMITH,RJ",19 (+1),,18,,CENTREM 19-18 (+1),,"GOOD FT by SMITH,RJ",1
05:16,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
05:16,,,,,"MISS FT by LOCKARD,ISAIAH",,,"MISS FT by LOCKARD,ISAIAH",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
