Time Remaining,WESTMO,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:50,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
19:50,"STEAL  by KEMPKER,TRE",,,,,,,"STEAL  by KEMPKER,TRE",1
19:28,"MISS JUMPER by KEMPKER,TRE",,,,,,,"MISS JUMPER by KEMPKER,TRE",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
19:21,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by HARRISON,LANDON",,,,,,,"REBOUND DEF by HARRISON,LANDON",1
18:56,"MISS JUMPER by ALTHAUS,JAXON",,,,,,,"MISS JUMPER by ALTHAUS,JAXON",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
18:42,,0,,2 (+2),"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 0-2 (+2),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
18:34,"GOOD LAYUP by HARRISON,LANDON(fastbreak)(in the paint)",2,,2,,WESTMO 2-2 (0),,"GOOD LAYUP by HARRISON,LANDON(fastbreak)(in the paint)",1
18:14,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,"REBOUND DEF by ALTHAUS,JAXON",,,,,,,"REBOUND DEF by ALTHAUS,JAXON",1
18:01,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
17:45,"GOOD LAYUP by GALBREATH,MAKYGH(in the paint)",4 (+2),,2,,WESTMO 4-2 (-2),,"GOOD LAYUP by GALBREATH,MAKYGH(in the paint)",1
17:30,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND DEF by HARRISON,LANDON",,,,,,,"REBOUND DEF by HARRISON,LANDON",1
17:20,"MISS 3PTR by GALBREATH,MAKYGH",,,,,,,"MISS 3PTR by GALBREATH,MAKYGH",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
17:06,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
16:38,"MISS 3PTR by ALTHAUS,JAXON",,,,,,,"MISS 3PTR by ALTHAUS,JAXON",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
16:30,,4,,4,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 4-4 (0),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
16:24,"TURNOVER  by HARRISON,LANDON",,,,,,,"TURNOVER  by HARRISON,LANDON",1
16:24,,,,,"STEAL  by WILLIAMS,JALEN",,,"STEAL  by WILLIAMS,JALEN",1
16:07,,4,,7 (+3),"GOOD 3PTR by WILLIAMS,JALEN",Centre 4-7 (+3),,"GOOD 3PTR by WILLIAMS,JALEN",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
