Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:44,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
19:15,,0,,2 (+2),"GOOD JUMPER by URSIN,AARON(in the paint)",Mill 0-2 (-2),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
18:52,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
18:33,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
18:01,"GOOD 3PTR by GERALD,DUSTIN",3 (+1),,2,,Centre 3-2 (+1),,"GOOD 3PTR by GERALD,DUSTIN",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
17:44,,,,,"MISS 3PTR by BROWN,BRYCE",,,"MISS 3PTR by BROWN,BRYCE",1
--,"REBOUND DEF by WILLIAMS,JALEN",,,,,,,"REBOUND DEF by WILLIAMS,JALEN",1
17:33,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
17:28,"GOOD LAYUP by MOORE,CHEZ(in the paint)",5 (+3),,2,,Centre 5-2 (+3),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
17:17,,5,,5,"GOOD 3PTR by BROWN,BRYCE",Mill 5-5 (0),,"GOOD 3PTR by BROWN,BRYCE",1
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",1
17:00,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
17:00,,,,,"STEAL  by BROWN,BRYCE",,,"STEAL  by BROWN,BRYCE",1
16:48,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
16:26,,,,,"FOUL  by URSIN,AARON",,,"FOUL  by URSIN,AARON",1
16:26,"MISS FT by MOORE,CHEZ",,,,,,,"MISS FT by MOORE,CHEZ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:26,"MISS FT by MOORE,CHEZ",,,,,,,"MISS FT by MOORE,CHEZ",1
--,,,,,"REBOUND DEF by URSIN,AARON",,,"REBOUND DEF by URSIN,AARON",1
16:12,,5,,7 (+2),"GOOD LAYUP by URSIN,AARON(in the paint)",Mill 5-7 (-2),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,CAMERON",,,"ASSIST  by WILLIAMS,CAMERON",1
16:12,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
16:12,"SUB OUT by MOORE,CHEZ",,,,,,,"SUB OUT by MOORE,CHEZ",1
16:12,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
16:12,,,,,"MISS FT by URSIN,AARON",,,"MISS FT by URSIN,AARON",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
15:47,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
15:38,,,,,"MISS JUMPER by BROWN,BRYCE(in the paint)",,,"MISS JUMPER by BROWN,BRYCE(in the paint)",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
15:26,"MISS 3PTR by GERALD,DUSTIN",,,,,,,"MISS 3PTR by GERALD,DUSTIN",1
--,"REBOUND OFF by RING,NOAH",,,,,,,"REBOUND OFF by RING,NOAH",1
15:10,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",7,,7,,Centre 7-7 (0),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
14:50,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
14:36,"GOOD JUMPER by GERALD,DUSTIN",9 (+2),,7,,Centre 9-7 (+2),,"GOOD JUMPER by GERALD,DUSTIN",1
14:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
14:17,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
14:17,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
14:17,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
14:17,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
14:17,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
14:17,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
14:10,,,,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",,,"MISS JUMPER by GILLIHAN,NEWLON(in the paint)",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
13:40,"GOOD JUMPER by GERALD,DUSTIN",11 (+4),,7,,Centre 11-7 (+4),,"GOOD JUMPER by GERALD,DUSTIN",1
13:18,,,,,"MISS JUMPER by WATSON,DOUG(in the paint)",,,"MISS JUMPER by WATSON,DOUG(in the paint)",1
--,"REBOUND DEF by WILSON,DREW",,,,,,,"REBOUND DEF by WILSON,DREW",1
12:57,"GOOD JUMPER by SMITH,RJ",13 (+6),,7,,Centre 13-7 (+6),,"GOOD JUMPER by SMITH,RJ",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
12:55,"FOUL  by GERALD,DUSTIN",,,,,,,"FOUL  by GERALD,DUSTIN",1
12:55,,13 (+5),,8,"GOOD FT by BROWN,BRYCE(fastbreak)",Mill 13-8 (+5),,"GOOD FT by BROWN,BRYCE(fastbreak)",1
12:55,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
12:55,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
12:55,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
12:55,,,,,"SUB IN by BASS,DEVIN",,,"SUB IN by BASS,DEVIN",1
12:55,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
12:55,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
12:55,,13 (+4),,9,"GOOD FT by BROWN,BRYCE(fastbreak)",Mill 13-9 (+4),,"GOOD FT by BROWN,BRYCE(fastbreak)",1
12:32,"GOOD LAYUP by MOORE,CHEZ(in the paint)",15 (+6),,9,,Centre 15-9 (+6),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
--,"ASSIST  by TAYLOR,MARSHALL",,,,,,,"ASSIST  by TAYLOR,MARSHALL",1
12:14,,,,,"TURNOVER  by BROWN,BRYCE",,,"TURNOVER  by BROWN,BRYCE",1
12:14,"STEAL  by GERALD,DUSTIN",,,,,,,"STEAL  by GERALD,DUSTIN",1
11:51,"FOUL  by TAYLOR,MARSHALL",,,,,,,"FOUL  by TAYLOR,MARSHALL",1
11:51,"TURNOVER  by TAYLOR,MARSHALL",,,,,,,"TURNOVER  by TAYLOR,MARSHALL",1
