Time Remaining,Transy,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:42,"GOOD 3PTR by NAPIER,COLBY",3 (+3),,0,,Transy 3-0 (-3),,"GOOD 3PTR by NAPIER,COLBY",1
--,"ASSIST  by PENN,HUNTER",,,,,,,"ASSIST  by PENN,HUNTER",1
19:15,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by LARIMORE,ZACH",,,,,,,"REBOUND DEF by LARIMORE,ZACH",1
19:00,"TURNOVER  by CROMWELL,BRANDON",,,,,,,"TURNOVER  by CROMWELL,BRANDON",1
19:00,,,,,"STEAL  by BAUGHMAN,CARTER",,,"STEAL  by BAUGHMAN,CARTER",1
18:50,,3 (+1),,2,"GOOD LAYUP by MOORE,CHEZ(in the paint)",Centre 3-2 (-1),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
18:21,"MISS LAYUP by PENN,HUNTER(in the paint)",,,,,,,"MISS LAYUP by PENN,HUNTER(in the paint)",1
--,"REBOUND OFF by PENN,HUNTER",,,,,,,"REBOUND OFF by PENN,HUNTER",1
18:15,"MISS LAYUP by PENN,HUNTER(in the paint)",,,,,,,"MISS LAYUP by PENN,HUNTER(in the paint)",1
--,"REBOUND OFF by PENN,HUNTER",,,,,,,"REBOUND OFF by PENN,HUNTER",1
18:13,"MISS JUMPER by PENN,HUNTER",,,,,,,"MISS JUMPER by PENN,HUNTER",1
18:13,,,,,"BLOCK  by SMITH,RJ",,,"BLOCK  by SMITH,RJ",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
17:42,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
17:42,"STEAL  by PENN,HUNTER",,,,,,,"STEAL  by PENN,HUNTER",1
17:28,"GOOD 3PTR by CROMWELL,BRANDON",6 (+4),,2,,Transy 6-2 (-4),,"GOOD 3PTR by CROMWELL,BRANDON",1
--,"ASSIST  by PATTON,JACK",,,,,,,"ASSIST  by PATTON,JACK",1
17:25,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,"REBOUND DEF by PENN,HUNTER",,,,,,,"REBOUND DEF by PENN,HUNTER",1
17:20,"MISS 3PTR by LARIMORE,ZACH",,,,,,,"MISS 3PTR by LARIMORE,ZACH",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
17:11,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,"REBOUND DEF by PENN,HUNTER",,,,,,,"REBOUND DEF by PENN,HUNTER",1
