Time Remaining,Frank,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
15:10,"MISS 3PTR by KRAUSE,MATT",,,,,,,"MISS 3PTR by KRAUSE,MATT",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
14:59,,,,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",,,"MISS JUMPER by WILLIAMS,JALEN(in the paint)",1
--,"REBOUND DEF by WRIGHT,TY",,,,,,,"REBOUND DEF by WRIGHT,TY",1
14:44,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
14:44,"GOOD FT by O'MARA,MITCH",8,,12 (+4),,Frank 8-12 (+4),,"GOOD FT by O'MARA,MITCH",1
14:44,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
14:44,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
14:44,"SUB OUT by DEERE,TJ",,,,,,,"SUB OUT by DEERE,TJ",1
14:44,"SUB IN by CROWE,CARTER",,,,,,,"SUB IN by CROWE,CARTER",1
14:44,"GOOD FT by O'MARA,MITCH",9,,12 (+3),,Frank 9-12 (+3),,"GOOD FT by O'MARA,MITCH",1
14:25,,,,,"MISS 3PTR by BAUGHMAN,CARTER",,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",1
14:16,"GOOD 3PTR by WRIGHT,TY",12,,12,,Frank 12-12 (0),,"GOOD 3PTR by WRIGHT,TY",1
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",1
13:53,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,,,,,"REBOUND OFF by WELLMAN,JARED",,,"REBOUND OFF by WELLMAN,JARED",1
13:45,,,,,"MISS 3PTR by WELLMAN,JARED",,,"MISS 3PTR by WELLMAN,JARED",1
--,"REBOUND DEF by WRIGHT,TY",,,,,,,"REBOUND DEF by WRIGHT,TY",1
13:38,"MISS 3PTR by KRAUSE,MATT",,,,,,,"MISS 3PTR by KRAUSE,MATT",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
13:12,,,,,"MISS JUMPER by BAUGHMAN,CARTER",,,"MISS JUMPER by BAUGHMAN,CARTER",1
--,"REBOUND DEF by WRIGHT,TY",,,,,,,"REBOUND DEF by WRIGHT,TY",1
12:51,"TURNOVER  by KRAUSE,MATT",,,,,,,"TURNOVER  by KRAUSE,MATT",1
12:51,,,,,"STEAL  by WELLMAN,JARED",,,"STEAL  by WELLMAN,JARED",1
12:43,,,,,"MISS JUMPER by SMITH,RJ(in the paint)",,,"MISS JUMPER by SMITH,RJ(in the paint)",1
--,"REBOUND DEF by KING,LYNN",,,,,,,"REBOUND DEF by KING,LYNN",1
12:20,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
12:20,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
12:20,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
12:20,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
12:20,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
12:20,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
12:20,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
12:20,"SUB OUT by O'MARA,MITCH",,,,,,,"SUB OUT by O'MARA,MITCH",1
12:20,"SUB OUT by WRIGHT,TY",,,,,,,"SUB OUT by WRIGHT,TY",1
12:20,"SUB IN by SAMPLES,CODY",,,,,,,"SUB IN by SAMPLES,CODY",1
12:20,"SUB IN by WIGGINS,RYAN",,,,,,,"SUB IN by WIGGINS,RYAN",1
12:04,"TURNOVER  by WIGGINS,RYAN",,,,,,,"TURNOVER  by WIGGINS,RYAN",1
11:57,"SUB OUT by KING,LYNN",,,,,,,"SUB OUT by KING,LYNN",1
11:57,"SUB IN by FLATT,TREY",,,,,,,"SUB IN by FLATT,TREY",1
11:31,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",1
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",1
11:11,,,,,"FOUL  by BANKS,JAXSON",,,"FOUL  by BANKS,JAXSON",1
11:11,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:11,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
11:11,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
11:11,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
11:11,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
11:10,"GOOD JUMPER by CROWE,CARTER",14 (+2),,12,,Frank 14-12 (-2),,"GOOD JUMPER by CROWE,CARTER",1
--,"ASSIST  by SAMPLES,CODY",,,,,,,"ASSIST  by SAMPLES,CODY",1
10:43,,14,,14,"GOOD JUMPER by BANKS,JAXSON",Centre 14-14 (0),,"GOOD JUMPER by BANKS,JAXSON",1
10:26,"MISS 3PTR by KRAUSE,MATT",,,,,,,"MISS 3PTR by KRAUSE,MATT",1
--,"REBOUND OFF by FLATT,TREY",,,,,,,"REBOUND OFF by FLATT,TREY",1
10:19,"MISS 3PTR by FLATT,TREY",,,,,,,"MISS 3PTR by FLATT,TREY",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
10:07,"SUB OUT by KRAUSE,MATT",,,,,,,"SUB OUT by KRAUSE,MATT",1
10:07,"SUB IN by WRIGHT,TY",,,,,,,"SUB IN by WRIGHT,TY",1
10:00,,14,,16 (+2),"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 14-16 (+2),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
09:49,"GOOD LAYUP by WIGGINS,RYAN(in the paint)",16,,16,,Frank 16-16 (0),,"GOOD LAYUP by WIGGINS,RYAN(in the paint)",1
--,"ASSIST  by WRIGHT,TY",,,,,,,"ASSIST  by WRIGHT,TY",1
09:21,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,"REBOUND DEF by CROWE,CARTER",,,,,,,"REBOUND DEF by CROWE,CARTER",1
09:19,,,,,"FOUL  by KNOCHELMANN,PETE",,,"FOUL  by KNOCHELMANN,PETE",1
09:19,,,,,"SUB OUT by KNOCHELMANN,PETE",,,"SUB OUT by KNOCHELMANN,PETE",1
09:19,,,,,"SUB OUT by BANKS,JAXSON",,,"SUB OUT by BANKS,JAXSON",1
09:19,,,,,"SUB IN by WILLIAMS,JALEN",,,"SUB IN by WILLIAMS,JALEN",1
09:19,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
09:19,"SUB OUT by SAMPLES,CODY",,,,,,,"SUB OUT by SAMPLES,CODY",1
09:19,"SUB IN by O'MARA,MITCH",,,,,,,"SUB IN by O'MARA,MITCH",1
09:08,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
09:08,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
09:08,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
09:08,"SUB OUT by FLATT,TREY",,,,,,,"SUB OUT by FLATT,TREY",1
09:08,"SUB IN by DEERE,TJ",,,,,,,"SUB IN by DEERE,TJ",1
09:04,"GOOD JUMPER by CROWE,CARTER",18 (+2),,16,,Frank 18-16 (-2),,"GOOD JUMPER by CROWE,CARTER",1
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",1
08:51,,18,,18,"GOOD JUMPER by WILSON,DREW(in the paint)",Centre 18-18 (0),,"GOOD JUMPER by WILSON,DREW(in the paint)",1
08:51,"FOUL  by WIGGINS,RYAN",,,,,,,"FOUL  by WIGGINS,RYAN",1
08:51,"SUB OUT by WIGGINS,RYAN",,,,,,,"SUB OUT by WIGGINS,RYAN",1
08:51,"SUB IN by KING,LYNN",,,,,,,"SUB IN by KING,LYNN",1
08:51,,18,,19 (+1),"GOOD FT by WILSON,DREW",Centre 18-19 (+1),,"GOOD FT by WILSON,DREW",1
08:18,"MISS 3PTR by KING,LYNN",,,,,,,"MISS 3PTR by KING,LYNN",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
08:01,,18,,21 (+3),"GOOD JUMPER by MOORE,CHEZ(in the paint)",Centre 18-21 (+3),,"GOOD JUMPER by MOORE,CHEZ(in the paint)",1
07:44,"MISS 3PTR by CROWE,CARTER",,,,,,,"MISS 3PTR by CROWE,CARTER",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
07:34,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND DEF by DEERE,TJ",,,,,,,"REBOUND DEF by DEERE,TJ",1
07:24,"GOOD LAYUP by CROWE,CARTER(in the paint)",20,,21 (+1),,Frank 20-21 (+1),,"GOOD LAYUP by CROWE,CARTER(in the paint)",1
07:00,,20,,24 (+4),"GOOD 3PTR by RING,NOAH",Centre 20-24 (+4),,"GOOD 3PTR by RING,NOAH",1
--,,,,,"ASSIST  by GERALD,DUSTIN",,,"ASSIST  by GERALD,DUSTIN",1
06:47,"MISS 3PTR by DEERE,TJ",,,,,,,"MISS 3PTR by DEERE,TJ",1
--,"REBOUND OFF by CROWE,CARTER",,,,,,,"REBOUND OFF by CROWE,CARTER",1
06:25,"TURNOVER  by CROWE,CARTER",,,,,,,"TURNOVER  by CROWE,CARTER",1
06:25,,,,,"STEAL  by WILSON,DREW",,,"STEAL  by WILSON,DREW",1
06:19,,,,,"TURNOVER  by WILLIAMS,JALEN",,,"TURNOVER  by WILLIAMS,JALEN",1
06:11,"GOOD LAYUP by WRIGHT,TY(fastbreak)(in the paint)",22,,24 (+2),,Frank 22-24 (+2),,"GOOD LAYUP by WRIGHT,TY(fastbreak)(in the paint)",1
06:05,,22,,26 (+4),"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 22-26 (+4),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
05:41,"GOOD JUMPER by DEERE,TJ(in the paint)",24,,26 (+2),,Frank 24-26 (+2),,"GOOD JUMPER by DEERE,TJ(in the paint)",1
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",1
05:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:27,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
05:27,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
05:27,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
05:27,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",1
05:27,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
05:27,,,,,"SUB IN by WELLMAN,JARED",,,"SUB IN by WELLMAN,JARED",1
05:22,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by CROWE,CARTER",,,,,,,"REBOUND DEF by CROWE,CARTER",1
05:16,"SUB OUT by DEERE,TJ",,,,,,,"SUB OUT by DEERE,TJ",1
05:16,"SUB OUT by KING,LYNN",,,,,,,"SUB OUT by KING,LYNN",1
05:16,"SUB IN by DEERE,JACOB",,,,,,,"SUB IN by DEERE,JACOB",1
05:16,"SUB IN by KRAUSE,MATT",,,,,,,"SUB IN by KRAUSE,MATT",1
04:56,"GOOD JUMPER by KRAUSE,MATT(in the paint)",26,,26,,Frank 26-26 (0),,"GOOD JUMPER by KRAUSE,MATT(in the paint)",1
04:34,,,,,"MISS JUMPER by RING,NOAH(in the paint)",,,"MISS JUMPER by RING,NOAH(in the paint)",1
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",1
04:20,"GOOD LAYUP by DEERE,JACOB(in the paint)",28 (+2),,26,,Frank 28-26 (-2),,"GOOD LAYUP by DEERE,JACOB(in the paint)",1
04:09,,,,,"TURNOVER  by SMITH,RJ",,,"TURNOVER  by SMITH,RJ",1
04:09,"STEAL  by WRIGHT,TY",,,,,,,"STEAL  by WRIGHT,TY",1
04:04,"GOOD LAYUP by O'MARA,MITCH(fastbreak)(in the paint)",30 (+4),,26,,Frank 30-26 (-4),,"GOOD LAYUP by O'MARA,MITCH(fastbreak)(in the paint)",1
--,"ASSIST  by WRIGHT,TY",,,,,,,"ASSIST  by WRIGHT,TY",1
03:37,,,,,"MISS JUMPER by WELLMAN,JARED(in the paint)",,,"MISS JUMPER by WELLMAN,JARED(in the paint)",1
--,"REBOUND DEF by O'MARA,MITCH",,,,,,,"REBOUND DEF by O'MARA,MITCH",1
03:32,"TURNOVER  by O'MARA,MITCH",,,,,,,"TURNOVER  by O'MARA,MITCH",1
03:32,,,,,"STEAL  by WELLMAN,JARED",,,"STEAL  by WELLMAN,JARED",1
03:23,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,"REBOUND DEF by O'MARA,MITCH",,,,,,,"REBOUND DEF by O'MARA,MITCH",1
03:01,"MISS 3PTR by CROWE,CARTER",,,,,,,"MISS 3PTR by CROWE,CARTER",1
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",1
02:59,"FOUL  by DEERE,JACOB",,,,,,,"FOUL  by DEERE,JACOB",1
02:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
02:59,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
02:59,,,,,"SUB OUT by WELLMAN,JARED",,,"SUB OUT by WELLMAN,JARED",1
02:59,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
02:59,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
02:59,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
02:59,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
02:48,,,,,"MISS JUMPER by WILSON,DREW(in the paint)",,,"MISS JUMPER by WILSON,DREW(in the paint)",1
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",1
02:48,"MISS JUMPER by O'MARA,MITCH(in the paint)",,,,,,,"MISS JUMPER by O'MARA,MITCH(in the paint)",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
02:48,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
--,"REBOUND DEF by DEERE,JACOB",,,,,,,"REBOUND DEF by DEERE,JACOB",1
02:19,"MISS 3PTR by KRAUSE,MATT",,,,,,,"MISS 3PTR by KRAUSE,MATT",1
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",1
01:56,,30 (+2),,28,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",Centre 30-28 (-2),,"GOOD JUMPER by WILLIAMS,JALEN(in the paint)",1
01:37,"TURNOVER  by WRIGHT,TY",,,,,,,"TURNOVER  by WRIGHT,TY",1
01:12,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:51,"GOOD 3PTR by KRAUSE,MATT",33 (+5),,28,,Frank 33-28 (-5),,"GOOD 3PTR by KRAUSE,MATT",1
--,"ASSIST  by CROWE,CARTER",,,,,,,"ASSIST  by CROWE,CARTER",1
00:32,"FOUL  by DEERE,JACOB",,,,,,,"FOUL  by DEERE,JACOB",1
00:32,,,,,"MISS FT by MOORE,CHEZ",,,"MISS FT by MOORE,CHEZ",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:32,,33 (+4),,29,"GOOD FT by MOORE,CHEZ",Centre 33-29 (-4),,"GOOD FT by MOORE,CHEZ",1
00:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:03,"MISS JUMPER by O'MARA,MITCH",,,,,,,"MISS JUMPER by O'MARA,MITCH",1
--,"REBOUND OFF by DEERE,JACOB",,,,,,,"REBOUND OFF by DEERE,JACOB",1
00:01,,,,,"FOUL  by WILSON,DREW",,,"FOUL  by WILSON,DREW",1
00:01,"GOOD FT by DEERE,JACOB",34 (+5),,29,,Frank 34-29 (-5),,"GOOD FT by DEERE,JACOB",1
00:01,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
00:01,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
00:01,"MISS FT by DEERE,JACOB",,,,,,,"MISS FT by DEERE,JACOB",1
--,"REBOUND OFF by KRAUSE,MATT",,,,,,,"REBOUND OFF by KRAUSE,MATT",1
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",2
20:00,,,,,"SUB IN by SMITH,RJ",,,"SUB IN by SMITH,RJ",2
20:00,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",2
20:00,"SUB OUT by CROWE,CARTER",,,,,,,"SUB OUT by CROWE,CARTER",2
20:00,"SUB OUT by DEERE,JACOB",,,,,,,"SUB OUT by DEERE,JACOB",2
20:00,"SUB IN by DEERE,TJ",,,,,,,"SUB IN by DEERE,TJ",2
20:00,"SUB IN by WIGGINS,RYAN",,,,,,,"SUB IN by WIGGINS,RYAN",2
19:39,"MISS LAYUP by WIGGINS,RYAN(in the paint)",,,,,,,"MISS LAYUP by WIGGINS,RYAN(in the paint)",2
--,,,,,"REBOUND DEF by SMITH,RJ",,,"REBOUND DEF by SMITH,RJ",2
19:12,,,,,"MISS JUMPER by GERALD,DUSTIN",,,"MISS JUMPER by GERALD,DUSTIN",2
--,,,,,"REBOUND OFF by SMITH,RJ",,,"REBOUND OFF by SMITH,RJ",2
19:05,,34 (+3),,31,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 34-31 (-3),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
18:45,"GOOD 3PTR by DEERE,TJ",37 (+6),,31,,Frank 37-31 (-6),,"GOOD 3PTR by DEERE,TJ",2
--,"ASSIST  by O'MARA,MITCH",,,,,,,"ASSIST  by O'MARA,MITCH",2
18:11,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
17:58,"MISS 3PTR by KRAUSE,MATT",,,,,,,"MISS 3PTR by KRAUSE,MATT",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:48,"GOOD LAYUP by WIGGINS,RYAN(in the paint)",39 (+8),,31,,Frank 39-31 (-8),,"GOOD LAYUP by WIGGINS,RYAN(in the paint)",2
17:25,,39 (+6),,33,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 39-33 (-6),,"GOOD LAYUP by SMITH,RJ(in the paint)",2
17:09,"MISS 3PTR by DEERE,TJ",,,,,,,"MISS 3PTR by DEERE,TJ",2
--,,,,,"REBOUND DEF by BAUGHMAN,CARTER",,,"REBOUND DEF by BAUGHMAN,CARTER",2
17:02,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:55,"FOUL  by WIGGINS,RYAN",,,,,,,"FOUL  by WIGGINS,RYAN",2
16:55,,39 (+5),,34,"GOOD FT by GERALD,DUSTIN",Centre 39-34 (-5),,"GOOD FT by GERALD,DUSTIN",2
16:55,"SUB OUT by WIGGINS,RYAN",,,,,,,"SUB OUT by WIGGINS,RYAN",2
16:55,"SUB IN by KING,LYNN",,,,,,,"SUB IN by KING,LYNN",2
16:55,,,,,"MISS FT by GERALD,DUSTIN",,,"MISS FT by GERALD,DUSTIN",2
--,"REBOUND DEF by KRAUSE,MATT",,,,,,,"REBOUND DEF by KRAUSE,MATT",2
16:31,"MISS 3PTR by WRIGHT,TY",,,,,,,"MISS 3PTR by WRIGHT,TY",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:29,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",2
16:29,"SUB OUT by DEERE,TJ",,,,,,,"SUB OUT by DEERE,TJ",2
16:29,"SUB IN by CROWE,CARTER",,,,,,,"SUB IN by CROWE,CARTER",2
16:14,"GOOD JUMPER by O'MARA,MITCH(in the paint)",41 (+7),,34,,Frank 41-34 (-7),,"GOOD JUMPER by O'MARA,MITCH(in the paint)",2
15:50,"FOUL  by KRAUSE,MATT",,,,,,,"FOUL  by KRAUSE,MATT",2
15:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:50,,41 (+6),,35,"GOOD FT by MOORE,CHEZ",Centre 41-35 (-6),,"GOOD FT by MOORE,CHEZ",2
15:50,,41 (+5),,36,"GOOD FT by MOORE,CHEZ",Centre 41-36 (-5),,"GOOD FT by MOORE,CHEZ",2
15:34,"GOOD 3PTR by KING,LYNN",44 (+8),,36,,Frank 44-36 (-8),,"GOOD 3PTR by KING,LYNN",2
--,"ASSIST  by CROWE,CARTER",,,,,,,"ASSIST  by CROWE,CARTER",2
15:12,,44 (+6),,38,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 44-38 (-6),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",2
14:59,"TURNOVER  by O'MARA,MITCH",,,,,,,"TURNOVER  by O'MARA,MITCH",2
14:59,,,,,"STEAL  by MOORE,CHEZ",,,"STEAL  by MOORE,CHEZ",2
14:50,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",,,"MISS LAYUP by SMITH,RJ(in the paint)",2
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",2
