Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:42,"GOOD 3PTR by CHAMBERS,DIMETRI",3 (+3),,0,,OU 3-0 (-3),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,"ASSIST  by MURRAH,JACK",,,,,,,"ASSIST  by MURRAH,JACK",1
19:24,,,,,"FOUL  by GERALD,DUSTIN",,,"FOUL  by GERALD,DUSTIN",1
19:24,,,,,"TURNOVER  by GERALD,DUSTIN",,,"TURNOVER  by GERALD,DUSTIN",1
19:02,"GOOD 3PTR by MURRAH,JACK",6 (+6),,0,,OU 6-0 (-6),,"GOOD 3PTR by MURRAH,JACK",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
18:33,,6 (+4),,2,"GOOD LAYUP by SMITH,RJ(in the paint)",Centre 6-2 (-4),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
18:33,"FOUL  by MURRAH,JACK",,,,,,,"FOUL  by MURRAH,JACK",1
18:33,,,,,"MISS FT by SMITH,RJ",,,"MISS FT by SMITH,RJ",1
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",1
18:24,"GOOD 3PTR by MURRAH,JACK",9 (+7),,2,,OU 9-2 (-7),,"GOOD 3PTR by MURRAH,JACK",1
--,"ASSIST  by CHAMBERS,DIMETRI",,,,,,,"ASSIST  by CHAMBERS,DIMETRI",1
18:10,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
18:10,"STEAL  by CHAMBERS,DIMETRI",,,,,,,"STEAL  by CHAMBERS,DIMETRI",1
18:05,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",11 (+9),,2,,OU 11-2 (-9),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
18:05,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
18:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
