Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WEBSTR,Game Score,Team Indicator,Play,Period
19:27,,0,,3 (+3),"GOOD 3PTR by WOOLRIDGE,BRYCE",WEBSTR 0-3 (-3),,"GOOD 3PTR by WOOLRIDGE,BRYCE",1
--,,,,,"ASSIST  by BROWN, JR,.,WYNNE",,,"ASSIST  by BROWN, JR,.,WYNNE",1
19:06,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:48,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,,,,,"REBOUND DEF by MOORE,KARL",,,"REBOUND DEF by MOORE,KARL",1
18:22,,,,,"MISS LAYUP by ETIENNE,RODSON(in the paint)",,,"MISS LAYUP by ETIENNE,RODSON(in the paint)",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
18:11,"MISS 3PTR by WILLIAMS,JALEN",,,,,,,"MISS 3PTR by WILLIAMS,JALEN",1
--,,,,,"REBOUND DEF by MOORE,MARK",,,"REBOUND DEF by MOORE,MARK",1
18:07,,,,,"TURNOVER  by MOORE,MARK",,,"TURNOVER  by MOORE,MARK",1
18:07,"STEAL  by MOORE,CHEZ",,,,,,,"STEAL  by MOORE,CHEZ",1
18:03,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",1
17:58,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",2,,3 (+1),,Centre 2-3 (-1),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
17:51,,2,,6 (+4),"GOOD 3PTR by MOORE,MARK",WEBSTR 2-6 (-4),,"GOOD 3PTR by MOORE,MARK",1
17:29,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
17:29,,,,,"FOUL  by MOORE,KARL",,,"FOUL  by MOORE,KARL",1
17:26,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by MOORE,MARK",,,"REBOUND DEF by MOORE,MARK",1
17:04,,,,,"MISS 3PTR by MOORE,MARK",,,"MISS 3PTR by MOORE,MARK",1
--,"REBOUND DEF by SMITH,RJ",,,,,,,"REBOUND DEF by SMITH,RJ",1
16:46,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",4,,6 (+2),,Centre 4-6 (-2),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
16:23,,,,,"TURNOVER  by ETIENNE,RODSON",,,"TURNOVER  by ETIENNE,RODSON",1
16:23,"STEAL  by WILLIAMS,JALEN",,,,,,,"STEAL  by WILLIAMS,JALEN",1
16:18,"GOOD DUNK by SMITH,RJ(fastbreak)(in the paint)",6,,6,,Centre 6-6 (0),,"GOOD DUNK by SMITH,RJ(fastbreak)(in the paint)",1
--,"ASSIST  by BAUGHMAN,CARTER",,,,,,,"ASSIST  by BAUGHMAN,CARTER",1
16:10,,,,,"SUB OUT by ETIENNE,RODSON",,,"SUB OUT by ETIENNE,RODSON",1
16:10,,,,,"SUB IN by BECTON,MARKUS",,,"SUB IN by BECTON,MARKUS",1
15:52,,6,,8 (+2),"GOOD LAYUP by BECTON,MARKUS(in the paint)",WEBSTR 6-8 (-2),,"GOOD LAYUP by BECTON,MARKUS(in the paint)",1
15:33,"MISS LAYUP by SMITH,RJ(in the paint)",,,,,,,"MISS LAYUP by SMITH,RJ(in the paint)",1
--,"REBOUND OFF by MOORE,CHEZ",,,,,,,"REBOUND OFF by MOORE,CHEZ",1
15:26,"TURNOVER  by MOORE,CHEZ",,,,,,,"TURNOVER  by MOORE,CHEZ",1
15:26,,,,,"STEAL  by MOORE,KARL",,,"STEAL  by MOORE,KARL",1
15:22,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
15:22,"SUB OUT by GERALD,DUSTIN",,,,,,,"SUB OUT by GERALD,DUSTIN",1
15:22,"SUB IN by WELLMAN,JARED",,,,,,,"SUB IN by WELLMAN,JARED",1
15:16,,6,,11 (+5),"GOOD 3PTR by MOORE,MARK",WEBSTR 6-11 (-5),,"GOOD 3PTR by MOORE,MARK",1
--,,,,,"ASSIST  by WOOLRIDGE,BRYCE",,,"ASSIST  by WOOLRIDGE,BRYCE",1
