Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
19:18,"GOOD LAYUP by WILEY,KOKI(in the paint)",2 (+2),,0,,Rhodes 2-0 (-2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
18:56,,,,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",,,"MISS LAYUP by GERALD,DUSTIN(in the paint)",1
--,,,,,"REBOUND OFF by MOORE,CHEZ",,,"REBOUND OFF by MOORE,CHEZ",1
18:48,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
18:46,,2,,2,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 2-2 (0),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
18:24,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,,,,,"REBOUND DEF by MOORE,CHEZ",,,"REBOUND DEF by MOORE,CHEZ",1
18:10,,,,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",,,"MISS JUMPER by GERALD,DUSTIN(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
17:52,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
17:40,,,,,"MISS 3PTR by SMITH,RJ",,,"MISS 3PTR by SMITH,RJ",1
--,"REBOUND DEF by WILEY,KOKI",,,,,,,"REBOUND DEF by WILEY,KOKI",1
17:32,,,,,"FOUL  by SMITH,RJ",,,"FOUL  by SMITH,RJ",1
17:32,"GOOD FT by WILEY,KOKI(fastbreak)",3 (+1),,2,,Rhodes 3-2 (-1),,"GOOD FT by WILEY,KOKI(fastbreak)",1
17:32,"GOOD FT by WILEY,KOKI(fastbreak)",4 (+2),,2,,Rhodes 4-2 (-2),,"GOOD FT by WILEY,KOKI(fastbreak)",1
17:12,,,,,"TURNOVER  by MOORE,CHEZ",,,"TURNOVER  by MOORE,CHEZ",1
17:12,"STEAL  by WILEY,KOKI",,,,,,,"STEAL  by WILEY,KOKI",1
16:52,"GOOD JUMPER by WILEY,KOKI(in the paint)",6 (+4),,2,,Rhodes 6-2 (-4),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
16:23,,,,,"MISS 3PTR by WILLIAMS,JALEN",,,"MISS 3PTR by WILLIAMS,JALEN",1
--,"REBOUND DEF by WILLIAMS,ZAVIEN",,,,,,,"REBOUND DEF by WILLIAMS,ZAVIEN",1
16:20,"GOOD JUMPER by ESSICK,JALEN(in the paint)",8 (+6),,2,,Rhodes 8-2 (-6),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
16:20,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:20,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
16:20,,,,,"SUB OUT by WILLIAMS,JALEN",,,"SUB OUT by WILLIAMS,JALEN",1
16:20,,,,,"SUB OUT by MOORE,CHEZ",,,"SUB OUT by MOORE,CHEZ",1
16:20,,,,,"SUB IN by TAYLOR,MARSHALL",,,"SUB IN by TAYLOR,MARSHALL",1
16:20,,,,,"SUB IN by RING,NOAH",,,"SUB IN by RING,NOAH",1
16:03,,8 (+4),,4,"GOOD JUMPER by SMITH,RJ(in the paint)",Centre 8-4 (-4),,"GOOD JUMPER by SMITH,RJ(in the paint)",1
15:44,"MISS 3PTR by WILLIAMS,ZAVIEN",,,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND OFF by JAMES,MAC",,,,,,,"REBOUND OFF by JAMES,MAC",1
15:28,"GOOD 3PTR by WILLIAMS,ZAVIEN",11 (+7),,4,,Rhodes 11-4 (-7),,"GOOD 3PTR by WILLIAMS,ZAVIEN",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
15:07,,,,,"TURNOVER  by TAYLOR,MARSHALL",,,"TURNOVER  by TAYLOR,MARSHALL",1
14:55,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
14:55,,,,,"BLOCK  by RING,NOAH",,,"BLOCK  by RING,NOAH",1
--,,,,,"REBOUND DEF by RING,NOAH",,,"REBOUND DEF by RING,NOAH",1
14:42,,,,,"MISS JUMPER by RING,NOAH",,,"MISS JUMPER by RING,NOAH",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
14:42,"FOUL  by WILLIAMS,ZAVIEN",,,,,,,"FOUL  by WILLIAMS,ZAVIEN",1
14:42,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
14:42,,,,,"SUB IN by BANKS,JAXSON",,,"SUB IN by BANKS,JAXSON",1
14:38,,11 (+5),,6,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 11-6 (-5),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
--,,,,,"ASSIST  by TAYLOR,MARSHALL",,,"ASSIST  by TAYLOR,MARSHALL",1
14:13,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
14:13,,,,,"STEAL  by GERALD,DUSTIN",,,"STEAL  by GERALD,DUSTIN",1
14:06,,,,,"MISS 3PTR by BANKS,JAXSON",,,"MISS 3PTR by BANKS,JAXSON",1
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",1
13:57,,,,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",1
--,,,,,"REBOUND OFF by RING,NOAH",,,"REBOUND OFF by RING,NOAH",1
13:44,,,,,"MISS 3PTR by RING,NOAH",,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND OFF by TAYLOR,MARSHALL",,,"REBOUND OFF by TAYLOR,MARSHALL",1
13:40,"FOUL  by GEORGETOWN II,ARNESS",,,,,,,"FOUL  by GEORGETOWN II,ARNESS",1
13:40,,,,,"MISS FT by TAYLOR,MARSHALL",,,"MISS FT by TAYLOR,MARSHALL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:40,,,,,"SUB OUT by SMITH,RJ",,,"SUB OUT by SMITH,RJ",1
13:40,,,,,"SUB IN by MOORE,CHEZ",,,"SUB IN by MOORE,CHEZ",1
13:40,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
13:40,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
13:40,"SUB OUT by WILLIAMS,ZAVIEN",,,,,,,"SUB OUT by WILLIAMS,ZAVIEN",1
13:40,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
13:40,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
13:40,"SUB IN by AESCHLIMAN,SETH",,,,,,,"SUB IN by AESCHLIMAN,SETH",1
13:40,,11 (+4),,7,"GOOD FT by TAYLOR,MARSHALL",Centre 11-7 (-4),,"GOOD FT by TAYLOR,MARSHALL",1
13:15,"MISS JUMPER by ESSICK,JALEN(in the paint)",,,,,,,"MISS JUMPER by ESSICK,JALEN(in the paint)",1
--,"REBOUND OFF by AESCHLIMAN,SETH",,,,,,,"REBOUND OFF by AESCHLIMAN,SETH",1
13:07,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",13 (+6),,7,,Rhodes 13-7 (-6),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1
12:46,,13 (+4),,9,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",Centre 13-9 (-4),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
12:26,,,,,"FOUL  by RING,NOAH",,,"FOUL  by RING,NOAH",1
12:26,,,,,"SUB OUT by RING,NOAH",,,"SUB OUT by RING,NOAH",1
12:26,,,,,"SUB IN by KNOCHELMANN,PETE",,,"SUB IN by KNOCHELMANN,PETE",1
12:16,"MISS 3PTR by WALKER,JEFFERSON",,,,,,,"MISS 3PTR by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by BANKS,JAXSON",,,"REBOUND DEF by BANKS,JAXSON",1
11:58,,,,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",1
--,,,,,"REBOUND OFF by GERALD,DUSTIN",,,"REBOUND OFF by GERALD,DUSTIN",1
11:54,,13 (+2),,11,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",Centre 13-11 (-2),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
11:50,"MISS JUMPER by SHEN,KEVIN(in the paint)",,,,,,,"MISS JUMPER by SHEN,KEVIN(in the paint)",1
