Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WPU,Game Score,Team Indicator,Play,Period
19:10,,0,,2 (+2),"GOOD JUMPER by BORDERS,MALACHI",WPU 0-2 (-2),,"GOOD JUMPER by BORDERS,MALACHI",1
--,,,,,"ASSIST  by PARTON,TYLER",,,"ASSIST  by PARTON,TYLER",1
19:10,"MISS 3PTR by MOORE,CHEZ",,,,,,,"MISS 3PTR by MOORE,CHEZ",1
--,,,,,"REBOUND DEF by BRYANT,BEAU",,,"REBOUND DEF by BRYANT,BEAU",1
18:50,"TURNOVER  by WILLIAMS,JALEN",,,,,,,"TURNOVER  by WILLIAMS,JALEN",1
18:50,,,,,"MISS 3PTR by BRYANT,BEAU",,,"MISS 3PTR by BRYANT,BEAU",1
--,,,,,"REBOUND OFF by PARTON,TYLER",,,"REBOUND OFF by PARTON,TYLER",1
18:50,,,,,"MISS 3PTR by ATWOOD,COLE",,,"MISS 3PTR by ATWOOD,COLE",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
18:48,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
18:17,,,,,"MISS 3PTR by BRYANT,BEAU",,,"MISS 3PTR by BRYANT,BEAU",1
--,,,,,"REBOUND OFF by BORDERS,MALACHI",,,"REBOUND OFF by BORDERS,MALACHI",1
17:50,,,,,"MISS 3PTR by BORDERS,MALACHI",,,"MISS 3PTR by BORDERS,MALACHI",1
--,"REBOUND DEF by BAUGHMAN,CARTER",,,,,,,"REBOUND DEF by BAUGHMAN,CARTER",1
17:42,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",,,,,,,"MISS LAYUP by BAUGHMAN,CARTER(in the paint)",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
17:34,"GOOD LAYUP by SMITH,RJ(in the paint)",2,,2,,Centre 2-2 (0),,"GOOD LAYUP by SMITH,RJ(in the paint)",1
17:27,,,,,"MISS 3PTR by PHILLIPS,GARRETT",,,"MISS 3PTR by PHILLIPS,GARRETT",1
--,"REBOUND DEF by GERALD,DUSTIN",,,,,,,"REBOUND DEF by GERALD,DUSTIN",1
17:19,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
17:19,,,,,"SUB OUT by ATWOOD,COLE",,,"SUB OUT by ATWOOD,COLE",1
17:19,,,,,"SUB IN by ROUSE,RASHOD",,,"SUB IN by ROUSE,RASHOD",1
16:59,,,,,"TURNOVER  by ROUSE,RASHOD",,,"TURNOVER  by ROUSE,RASHOD",1
16:59,"STEAL  by SMITH,RJ",,,,,,,"STEAL  by SMITH,RJ",1
16:53,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",1
--,,,,,"REBOUND DEF by ROUSE,RASHOD",,,"REBOUND DEF by ROUSE,RASHOD",1
16:35,,,,,"TURNOVER  by PARTON,TYLER",,,"TURNOVER  by PARTON,TYLER",1
16:35,,,,,"SUB OUT by BORDERS,MALACHI",,,"SUB OUT by BORDERS,MALACHI",1
16:35,,,,,"SUB OUT by BRYANT,BEAU",,,"SUB OUT by BRYANT,BEAU",1
16:35,,,,,"SUB IN by DULIN,MICHAEL",,,"SUB IN by DULIN,MICHAEL",1
16:35,,,,,"SUB IN by BUTLER,DILLON",,,"SUB IN by BUTLER,DILLON",1
16:18,"MISS JUMPER by GERALD,DUSTIN",,,,,,,"MISS JUMPER by GERALD,DUSTIN",1
--,"REBOUND OFF by GERALD,DUSTIN",,,,,,,"REBOUND OFF by GERALD,DUSTIN",1
16:05,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",1
16:05,,,,,"STEAL  by BUTLER,DILLON",,,"STEAL  by BUTLER,DILLON",1
15:56,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
15:32,,,,,"SUB OUT by PHILLIPS,GARRETT",,,"SUB OUT by PHILLIPS,GARRETT",1
15:32,,,,,"SUB IN by OWENS,JALEN",,,"SUB IN by OWENS,JALEN",1
15:26,,,,,"MISS 3PTR by OWENS,JALEN",,,"MISS 3PTR by OWENS,JALEN",1
--,"REBOUND DEF by MOORE,CHEZ",,,,,,,"REBOUND DEF by MOORE,CHEZ",1
15:15,"GOOD JUMPER by SMITH,RJ(in the paint)",4 (+2),,2,,Centre 4-2 (+2),,"GOOD JUMPER by SMITH,RJ(in the paint)",1
14:53,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
14:53,,4 (+1),,3,"GOOD FT by DULIN,MICHAEL",WPU 4-3 (+1),,"GOOD FT by DULIN,MICHAEL",1
14:53,"SUB OUT by WILLIAMS,JALEN",,,,,,,"SUB OUT by WILLIAMS,JALEN",1
14:53,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
14:53,,4,,4,"GOOD FT by DULIN,MICHAEL",WPU 4-4 (0),,"GOOD FT by DULIN,MICHAEL",1
14:53,,,,,"SUB OUT by BUTLER,DILLON",,,"SUB OUT by BUTLER,DILLON",1
14:53,,,,,"SUB IN by BRYANT,BEAU",,,"SUB IN by BRYANT,BEAU",1
14:53,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
14:53,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
14:53,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
14:53,"SUB IN by RING,NOAH",,,,,,,"SUB IN by RING,NOAH",1
14:51,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",6 (+2),,4,,Centre 6-4 (+2),,"GOOD LAYUP by GERALD,DUSTIN(in the paint)",1
14:38,,,,,"FOUL  by OWENS,JALEN",,,"FOUL  by OWENS,JALEN",1
14:38,"GOOD FT by GERALD,DUSTIN",7 (+3),,4,,Centre 7-4 (+3),,"GOOD FT by GERALD,DUSTIN",1
14:28,,7 (+1),,6,"GOOD LAYUP by BRYANT,BEAU(in the paint)",WPU 7-6 (+1),,"GOOD LAYUP by BRYANT,BEAU(in the paint)",1
14:18,"FOUL  by WILSON,DREW",,,,,,,"FOUL  by WILSON,DREW",1
14:18,"TURNOVER  by WILSON,DREW",,,,,,,"TURNOVER  by WILSON,DREW",1
13:54,,,,,"MISS 3PTR by ROUSE,RASHOD",,,"MISS 3PTR by ROUSE,RASHOD",1
--,"REBOUND DEF by RING,NOAH",,,,,,,"REBOUND DEF by RING,NOAH",1
13:41,"GOOD LAYUP by MOORE,CHEZ(in the paint)",9 (+3),,6,,Centre 9-6 (+3),,"GOOD LAYUP by MOORE,CHEZ(in the paint)",1
--,"ASSIST  by GERALD,DUSTIN",,,,,,,"ASSIST  by GERALD,DUSTIN",1
13:13,,,,,"SUB OUT by OWENS,JALEN",,,"SUB OUT by OWENS,JALEN",1
13:13,,,,,"SUB IN by PHILLIPS,GARRETT",,,"SUB IN by PHILLIPS,GARRETT",1
13:06,,9,,9,"GOOD 3PTR by PHILLIPS,GARRETT",WPU 9-9 (0),,"GOOD 3PTR by PHILLIPS,GARRETT",1
--,,,,,"ASSIST  by BRYANT,BEAU",,,"ASSIST  by BRYANT,BEAU",1
12:58,"TURNOVER  by GERALD,DUSTIN",,,,,,,"TURNOVER  by GERALD,DUSTIN",1
12:58,,,,,"SUB OUT by DULIN,MICHAEL",,,"SUB OUT by DULIN,MICHAEL",1
12:58,,,,,"SUB IN by ATWOOD,COLE",,,"SUB IN by ATWOOD,COLE",1
12:58,,,,,"TURNOVER  by PHILLIPS,GARRETT",,,"TURNOVER  by PHILLIPS,GARRETT",1
12:58,"MISS LAYUP by MOORE,CHEZ(in the paint)",,,,,,,"MISS LAYUP by MOORE,CHEZ(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:38,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",11 (+2),,9,,Centre 11-9 (+2),,"GOOD JUMPER by GERALD,DUSTIN(in the paint)",1
