Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,WestKy,Game Score,Team Indicator,Play,Period
12:47,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
12:47,"SUB IN by TAYLOR,MARSHALL",,,,,,,"SUB IN by TAYLOR,MARSHALL",1
12:33,"FOUL  by SMITH,RJ",,,,,,,"FOUL  by SMITH,RJ",1
12:33,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
12:33,,,,,"SUB OUT by HAMILTON,JAIRUS",,,"SUB OUT by HAMILTON,JAIRUS",1
12:33,,,,,"SUB IN by JUSTICE,CAMRON",,,"SUB IN by JUSTICE,CAMRON",1
12:20,,2,,23 (+21),"GOOD 3PTR by JUSTICE,CAMRON",WestKy 2-23 (-21),,"GOOD 3PTR by JUSTICE,CAMRON",1
--,,,,,"ASSIST  by BUTZ,JAYLEN",,,"ASSIST  by BUTZ,JAYLEN",1
12:02,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",,,,,,,"MISS LAYUP by KNOCHELMANN,PETE(in the paint)",1
12:02,,,,,"BLOCK  by BUTZ,JAYLEN",,,"BLOCK  by BUTZ,JAYLEN",1
--,"REBOUND OFF by TAYLOR,MARSHALL",,,,,,,"REBOUND OFF by TAYLOR,MARSHALL",1
11:56,"MISS 3PTR by RING,NOAH",,,,,,,"MISS 3PTR by RING,NOAH",1
--,,,,,"REBOUND DEF by BRASHEAR,SHERMAN",,,"REBOUND DEF by BRASHEAR,SHERMAN",1
11:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:44,"SUB OUT by RING,NOAH",,,,,,,"SUB OUT by RING,NOAH",1
11:44,"SUB IN by MOORE,CHEZ",,,,,,,"SUB IN by MOORE,CHEZ",1
11:18,,2,,26 (+24),"GOOD 3PTR by BRASHEAR,SHERMAN",WestKy 2-26 (-24),,"GOOD 3PTR by BRASHEAR,SHERMAN",1
--,,,,,"ASSIST  by JUSTICE,CAMRON",,,"ASSIST  by JUSTICE,CAMRON",1
11:07,,,,,"FOUL  by ANDERSON,JOSH",,,"FOUL  by ANDERSON,JOSH",1
11:07,"MISS FT by SMITH,RJ",,,,,,,"MISS FT by SMITH,RJ",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:07,"MISS FT by SMITH,RJ",,,,,,,"MISS FT by SMITH,RJ",1
--,,,,,"REBOUND DEF by BUTZ,JAYLEN",,,"REBOUND DEF by BUTZ,JAYLEN",1
10:46,,,,,"TURNOVER  by JUSTICE,CAMRON",,,"TURNOVER  by JUSTICE,CAMRON",1
10:46,"STEAL  by TAYLOR,MARSHALL",,,,,,,"STEAL  by TAYLOR,MARSHALL",1
10:37,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",,,,,,,"MISS JUMPER by TAYLOR,MARSHALL(in the paint)",1
--,,,,,"REBOUND DEF by BRASHEAR,SHERMAN",,,"REBOUND DEF by BRASHEAR,SHERMAN",1
10:33,,2,,28 (+26),"GOOD LAYUP by BUTZ,JAYLEN(fastbreak)(in the paint)",WestKy 2-28 (-26),,"GOOD LAYUP by BUTZ,JAYLEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by JUSTICE,CAMRON",,,"ASSIST  by JUSTICE,CAMRON",1
10:23,"MISS 3PTR by MOORE,CHEZ",,,,,,,"MISS 3PTR by MOORE,CHEZ",1
